bullwort |See Bishop's-weed.
burn |1. To consume with fire; to reduce to ashes by the action of heat or fire; -- frequently intensified by up: as, to burn up wood. \"We'll burn his body in the holy place.\" Shak. 2. To injure by fire or heat; to change destructively some property or properties of, by undue exposure to fire or heat; to scorch; to scald; to blister; to singe; to char; to sear; as, to burn steel in forging; to burn one's face in the sun; the sun burns the grass. 3. To perfect or improve by fire or heat; to submit to the action of fire or heat for some economic purpose; to destroy or change some property or properties of, by exposure to fire or heat in due degree for obtaining a desired residuum, product, or effect; to bake; as, to burn clay in making bricks or pottery; to burn wood so as to produce charcoal; to burn limestone for the lime. 4. To make or produce, as an effect or result, by the application of fire or heat; as, to burn a hole; to burn charcoal; to burn letters into a block. 5. To consume, injure, or change the condition of, as if by action of fire or heat; to affect as fire or heat does; as, to burn the mouth with pepper. This tyrant fever burns me up. Shak. This dry sorrow burns up all my tears. Dryden. When the cold north wind bloweth, . . . it devoureth the mountains, and burneth the wilderness, and consumeth the Ecclus. xliii. 20, 21. 6. (Surg.)  To apply a cautery to; to cauterize. 7. (Chem.)  To cause to combine with oxygen or other active agent, with evolution of heat; to consume; to oxidize; as, a man burns a certain amount of carbon at each respiration; to burn iron in oxygen. To burn, To burn together, as two surfaces of metal (Engin.), to fuse and unite them by pouring over them a quantity of the same metal in a liquid state. -- To burn a bowl (Game of Bowls), to displace it accidentally, the bowl so displaced being said to be burned. -- To burn daylight, to light candles before it is dark; to waste time; to perform superfluous actions. Shak. -- To burn one's fingers, to get one's self into unexpected trouble, as by interfering the concerns of others, speculation, etc. -- To burn out, to destroy or obliterate by burning. \"Must you with hot irons burn out mine eyes\" Shak. -- To be burned out, to suffer loss by fire, as the burning of one's house, store, or shop, with the contents. -- To burn up, To burn down, to burn entirely.\n\n1. To be of fire; to flame. \"The mount burned with fire.\" Deut. ix. 15. 2. To suffer from, or be scorched by, an excess of heat. Your meat doth burn, quoth I. Shak. 3. To have a condition, quality, appearance, sensation, or emotion, as if on fire or excessively heated; to act or rage with destructive violence; to be in a state of lively emotion or strong desire; as, the face burns; to burn with fever. Did not our heart burn within us, while he talked with us by the way Luke xxiv. 32. The barge she sat in, like a burnished throne, Burned on the water. Shak. Burning with high hope. Byron. The groan still deepens, and the combat burns. Pope. The parching air Burns frore, and cold performs the effect of fire. Milton. 4. (Chem.)  To combine energetically, with evolution of heat; as, copper burns in chlorine. 5. In certain games, to approach near to a concealed object which is sought. [Colloq.] To burn out, to burn till the fuel is exhausted. -- To burn up, To burn down, to be entirely consumed.\n\n1. A hurt, injury, or effect caused by fire or excessive or intense heat. 2. The operation or result of burning or baking, as in brickmaking; as, they have a good burn. 3. A disease in vegetables. See Brand, n., 6.\n\nA small stream. [Scot.]
burnable |Combustible. Cotgrave.
burned |See Burnt.\n\nBurnished. [Obs.] Chaucer.
burner |1. One who, or that which, burns or sets fire to anything. 2. The part of a lamp, gas fixture, etc., where the flame is produced. Bunsen's burner (Chem.), a kind of burner, invented by Professor Bunsen of Heidelberg, consisting of a straight tube, four or five inches in length, having small holes for the entrance of air at the bottom. Illuminating gas being also admitted at the bottom, a mixture of gas and air is formed which burns at the top with a feebly luminous but intensely hot flame. -- Argand burner, Rose burner, etc. See under Argand, Rose, etc.
burnet |A genus of perennial herbs (Poterium); especially, P.Sanguisorba, the common, or garden, burnet. Burnet moth (Zoöl.), in England, a handsome moth (Zygæna filipendula), with crimson spots on the wings. -- Burnet saxifrage. (Bot.) See Saxifrage. -- Canadian burnet, a marsh plant (Poterium Canadensis). -- Great burnet, Wild burnet, Poterium (or Sanguisorba) oficinalis.
burnettize |To subject (wood, fabrics, etc.) to a process of saturation in a solution of chloride of zinc, to prevent decay; -- a process invented by Sir William Burnett.
burnie |A small brook. [Scot.] Burns.
burniebee |The ladybird. [Prov. Eng.]
burning |1. That burns; being on fire; excessively hot; fiery. 2. Consuming; intense; inflaming; exciting; vehement; powerful; as, burning zeal. Like a young hound upon a burning scent. Dryden. Burning bush (Bot.), an ornamental shrub (Euonymus atropurpureus), bearing a crimson berry.\n\nThe act of consuming by fire or heat, or of subjecting to the effect of fire or heat; the state of being on fire or excessively heated. Burning fluid, any volatile illuminating oil, as the lighter petroleums (naphtha, benzine), or oil of turpentine (camphine), but esp. a mixture of the latter with alcohol. -- Burning glass, a conxex lens of considerable size, used for producing an intense heat by converging the sun's rays to a focus. -- Burning house (Metal.), the furnace in which tin ores are calcined, to sublime the sulphur and arsenic from the pyrites. Weale. -- Burning mirror, a concave mirror, or a combination of plane mirrors, used for the same purpose as a burning glass. Syn. -- Combustion; fire; conflagration; flame; blaze.
burnish |To cause to shine; to make smooth and bright; to polish; specifically, to polish by rubbing with something hard and smooth; as, to burnish brass or paper. The frame of burnished steel, that east a glare From far, and seemed to thaw the freezing air. Dryden. Now the village windows blaze, Burnished by the setting sun. Cunningham. Burnishing machine, a machine for smoothing and polishing by compression, as in making paper collars.\n\nTo shine forth; to brighten; to become smooth and glossy, as from swelling or filling out; hence, to grow large. A slender poet must have time to grow, And spread and burnish as his brothers do. Dryden. My thoughts began to burnish, sprout, and swell. Herbert.\n\nThe effect of burnishing; gloss; brightness; luster. Crashaw.
burnisher |1. One who burnishes. 2. A tool with a hard, smooth, rounded end or surface, as of steel, ivory, or agate, used in smoothing or polishing by rubbing. It has a variety of forms adapted to special uses.
burnoose |1. A cloaklike garment and hood woven in one piece, worn by Arabs. 2. A combination cloak and hood worn by women. [Variously written bournous, bernouse, bornous, etc.]
burnous |1. A cloaklike garment and hood woven in one piece, worn by Arabs. 2. A combination cloak and hood worn by women. [Variously written bournous, bernouse, bornous, etc.]
burnstickle |A stickleback (Gasterosteus aculeatus).
burnt |Consumed with, or as with, fire; scorched or dried, as with fire or heat; baked or hardened in the fire or the sun. Burnt ear, a black, powdery fungus which destroys grain. See Smut. -- Burnt offering, something offered and burnt on an altar, as an atonement for sin; a sacrifice. The offerings of the Jews were a clean animal, as an ox, a calf, a goat, or a sheep; or some vegetable substance, as bread, or ears of wheat or barley. Called also burnt sacrifice. [2 Sam. xxiv. 22.]
burr |1. (Bot.)  Any rough or prickly envelope of the seeds of plants, whether a pericarp, a persistent calyx, or an involucre, as of the chestnut and burdock. Also, any weed which bears burs. Amongst rude burs and thistles. Milton. Bur and brake and brier. Tennyson. 2. The thin ridge left by a tool in cutting or shaping metal. See Burr, n., 2. 3. A ring of iron on a lance or spear. See Burr, n., 4. 4. The lobe of the ear. See Burr, n., 5. 5. The sweetbread. 6. A clinker; a partially vitrified brick. 7. (Mech.) (a) A small circular saw. (b) A triangular chisel. (c) A drill with a serrated head larger than the shank; -- used by dentists. 8. Etym: [Cf. Gael. borr, borra, a knob, bunch.] (Zoöl.)  The round knob of an antler next to a deer's head. [Commonly written burr.] Bur oak (Bot.), a useful and ornamental species of oak (Quercus macrocarpa) with ovoid acorns inclosed in deep cups imbricated with pointed scales. It grows in the Middle and Western United States, and its wood is tough, close-grained, and durable. -- Bur reed (Bot.), a plant of the genus Sparganium, having long ribbonlike leaves.\n\n1. A prickly seed vessel. See Bur, 1. 2. The thin edge or ridge left by a tool in cutting or shaping metal, as in turning, engraving, pressing, etc.; also, the rough neck left on a bullet in casting. The graver, in plowing furrows in the surface of the copper, raises corresponding ridges or burrs. Tomlinson. 3. A thin flat piece of metal, formed from a sheet by punching; a small washer put on the end of a rivet before it is swaged down. 4. A broad iron ring on a tilting lance just below the gripe, to prevent the hand from slipping. 5. The lobe or lap of the ear. 6. Etym: [Probably of imitative origin.]  A guttural pronounciation of the letter r, produced by trilling the extremity of the soft palate against the back part of the tongue; rotacism; -- often called the Newcastle, Northumberland, or Tweedside, burr. 7. The knot at the bottom of an antler. See Bur, n., 8.\n\nTo speak with burr; to make a hoarse or guttural murmur. Mrs. Browning.
burr millstone |See Buhrstone.
burrel |A sort of pear, called also the red butter pear, from its smooth, delicious, soft pulp.\n\nSame as Borrel.
burrel fly |The botfly or gadfly of cattle (Hypoderma bovis). See Gadfly.
burrel shot |A mixture of shot, nails, stones, pieces of old iron, etc., fired from a cannon at short range, in an emergency. [R.]
burrhel |The wild Himalayan, or blue, sheep (Ovis burrhel).
burring machine |A machine for cleansing wool of burs, seeds, and other substances.
burro |A donkey. [Southern U.S.]
burrock |A small weir or dam in a river to direct the stream to gaps where fish traps are placed. Knight.
burrow |1. An incorporated town. See 1st Borough. 2. A shelter; esp. a hole in the ground made by certain animals, as rabbits, for shelter and habitation. 3. (Mining)  A heap or heaps of rubbish or refuse. 4. A mound. See 3d Barrow, and Camp, n., 5.\n\n1. To excavate a hole to lodge in, as in the earth; to lodge in a hole excavated in the earth, as conies or rabbits. 2. To lodge, or take refuge, in any deep or concealed place; to hide. Sir, this vermin of court reporters, when they are forced into day upon one point, are sure to burrow in another. Burke. Burrowing owl (Zoöl.), a small owl of the western part of North America (Speotyto cunicularia), which lives in holes, often in company with the prairie dog.
burrower |One who, or that which, burrows; an animal that makes a hole under ground and lives in it.
burrstone |See Buhrstone.
burry |Abounding in burs, or containing burs; resembling burs; as, burry wool.
bursa |Any sac or saclike cavity; especially, one of the synovial sacs, or small spaces, often lined with synovial membrane, interposed between tendons and bony prominences.
bursal |Of or pertaining to a bursa or to bursæ.
bursar |1. A treasurer, or cash keeper; a purser; as, the bursar of a college, or of a monastery. 2. A student to whom a stipend or bursary is paid for his complete or partial support.
bursarship |The office of a bursar.
bursary |1. The treasury of a college or monastery. 2. A scholarship or charitable foundation in a university, as in scotland; a sum given to enable a student to pursue his studies. \"No woman of rank or fortune but would have a bursary in her gift.\" Southey.
bursch |A youth; especially, a student in a german university.
burschenschaft |In Germany, any of various associations of university students formed (the original one at Jena in 1815) to support liberal ideas, or the organization formed by the affiliation of the local bodies. The organization was suppressed by the government in 1819, but was secretly revived, and is now openly maintained as a social organization, the restrictive laws having been repealed prior to 1849. -- Bur\"schen*schaft`ler (#), -schaf`ter (#), n.
burse |1. A purse; also, a vesicle; a pod; a hull. [Obs.] Holland. 2. A fund or foundation for the maintenance of needy scholars in their studies; also, the sum given to the beneficiaries. [Scot.] 3. (Eccl.)  An ornamental case of hold the corporal when not in use. Shipley. 4. An exchange, for merchants and bankers, in the cities of continental Europe. Same as Bourse. 5. A kind of bazaar. [Obs.] She says she went to the burse for patterns. Old Play.
bursiculate |Bursiform.
bursiform |Shaped like a purse.
bursitis |Inflammation of a bursa.
burst |1. To fly apart or in pieces; of break open; to yield to force or pressure, especially to a sudden and violent exertion of force, or to pressure from within; to explode; as, the boiler had burst; the buds will burst in spring. From the egg that soon Bursting with kindly rupture, forth disclosed Their callow young. Milton. Note: Often used figuratively, as of the heart, in reference to a surcharge of passion, grief, desire, etc. No, no, my heart will burst, an if I speak: And I will speak, that so my heart may burst. Shak. 2. To exert force or pressure by which something is made suddenly to give way; to break through obstacles or limitations; hence, to appear suddenly and unexpecedly or unaccountably, or to depart in such manner; -- usually with some qualifying adverb or preposition, as forth, out, away, into, upon, through, etc. Tears, such as angels weep, burst forth. Milton. And now you burst (ah cruel!) from my arms. Pope. A resolved villain Whose bowels suddenly burst out. Shak. We were the first that ever burst Into that silent sea. Coleridge. To burst upon him like an earthquake. Goldsmith.\n\n1. To break or rend by violence, as by an overcharge or by strain or pressure, esp. from within; to force open suddenly; as, to burst a cannon; to burst a blood vessel; to burst open the doors. My breast I'll burst with straining of my courage. Shak. 2. To break. [Obs.] You will not pay for the glasses you have burst Shak. He burst his lance against the sand below. Fairfax (Tasso). 3. To produce as an effect of bursting; as, to burst a hole through the wall. Bursting charge. See under Charge.\n\n1. A sudden breaking forth; a violent rending; an explosion; as, a burst of thunder; a burst of applause; a burst of passion; a burst of inspiration. Bursts of fox-hunting melody. W. Irving. 2. Any brief, violent evertion or effort; a spurt; as, a burst of speed. 3. A sudden opening, as of landscape; a stretch; an expanse. [R.] \"A fine burst of country.\" Jane Austen. 4. A rupture of hernia; a breach.
bursten |p. p. of Burst, v. i. [Obs.]
burster |One that bursts.
burstwort |A plant (Herniaria glabra) supposed to be valuable for the cure of hernia or rupture.
burt |See Birt. [Prov. Eng.]
burthen |See Burden. [Archaic]
burton |A peculiar tackle, formed of two or more blocks, or pulleys, the weight being suspended of a hook block in the bight of the running part.
bury |1. A borough; a manor; as, the Bury of St. Edmond's; -- Note: used as a termination of names of places; as, Canterbury, Shrewsbury. 2. A manor house; a castle. [Prov. Eng.] To this very day, the chief house of a manor, or the lord's seat, is called bury, in some parts of England. Miege.\n\n1. To cover out of sight, either by heaping something over, or by placing within something, as earth, etc.; to conceal by covering; to hide; as, to bury coals in ashes; to bury the face in the hands. And all their confidence Under the weight of mountains buried deep. Milton. 2. Specifically: To cover out of sight, as the body of a deceased person, in a grave, a tomb, or the ocean; to deposit (a corpse) in its resting place, with funeral ceremonies; to inter; to inhume. Lord, suffer me first to go and bury my father. Matt. viii. 21. I'll bury thee in a triumphant grave. Shak. 3. To hide in oblivion; to put away finally; to abandon; as, to bury strife. Give me a bowl of wine In this I bury all unkindness, Cassius. Shak. Burying beetle (Zoöl.), the general name of many species of beetles, of the tribe Necrophaga; the sexton beetle; -- so called from their habit of burying small dead animals by digging away the earth beneath them. The larvæ feed upon decaying flesh, and are useful scavengers. -- To bury the hatchet, to lay aside the instruments of war, and make peace; -- a phrase used in allusion to the custom observed by the North American Indians, of burying a tomahawk when they conclude a peace. Syn. -- To intomb; inter; inhume; inurn; hide; cover; conceal; overwhelm; repress.
burying ground |The ground or place for burying the dead; burial place.
burying place |The ground or place for burying the dead; burial place.
bus |An omnibus. [Colloq.]
busby |A military headdress or cap, used in the British army. It is of fur, with a bag, of the same color as the facings of the regiment, hanging from the top over the right shoulder.
buscon |One who searches for ores; a prospector. [U.S.]
bush |1. A thicket, or place abounding in trees or shrubs; a wild forest. Note: This was the original sense of the word, as in the Dutch bosch, a wood, and was so used by Chaucer. In this sense it is extensively used in the British colonies, especially at the Cape of Good Hope, and also in Australia and Canada; as, to live or settle in the bush. 2. A shrub; esp., a shrub with branches rising from or near the root; a thick shrub or a cluster of shrubs. To bind a bush of thorns among sweet-smelling flowers. Gascoigne. 3. A shrub cut off, or a shrublike branch of a tree; as, bushes to support pea vines. 4. A shrub or branch, properly, a branch of ivy (as sacred to Bacchus), hung out at vintners' doors, or as a tavern sign; hence, a tavern sign, and symbolically, the tavern itself. If it be true that good wine needs no bush, 't is true that a good play needs no epilogue. Shak. 5. (Hunting)  The tail, or brush, of a fox. To beat about the bush, to approach anything in a round-about manner, instead of coming directly to it; -- a metaphor taken from hunting. -- Bush bean (Bot.), a variety of bean which is low and requires no support (Phaseolus vulgaris, variety nanus). See Bean, 1. -- Bush buck, or Bush goat (Zoöl.), a beautiful South African antelope (Tragelaphus sylvaticus); -- so called because found mainly in wooden localities. The name is also applied to other species. -- Bush cat (Zoöl.), the serval. See Serval. -- Bush chat (Zoöl.), a bird of the genus Pratincola, of the Thrush family. -- Bush dog. (Zoöl.) See Potto. -- Bush hammer. See Bushhammer in the Vocabulary. -- Bush harrow (Agric.) See under Harrow. -- Bush hog (Zoöl.), a South African wild hog (Potamochoerus Africanus); -- called also bush pig, and water hog. -- Bush master (Zoöl.), a venomous snake (Lachesis mutus) of Guinea; -- called also surucucu. -- Bush pea (Bot.), a variety of pea that needs to be bushed. -- Bush shrike (Zoöl.), a bird of the genus Thamnophilus, and allied genera; -- called also batarg. Many species inhabit tropical America. -- Bush tit (Zoöl.), a small bird of the genus Psaltriparus, allied to the titmouse. P. minimus inhabits California.\n\nTo branch thickly in the manner of a bush. \"The bushing alders.\" Pope.\n\n1. To set bushes for; to support with bushes; as, to bush peas. 2. To use a bush harrow on (land), for covering seeds sown; to harrow with a bush; as, to bush a piece of land; to bush seeds into the ground.\n\n1. (Mech.)  A lining for a hole to make it smaller; a thimble or ring of metal or wood inserted in a plate or other part of machinery to receive the wear of a pivot or arbor. Knight. Note: In the larger machines, such a piece is called a box, particularly in the United States. 2. (Gun.)  A piece of copper, screwed into a gun, through which the venthole is bored. Farrow.\n\nTo furnish with a bush, or lining; as, to bush a pivot hole.
bushboy |See Bushman.
bushel |1. A dry measure, containing four pecks, eight gallons, or thirty-two quarts. Note: The Winchester bushel, formerly used in England, contained 2150.42 cubic inches, being the volume of a cylinder 18 2. A vessel of the capacity of a bushel, used in measuring; a bushel measure. Is a candle brought to be put under a bushel, or under a bed, and not to be set on a candlestick Mark iv. 21. 3. A quantity that fills a bushel measure; as, a heap containing ten bushels of apples. Note: In the United States a large number of articles, bought and sold by the bushel, are measured by weighing, the number of pounds that make a bushel being determined by State law or by local custom. For some articles, as apples, potatoes, etc., heaped measure is required in measuring a bushel. 4. A large indefinite quantity. [Colloq.] The worthies of antiquity bought the rarest pictures with bushels of gold, without counting the weight or the number of the pieces. Dryden. 5. The iron lining in the nave of a wheel. [Eng.] In the United States it is called a box. See 4th Bush.
bushelage |A duty payable on commodities by the bushel. [Eng.]
bushelman |A tailor's assistant for repairing garments; -- called also busheler. [Local, U.S.]
bushet |A small bush.
bushfighter |One accustomed to bushfighting. Parkman.
bushfighting |Fighting in the bush, or from behind bushes, trees, or thickets.
bushhammer |A hammer with a head formed of a bundle of square bars, with pyramidal points, arranged in rows, or a solid head with a face cut into a number of rows of such points; -- used for dressing stone.\n\nTo dress with bushhammer; as, to bushhammer a block of granite.
bushido |The unwritten code of moral principles regulating the actions of the Japanese knighthood, or Samurai; the chivalry of Japan. Unformulated, Bushido was and still is the animating spirit, the motor force of our country. Inazo Nitobé.
bushiness |The condition or quality of being bushy.
bushing |1. The operation of fitting bushes, or linings, into holes or places where wear is to be received, or friction diminished, as pivot holes, etc. 2. (Mech.)  A bush or lining; -- sometimes called . See 4th Bush.
bushless |Free from bushes; bare. O'er the long backs of the bushless downs. Tennyson.
bushman |1. A woodsman; a settler in the bush. 2. (Ethnol.)  One of a race of South African nomads, living principally in the deserts, and not classified as allied in race or language to any other people.
bushment |1. A thicket; a cluster of bushes. [Obs.] Raleigh. 2. An ambuscade. [Obs.] Sir T. More.
bushranger |One who roams, or hides, among the bushes; especially, in Australia, an escaped criminal living in the bush.
bushwhacker |1. One accustomed to beat about, or travel through, bushes. [U.S.] They were gallant bushwhackers, and hunters of raccoons by moonlight. W. Irving. 2. A guerrilla; a marauding assassin; one who pretends to be a peaceful citizen, but secretly harasses a hostile force or its sympathizers. [U.S.] Farrow.
bushwhacking |1. Traveling, or working a way, through bushes; pulling by the bushes, as in hauling a boat along the bushy margin of a stream. [U.S.] T. Flint. 2. The crimes or warfare of bushwhackers. [U.S.]
bushy |1. Thick and spreading, like a bush. \"Bushy eyebrows.\" Irving. 2. Full of bushes; overgrowing with shrubs. Dingle, or bushy dell, of this wild wood. Milton.
busily |In a busy manner.
business |1. That which busies one, or that which engages the time, attention, or labor of any one, as his principal concern or interest, whether for a longer or shorter time; constant employment; regular occupation; as, the business of life; business before pleasure. Wist ye not that I must be about my Father's business Luke ii. 49. 2. Any particular occupation or employment engaged in for livelihood or gain, as agriculture, trade, art, or a profession. \"The business of instruction.\" Prescott. 3. Financial dealings; buying and selling; traffic in general; mercantile transactions. It seldom happens that men of a studious turn acquire any degree of reputation for their knowledge of business. Bp. Popteus. 4. That which one has to do or should do; special service, duty, or mission. The daughter of the King of France, On serious business, craving quick despatch, Importunes personal conference. Shak. What business has the tortoise among the clouds L'Estrange. 5. Affair; concern; matter; -- used in an indefinite sense, and modified by the connected words. It was a gentle business, and becoming The action of good women. Shak. Bestow Your needful counsel to our business. Shak. 6. (Drama)  The position, distribution, and order of persons and properties on the stage of a theater, as determined by the stage manager in rehearsal. 7. Care; anxiety; diligence. [Obs.] Chaucer. To do one's business, to ruin one. [Colloq.] Wycherley. -- To make (a thing) one's business, to occupy one's self with a thing as a special charge or duty. [Colloq.] -- To mean business, to be earnest. [Colloq.] Syn. -- Affairs; concern; transaction; matter; engagement; employment; calling; occupation; trade; profession; vocation; office; duty.
businesslike |In the manner of one transacting business wisely and by right methods.
busk |A thin, elastic strip of metal, whalebone, wood, or other material, worn in the front of a corset. Her long slit sleeves, stiff busk, puff verdingall, Is all that makes her thus angelical. Marston.\n\n1. To prepare; to make ready; to array; to dress. [Scot. & Old Eng.] Busk you, busk you, my bonny, bonny bride. Hamilton. 2. To go; to direct one's course. [Obs.] Ye might have busked you to Huntly banks. Skelton.
busked |Wearing a busk. Pollok.
busket |1. A small bush; also, a sprig or bouquet. [Obs.] Spenser. 2. A part of a garden devoted to shrubs. [R.]
buskin |1. A strong, protecting covering for the foot, coming some distance up the leg. The hunted red deer's undressed hide Their hairy buskins well supplied. Sir W. Scott. 2. A similar covering for the foot and leg, made with very thick soles, to give an appearance of elevation to the stature; -- worn by tragic actors in ancient Greece and Rome. Used as a symbol of tragedy, or the tragic drama, as distinguished from comedy. Great Fletcher never treads in buskins here, No greater Jonson dares in socks appear. Dryden.
buskined |1. Wearing buskins. Her buskined virgins traced the dewy lawn. Pope. 2. Trodden by buskins; pertaining to tragedy. \"The buskined stage.\" Milton.
busky |See Bosky, and 1st Bush, n. Shak.
buss |A kiss; a rude or playful kiss; a smack. Shak.\n\nTo kiss; esp. to kiss with a smack, or rudely. \"Nor bussed the milking maid.\" Tennyson. Kissing and bussing differ both in this, We buss our wantons, but our wives we kiss. Herrick.\n\nA small strong vessel with two masts and two cabins; -- used in the herring fishery. The Dutch whalers and herring busses. Macaulay.
bust |1. A piece of sculpture representing the upper part of the human figure, including the head, shoulders, and breast. Ambition sighed: she found it vain to trust The faithless column, and the crumbling bust. Pope. 2. The portion of the human figure included between the head and waist, whether in statuary or in the person; the chest or thorax; the upper part of the trunk of the body.
bustard |A bird of the genus Otis. Note: The great or bearded bustard (Otis tarda) is the largest game bird in Europe. It inhabits the temperate regions of Europe and Asia, and was formerly common in Great Britain. The little bustard (O. tetrax) inhabits eastern Europe and Morocco. Many other species are known in Asia and Africa.
buster |Something huge; a roistering blade; also, a spree. [Slang, U.S.] Bartlett.
bustle |To move noisily; to be rudely active; to move in a way to cause agitation or disturbance; as, to bustle through a crowd. And leave the world for me to bustle in. Shak.\n\nGreat stir; agitation; tumult from stirring or excitement. A strange bustle and disturbance in the world. South.\n\nA kind of pad or cushion worn on the back below the waist, by women, to give fullness to the skirts; -- called also bishop, and tournure.
bustler |An active, stirring person.
bustling |Agitated; noisy; tumultuous; characterized by confused activity; as, a bustling crowd. \"A bustling wharf.\" Hawthorne.
busto |A bust; a statue. With some antick bustoes in the niches. Ashmole.
busy |1. Engaged in some business; hard at work (either habitually or only for the time being); occupied with serious affairs; not idle nor at leisure; as, a busy merchant. Sir, my mistress sends you word THat she is busy, and she can not come. Shak. 2. Constantly at work; diligent; active. Busy hammers closing rivets up. Shak. Religious motives . . . are so busy in the heart. Addison. 3. Crowded with business or activities; -- said of places and times; as, a busy street. To-morrow is a busy day. Shak. 4. Officious; meddling; foolish active. On meddling monkey, or on busy ape. Shak. 5. Careful; anxious. [Obs.] Chaucer. Syn. -- Diligent; industrious; assiduous; active; occupied; engaged.\n\nTo make or keep busy; to employ; to engage or keep engaged; to occupy; as, to busy one's self with books. Be it thy course to busy giddy minds With foreign quarrels. Shak.
busybody |One who officiously concerns himself with the affairs of others; a meddling person. And not only idle, but tattlers also and busybodies, speaking things which they ought not. 1 Tim. v. 13.
but |1. Except with; unless with; without. [Obs.] So insolent that he could not go but either spurning equals or trampling on his inferiors. Fuller. Touch not the cat but a glove. Motto of the Mackintoshes. 2. Except; besides; save. Who can it be, ye gods! but perjured Lycon E. Smith. Note: In this sense, but is often used with other particles; as, but for, without, had it not been for. \"Uncreated but for love divine.\" Young. 3. Excepting or excluding the fact that; save that; were it not that; unless; -- elliptical, for but that. And but my noble Moor is true of mind . . . it were enough to put him to ill thinking. Shak. 4. Otherwise than that; that not; -- commonly, after a negative, with that. It cannot be but nature hath some director, of infinite power, to guide her in all her ways. Hooker. There is no question but the king of Spain will reform most of the abuses. Addison. 5. Only; solely; merely. Observe but how their own principles combat one another. Milton. If they kill us, we shall but die. 2 Kings vii. 4. A formidable man but to his friends. Dryden. 6. On the contrary; on the other hand; only; yet; still; however; nevertheless; more; further; -- as connective of sentences or clauses of a sentence, in a sense more or less exceptive or adversative; as, the House of Representatives passed the bill, but the Senate dissented; our wants are many, but quite of another kind. Now abideth faith hope, charity, these three; but the greatest of these is charity. 1 Cor. xiii. 13. When pride cometh, then cometh shame; but with the lowly is wisdom. Prov. xi. 2. All but. See under All. -- But and if, but if; an attempt on the part of King James's translators of the Bible to express the conjunctive and adversative force of the Greek But and if that servant say in his heart, My lord delayeth his coming; . . . the lord of that servant will come in a day when he looketh not for him. Luke xii. 45, 46. But if, unless. [Obs.] Chaucer. But this I read, that but if remedy Thou her afford, full shortly I her dead shall see. Spenser. Syn. -- But, However, Still. These conjunctions mark opposition in passing from one thought or topic to another. But marks the opposition with a medium degree of strength; as, this is not winter, but it is almost as cold; he requested my assistance, but I shall not aid him at present. However is weaker, and throws the opposition (as it were) into the background; as, this is not winter; it is, however, almost as cold; he required my assistance; at present, however, I shall not afford him aid. The plan, however, is still under consideration, and may yet be adopted. Still is stronger than but, and marks the opposition more emphatically; as, your arguments are weighty; still they do not convince me. See Except, However. Note: \"The chief error with but is to use it where and is enough; an error springing from the tendency to use strong words without sufficient occasio,.\" Bain.\n\nThe outer apartment or kitchen of a two-roomed house; -- opposed to ben, the inner room. [Scot.]\n\n1. A limit; a boundary. 2. The end; esp. the larger or thicker end, or the blunt, in distinction from the sharp, end. See 1st Butt. But end, the larger or thicker end; as, the but end of a log; the but end of a musket. See Butt, n.\n\nSee Butt, v., and Abut, v.\n\n1. A limit; a bound; a goal; the extreme bound; the end. Here is my journey's end, here my butt And very sea mark of my utmost sail. Shak. Note: As applied to land, the word is nearly synonymous with mete, and signifies properly the end line or boundary; the abuttal. 2. The thicker end of anything. See But. 3. A mark to be shot at; a target. Sir W. Scott. The groom his fellow groom at butts defies, And bends his bow, and levels with his eyes. Dryden. 4. A person at whom ridicule, jest, or contempt is directed; as, the butt of the company. I played a sentence or two at my butt, which I thought very smart. Addison. 5. A push, thrust, or sudden blow, given by the head of an animal; as, the butt of a ram. 6. A thrust in fencing. To prove who gave the fairer butt, John shows the chalk on Robert's coat. Prior. 7. A piece of land left unplowed at the end of a field. The hay was growing upon headlands and butts in cornfields. Burrill. 8. (Mech.) (a) A joint where the ends of two objects come squarely together without scrafing or chamfering; -- also called butt joint. (b) The end of a connecting rod or other like piece, to which the boxing is attached by the strap, cotter, and gib. (c) The portion of a half-coupling fastened to the end of a hose. 9. (Shipbuilding)  The joint where two planks in a strake meet. 10. (Carp.)  A kind of hinge used in hanging doors, etc.; -- so named because fastened on the edge of the door, which butts against the casing, instead of on its face, like the strap hinge; also called butt hinge. 11. (Leather Trade)  The thickest and stoutest part of tanned oxhides, used for soles of boots, harness, trunks. 12. The hut or shelter of the person who attends to the targets in rifle practice. Butt chain (Saddlery), a short chain attached to the end of a tug. -- Butt end. The thicker end of anything. See But end, under 2d But. Amen; and make me die a good old man! That's the butt end of a mother's blessing. Shak. A butt's length, the ordinary distance from the place of shooting to the butt, or mark. -- Butts and bounds (Conveyancing), abuttals and boundaries. In lands of the ordinary rectangular shape, butts are the lines at the ends (F. bouts), and bounds are those on the sides, or sidings, as they were formerly termed. Burrill. -- Bead and butt. See under Bead. -- Butt and butt, joining end to end without overlapping, as planks. -- Butt weld (Mech.), a butt joint, made by welding together the flat ends, or edges, of a piece of iron or steel, or of separate pieces, without having them overlap. See Weld. -- Full butt, headfirst with full force. [Colloq.] \"The corporal . . . ran full butt at the lieutenant.\" Marryat.
but-thorn |The common European starfish (Asterias rubens).
butane |An inflammable gaseous hydrocarbon, C4H10, of the marsh gas, or paraffin, series.
