cloture |See Closure, 5.
coalite |To unite or coalesce. [Obs.] Let them continue to coalite. Bolingbroke.\n\nTo cause to unite or coalesce. [Obs.] Time has by degrees blended . . . and coalited the conquered with the conquerors. Burke.
coalition |1. The act of coalescing; union into a body or mass, as of separate bodies or parts; as, a coalition of atoms. Bentley. 2. A combination, for temporary purposes, of persons, parties, or states, having different interests. A coalition of the puritan and the blackleg. J. Randolph. The coalition between the religious and worldly enemies of popery. Macaulay. Syn. -- Alliance; confederation; confederacy; league; combination; conjunction; conspiracy; union.
coalitioner |A coalitionist.
coalitionist |One who joins or promotes a coalition; one who advocates coalition.
coalmouse |A small species of titmouse, with a black head; the coletit.
coalpit |1. A pit where coal is dug. 2. A place where charcoal is made. [U. S.]
coalsack |Any one of the spaces in the Milky Way which are very black, owing to the nearly complete absence of stars; esp., the large space near the Southern Cross sometimes called the Black Magellanic Cloud.
coaltit |A small European titmouse (Parus ater), so named from its black color; -- called also coalmouse and colemouse.
coaly |Pertaining to, or resembling, coal; containing coal; of the nature of coal.
coamings |Raised pieces of wood of iron around a hatchway, skylight, or other opening in the deck, to prevent water from running bellow; esp. the fore-and-aft pieces of a hatchway frame as distinguished from the transverse head ledges. [Written also combings.]
coannex |To annex with something else.
coaptation |The adaptation or adjustment of parts to each other, as of a broken bone or dislocated joint.
coarct |1. To press together; to crowd; to straiten; to confine closely. [Obs.] Bacon. 2. To restrain; to confine. [Obs.] Ayliffe.
coarctate |1. To press together; to crowd; to straiten; to confine closely. [Obs.] Bacon. 2. To restrain; to confine. [Obs.] Ayliffe.\n\nPressed together; closely connected; -- applied to insects having the abdomen separated from the thorax only by a constriction. Coarctate pupa (Zoöl.), a pupa closely covered by the old larval skin, as in most Diptera.
coarctation |1. Confinement to a narrow space. [Obs.] Bacon. 2. Pressure; that which presses. [Obs.] Ray. 3. (Med.)  A stricture or narrowing, as of a canal, cavity, or orifice.
coarse |1. Large in bulk, or composed of large parts or particles; of inferior quality or appearance; not fine in material or close in texture; gross; thick; rough; -- opposed to fine; as, coarse sand; coarse thread; coarse cloth; coarse bread. 2. Not refined; rough; rude; unpolished; gross; indelicate; as, coarse manners; coarse language. I feel Of what coarse metal ye are molded. Shak. To copy, in my coarse English, his beautiful expressions. Dryden. Syn. -- Large; thick; rough; gross; blunt; uncouth; unpolished; inelegant; indelicate; vulgar.
coarse-grained |Having a coarse grain or texture, as wood; hence, wanting in refinement.
coarsely |In a coarse manner; roughly; rudely; inelegantly; uncivilly; meanly.
coarsen |To make coarse or vulgar; as, to coarsen one's character. [R.] Graham.
coarseness |The quality or state of being coarse; roughness; melegance; vulgarity; grossness; as, coarseness of food, texture, manners, or language. \"The coarseness of the sackcloth.\" Dr. H. More. Pardon the coarseness of the illustration. L'Estrange. A coarseness and vulgarity in all the proceedings. Burke.
coarticulation |The unoin or articulation of bones to form a joint.
coast |1. The side of a thing. [Obs.] Sir I. Newton. 2. The exterior line, limit, or border of a country; frontier border. [Obs.] From the river, the river Euphrates, even to the uttermost sea, shall your coast be. Deut. xi. 24. 3. The seashore, or land near it. He sees in English ships the Holland coast. Dryden. We the Arabian coast do know At distance, when the species blow. Waller. The coast is clear, the danger is over; no enemy in sight. Dryden. Fig.: There are no obstacles. \"Seeing that the coast was clear, Zelmane dismissed Musidorus.\" Sir P. Sidney. Coast guard. (a) A body of men originally employed along the coast to prevent smuggling; now, under the control of the admiralty, drilled as a naval reserve. [Eng.] (b) The force employed in lifesaving stations along the seacoast. [U. S.] -- Coast rat (Zoöl.), a South African mammal (Bathyergus suillus), about the size of a rabbit, remarkable for its extensive burrows; -- called also sand mole. -- Coast waiter, a customhouse officer who superintends the landing or shipping of goods for the coast trade. [Eng.]\n\n1. To draw or keep near; to approach. [Obs.] Anon she hears them chant it lustily, And all in haste she coasteth to the cry. Shak. 2. To sail by or near the shore. The ancients coasted only in their navigation. Arbuthnot. 3. To sail from port to port in the same country. 4. Etym: [Cf. OF. coste, F. côte, hill, hillside.]  To slide down hill; to slide on a sled, upon snow or ice. [Local, U. S.]\n\n1. To draw near to; to approach; to keep near, or by the side of. [Obs.] Hakluyt. 2. To sail by or near; to follow the coast line of. Nearchus, . . . not knowing the compass, was fain to coast that shore. Sir T. Browne. 3. To conduct along a coast or river bank. [Obs.] The Indians . . . coasted me along the river. Hakluyt.
coast and geodetic survey |A bureau of the United States government charged with the topographic and hydrographic survey of the coast and the execution of belts of primary triangulation and lines of precise leveling in the interior. It now belongs to the Department of Commerce and Labor.
coastal |Of or pertaining to a cast.
coaster |1. A vessel employed in sailing along a coast, or engaged in the coasting trade. 2. One who sails near the shore.
coasting |Sailing along or near a coast, or running between ports along a coast. Coasting trade, trade carried on by water between neighboring ports of the same country, as distinguished fron foreign trade or trade involving long voyages. -- Coasting vessel, a vessel employed in coasting; a coaster.\n\n1. A sailing along a coast, or from port to port; a carrying on a coasting trade. 2. Sliding down hill; sliding on a sled upon snow or ice. [Local, U. S.]
coastways |By way of, or along, the coast.
coastwise |By way of, or along, the coast.
coat |1. An outer garment fitting the upper part of the body; especially, such a garment worn by men. Let each His adamantine coat gird well. Milton. 2. A petticoat. [Obs.] \"A child in coats.\" Locke. 3. The habit or vesture of an order of men, indicating the order or office; cloth. Men of his coat should be minding their prayers. Swift. She was sought by spirits of richest coat. Shak. 4. An external covering like a garment, as fur, skin, wool, husk, or bark; as, the horses coats were sleek. Fruit of all kinds, in coat Rough or smooth rined, or bearded husk, or shell. Milton. 5. A layer of any substance covering another; a cover; a tegument; as, the coats of the eye; the coats of an onion; a coat of tar or varnish. 6. Same as Coat of arms. See below. Hark, countrymen! either renew the fight, Or tear the lions out of England's coat. Shak. 7. A coat card. See below. [Obs.] Here's a trick of discarded cards of us! We were ranked with coats as long as old master lived. Massinger. Coat armor. See under Armor. -- Coat of arms (Her.), a translation of the French cotte d'armes, a garment of light material worn over the armor in the 15th and 16th centuries. This was often charged with the heraldic bearings of the wearer. Hence, an heraldic achievement; the bearings of any person, taken together. -- Coat card, a card bearing a coated figure; the king, queen, or knave of playing cards. \"`I am a coat card indeed.' `Then thou must needs be a knave, for thou art neither king nor queen.'\" Rowley. -- Coat link, a pair of buttons or studs joined by a link, to hold together the lappels of a double-breasted coat; or a button with a loop for a single-breasted coat. -- Coat of mail, a defensive garment of chain mail. See Chain mail, under Chain. -- Mast coat (Naut.), a piece of canvas nailed around a mast, where it passes through the deck, to prevent water from getting below. -- Sail coat (Naut.), a canvas cover laced over furled sails, and the like, to keep them dry and clean.\n\n1. To cover with a coat or outer garment. 2. To cover with a layer of any substance; as, to coat a jar with tin foil; to coat a ceiling.
coatee |A coat with short flaps.
coati |A mammal of tropical America of the genus Nasua, allied to the raccoon, but with a longer body, tail, and nose. Note: The red coati (N. socialis), called also coati mondi, inhabits Mexico and Central America. The brown coati (N. narica) is found in Surinam and Brazil.
coating |1. A coat or covering; a layer of any substance, as a cover or protection; as, the coating of a retort or vial. 2. Cloth for coats; as, an assortment of coatings.
coatless |Not wearing a coat; also, not possessing a coat.
coax |To persuade by gentle, insinuating courtesy, flattering, or fondling; to wheedle; to soothe. Syn. -- To wheedle; cajole; flatter; persuade; entice.\n\nA simpleton; a dupe. [Obs.] Beau & Fl.
coaxation |The act of croaking. [R] Dr. H. More.
coaxer |One who coaxes.
coaxingly |In a coaxing manner; by coaxing.
cob |1. The top or head of anything. [Obs.] W. Gifford. 2. A leader or chief; a conspicuous person, esp. a rich covetous person. [Obs.] All cobbing country chuffs, which make their bellies and their bags their god, are called rich cobs. Nash. 3. The axis on which the kernels of maize or indian corn grow. [U. S.] 4. (Zoöl.)  A spider; perhaps from its shape; it being round like a head. 5. (Zoöl.)  A young herring. B. Jonson. 6. (Zoöl.)  A fish; -- also called miller's thumb. 7. A short-legged and stout horse, esp. one used for the saddle. [Eng.] 8. (Zoöl.)  A sea mew or gull; esp., the black-backed gull (Larus marinus). [Written also cobb.] 9. A lump or piece of anything, usually of a somewhat large size, as of coal, or stone. 10. A cobnut; as, Kentish cobs. See Cobnut. [Eng.] 11. Clay mixed with straw. [Prov. Eng.] The poor cottager contenteth himself with cob for his walls, and thatch for his covering. R. Carew. 12. A punishment consisting of blows inflicted on the buttocks with a strap or a flat piece of wood. Wright. 13. A Spanish coin formerly current in Ireland, worth abiut 4s. 6d. [Obs.] Wright. Cob coal, coal in rounded lumps from the size of an egg to that of a football; -- called also cobbles. Grose. -- Cob loaf, a crusty, uneven loaf, rounded at top. Wright. -- Cob money, a kind of rudely coined gold and silver money of Spanish South America in the eighteenth century. The coins were of the weight of the piece of eight, or one of its aliquot parts.\n\n1. To strike [Prov. Eng.] Halliwell. 2. (Mining)  To break into small pieces, as ore, so as to sort out its better portions. Raymond. 3. (Naut.)  To punish by striking on the buttocks with a strap, a flat piece of wood, or the like.
cobaea |A genus of climbing plants, native of Mexico and South America. C. scandens is a consrvatory climber with large bell-shaped flowers.
cobalt |1. (Chem.)  A tough, lustrous, reddish white metal of the iron group, not easily fusible, and somewhat magnetic. Atomic weight 59.1. Symbol Co. Note: It occurs in nature in combination with arsenic, sulphur, and oxygen, and is obtained from its ores, smaltite, cobaltite, asbolite, etc. Its oxide colors glass or any flux, as borax, a fine blue, and is used in the manufacture of smalt. It is frequently associated with nickel, and both are characteristic ingredients of meteoric iron. 2. A commercial name of a crude arsenic used as fly poison. Cobalt bloom. Same as Erythrite. -- Cobalt blue, a dark blue pigment consisting of some salt of cobalt, as the phosphate, ignited with alumina; -- called also cobalt ultramarine, and Thenard's blue. -- Cobalt crust, earthy arseniate of cobalt. -- Cobalt glance. (Min.) See Cobaltite. -- Cobalt green, a pigment consisting essentially of the oxides of cobalt and zinc; -- called also Rinman's green. -- Cobalt yellow (Chem.), a yellow crystalline powder, regarded as a double nitrite of cobalt and potassium.
cobaltic |Pertaining to, derived from, or containing, cobalt; -- said especially of those compounds in which cobalt has higher valence; as, cobaltic oxide. Luteo-cobaltic compounds (Chem.), an extensive series of complex yellow compounds of ammonia and cobaltic salts. -- Roseo-cobaltic compounds (Chem.), an extensive series of complex red compounds of cobalt and ammonia. Modifications of these are the purpureo-cobaltic compounds.
cobaltiferous |Containing cobalt.
cobaltine |A mineral of a nearly silver-white color, composed of arsenic, sulphur, and cobalt.
cobaltite |A mineral of a nearly silver-white color, composed of arsenic, sulphur, and cobalt.
cobaltous |Pertaining to, derived from, or containing, cobalt; -- said esp. of cobalt compounds in which the metal has its lower valence. Cobaltous chloride, a crystalline compound, CoCl2, of a pale rose color when hydrous, blue when dehydrated. Its solution is used for a sympathetic ink, the writing being nearly colorless when dried in the air, owing to absorbed moisture, and becoming bright blue when warmed.
cobbing |Haughty; purse-proud. See Cob, n., 2. [Obs.] Withals (1608).
cobble |A fishing boat. See Coble.\n\n1. A cobblestone. \"Their slings held cobbles round.\" Fairfax. 2. pl.  Cob coal. See under Cob.\n\n1. To make or mend coarsely; to patch; to botch; as, to cobble shoes. Shak. \"A cobbled saddle.\" Thackeray. 2. To make clumsily. \"Cobbled rhymes.\" Dryden. 3. To pave with cobblestones.
cobbler |1. A mender of shoes. Addison. 2. A clumsy workman. Shak. 3. A beverage. See Sherry cobbler, under Sherry. Cobbler fish (Zoöl.), a marine fish (Blepharis crinitus) of the Atlantic. The name alludes to its threadlike fin rays.
cobblestone |A large pebble; a rounded stone not too large to be handled; a small boulder; -- used for paving streets and for other purposes.
cobby |1. Headstrong; obstinate. [Obs.] Brockett. 2. Stout; hearty; lively. [Obs.]
cobelligerent |Carryng on war in conjunction with another power.\n\nA nation or state that carries on war in connection with another.
cobia |An oceanic fish of large size (Elacate canada); the crabeater; -- called also bonito, cubbyyew, coalfish, and sergeant fish.
cobiron |An andiron with a knob at the top. Bacon.
cobishop |A joint or coadjutant bishop. Ayliffe.
coble |A flat-floored fishing boat with a lug sail, and a drop rudder extending from two to four feet below the keel. It was originally used on the stormy coast of Yorkshire, England.
cobnut |1. (Com.)  A large roundish variety of the cultivated hazelnut. 2. A game played by children with nuts.
coboose |See Caboose.
cobourg |A thin worsted fabric for women's dresses.
cobra |See Copra.\n\nThe cobra de capello.
cobra de capello |The hooded snake (Naia tripudians), a highly venomous serpent inhabiting India.
cobstone |Cobblestone. [Prov. Eng.]
cobswan |A large swan. B. Jonson.
cobwall |A wall made of clay mixed with straw.
cobweb |1. The network spread by a spider to catch its prey. 2. A snare of insidious meshes designed to catch the ignorant and unwary. I can not but lament thy splendid wit Entangled in the cobwebs of the schools. Cowper. 3. That which is thin and unsubstantial, or flimsy and worthless; rubbish. The dust and cobwebs of that uncivil age. Sir P. Sidney. 4. (Zoöl.)  The European spotted flycatcher. Cobweb lawn, a fine linen, mentioned in 1640 as being in pieces of fifteen yards. Beck. Draper's Dict. Such a proud piece of cobweb lawn. Beau. & Fl. Cobweb micrometer, a micrometer in which threads of cobwed are substituted for wires.
cobwebbed |Abounding in cobwebs. \"The cobwebbed cottage.\" Young.
cobwebby |Abounding in cobwebs, or any fine web; resembling a cobweb.
cobwork |Built of logs, etc., laid horizontally, with the ends dovetailed together at the corners, as in a log house; in marine work, often surrounding a central space filled with stones; as, a cobwork dock or breakwater.
coca |The dried leaf of a South American shrub (Erythroxylon Coca). In med., called Erythroxylon. Note: Coca leaves resemble tea leaves in size, shape, and odor, and are chewed (with an alkali) by natives of Peru and Bolivia to impart vigor in prolonged exertion, or to sustain strength in absence of food. Mexican coca, an American herb (Richardsonia scabra), yielding a nutritious fodder. Its roots are used as a substitute for ipecacuanha.
cocagne |1. An imaginary country of idleness and luxury. 2. The land of cockneys; cockneydom; -- a term applied to London and its suburbs. Smart.
cocaine |A powerful alkaloid, C17H21NO4, obtained from the leaves of coca. It is a bitter, white, crystalline substance, and is remarkable for producing local insensibility to pain.
cocainism |A morbid condition produced by the habitual and excessive use of cocaine. -- Co*ca\"in*ist, n.
cocainize |To treat or anæsthetize with cocaine. -- Co*ca`in*i*za\"tion (#), n.
cocciferous |Bearing or producing berries; bacciferous; as, cocciferrous trees or plants.
coccinella |A genus of small beetles of many species. They and their larvæ feed on aphids or plant lice, and hence are of great benefit to man. Also called ladybirds and ladybugs.
coccobacterium |One of the round variety of bacteria, a vegetable organism, generally less than a thousandth of a millimeter in diameter.
coccolite |A granular variety of pyroxene, green or white in color.
coccolith |One of a kind of minute, calcareous bodies, probably vegetable, often abundant in deep-sea mud.
coccosphere |A small, rounded, marine organism, capable of braking up into coccoliths.
coccosteus |An extinct genus of Devonian ganoid fishes, having the broad plates about the head studded with berrylike tubercles.
cocculus indicus |The fruit or berry of the Anamirta Cocculus, a climbing plant of the East Indies. It is a poisonous narcotic and stimulant.
coccus |1. (Bot.)  One of the separable carpels of a dry fruit. 2. (Zoöl.)  A genus of hemipterous insects, including scale insects, and the cochineal insect (Coccus cacti). 3. (Biol.)  A form of bacteria, shaped like a globule.
coccygeal |Of or pertaining to the coccyx; as, the coccygeal vertebræ. Coccygeal glands (Zoöl.) , glands situated at the base of the tail of birds. They secrete the oil with which the plumage is dressed.
coccygeous |Coccygeal. [R.]
coccyx |The end of the vertebral column beyond the sacrum in man and tailless monkeys. It is composed of several vertebræ more or less consolidated.
cochin fowl |A large variety of the domestic fowl, originally from Cochin China (Anam).
cochineal |A dyestuff consisting of the dried bodies of females of the Coccus cacti, an insect native in Mexico, Central America, etc., and found on several species of cactus, esp. Opuntia cochinellifera. Note: These insects are gathered from the plant, killed by the application of heat, and exposed to the sun to dry. When dried they resemble small, rough berries or seeds, of a brown or purple color, and form the cochineal of the shops, which is used for making carmine, and also as a red dye. Note: Cochineal contains as its essential coloring matter carminic acid, a purple red amorphous substance which yields carmine red.
cochineal fig |A plant of Central and Southern Anerica, of the Cactus familly, extensively cultivated for the sake of the cochineal insect, which lives on it.
cochlea |An appendage of the labyrinth of the internal ear, which is elongated and coiled into a spiral in mammals. See Ear.
cochlear |Of or pertaining to the cochlea.
cochleare |1. A spoon. Andrews. 2. (Med)  A spoonful. Dungleson.
cochleariform |Spoon-shaped.
cochleary |Same as Cochleate.
cochleate |Having the form of a snail shell; spiral; turbinated.
cochleated |Having the form of a snail shell; spiral; turbinated.
cock |1. The male of birds, particulary of gallinaceous or domestic fowls. 2. A vane in the shape of a cock; a weathercock. Drenched our steeples, drowned the cocks! Shak. 3. A chief man; a leader or master. [Humorous] Sir Andrew is the cock of the club, since he left us. Addison. 4. The crow of a cock, esp. the first crow in the morning; cockcrow. [Obs.] He begins at curfew, and walks till the first cock. Shak. 5. A faucet or valve. Note: Jonsons says, \"The handly probably had a cock on the top; things that were contrived to turn seem anciently to have had that form, whatever was the reason.\" Skinner says, because it used to be constructed in forma critæ galli, i.e., in the form of a cock's comb. 6. The style of gnomon of a dial. Chambers. 7. The indicator of a balance. Johnson. 8. The bridge piece which affords a bearing for the pivot of a balance in a clock or watch. Knight. Ball cock. See under Ball. -- Chaparral cock. See under Chaparral. -- Cock and bull story, an extravagant, boastful story; a canard. -- Cock of the plains (Zoöl.) See Sage cock. -- Cock of the rock (Zoöl.), a South American bird (Rupicola aurantia) having a beautiful crest. -- Cock of the walk, a chief or master; the hero of the hour; one who has overcrowed, or got the better of, rivals or competitors. -- Cock of the woods. See Capercailzie.\n\n1. To set erect; to turn up. Our Lightfoot barks, and cocks his ears. Gay. Dick would cock his nose in scorn. Swift. 2. To shape, as a hat, by turning up the brim. 3. To set on one side in a pert or jaunty manner. They cocked their hats in each other's faces. Macaulay. 4. To turn (the eye) obliquely and partially close its lid, as an expression of derision or insinuation. Cocked hat. (a) A hat with large, stiff flaps turned up to a peaked crown, thus making its form triangular; -- called also three-cornered hat. (b) A game similar to ninepins, except that only three pins are used, which are set up at the angles of a triangle.\n\nTo strut; to swagger; to look big, pert, or menacing. Addison.\n\nThe act of cocking; also, the turn so given; as, a cock of the eyes; to give a hat a saucy cock.\n\n1. The notch of an arrow or crossbow. 2. The hammer in the lock of a firearm. At cock, At full cock, with the hammer raised and ready to fire; -- said of firearms, also, jocularly, of one prepared for instant action. -- At half cock. See under Half. -- Cock feather (Archery), the feather of an arrow at right angles to the direction of the cock or notch. Nares.\n\nTo draw the hammer of (a firearm) fully back and set it for firing.\n\nTo draw back the hammer of a firearm, and set it for firing. Cocked, fired, and missed his man. Byron.\n\nA small concial pile of hay.\n\nTo put into cocks or heaps, as hay. Under the cocked hay. Spenser.\n\nA small boat. Yond tall anchoring bark [appears] Diminished to her cock; her cock, a buoy Almost too small for sight. Shak.\n\nA corruption or disguise of the word God, used in oaths. [Obs.] \"By cock and pie.\" Shak.
cock-a-hoop |Boastful; defiant; exulting. Also used adverbially.
cock-brained |Giddy; rash. Milton.
cock-paddle |See Lumpfish. [Scot.]
cock-padle |See Lumpfish. [Scot.]
cockade |A badge, usually in the form of a rosette, or knot, and generally worn upon the hat; -- used as an indication of military or naval service, or party allegiance, and in England as a part of the livery to indicate that the wearer is the servant of a military or naval officer. Seduced by military liveries and cockades. Burke.
cockaded |Wearing a cockade. Young.
cockal |1. A game played with sheep's bones instead of dice [Obs.] 2. The bone used in playing the game; -- called also huckle bone. [Obs.] Nares. A little transverse bone Which boys and bruckeled children call (Playing for points and pins) cockal. Herrick.
cockaleekie |A favorite soup in Scotland, made from a capon highly seasoned, and boiled with leeks and prunes.
cockamaroo |The Russian variety of bagatelle.
cockateel |An Australian parrot (Calopsitta Novæ-Hollandiæ); -- so called from its note.
cockatoo |A bird of the Parrot family, of the subfamily Cacatuinæ, having a short, strong, and much curved beak, and the head ornamented with a crest, which can be raised or depressed at will. There are several genera and many species; as the broad-crested (Plictolophus, or Cacatua, cristatus), the sulphur-crested (P. galeritus), etc. The palm or great black cockatoo of Australia is Microglossus aterrimus. Cock\"a*trice, n. Etym: [OF. cocatrice crocodile, F. cocatrix, cocatrice. The word is a corruption from the same source as E. crocodile, but was confused with cock the bird, F. coq, whence arose the fable that the animal was produced from a cock's egg. See Crocodile.] 1. A fabulous serpent whose breath and look were said to be fatal. See Basilisk. That bare vowel, I, shall poison more Than the death-darting eye of cockatrice. Shak. 2. (Her.)  A representation of this serpent. It has the head, wings, and legs of a bird, and tail of a serpent. 3. (Script.)  A venomous serpent which which cannot now be identified. The weaned child shall put his hand on the cockatrice's Note: [Rev. Ver. basilisk's] den. Is. xi. 8. 4. Any venomous or deadly thing. This little cockatrice of a king. Bacon.
cockatrice |1. A fabulous serpent whose breath and look were said to be fatal. See Basilisk. That bare vowel, I, shall poison more Than the death-darting eye of cockatrice. Shak. 2. (Her.) A representation of this serpent. It has the head, wings, and legs of a bird, and tail of a serpent. 3. (Script.) A venomous serpent which which cannot now be identified. The weaned child shall put his hand on the cockatrice's [Rev. Ver. basilisk's] den. Is. xi. 8. 4. Any venomous or deadly thing. This little cockatrice of a king. Bacon.
cockbill |To tilt up one end of so as to make almost vertical; as, to cockbill the yards as a sign of mourning. To cockbill the anchor, to suspend it from the cathead preparatory to letting it go. See Acockbill.
cockboat |A small boat, esp. one used on rivers or near the shore.
cockchafer |A beetle of the genus Melolontha (esp. M. vulgaris) and allied genera; -- called also May bug, chafer, or dorbeetle.
cockcrow |The time at which cooks first crow; the early morning.
cockcrowing |The time at which cooks first crow; the early morning.
cocker |Th treat with too great tenderness; to fondle; to indulge; to pamper. Cocker thy child and he shall make thee afraid. Ecclesiasticus xxx. 9. Poor folks cannot afford to cocker themselves up. J. Ingelow.\n\n1. One given to cockfighting. [Obs.] Steele. 2. (Zoöl.)  A small dog of the spaniel kind, used for starting up woodcocks, etc.\n\nA rustic high shoe or half-boots. [Obs.] Drayton.
cocker spaniel |One of a breed of small or medium-sized spaniels kept for hunting or retrieving game or for household pets. They usually weigh from eighteen to twenty-eight pounds. They have the head of fair length, with square muzzle, the ears long and set low, the legs short or of medium length, and the coat fine and silky, wavy but not curly. Various colors are bred, as black, liver, red, black and white, black and tan, etc.
cockerel |A young cock.
cocket |Pert; saucy. [Obs.] Halliwell.\n\n1. (Eng. Law)  A customhouse seal; a certified document given to a shopper as a warrant that his goods have been duly enstered and have paid duty. 2. An office in a customhouse where goods intended for export are entered. [Eng.] 3. A measure for bread. [Obs.] Blount.
cockeye |A squinting eye. Forby.\n\nThe socket in the ball of a millstone, which sits on the cockhead.
cockfight |A match or contest of gamecocks.
cockfighting |The act or practice of pitting gamecocks to fight.\n\nAddicted to cockfighting.
cockhead |The rounded or pointed top of a grinding mill spindle, forming a pivot on which the stone is balanced.
cockhorse |1. A child's rocking-horse. Ride a cockhorse to Banbury cross. Mother Goose. 2. A high or tall horse. [R.]\n\n1. Lifted up, as one is on a tall horse. 2. Lofty in feeling; exultant; pround; upstart. Our painted fools and cockhorse peasantry. Marlowe.
cockieleekie |Same as Cockaleekie.
cocking |Cockfighting. Ben Jonson.
cockle |1. (Zoöl.)  A bivalve mollusk, with radiating ribs, of the genus Cardium, especially C. edule, used in Europe for food; -- sometimes applied to similar shells of other genera. 2. A cockleshell. 3. The mineral black tourmaline or schorl; -- so called by the Cornish miners. Raymond. 4. The fire chamber of a furnace. [Eng.] Knight. 5. A hop-drying kiln; an oast. Knight. 6. The dome of a heating furnace. Knight. Cockle hat, a hat ornamented with a cockleshell, the badge of a pilgrim. Shak. -- Cockle stairs, winding or spiral stairs.\n\nTo cause to contract into wrinkles or ridges, as some kinds of cloth after a wetting. Cockling sea, waves dashing against each other with a short and quick motion. Ham. Nav. Encyc.\n\n(a) A plant or weed that grows among grain; the corn rose (Luchnis Githage). (b) The Lotium, or darnel.
cocklebur |A coarse, composite weed, having a rough or prickly fruit; one of several species of the genus Xanthium; -- called also clotbur.
cockled |Inclosed in a shell. The tender horns of cockled snails. Shak.\n\nWrinkled; puckered. Showers soon drench the camlet's cockled grain. Gay.
cockler |One who takes and sells cockles.
cockleshell |1. One of the shells or valves of a cockle. 2. A light boat. To board the cockleshell in those plunding waters. W. Black.
cockloft |An upper loft; a garret; the highest room in a building. Dryden. Swift.
cockmaster |One who breeds gamecocks. L'Estrange.
cockmatch |A cockfight.
cockney |1. An effeminate person; a spoilt child. \"A young heir or cockney, that is his mother's darling.\" Nash (1592). This great lubber, the world, will prove a cockney. Shak. 2. A native or resident of the city of London; -- used contemptuosly. A cockney in a rural village was stared at as much as if he had entered a kraal of Hottentots. Macaulay.\n\nOf or relating to, or like, cockneys.
cockneydom |The region or home of cockneys; cockneys, collectively. Thackeray.
cockneyfy |To form with the manners or character of a cockney. [Colloq.]
cockneyish |Characteristic of, or resembling, cockneys.
cockneyism |The charasteristics, manners, or dialect, of a cockney.
cockpit |1. A pit, or inclosed area, for cockfights. Henry the Eight had built . . . a cockpit. Macaulay. 2. The Privy Council room at Westminster; -- so called because built on the site of the cockpit of Whitehall palace. Brande & C. 3. (Naut.) (a) That part of a war vessel appropriated to the wounded during an engagement. (b) In yachts and other small vessels, a space lower than the rest of the deck, which affords easy access to the cabin.
cockroach |An orthopterus insect of the genus Blatta, and allied genera. Note: The species are numerous, especially in hot countries. Those most commonly infesting houses in Europe and North America are Blatta orientalis, a large species often called black beetle, and the Croton bug (Ectobia Germanica).
cockscomb |1. See Coxcomb. 2. (Bot.)  A plant (Celosia cristata), of many varieties, cultivated for its broad, fantastic spikes of brilliant flowers; -- sometimes called garden cockscomb. Also the Pedicularis, or lousewort, the Rhinanthus Crista-galli, and the Onobrychis Crista-galli.
cockshead |(Bot.) A leguminous herb (Onobrychis Caput-galli), having small spiny-crested pods.
cockshut |A kind of net to catch woodcock. [Obs.] Nares. Cockshut time or light, evening twilight; nightfall; -- so called in allusion to the tome at which the cockshut used to be spread. [Obs.] Shak. B. Jonson.
cockshy |1. A game in which trinkets are set upon sticks, to be thrown at by the players; -- so called from an ancient popular sport which consisted in \"shying\" or throwing cudgels at live cocks. 2. An object at which stones are flung. \"Making a cockshy of him,\" replied the hideous small boy. Dickens.
cockspur |A variety of Cratægus, or hawthorn (C. Crus-galli), having long, straight thorns; -- called also Cockspur thorn.
cocksure |1. Perfectly safe. [Obs.] We steal as in a castle, cocksure: . . . we walk invisible. Shak. 2. Quite certain. [Colloq.] I throught myself cocksure of the horse which he readily promised me. Pope.
cockswain |The steersman of a boat; a petty officer who has charge of a boat and its crew.
cocktail |1. A beverage made of brandy, whisky, or gin, iced, flavored, and sweetened. [U. S.] 2. (Stock Breeding)  A horse, not of pure breed, but having only one eighth or one sixteenth impure blood in his veins. Darwin. 3. A mean, half-hearted fellow; a coward. [Slang, Eng.] It was in the second affair that poor little Barney showed he was a cocktail. Thackeray. 4. (Zoöl.)  A species of rove beetle; -- so called from its habit of elevating the tail.
cockup |A large, highly esteemed, edible fish of India (Lates calcarifer); -- also called begti.
cockweed |Peppergrass. Johnson.
cocky |Pert. [Slang]
cockyolly bird |A pet name for any small bird.
cockyoly bird |A pet name for any small bird.
coco |See Cocoa.
coco palm |See Cocoa.
cocoa |A palm tree producing the cocoanut (Cocos nucifera). It grows in nearly all tropical countries, attaining a height of sixty or eighty feet. The trunk is without branches, and has a tuft of leaves at the top, each being fifteen or twenty feet in length, and at the base of these the nuts hang in clusters; the cocoanut tree.\n\nA preparation made from the seeds of the chocolate tree, and used in making, a beverage; also the beverage made from cocoa or cocoa shells. Cocoa shells, the husks which separate from the cacao seeds in preparing them for use.
cocoa palm |A palm tree producing the cocoanut (Cocos nucifera). It grows in nearly all tropical countries, attaining a height of sixty or eighty feet. The trunk is without branches, and has a tuft of leaves at the top, each being fifteen or twenty feet in length, and at the base of these the nuts hang in clusters; the cocoanut tree.
cocoanut |The large, hard-shelled nut of the cocoa palm. It yields an agreeable milky liquid and a white meat or albumen much used as food and in making oil.
cocobolas |A very beautiful and hard wood, obtained in the West India Islands. It is used in cabinetmaking, for the handles of tools, and for various fancy articles.
cocobolo |A very beautiful and hard wood, obtained in the West India Islands. It is used in cabinetmaking, for the handles of tools, and for various fancy articles.
