drunkship |The state of being drunk; drunkenness. [Obs.] Gower.
dummy |1. Silent; mute; noiseless; as a dummy engine. 2. Fictitious or sham; feigned; as, a dummy watch. Dummy car. See under Car.\n\n1. One who is dumb. H. Smith. 2. A sham package in a shop, or one which does not contain what its exterior indicates. 3. An imitation or copy of something, to be used as a substitute; a model; a lay figure; as, a figure on which clothing is exhibited in shop windows; a blank paper copy used to show the size of the future book, etc. 4. (Drama)  One who plays a merely nominal part in any action; a sham character. 5. A thick-witted person; a dolt. [Colloq.] 6. (Railroad)  A locomotive with condensing engines, and, hence, without the noise of escaping steam; also, a dummy car. 7. (Card Playing)  The fourth or exposed hand when three persons play at a four- handed game of cards. 8. A floating barge connected with a pier. Knight. To play dummy, to play the exposed or dummy hand in cards. The partner of the dummy plays it.
dumose |1. Abounding with bushes and briers. 2. (Bot.)  Having a compact, bushy form.
dumous |1. Abounding with bushes and briers. 2. (Bot.)  Having a compact, bushy form.
dump |A thick, ill-shapen piece; a clumsy leaden counter used by boys in playing chuck farthing. [Eng.] Smart.\n\n1. A dull, gloomy state of the mind; sadness; melancholy; low spirits; despondency; ill humor; -- now used only in the plural. March slowly on in solemn dump. Hudibras. Doleful dumps the mind oppress. Shak. I was musing in the midst of my dumps. Bunyan. Note: The ludicrous associations now attached to this word did not originally belong to it. \"Holland's translation of Livy represents the Romans as being `in the dumps' after the battle of Cannæ.\" Trench. 2. Absence of mind; revery. Locke. 3. A melancholy strain or tune in music; any tune. [Obs.] \"Tune a deploring dump.\" \"Play me some merry dump.\" Shak. 4. An old kind of dance. [Obs.] Nares.\n\n1. To knock heavily; to stump. [Prov. Eng.] Halliwell. 2. To put or throw down with more or less of violence; hence, to unload from a cart by tilting it; as, to dump sand, coal, etc. [U.S.] Bartlett. Dumping car or cart, a railway car, or a cart, the body of which can be tilted to empty the contents; -- called also dump car, or dump cart.\n\n1. A car or boat for dumping refuse, etc. 2. A ground or place for dumping ashes, refuse, etc. 3. That which is dumped. 4. (Mining)  A pile of ore or rock.
dumpage |1. The act of dumping loads from carts, especially loads of refuse matter; also, a heap of dumped matter. 2. A fee paid for the privilege of dumping loads.
dumpiness |The state of being dumpy.
dumpish |Dull; stupid; sad; moping; melancholy. \" A . . . dumpish and sour life.\" Lord Herbert. -- Dump\"ish*ly, adv. -- Dump\"ish*ness, n.
dumple |To make dumpy; to fold, or bend, as one part over another. [R.] He was a little man, dumpled up together. Sir W. Scott.
dumpling |A roundish mass of dough boiled in soup, or as a sort of pudding; often, a cover of paste inclosing an apple or other fruit, and boiled or baked; as, an apple dumpling.
dumpy |1. From Dump a short ill-shapen piece. 2. From Dump sadness.] 1. Short and thick; of low stature and disproportionately stout. 2. Sullen or discontented. [Prov. Eng.] Halliwell.
dumpy level |A level having a short telescope (hence its name) rigidly fixed to a table capable only of rotatory movement in a horizontal plane. The telescope is usually an inverting one. It is sometimes called the Troughton level, from the name of the inventor, and a variety improved by one Gavatt is known as the Gavatt level.
dun |A mound or small hill.\n\nTo cure, as codfish, in a particular manner, by laying them, after salting, in a pile in a dark place, covered with salt grass or some like substance.\n\nTo ask or beset, as a debtor, for payment; to urge importunately. Hath she sent so soon to dun Swift.\n\n1. One who duns; a dunner. To be pulled by the sleeve by some rascally dun. Arbuthnot. 2. An urgent request or demand of payment; as, he sent his debtor a dun.\n\nOf a dark color; of a color partaking of a brown and black; of a dull brown color; swarthy. Summer's dun cloud comes thundering up. Pierpont. Chill and dun Falls on the moor the brief November day. Keble. Dun crow (Zoöl.), the hooded crow; -- so called from its color; -- also called hoody, and hoddy. -- Dun diver (Zoöl.), the goosander or merganser.
dunbird |(a) The pochard; -- called also dunair, and dunker, or dun-curre. (b) An American duck; the ruddy duck.
dunce |One backward in book learning; a child or other person dull or weak in intellect; a dullard; a dolt. I never knew this town without dunces of figure. Swift. Note: The schoolmen were often called, after their great leader Duns Scotus, Dunsmen or Duncemen. In the revival of learning they were violently opposed to classical studies; hence, the name of Dunce was applied with scorn and contempt to an opposer of learning, or to one slow at learning, a dullard.
duncedom |The realm or domain of dunces. [Jocose] Carlyle.
duncery |Dullness; stupidity.
duncical |Like a dunce; duncish. The most dull and duncical commissioner. Fuller.
duncify |To make stupid in intellect. [R.] Bp. Warburton.
duncish |Somewhat like a dunce. [R.] -- Dun\"cish*ness, n. [R.]
dunder |The lees or dregs of cane juice, used in the distillation of rum. [West Indies] The use of dunder in the making of rum answers the purpose of yeast in the fermentation of flour. B. Edwards.
dunder-headed |Thick-headed; stupid.
dunderhead |A dunce; a numskull; a blockhead. Beau. & Fl.
dunderpate |See Dunderhead.
dune |A low hill of drifting sand usually formed on the coats, but often carried far inland by the prevailing winds. [Written also dun.] Three great rivers, the Rhine, the Meuse, and the Scheldt, had deposited their slime for ages among the dunes or sand banks heaved up by the ocean around their mouths. Motley.
dunfish |Codfish cured in a particular manner, so as to be of a superior quality.
dung |The excrement of an animal. Bacon.\n\n1. To manure with dung. Dryden. 2. (Calico Print.)  To immerse or steep, as calico, in a bath of hot water containing cow dung; -- done to remove the superfluous mordant.\n\nTo void excrement. Swift.
dungaree |A coarse kind of unbleached cotton stuff. [Written also dungari.] [India]
dungeon |A close, dark prison, commondonjon or keep of a castle, these being used as prisons. Down with him even into the deep dungeon. Tyndale. Year after year he lay patiently in a dungeon. Macaulay.\n\nTo shut up in a dungeon. Bp. Hall.
dungfork |A fork for tossing dung.
dunghill |1. A heap of dung. 2. Any mean situation or condition; a vile abode. He . . . lifteth up the beggar from the dunghill. 1. Sam. ii. 8. Dunghill fowl, a domestic fowl of common breed.
dungmeer |A pit where dung and weeds rot for manure.
dungy |Full of dung; filthy; vile; low. Shak.
dungyard |A yard where dung is collected.
dunker |One of a religious denomination whose tenets and practices are mainly those of the Baptists, but partly those of the Quakers; -- called also Tunkers, Dunkards, Dippers, and, by themselves, Brethren, and German Baptists. Note: The denomination was founded in Germany in 1708, but after a few years the members emigrated to the United States. Seventh-day Dunkers, a sect which separated from the Dunkers and formed a community, in 1728. They keep the seventh day or Saturday as the Sabbath.
dunlin |A species of sandpiper (Tringa alpina); -- called also churr, dorbie, grass bird, and red-backed sandpiper. It is found both in Europe and America.
dunnage |Fagots, boughs, or loose materials of any kind, laid on the bottom of the hold for the cargo to rest upon to prevent injury by water, or stowed among casks and other cargo to prevent their motion.
dunner |One employed in soliciting the payment of debts.
dunnish |Inclined to a dun color. Ray.
dunnock |The hedge sparrow or hedge accentor. [Local, Eng.]
dunny |Deaf; stupid.[Prov. Eng.] My old dame Joan is something dunny, and will scarce know how to manage. Sir W. Scott.
dunt |A blow. [Obs.] R. of Glouc.
dunted |Beaten; hence, blunted. [Obs.] Fencer's swords . . . having the edge dunted. Fuller.
dunter |A porpoise. [Scott.] Dunter goose (Zoöl.) the eider duck. J. Brand.
duo |A composition for two performers; a duet.
duodecahedral |See Dodecahedral, and Dodecahedron.
duodecahedron |See Dodecahedral, and Dodecahedron.
duodecennial |Consisting of twelve years. [R.] Ash.
duodecimal |Proceeding in computation by twelves; expressed in the scale of twelves. -- Du`o*dec\"i*mal*ly, adv.\n\n1. A twelfth part; as, the duodecimals of an inch. 2. pl. (Arch.)  A system of numbers, whose denominations rise in a scale of twelves, as of feet and inches. The system is used chiefly by artificers in computing the superficial and solid contents of their work.
duodecimfid |Divided into twelve parts.
duodecimo |Having twelve leaves to a sheet; as, a duodecimo from, book, leaf, size, etc.\n\nA book consisting of sheets each of which is folded into twelve leaves; hence, indicating, more or less definitely, a size of a book; -- usually written 12mo or 12º.
duodecuple |Consisting of twelves. Arbuthnot.
duodenal |Of or pertaining to the duodenum; as, duodenal digestion.
duodenary |Containing twelve; twelvefold; increasing by twelves; duodecimal.
duodenum |The part of the small intestines between the stomach and the jejunum. See Illust. of Digestive apparatus, under Digestive.
duograph |A picture printed from two half-tone plates made with the screen set at different angles, and usually printed in two shades of the same color or in black and one tint.
duoliteral |Consisting of two letters only; biliteral. Stuart.
duomo |A cathedral. See Dome, 2. Of tower or duomo, sunny sweet. Tennyson.
duotone |Any picture printed in two shades of the same color, as duotypes and duographs are usually printed.
duotype |A print made from two half-tone plates made from the same negative, but etched differently.
dup |To open; as, to dup the door. [Obs.] Shak.
dupable |Capable of being duped.
dupe |One who has been deceived or who is easily deceived; a gull; as, the dupe of a schemer.\n\nTo deceive; to trick; to mislead by imposing on one's credulity; to gull; as, dupe one by flattery. Ne'er have I duped him with base counterfeits. Coleridge.
duper |One who dupes another.
dupery |The act or practice of duping. [R.]
dupion |A double cocoon, made by two silkworms.
duple |Double. Duple ratio (Math.), that in which the antecedent term is double the consequent, as of 2 to 1, 8 to 4, etc.
duplex |Double; twofold. Duplex escapement, a peculiar kind of watch escapement, in which the scape-wheel has two sets of teeth. See Escapement. -- Duplex lathe, one for turning off, screwing, and surfacing, by means of two cutting tools, on opposite sides of the piece operated upon. -- Duplex pumping engine, a steam pump in which two steam cylinders are placed side by side, one operating the valves of the other. -- Duplex querela Etym: [L., double complaint] (Eccl. Law), a complaint in the nature of an appeal from the ordinary to his immediate superior, as from a bishop to an archbishop. Mozley & W. -- Duplex telegraphy, a system of telegraphy for sending two messages over the same wire simultaneously. -- Duplex watch, one with a duplex escapement.
duplicate |Double; twofold. Duplicate proportion or ratio (Math.), the proportion or ratio of squares. Thus, in geometrical proportion, the first term to the third is said to be in a duplicate ratio of the first to the second, or as its square is to the square of the second. Thus, in 2, 4, 8, 16, the ratio of 2 to 8 is a duplicate of that of 2 to 4, or as the square of 2 is to the square of 4.\n\n1. That which exactly resembles or corresponds to something else; another, correspondent to the first; hence, a copy; a transcript; a counterpart. I send a duplicate both of it and my last dispatch. Sir W. Temple. 2. (Law)  An original instrument repeated; a document which is the same as another in all essential particulars, and differing from a mere copy in having all the validity of an original. Burrill.\n\n1. To double; to fold; to render double. 2. To make a duplicate of (something); to make a copy or transcript of. Glanvill. 3. (Biol.)  To divide into two by natural growth or spontaneous action; as, infusoria duplicate themselves.
duplication |1. The act of duplicating, or the state of being duplicated; a doubling; a folding over; a fold. 2. (Biol.)  The act or process of dividing by natural growth or spontaneous action; as, the duplication of cartilage cells. Carpenter. Duplication of the cube (Math.), the operation of finding a cube having a volume which is double that of a given cube.
duplicative |1. Having the quality of duplicating or doubling. 2. (Biol.)  Having the quality of subdividing into two by natural growth. \"Duplicative subdivision.\" Carpenter.
duplicature |A doubling; a fold, as of a membrane.
duplicity |1. Doubleness; a twofold state. [Archaic] Do not affect duplicities nor triplicities, nor any certain number of parts in your division of things. I. Watts. 2. Doubleness of heart or speech; insincerity; a sustained form of deception which consists in entertaining or pretending to entertain one of feelings, and acting as if influenced by another; bad faith. Far from the duplicity wickedly charged on him, he acted his part with alacrity and resolution. Burke. 3. (Law) (a) The use of two or more distinct allegations or answers, where one is sufficient. Blackstone. (b) In indictments, the union of two incompatible offenses. Wharton. Syn. -- Double dealing; dissimulation; deceit; guile; deception; falsehood.
dupper |See 2d Dubber.
dur |Major; in the major mode; as, C dur, that is, C major.
dura |Short form for Dura mater.
dura mater |The tough, fibrous membrane, which lines the cavity of the skull and spinal column, and surrounds the brain and spinal cord; -- frequently abbreviated to dura.
durability |The state or quality of being durable; the power of uninterrupted or long continuance in any condition; the power of resisting agents or influences which tend to cause changes, decay, or dissolution; lastingness. A Gothic cathedral raises ideas of grandeur in our minds by the size, its height, . . . its antiquity, and its durability. Blair.
durable |Able to endure or continue in a particular condition; lasting; not perishable or changeable; not wearing out or decaying soon; enduring; as, durable cloth; durable happiness. Riches and honor are with me; yea, durable riches and righteousness. Prov. viii. 18. An interest which from its object and grounds must be so durable. De Quincey. Syn. -- Lasting; permanent; enduring; firm; stable; continuing; constant; persistent. See Lasting.
durableness |Power of lasting, enduring, or resisting; durability. The durableness of the metal that supports it. Addison.
durably |In a lasting manner; with long continuance.
dural |Pertaining to the dura, or dura mater.
duramen |The heartwood of an exogenous tree.
durance |1. Continuance; duration. See Endurance. [Archaic] Of how short durance was this new-made state! Dryden. 2. Imprisonment; restraint of the person; custody by a jailer; duress. Shak. \"Durance vile.\" Burns. In durance, exile, Bedlam or the mint. Pope. 3. (a) A stout cloth stuff, formerly made in imitation of buff leather and used for garments; a sort of tammy or everlasting. Where didst thou buy this buff let me not live but I will give thee a good suit of durance. J. Webster. (b) In modern manufacture, a worsted of one color used for window blinds and similar purposes.
durancy |Duration. [Obs.] Dr. H. More.
durant |See Durance, 3.
durante |During; as, durante vita, during life; durante bene placito, during pleasure.
duration |The state or quality of lasting; continuance in time; the portion of time during which anything exists. It was proposed that the duration of Parliament should be limited. Macaulay. Soon shall have passed our own human duration. D. Webster.
durative |Continuing; not completed; implying duration. Its durative tense, which expresses the thought of it as going on. J. Byrne.
durbar |An audience hall; the court of a native prince; a state levee; a formal reception of native princes, given by the governor general of India. [India] [Written also darbar.]
dure |Hard; harsh; severe; rough; toilsome. [R.] The winter is severe, and life is dure and rude. W. H. Russell.\n\nTo last; to continue; to endure. [Obs.] Sir W. Raleigh. Yet hath he not root in himself, but dureth for a while. Matt. xiii. 21.
dureful |Lasting. [Obs.] Spenser.
dureless |Not lasting. [Obs.] Sir W. Raleigh.
durene |A colorless, crystalline, aromatic hydrocarbon, C6H2(CH3)4, off artificial production, with an odor like camphor.
duress |1. Hardship; constraint; pressure; imprisonment; restraint of liberty. The agreements . . . made with the landlords during the time of slavery, are only the effect of duress and force. Burke. 2. (Law)  The state of compulsion or necessity in which a person is influenced, whether by the unlawful restrain of his liberty or by actual or threatened physical violence, to incur a civil liability or to commit an offense.\n\nTo subject to duress. \"The party duressed.\" Bacon.
duressor |One who subjects another to duress Bacon.
durga |Same as Doorga.
durham |One or a breed of short-horned cattle, originating in the county of Durham, England. The Durham cattle are noted for their beef-producing quality.
durian |The fruit of the durio. It is oval or globular, and eight or ten inches long. It has a hard prickly rind, containing a soft, cream-colored pulp, of a most delicious flavor and a very offensive odor. The seeds are roasted and eaten like chestnuts.
during |In the time of; as long as the action or existence of; as, during life; during the space of a year.
durio |A fruit tree (D. zibethinus, the only species known) of the Indian Archipelago. It bears the durian.
durion |The fruit of the durio. It is oval or globular, and eight or ten inches long. It has a hard prickly rind, containing a soft, cream-colored pulp, of a most delicious flavor and a very offensive odor. The seeds are roasted and eaten like chestnuts.
durity |1. Hardness; firmness. Sir T. Browne. 2. Harshness; cruelty. Cockeram.
durometer |An instrument for measuring the degree of hardness; especially, an instrument for testing the relative hardness of steel rails and the like.
durous |Hard. [Obs. & R.]
durra |A kind of millet, cultivated throughout Asia, and introduced into the south of Europe; a variety of Sorghum vulgare; -- called also Indian millet, and Guinea corn. [Written also dhoorra, dhurra, doura, etc.]
durst |of Dare. See Dare, v. i.
durukuli |A small, nocturnal, South American monkey (Nyctipthecus trivirgatus). [Written also douroucouli.]
durylic |Pertaining to, allied to, or derived from, durene; as, durylic acid.
duse |A demon or spirit. See Deuce.
dusk |Tending to darkness or blackness; moderately dark or black; dusky. A pathless desert, dusk with horrid shades. Milton.\n\n1. Imperfect obscurity; a middle degree between light and darkness; twilight; as, the dusk of the evening. 2. A darkish color. Whose duck set off the whiteness of the skin. Dryden.\n\nTo make dusk. [Archaic] After the sun is up, that shadow which dusketh the light of the moon must needs be under the earth. Holland.\n\nTo grow dusk. [R.] Chaucer.
dusken |To make dusk or obscure. [R.] Not utterly defaced, but only duskened. Nicolls.
duskily |In a dusky manner. Byron.
duskiness |The state of being dusky.
duskish |Somewhat dusky. \" Duskish smoke.\" Spenser. -- Dusk\"ish*ly, adv. -- Dusk\"ish*ness, n.
duskness |Duskiness. [R.] Sir T. Elyot.
dusky |1. Partially dark or obscure; not luminous; dusk; as, a dusky valley. Through dusky lane and wrangling mart. Keble. 2. Tending to blackness in color; partially black; dark-colored; not bright; as, a dusky brown. Bacon. When Jove in dusky clouds involves the sky. Dryden. The figure of that first ancestor invested by family tradition with a dim and dusky grandeur. Hawthorne. 3. Gloomy; sad; melancholy. This dusky scene of horror, this melancholy prospect. Bentley. 4. Intellectually clouded. Though dusky wits dare scorn astrology. Sir P. Sidney.
dust |1. Fine, dry particles of earth or other matter, so comminuted that they may be raised and wafted by the wind; that which is crumbled too minute portions; fine powder; as, clouds of dust; bone dust. Dust thou art, and unto dust shalt thou return. Gen. iii. 19. Stop! -- for thy tread is on an empire's dust. Byron. 2. A single particle of earth or other matter. [R.] \"To touch a dust of England's ground.\" Shak. 3. The earth, as the resting place of the dead. For now shall sleep in the dust. Job vii. 21. 4. The earthy remains of bodies once alive; the remains of the human body. And you may carve a shrine about my dust. Tennyson. 5. Figuratively, a worthless thing. And by the merit of vile gold, dross, dust. Shak. 6. Figuratively, a low or mean condition. [God] raiseth up the poor out of the dust. 1 Sam. ii. 8. 7. Gold dust; hence: (Slang)  Coined money; cash. Down with the dust, deposit the cash; pay down the money. [Slang] \"My lord, quoth the king, presently deposit your hundred pounds in gold, or else no going hence all the days of your life. . . . The Abbot down with his dust, and glad he escaped so, returned to Reading.\" Fuller. -- Dust brand (Bot.), a fungous plant (Ustilago Carbo); -- called also smut. -- Gold dust, fine particles of gold, such as are obtained in placer mining; -- often used as money, being transferred by weight. -- In dust and ashes. See under Ashes. -- To bite the dust. See under Bite, v. t. -- To raise, or kick up, dust, to make a commotion. [Colloq.] -- To throw dust in one's eyes, to mislead; to deceive. [Colloq.]\n\n1. To free from dust; to brush, wipe, or sweep away dust from; as, to dust a table or a floor. 2. To sprinkle with dust. 3. To reduce to a fine powder; to levigate. Sprat. To dyst one's jacket, to give one a flogging. [Slang.]
dust-point |An old rural game. With any boy at dust-point they shall play. Peacham (1620).
dustbrush |A brush of feathers, bristles, or hair, for removing dust from furniture.
duster |1. One who, or that which, dusts; a utensil that frees from dust. Specifically: (a) (Paper Making) A revolving wire-cloth cylinder which removes the dust from rags, etc. (b) (Milling)  A blowing machine for separating the flour from the bran. 2. A light over-garment, worn in traveling to protect the clothing from dust. [U.S.]
dustiness |The state of being dusty.
dustless |Without dust; as a dustless path.
dustman |One whose employment is to remove dirt and defuse. Gay.
dustpan |A shovel-like utensil for conveying away dust brushed from the floor.
dusty |1. Filled, covered, or sprinkled with dust; clouded with dust; as, a dusty table; also, reducing to dust. And all our yesterdays have lighted fools The way to dusty death. Shak. 2. Like dust; of the color of dust; as a dusty white. Dusty miller (Bot.), a plant (Cineraria maritima); -- so called because of the ashy-white coating of its leaves.
dutch |Pertaining to Holland, or to its inhabitants. Dutch auction. See under Auction. -- Dutch cheese, a small, pound, hard cheese, made from skim milk. -- Dutch clinker, a kind of brick made in Holland. It is yellowish, very hard, and long and narrow in shape. -- Dutch clover (Bot.), common white clover (Trifolium repens), the seed of which was largely imported into England from Holland. -- Dutch concert, a so-called concert in which all the singers sing at the same time different songs. [Slang] -- Dutch courage, the courage of partial intoxication. [Slang] Marryat. -- Dutch door, a door divided into two parts, horizontally, so arranged that the lower part can be shut and fastened, while the upper part remains open. -- Dutch foil, Dutch leaf, or Dutch gold, a kind of brass rich in copper, rolled or beaten into thin sheets, used in Holland to ornament toys and paper; -- called also Dutch mineral, Dutch metal, brass foil, and bronze leaf. -- Dutch liquid (Chem.), a thin, colorless, volatile liquid, C2H4Cl2, of a sweetish taste and a pleasant ethereal odor, produced by the union of chlorine and ethylene or olefiant gas; -- called also Dutch oil. It is so called because discovered (in 1795) by an association of four Hollandish chemists. See Ethylene, and Olefiant. -- Dutch oven, a tin screen for baking before an open fire or kitchen range; also, in the United States, a shallow iron kettle for baking, with a cover to hold burning coals. -- Dutch pink, chalk, or whiting dyed yellow, and used in distemper, and for paper staining. etc. Weale. -- Dutch rush (Bot.), a species of horsetail rush or Equisetum (E. hyemale) having a rough, siliceous surface, and used for scouring and polishing; -- called also scouring rush, and shave grass. See Equisetum. -- Dutch tile, a glazed and painted ornamental tile, formerly much exported, and used in the jambs of chimneys and the like. Note: Dutch was formerly used for German. Germany is slandered to have sent none to this war [the Crusades] at this first voyage; and that other pilgrims, passing through that country, were mocked by the Dutch, and called fools for their pains. Fuller.\n\n1. pl.  The people of Holland; Dutchmen. 2. The language spoken in Holland.
dutchman |A native, or one of the people, of Holland. Dutchman's breeches (Bot.), a perennial American herb (Dicentra cucullaria), with peculiar double-spurred flowers. See Illust. of Dicentra. -- Dutchman's laudanum (Bot.), a West Indian passion flower (Passiflora Murucuja); also, its fruit. -- Dutchman's pipe (Bot.), an American twining shrub (Aristolochia Sipho). Its flowers have their calyx tubes curved like a tobacco pipe.
duteous |1. Fulfilling duty; dutiful; having the sentiments due to a superior, or to one to whom respect or service is owed; obedient; as, a duteous son or daughter. 2. Subservient; obsequious. Duteous to the vices of thy mistress. Shak. -- Du\"te*ous*ly, adv. -- Du\"te*ous*ness, n.
dutiable |Subject to the payment of a duty; as dutiable goods. [U.S.] All kinds of dutiable merchandise. Hawthorne.
dutied |Subjected to a duty. Ames.
dutiful |1. Performing, or ready to perform, the duties required by one who has the right to claim submission, obedience, or deference; submissive to natural or legal superiors; obedient, as to parents or superiors; as, a dutiful son or daughter; a dutiful ward or servant; a dutiful subject. 2. Controlled by, proceeding from, a sense of duty; respectful; deferential; as, dutiful affection. Syn. -- Duteous; obedient; reverent; reverential; submissive; docile; respectful; compliant. -- Du\"ti*ful*ly, adv. -- Du\"ti*ful*ness, n.
duty |1. That which is due; payment. [Obs. as signifying a material thing.] When thou receivest money for thy labor or ware, thou receivest thy duty. Tyndale. 2. That which a person is bound by moral obligation to do, or refrain from doing; that which one ought to do; service morally obligatory. Forgetting his duty toward God, his sovereign lord, and his country. Hallam. 3. Hence, any assigned service or business; as, the duties of a policeman, or a soldier; to be on duty. With records sweet of duties done. Keble. To employ him on the hardest and most imperative duty. Hallam. Duty is a graver term than obligation. A duty hardly exists to do trivial things; but there may be an obligation to do them. C. J. Smith. 4. Specifically, obedience or submission due to parents and superiors. Shak. 5. Respect; reverence; regard; act of respect; homage. \"My duty to you.\" Shak. 6. (Engin.)  The efficiency of an engine, especially a steam pumping engine, as measured by work done by a certain quantity of fuel; usually, the number of pounds of water lifted one foot by one bushel of coal (94 lbs. old standard), or by 1 cwt. (112 lbs., England, or 100 lbs., United States). 7. (Com.)  Tax, toll, impost, or customs; excise; any sum of money required by government to be paid on the importation, exportation, or consumption of goods. Note: An impost on land or other real estate, and on the stock of farmers, is not called a duty, but a direct tax. [U.S.] Ad valorem duty, a duty which is graded according to the cost, or market value, of the article taxed. See Ad valorem. -- Specific duty, a duty of a specific sum assessed on an article without reference to its value or market. -- On duty, actually engaged in the performance of one's assigned task.
duumvir |One of two Roman officers or magistrates united in the same public functions.
duumviral |Of or belonging to the duumviri or the duumvirate.
duumvirate |The union of two men in the same office; or the office, dignity, or government of two men thus associated, as in ancient Rome.
dux |The scholastic name for the theme or subject of a fugue, the answer being called the comes, or companion.
duykerbok |A small South African antelope (Cephalous mergens); -- called also impoon, and deloo.
duyoung |See Dugong.
dvergr |A dwarf supposed to dwell in rocks and hills and to be skillful in working metals.
dwale |1. (Bot.)  The deadly nightshade (Atropa Belladonna), having stupefying qualities. 2. (Her.)  The tincture sable or black when blazoned according to the fantastic system in which plants are substituted for the tinctures. 3. A sleeping potion; an opiate. Chaucer.
dwang |1. (Carp.)  A piece of wood set between two studs, posts, etc., to stiffen and support them. 2. (Mech.) (a) A kind of crowbar. (b) A large wrench. Knight.
dwarf |An animal or plant which is much below the ordinary size of its species or kind; especially, a diminutive human being. Note: During the Middle Ages dwarfs as well as fools shared the favor of courts and the nobility. Note: Dwarf is used adjectively in reference to anything much below the usual or normal size; as, dwarf tree; dwarf honeysuckle. Dwarf elder (Bot.), danewort. -- Dwarf wall (Arch.), a low wall, not as high as the story of a building, often used as a garden wall or fence. Gwilt.\n\nTo hinder from growing to the natural size; to make or keep small; to stunt. Addison. Even the most common moral ideas and affections . . . would be stunted and dwarfed, if cut off from a spiritual background. J. C. Shairp.\n\nTo become small; to diminish in size. Strange power of the world that, the moment we enter it, our great conceptions dwarf. Beaconsfield.
dwarfish |Like a dwarf; below the common stature or size; very small; petty; as, a dwarfish animal, shrub. -- Dwarf\"ish*ly, adv. -- Dwarf\"ish*ness, n.
dwarfling |A diminutive dwarf.
dwarfy |Much undersized. [R.] Waterhouse.
dwaul |To be delirious. [Obs.] Junius.
dwaule |To be delirious. [Obs.] Junius.
dwell |1. To delay; to linger. [Obs.] 2. To abide; to remain; to continue. I 'll rather dwell in my necessity. Shak. Thy soul was like a star and dwelt apart. Wordsworth. 3. To abide as a permanent resident, or for a time; to live in a place; to reside. The parish in which I was born, dwell, and have possessions. Peacham. The poor man dwells in a humble cottage near the hall where the lord of the domain resides. C. J. Smith. To dwell in, to abide in (a place); hence, to depend on. \"My hopes in heaven to dwell.\" Shak. -- To dwell on or upon, to continue long on or in; to remain absorbed with; to stick to; to make much of; as, to dwell upon a subject; a singer dwells on a note. They stand at a distance, dwelling on his looks and language, fixed in amazement. Buckminster. Syn. -- To inhabit; live; abide; sojourn; reside; continue; stay; rest.\n\nTo inhabit. [R.] Milton.
dweller |An inhabitant; a resident; as, a cave dweller. \"Dwellers at Jerusalem.\" Acts i. 19.
dwelling |Habitation; place or house in which a person lives; abode; domicile. Hazor shall be a dwelling for dragons. Jer. xlix. 33. God will deign To visit oft the dwellings of just men. Milton. Philip's dwelling fronted on the street. Tennyson. Dwelling house, a house intended to be occupied as a residence, in distinction from a store, office, or other building. -- Dwelling place, place of residence.
dwelt |of Dwell.
dwindle |To diminish; to become less; to shrink; to waste or consume away; to become degenerate; to fall away. Weary sennights nine times nine Shall he dwindle, peak and pine. Shak. Religious societies, though begun with excellent intentions, are said to have dwindled into factious clubs. Swift.\n\n1. To make less; to bring low. Our drooping days are dwindled down to naught. Thomson. 2. To break; to disperse. [R.] Clarendon.\n\nThe process of dwindling; dwindlement; decline; degeneracy. [R.] Johnson.
dwindlement |The act or process of dwindling; a dwindling. [R.] Mrs. Oliphant.
dwine |To waste away; to pine; to languish. [Obs. or Prov. Eng.] Gower.
dyad |1. Two units treated as one; a couple; a pair. 2. (Chem.)  An element, atom, or radical having a valence or combining power of two.\n\nHaving a valence or combining power of two; capable of being substituted for, combined with, or replaced by, two atoms of hydrogen; as, oxygen and calcium are dyad elements. See Valence.
dyadic |Pertaining to the number two; of two parts or elements. Dyadic arithmetic, the same as binary arithmetic.
dyaks |; sing. Dyak. (Ethnol.) The aboriginal and most numerous inhabitants of Borneo. They are partially civilized, but retain many barbarous practices.
dyas |A name applied in Germany to the Permian formation, there consisting of two principal groups.
dye |To stain; to color; to give a new and permanent color to, as by the application of dyestuffs. Cloth to be dyed of divers colors. Trench. The soul is dyed by its thoughts. Lubbock. To dye in the grain, To dye in the wool (Fig.), to dye firmly; to imbue thoroughly. He might truly be termed a legitimate son of the revenue system dyed in the wool. Hawthorne. Syn. -- See Stain.\n\n1. Color produced by dyeing. 2. Material used for dyeing; a dyestuff.\n\nSame as Die, a lot. Spenser.
dyehouse |A building in which dyeing is carried on.
dyeing |The process or art of fixing coloring matters permanently and uniformly in the fibers of wool, cotton, etc.
dyer |One whose occupation is to dye cloth and the like. Dyer's broom, Dyer's rocket, Dyer's weed. See Dyer's broom, under Broom.
dyestuff |A material used for dyeing.
dyewood |Any wood from which coloring matter is extracted for dyeing.
dying |1. In the act of dying; destined to death; mortal; perishable; as, dying bodies. 2. Of or pertaining to dying or death; as, dying bed; dying day; dying words; also, simulating a dying state.\n\nThe act of expiring; passage from life to death; loss of life.
dyingly |In a dying manner; as if at the point of death. Beau. & Fl.
dyingness |The state of dying or the stimulation of such a state; extreme languor; languishment. [R.] Tenderness becomes me best, a sort of dyingness; you see that picture, Foible, -- a swimmingness in the eyes; yes, I'll look so. Congreve.
dyke |See Dike. The spelling dyke is restricted by some to the geological meaning.
