cheirosophy |The art of reading character as it is delineated in the hand. -- Chei*ros\"o*phist (, n.
childed |Furnished with a child. [Obs.]
childermas day |A day (December 28) observed by mass or festival in commemoration of the children slain by Herod at Bethlehem; -- called also Holy Innocent's Day.
childhood |1. The state of being a child; the time in which persons are children; the condition or time from infancy to puberty. I have walked before you from my childhood. 1. Sam. xii. 2. 2. Children, taken collectively. [R.] The well-governed childhood of this realm. Sir. W. Scott. 3. The commencement; the first period. The childhood of our joy. Shak. Second childhood, the state of being feeble and incapable from old age.
childing |Bearing Children; (Fig.) productive; fruitful. [R.] Shak.
childish |1. Of, pertaining to, befitting, or resembling, a child. \"Childish innocence.\" Macaulay. 2. Peurile; trifling; weak. Methinks that simplicity in her countenance is rather childish than innocent. Addison. Note: Childish, as applied tc persons who are grown up, is in a disparaging sense; as, a childish temper.
childishly |In the manner of a child; in a trifling way; in a weak or foolish manner.
childishness |The state or quality of being childish; simplicity; harmlessness; weakness of intellect.
childlessness |The state of being childless.
childlike |Resembling a child, or that which belongs to children; becoming a child; meek; submissive; dutiful. \"Childlike obedience.\" Hooker. Note: Childlike, as applied to persons grown up, is commonly in a good sense; as, childlike grace or simplicity; childlike modesty.
childly |Having tthe character of a child; belonging, or appropriate, to a child. Gower.\n\nLike a child. Mrs. Browning.
childness |The manner characteristic of a child. [Obs.] \"Varying childness.\" Shak.
children |pl. of Child.
childship |The state or relation of being a child.
chilean |Of or pertaining to Chile.\n\nA native or resident of Chile; Chilian.
chilean pine |Same as Monkey-puzzle.
chili |A kind of red pepper. See Capsicum [Written also chilli and chile.]
chiliad |A thousand; the aggregate of a thousand things; especially, a period of a thousand years. The world, then in the seventh chiliad, will be assumed up unto God. Sir. T. More.
chiliagon |A plane figure of a thousand angles and sides. Barlow.
chiliahedron |A figure bounded by a thousand plane surfaces [Spelt also chiliaëdron.]
chilian |Of or pertaining to Chili. -- n.  A native or citizen of Chili.\n\nThe commander or chief of a thousand men.
chiliarch |The commander or chief of a thousand men.
chiliarchy |A body consisting of a thousand men. Mitford.
chiliasm |1. The millennium. 2. The doctrine of the personal reign of Christ on earth during the millennium.
chiliast |One who believes in the second coming of Christ to reign on earth a thousand years; a milllenarian.
chiliastic |Millenarian. \"The obstruction offered by the chiliastic errors.\" J. A. Alexander.
chill |1. A moderate but disagreeable degree of cold; a disagreeable sensation of coolness, accompanied with shivering. \"[A] wintry chill.\" W. Irving. 2. (Med.)  A sensation of cold with convulsive shaking of the body, pinched face, pale skin, and blue lips, caused by undue cooling of the body or by nervous excitement, or forming the precursor of some constitutional disturbance, as of a fever. 3. A check to enthusiasm or warmth of feeling; discouragement; as, a chill comes over an assemblly. 4. An iron mold or portion of a mold, serving to cool rapidly, and so to harden, the surface of molten iron brought in contact with it. Raymond. 5. The hardened part of a casting, as the tread of a car wheel. Knight. Chill and fever, fever and ague.\n\n1. Moderately cold; tending to cause shivering; chilly; raw. Noisome winds, and blasting vapors chill. Milton. 2. Affected by cold. \"My veins are chill.\" Shak. 3. Characterized by coolness of manner, feeling, etc.; lacking enthusiasm or warmth; formal; distant; as, a chill reception. 4. Discouraging; depressing; dispiriting.\n\n1. To strike with a chill; to make chilly; to cause to shiver; to affect with cold. When winter chilled the day. Goldsmith. 2. To check enthusiasm or warmth of feeling of; to depress; to discourage. Every thought on God chills the gayety of his spirits. Rogers. 3. (Metal.)  To produce, by sudden cooling, a change of crystallization at or near the surface of, so as to increase the hardness; said of cast iron.\n\nTo become surface-hardened by sudden cooling while solidifying; as, some kinds of cast iron chill to a greater depth than others.
chilled |1. Hardened on the surface or edge by chilling; as, chilled iron; a chilled wheel. 2. (Paint.)  Having that cloudiness or dimness of surface that is called \"blooming.\",
  "misplacement |The act of misplacing, or the state of being misplaced.
chilli |See Chili.
chilliness |1. A state or sensation of being chilly; a disagreeable sensation of coldness. 2. A moderate degree of coldness; disagreeable coldness or rawness; as, the chilliness of the air. 3. Formality; lack of warmth.
chilling |Making chilly or cold; depressing; discouraging; cold; distant; as, a chilling breeze; a chilling manner. -- Chill\"ing\"ly, adv.
chillness |Coolness; coldness; a chill. Death is the chillness that precedes the dawn. Longfellow.
chilly |Moderately cold; cold and raw or damp so as to cause shivering; causing or feeling a disagreeable sensation of cold, or a shivering.
chilognath |A myriapod of the order Chilognatha.
chilognatha |One of the two principal orders of myriapods. They have numerous segments, each bearing two pairs of small, slender legs, which are attached ventrallly, near together.
chiloma |The tumid upper lip of certain mammals, as of a camel.
chilopod |A myriapod of the order Chilopoda.
chilopoda |One of the orders of myriapods, including the centipeds. They have a single pair of elongated legs attached laterally to each segment; well developed jaws; and a pair of thoracic legs converted into poison fangs. They are insectivorous, very active, and some species grow to the length of a foot.
chilostoma |An extensive suborder of marine Bryozoa, mostly with calcareous shells. They have a movable lip and a lid to close the aperture of the cells. [Also written Chillostomata.]
chilostomata |An extensive suborder of marine Bryozoa, mostly with calcareous shells. They have a movable lip and a lid to close the aperture of the cells. [Also written Chillostomata.]
chilostomatous |Of or pertaining to the Chilostoma.
chiltern hundreds |A tract of crown land in Buckinghamshire and Oxfordshire, England, to which is attached the nominal office of steward. As members of Parliament cannot resign, when they wish to go out they accept this stewardship, which legally vacates their seats.
chimaera |A cartilaginous fish of several species, belonging to the order Holocephali. The teeth are few and large. The head is furnished with appendages, and the tail terminates in a point.
chimaeroid |Related to, or like, the chimæra.
chimango |A south American carrion buzzard (Milvago chimango). See Caracara.
chimb |The edge of a cask, etc; a chine. See Chine, n., 3. [Written also hime.]\n\nChime. [Obs.] Chaucer.
chime |See Chine, n., 3.\n\n1. The harmonious sound of bells, or of musical instruments. Instruments that made melodius chime. Milton. 2. A set of bells musically tuned to each other; specif., in the pl., the music performed on such a set of bells by hand, or produced by mechanism to accompany the striking of the hours or their divisions. We have heard the chimes at midnight. Shak. 3. Pleasing correspondence of proportion, relation, or sound. \"Chimes of verse.\" Cowley.\n\n1. To sound in harmonious accord, as bells. 2. To be in harmony; to agree; to sut; to harmonize; to correspond; to fall in with. Everything chimed in with such a humor. W. irving. 3. To join in a conversation; to express assent; -- followed by in or in with. [Colloq.] 4. To make a rude correspondence of sounds; to jingle, as in rhyming. Cowley\n\n1. To cause to sound in harmony; to play a tune, as upon a set of bells; to move or strike in harmony. And chime their sounding hammers. Dryden. 2. To utter harmoniously; to recite rhythmically. Chime his childish verse. Byron.
chimer |One who chimes.
chimera |1. (Myth.)  A monster represented as vomiting flames, and as having the head of a lion, the body of a goat, and the tail of a dragon. \"Dire chimeras and enchanted isles.\" Milton. 2. A vain, foolish, or incongruous fancy, or creature of the imagination; as, the chimera of an author. Burke.
chimere |The upper robe worn by a bishop, to which lawn sleeves are usually attached. Hook.
chimeric |Chimerical.
chimerical |Merely imaginary; fanciful; fantastic; wildly or vainly conceived; having, or capable of having, no existence except in thought; as, chimerical projects. Syn. -- Imaginary; fanciful; fantastic; wild; unfounded; vain; deceitful; delusive.
chimerically |Wildy; vainly; fancifully.
chiminage |A toll for passage through a forest. [Obs.] Cowell.
chimney |1. A fireplace or hearth. [Obs.] Sir W. Raleigh. 2. That part of a building which contains the smoke flues; esp. an upright tube or flue of brick or stone, in most cases extending through or above the roof of the building. Often used instead of chimney shaft. Hard by a cottage chimney smokes. Milton. 3. A tube usually of glass, placed around a flame, as of a lamp, to create a draft, and promote combustion. 4. (Min.)  A body of ore, usually of elongated form, extending downward in a vein. Raymond. Chimney board, a board or screen used to close a fireplace; a fireboard. -- Chimney cap, a device to improve the draught of a chimney, by presenting an exit aperture always to leeward. -- Chimney corner, the space between the sides of the fireplace and the fire; hence, the fireside. -- Chimney hook, a hook for holding pats and kettles over a fire, -- Chimney money, hearth money, a duty formerly paid in England for each chimney. -- Chimney pot (Arch.), a cylinder of earthenware or sheet metal placed at the top of a chimney which rises above the roof. -- Chimney swallow. (Zoöl.) (a) An American swift (Chæture pelasgica) which lives in chimneys. (b) In England, the common swallow (Hirundo rustica). -- Chimney sweep, Chimney sweeper, one who cleans chimneys of soot; esp. a boy who climbs the flue, and brushes off the soot.
chimney-breast |The horizontal projection of a chimney from the wall in which it is built; -- commonly applied to its projection in the inside of a building only.
chimney-piece |A decorative construction around the opning of a fireplace.
chimpanzee |An african ape (Anthropithecus troglodytes or Troglodytes niger) which approaches more nearly to man, in most respects, than any other ape. When full grown, it is from three to four feet high.
chin |1. The lower extremity of the face below the mouth; the point of the under jaw. 2. (Zoöl.)  The exterior or under surface embraced between the branches of the lower jaw bone, in birds.
chin cough |Whooping cough.
china |1. A country in Eastern Asia. 2. China ware, which is the modern popular term for porcelain. See Porcelain. China aster (Bot.), a well-known garden flower and plant. See Aster. -- China bean. See under Bean, 1. -- China clay See Kaolin. -- China grass, Same as Ramie. -- China ink. See India ink. -- China pink (Bot.), an anual or biennial species of Dianthus (D. Chiensis) having variously colored single or double flowers; Indian pink. -- China root (Med.), the rootstock of a species of Smilax (S. China, from the East Indies; -- formerly much esteemed for the purposes that sarsaparilla is now used for. Also the galanga root (from Alpinia Gallanga and Alpinia officinarum). -- China rose. (Bot.) (a) A popular name for several free-blooming varieties of rose derived from the Rosa Indica, and perhaps other species. (b) A flowering hothouse plant (Hibiscus Rosa-Sinensis) of the Mallow family, common in the gardens of China and the east Indies. -- China shop, a shop or store for the sale of China ware or of crockery. -- China ware, porcelain; -- so called in the 17th century because brought from the far East, and differing from the pottery made in Europa at that time; also, loosely, crockery in general. -- Pride of China, China tree. (Bot.) See Azedarach.
chinaldine |See Quinaldine.
chinaman |A native of China; a Chinese.
chincapin |See Chinquapin.
chinch |1. (Zoöl.)  The bedbug (Cimex lectularius). 2. (Zoöl.)  A bug (Blissus leucopterus), which, in the United States, is very destructive to grass, wheat, and other grains; -- also called chiniz, chinch bug, chink bug. It resembles the bedbug in its disgusting odor.
chincha |A south American rodent of the genus Lagotis.
chinche |Parsimonious; niggardly. [Obs.] Chaucer.
chincherie |Penuriousness. [Obs.] By cause of his skarsete and chincherie. Caucer.
chinchilla |1. (Zoöl.)  A small rodent (Chinchilla lanigera), of the size of a large squirrel, remarkable for its fine fur, which is very soft and of a pearly gray color. It is a native of Peru and Chili. 2. The fur of the chinchilla. 3. A heavy, longnapped, tufted woolen cloth.
chinchona |See Cinchona.
chincona |See Cinchona.
chine |A chink or cleft; a narrow and deep ravine; as, Shanklin Chine in the Isle of Wight, a quarter of a mile long and 230 feet deep. [Prov. Eng.] \"The cottage in a chine.\" J. Ingelow.\n\n1. The backbone or spine of an animal; the back. \"And chine with rising bristles roughly spread.\" Dryden. 2. A piece of the backbone of an animal, with the adjoining parts, cut for cooking. Note: [See Illust. of Beef.] 3. The edge or rim of a cask, etc., formed by the projecting ends of the staves; the chamfered end of a stave.\n\n1. To cut through the backbone of; to cut into chine pieces. 2. Too chamfer the ends of a stave and form the chine..
chined |1. Pertaining to, or having, a chine, or backbone; -- used in composition. Beau. & Fl. 2. Broken in the back. [Obs.] He's chined, goodman. Beau. & Fl.
chinese |Of or pertaining to China; peculiar to China. Chinese paper. See India paper, under India. -- Chinese wax, a snowy-wgite, waxlike substance brought from China. It is the bleached secretion of certain insects of the family Coccidæ especially Coccus Sinensis.\n\n1. A native or natives of China, or one of that yellow race with oblique eyelids who live principally in China. 2. sing.  The language of China, which is monosyllabic. Note: Chineses was used as a plural by the contemporaries of Shakespeare and Milton.
chinese exclusion act |Any of several acts forbidding the immigration of Chinese laborers into the United States, originally from 1882 to 1892 by act of May 6, 1882, then from 1892 to 1902 by act May 5, 1892. By act of April 29, 1902, all existing legislation on the subject was reënacted and continued, and made applicable to the insular possessions of the United States.
chink |A small cleft, rent, or fissure, of greater length than breadth; a gap or crack; as, the chinks of wall. Through one cloudless chink, in a black, stormy sky. Shines out the dewy morning star. Macaulay.\n\nTo crack; to open.\n\n1. To cause to open in cracks or fissures. 2. To fill up the chinks of; as, to chink a wall.\n\n1. A short, sharp sound, as of metal struck with a slight degree of violence. \"Chink of bell.\" Cowper. 2. Money; cash. [Cant] \"To leave his chink to better hands.\" Somerville.\n\nTo cause to make a sharp metallic sound, as coins, small pieces of metal, etc., by bringing them into collision with each other. Pope.\n\nTo make a slight, sharp, metallic sound, as by the collision of little pieces of money, or other small sonorous bodies. Arbuthnot.
chinky |Full of chinks or fissures; gaping; opening in narrow clefts. Dryden.
chinned |Having a chin; -- used chiefly in compounds; as, short-chinned.
chinoidine |See Quinodine.
chinoiserie |Chinese conduct, art, decoration, or the like; also, a specimen of Chinese manners, art, decoration, etc.
chinoline |See Quinoline.
chinone |See Quinone.
chinook |1. (Ethnol.)  One of a tribe of North American Indians now living in the state of Washington, noted for the custom of flattening their skulls. Chinooks also called Flathead Indians. 2. A warm westerly wind from the country of the Chinooks, sometimes experienced on the slope of the Rocky Mountains, in Montana and the adjacent territory. 3. A jargon of words from various languages (the largest proportion of which is from that of the Chinooks) generally understood by all the Indian tribes of the northwestern territories of the United States.
chinook state |Washington -- a nickname. See Chinook, n.
chinquapin |A branching, nut-bearing tree or shrub (Castanea pumila) of North America, from six to twenty feet high, allied to the chestnut. Also, its small, sweet, edible nat. [Written also chincapin and chinkapin.] Chinquapin oak, a small shrubby oak (Quercus prinoides) of the Atlantic States, with edible acorns. -- Western Chinquapin, an evergreen shrub or tree (Castanopes chrysophylla) of the Pacific coast. In California it is a shrub; in Oregon a tree 30 to 125 feet high.
chinse |To thrust oakum into (seams or chinks) with a chisel , the point of a knife, or a chinsing iron; to calk slightly. Chinsing iron, a light calking iron.
chintz |Cotton cloth, printed with flowers and other devices, in a number of different colors, and often glazed. Swift.
chioppine |Same as Chopine, n.
chip |1. To cut small pieces from; to diminsh or reduce to shape, by cutting away a little at a time; to hew. Shak. 2. To break or crack, or crack off a portion of, as of an eggshell in hatching, or a piece of crockery. 3. To bet, as with chips in the game of poker. To chip in, to contribute, as to a fund; to share in the risks or expenses of. [Slang. U. S.]\n\nTo break or fly off in small pieces.\n\n1. A piece of wood, stone, or other substance, separated by an ax, chisel, or cutting instrument. 2. A fragment or piece broken off; a small piece. 3. Wood or Cuban palm leaf split into slips, or straw plaited in a special manner, for making hats or bonnets. 4. Anything dried up, withered, or without flavor; -- used contemptuously. 5. One of the counters used in poker and other games. 6. (Naut.)  The triangular piece of wood attached to the log line. Buffalo chips. See under Buffalo. -- Chip ax, a small ax for chipping timber into shape. -- Chip bonnet, Chip hat, a bonnet or a hat made of Chip. See Chip, n., 3. -- A chip off the old block, a child who resembles either of his parents. [Colloq.] Milton.- Potato chips, Saratoga chips, thin slices of raw potato fried crisp.
chipmunk |A squirrel-like animal of the genus Tamias, sometimes called the striped squirrel, chipping squirrel, ground squirrel, hackee. The common species of the United States is the Tamias striatus. [Written also chipmonk, chipmuck, and chipmuk.]
chippendale |Designating furniture designed, or like that designed, by Thomas Chippendale, an English cabinetmaker of the 18th century. Chippendale furniture was generally of simple but graceful outline with delicately carved rococo ornamentation, sculptured either in the solid wood or, in the cheaper specimens, separately and glued on. In the more elaborate pieces three types are recognized: French Chippendale, having much detail, like Louis Quatorze and Louis Quinze; Chinese Chippendale, marked by latticework and pagodalike pediments; and Gothic Chippendale, attempting to adapt medieval details. The forms, as of the cabriole and chairbacks, often resemble Queen Anne. In chairs, the seat is widened at the front, and the back toward the top widened and bent backward, except in Chinese Chippendale, in which the backs are usually rectangular. -- Chip\"pen*dal*ism (#), n. It must be clearly and unmistakably understood, then, that, whenever painted (that is to say, decorated with painted enrichment) or inlaid furniture is described as Chippendale, no matter where or by whom, it is a million chances to one that the description is incorrect. R. D. Benn.
chipper |To chirp or chirrup. [ Prov. Eng.] Forby.\n\nLively; cheerful; talkative. [U. S.]
chippeways |A tribe of Indians formerly inhabiting the northern and weastern shores of Lake Superior; -- called also Objibways.
chipping |1. A chip; a piece separated by a cutting or graving instrument; a fragment. 2. The act or process of cutting or breaking off small pieces, as in dressing iron with a chisel, or reducing a timber or block of stone to shape. 3. The breaking off in small pieces of the edges of potter's ware, porcelain, etc.
chipping bird |The chippy.
chipping squirrel |See Chipmunk.
chippy |Abounding in, or resembling, chips; dry and tasteless.\n\nA small American sparrow (Spizella socialis), very common near dwelling; -- also called chipping bird and chipping sparrow, from its simple note.
chips |A ship's carpenter. [Cant.]
chiragra |Gout in the hand.
chiragrical |Having the gout in the hand, or subject to that disease. Sir. T. Browne.
chiretta |A plant (Agathotes Chirayta) found in Northern India, having medicinal properties to the gentian, and esteemed as a tonic and febrifuge.
chirk |1. To shriek; to gnash; to utter harsh or shrill cries. [Obs.] All full of chirkyng was that sorry place. Cheucer. 2. To chirp like a bird. [Obs.] Chaucer.\n\nTo cheer; to enliven; as, to chirk one up. [Colloq. New Eng. ]\n\nLively; cheerful; in good spirits. [Colloq. New Eng.]
chirm |To chirp or to make a mournful cry, as a bird. [Obs.] Huloet.\n\nClamor, or confused noise; buzzing. [Obs.] The churme of a thousand taunts and reproaches. Bacon.
chirognomy |The art of judging character by the shape and apperance of the hand.
chirograph |(a) A writing which, reguiring a counterpart, was engrossed twice on the same piece of parchment, with a space between, in which was written the word chirographum, through which the parchment was cut, and one part given to each party. It answered to what is now called a charter party. (b) The last part of a fine of land, commonly called the foot of the fine. Bouvier.
chirographer |1. One who practice the art or business of writing or engrossing. 2. See chirographist, 2. Chirographer of fines (Old Eng. Law), an officer in the court of common pleas, who engrossed fines.
chirographic |Of or pertaining to chirography.
chirographical |Of or pertaining to chirography.
chirographist |1. A chirographer; a writer or engrosser. 2. One who tells fortunes by examining the hand.
chirography |1. The art of writing or engrossing; handwriting; as, skilled in chirography. 2. The art of telling fortunes by examining the hand.
chirogymnast |A mechanocal contrivance for exercesing the fingers of a pianist.
chirological |Relating to chirology.
chirologist |One who communicates thoughts by signs made with the hands and fingers.
chirology |The art or practice of using the manual alphabet or of communicating thoughts by sings made by the hands and fingers; a substitute for spoken or written language in intercourse with the deaf and dumb. See Dactylalogy.
chiromancer |One who practices chiromancy. Dryden.
chiromancy |The art or practice of foretelling events, or of telling the fortunes or the disposition of persons by inspecting the hand; palmistry.
chiromanist |A chiromancer.
chiromantic |Of or pertaining to chiromancy.
chiromantical |Of or pertaining to chiromancy.
chiromantist |A chiromancer.
chiromonic |Relating to chironomy.
chironomy |The art of moving the hands in oratory or in pantomime; gesture [Obs.]
chiroplast |An instrument to guid the hands and fingers of pupils in playing on the piano, etc.
chiropodist |One who treats diseases of the hands and feet; especially, one who removes corns and bunions.
chiropody |The art of treating diseases of the hands and feet.
chirosophist |A fortune teller.
chirp |To make a shop, sharp, cheerful, as of small birds or crickets.\n\nA short, sharp note, as of a bird or insect. \"The chirp of flitting bird.\" Bryant.
chirper |One who chirps, or is cheerful.
chirping |Cheering; enlivening. He takes his chirping pint, he cracks his jokes. Pope.
chirpingly |In a chirping manner.
chirre |To coo, as a pigeon. [Obs.]
chirrup |To quicken or animate by chirping; to cherup.\n\nTo chirp. Tennyson. The criket chirrups on the hearth. Goldsmith.\n\nThe act of chirping; a chirp. The sparrows' chirrup on the roof. Tennyson.
chirrupy |Cheerful; joyous; chatty.
chirurgeon |A surgeon. [Obs.]
chirurgeonly |Surgically. [Obs.] Shak.
chirurgery |Surgery. [Obs.]
chirurgic |Surgical [Obs.] \"Chirurgical lore\" Longfellow.
chirurgical |Surgical [Obs.] \"Chirurgical lore\" Longfellow.
chisel |A tool with a cutting edge on one end of a metal blade, used in dressing, shaping, or working in timber, stone, metal, etc.; -- usually driven by a mallet or hammer. Cold chisel. See under Cold, a.\n\n1. To cut, pare, gouge, or engrave with a chisel; as, to chisel a block of marble into a statue. 2. To cut close, as in a bargain; to cheat. [Slang]
chisleu |The ninth month of the Jewish ecclesiastical year, answering to a part of November with a part of December.
chisley |Having a large admixture of small pebbles or gravel; -- said of a soil. Gardner.
chit |1. The embryo or the growing bud of a plant; a shoot; a sprout; as, the chits of Indian corn or of potatoes. 2. A child or babe; as, a forward chit; also, a young, small, or insignificant person or animal. A little chit of a woman. Thackeray. 3. An excrescence on the body, as a wart. [Obs.] 4. A small tool used in cleaving laths. Knight.\n\nTo shoot out; to sprout. I have known barley chit in seven hours after it had been thrown forth. Mortimer.\n\nChideth. [Obs.] Chaucer.
chitchat |Familiar or trifling talk; prattle.
chitin |A white amorphous horny substance forming the harder part of the outer integument of insects, crustacea, and various other invertebrates; entomolin.
chitinization |The process of becoming chitinous.
chitinous |Having the nature of chitin; consisting of, or containing, chitin.
chiton |1. An under garment among the ancient Greeks, nearly representing the modern shirt. 2. (Zoöl.)  One of a group of gastropod mollusks, with a shell composed of eight movable dorsal plates. See Polyplacophora.
chitter |1. To chirp in a tremulous manner, as a bird. [Obs.] Chaucer. 2. To shiver or chatter with cold. [Scot.] Burns.
chitterling |The frill to the breast of a shirt, which when ironed out resembled the small entrails. See Chitterlings. [Obs.] Gascoigne.
chitterlings |The smaller intestines of swine, etc., fried for food.
chittra |The axis deer of India.
chitty |1. Full of chits or sprouts. 2. Childish; like a babe. [Obs.]
chivachie |A cavalry raid; hence, a military expedition. [Obs.] Chaucer.
chivalric |Relating to chivalry; knightly; chivalrous.
chivalrous |Pertaining to chivalry or knight-errantry; warlike; heroic; gallant; high-spirited; high-minded; magnanimous. In brave pursuit of chivalrous emprise. Spenser.
chivalrously |In a chivalrous manner; gallantly; magnanimously.
chivalry |1. A body or order of cavaliers or knights serving on horseback; illustrious warriors, collectively; cavalry. \"His Memphian chivalry.\" Milton. By his light Did all the chivalry of England move, To do brave acts. Shak. 2. The dignity or system of knighthood; the spirit, usages, or manners of knighthood; the practice of knight-errantry. Dryden. 3. The qualifications or character of knights, as valor, dexterity in arms, courtesy, etc. The glory of our Troy this day doth lie On his fair worth and single chivalry. Shak. 4. (Eng. Law)  A tenure of lands by knight's service; that is, by the condition of a knight's performing service on horseback, or of performing some noble or military service to his lord. 5. Exploit. [Obs.] Sir P. Sidney. Court of chivalry, a court formerly held before the lord high constable and earl marshal of England as judges, having cognizance of contracts and other matters relating to deeds of arms and war. Blackstone.
chivarras |Leggings. [Mex. & Southwestern U. S.]
chivarros |Leggings. [Mex. & Southwestern U. S.]
chive |A filament of a stamen. [Obs.]\n\nA perennial plant (Allium Schoenoprasum), allied to the onion. The young leaves are used in omelets, etc. [Written also cive.]
chivy |To goad, drive, hunt, throw, or pitch. [Slang, Eng.] Dickens.
chlamydate |Having a mantle; -- applied to certain gastropods.
chlamyphore |A small South American edentate (Chlamyphorus truncatus, and C. retusus) allied to the armadillo. It is covered with a leathery shell or coat of mail, like a cloak, attached along the spine.
chlamys |A loose and flowing outer garment, worn by the ancient Greeks; a kind of cloak.
chloasma |A cutaneous affection characterized by yellow or yellowish brown pigmented spots.
chloral |1. (Chem.)  A colorless oily liquid, CCl3.CHO, of a pungent odor and harsh taste, obtained by the action of chlorine upon ordinary or ethyl alcohol. 2. (Med.)  Chloral hydrate. Chloral hydrate, a white crystalline substance, obtained by treating chloral with water. It produces sleep when taken internally or hypodermically; -- called also chloral.
chloralamide |A compound of chloral and formic amide used to produce sleep.
chloralism |A morbid condition of the system resulting from excessive use of chloral.
chloralum |An impure aqueous solution of chloride of aluminium, used as an antiseptic and disinfectant.
chloranil |A yellow crystalline substance, C6Cl4.O2, regarded as a derivative of quinone, obtained by the action of chlorine on certain benzene derivatives, as aniline.
chlorate |A salt of chloric acid; as, chlorate of potassium.
chloraurate |See Aurochloride.
chlorhydric |Same as Hydrochloric.
chlorhydrin |One of a class of compounds formed from certain polybasic alcohols (and especially glycerin) by the substitution of chlorine for one or more hydroxyl groups.
chloric |Pertaining to, or obtained from, chlorine; -- said of those compounds of chlorine in which this element has a valence of five, or the next to its highest; as, chloric acid, HClO3. Chloric ether (Chem.), ethylene dichloride. See Dutch liquid, under Dutch.
chloridate |To treat or prepare with a chloride, as a plate with chloride of silver, for the purposes of photography. R. Hunt.
chloride |A binary compound of chlorine with another element or radical; as, chloride of sodium (common salt). Chloride of ammonium, sal ammoniac. -- Chloride of lime, bleaching powder; a grayish white substance, CaOClcalcium hypochlorite. See Hypochlorous acid, under Hypochlorous. -- Mercuric chloride, corrosive sublimate.
chloridic |Of or pertaining to a chloride; containing a chloride.
chloridize |See Chloridate.
chlorimetry |See Chlorometry.
chlorinate |To treat, or cause to combine, with chlorine.
chlorination |The act or process of subjecting anything to the action of chlorine; especially, a process for the extraction of gold by exposure of the auriferous material to chlorine gas.
chlorine |One of the elementary substances, commonly isolated as a greenish yellow gas, two and one half times as heavy as air, of an intensely disagreeable suffocating odor, and exceedingly poisonous. It is abundant in nature, the most important compound being common salt. It is powerful oxidizing, bleaching, and disinfecting agent. Symbol Cl. Atomic weight, 35.4. Chlorine family, the elements fluorine, chlorine, bromine, and iodine, called the halogens, and classed together from their common peculiariries.
chloriodic |Compounded of chlorine and iodine; containing chlorine and iodine.
chloriodine |A compound of chlorine and iodine. [R.]
chlorite |The name of a group of minerals, usually of a green color and micaceous to granular in structure. They are hydrous silicates of alumina, iron, and magnesia. Chlorite slate, a schistose or slaty rock consisting of alumina, iron, and magnesia.\n\nAny salt of chlorous acid; as, chlorite of sodium.
chloritic |Pertaining to, or containing, chlorite; as, chloritic sand.
chlormethane |A colorless gas, CH3Cl, of a sweet odor, easily condensed to a liquid; -- called also methyl chloride.
chloro- |A prefix denoting that chlorine is an ingredient in the substance named.
chlorocruorin |A green substance, supposed to be the cause of the green color of the blood in some species of worms. Ray Lankester.
chlorodyne |A patent anodyne medicine, containing opium, chloroform, Indian hemp, etc.
chloroform |A colorless volatile liquid, CHCl3, having an ethereal odor and a sweetish taste, formed by treating alcohol with chlorine and an alkali. It is a powerful solvent of wax, resin, etc., and is extensively used to produce anæsthesia in surgical operations; also externally, to alleviate pain.\n\nTo treat with chloroform, or to place under its influence.
chloroleucite |Same as Chloroplastid.
chlorometer |An instrument to test the decoloring or bleaching power of chloride of lime.
chlorometry |The process of testing the bleaching power of any combination of chlorine.
chloropal |A massive mineral, greenish in color, and opal-like in appearance. It is essentially a hydrous silicate of iron.
chloropeptic |Of or pertaining to an acid more generally called pepsin- hydrochloric acid.
chlorophane |1. (Min.)  A variety of fluor spar, which, when heated, gives a beautiful emerald green light. 2. (Physiol.)  The yellowish green pigment in the inner segment of the cones of the retina. See Chromophane.
chlorophyll |Literally, leaf green; a green granular matter formed in the cells of the leaves (and other parts exposed to light) of plants, to which they owe their green color, and through which all ordinary assimilation of plant food takes place. Similar chlorophyll granules have been found in the tissues of the lower animals. [Written also chlorophyl.]
chloroplast |A plastid containing chlorophyll, developed only in cells exposed to the light. Chloroplasts are minute flattened granules, usually occurring in great numbers in the cytoplasm near the cell wall, and consist of a colorless ground substance saturated with chlorophyll pigments. Under light of varying intensity they exhibit phototactic movements. In animals chloroplasts occur only in certain low forms.
chloroplastid |A granule of chlorophyll; -- also called chloroleucite.
chloroplatinic |See Platinichloric.
chlorosis |1. (Med.)  The green sickness; an anæmic disease of young women, characterized by a greenish or grayish yellow hue of the skin, weakness, palpitation, etc. 2. (Bot.)  A disease in plants, causing the flowers to turn green or the leaves to lose their normal green color.
chlorotic |Pertaining to, or affected by, chlorosis.
chlorous |1. Of, pertaining to, or derived from, chlorine; -- said of those compounds of chlorine in which this element has a valence of three, the next lower than in chloric compounds; as, chlorous acid, HClO2. 2. (Chem. Physics)  Pertaining to, or resembling, the electro-negative character of chlorine; hence, electro-negative; -- opposed to basylous or zincous. [Obs.]
chlorpicrin |A heavy, colorless liquid, CCl3.NO2, of a strong pungent odor, obtained by subjecting picric acid to the action of chlorine. [Written also chloropikrin.]
chloruret |A chloride. [Obs.]
choak |See Choke.
choanoid |Funnel-shaped; -- applied particularly to a hollow muscle attached to the ball of the eye in many reptiles and mammals.
chocard |The chough.
