informed |Unformed or ill-formed; deformed; shapeless. [Obs.] Spenser. Informed stars. See under Unformed.
inhibitory |Of or pertaining to, or producing, inhibition; consisting in inhibition; tending or serving to inhibit; as, the inhibitory action of the pneumogastric on the respiratory center. I would not have you consider these criticisms as inhibitory. Lamb. Inhibitory nerves (Physiol.), those nerves which modify, inhibit, or suppress a motor or secretory act already in progress.
inhibitory-motor |A term applied to certain nerve centers which govern or restrain subsidiary centers, from which motor impressions issue. McKendrick.
inhive |To place in a hive; to hive.
inhold |To have inherent; to contain in itself; to possess. [Obs.] Sir W. Raleigh.
inholder |An inhabitant. [Obs.] Spenser.
inhoop |To inclose in a hoop, or as in a hoop. [R.] Shak.
inhospitable |1. Not hospitable; not disposed to show hospitality to strangers or guests; as, an inhospitable person or people. Have you no touch of pity, that the poor Stand starved at your inhospitable door Cowper. 2. Affording no shelter or sustenance; barren; desert; bleak; cheerless; wild. \"Inhospitable wastes.\" Blair. -- In*hos\"pi*ta*ble*mess, n. -- In*hos\"pi*ta*bly, adv.
inhospitality |The quality or state of being inhospitable; inhospitableness; lack of hospitality. Bp. Hall.
inhuman |1. Destitute of the kindness and tenderness that belong to a human being; cruel; barbarous; savage; unfeeling; as, an inhuman person or people. 2. Characterized by, or attended with, cruelty; as, an inhuman act or punishment. Syn. -- Cruel; unfeeling; pitiless; merciless; savage; barbarous; brutal; ferocious; ruthless; fiendish.
inhumanity |The quality or state of being inhuman; cruelty; barbarity. Man's inhumanity to man Makes countless thousands mourn. Burns.
inhumanly |In an inhuman manner; cruelly; barbarously.
inhumate |To inhume; to bury; to inter. Hedge.
inhumation |1. The act of inhuming or burying; interment. 2. (Old Chem.)  The act of burying vessels in warm earth in order to expose their contents to a steady moderate heat; the state of being thus exposed. 3. (Med.)  Arenation.
inhume |1. To deposit, as a dead body, in the earth; to bury; to inter. Weeping they bear the mangled heaps of slain, Inhume the natives in their native plain. Pope. 2. To bury or place in warm earth for chemical or medicinal purposes.
inia |A South American freshwater dolphin (Inia Boliviensis). It is ten or twelve feet long, and has a hairy snout.
inial |Pertaining to the inion.
inimaginable |Unimaginable; inconceivable. [R.] Bp. Pearson.
inimical |1. Having the disposition or temper of an enemy; unfriendly; unfavorable; -- chiefly applied to private, as hostile is to public, enmity. 2. Opposed in tendency, influence, or effects; antagonistic; inconsistent; incompatible; adverse; repugnant. We are at war with a system, which, by its essence, is inimical to all other governments. Burke.
inimicality |The state or quality of being inimical or hostile; hostility; unfriendliness. [R.]
inimically |In an inimical manner.
inimicitious |Inimical; unfriendly. [R.] Sterne.
inimicous |Inimical; hurtful. [Obs.] Evelyn.
inimitability |The quality or state of being inimitable; inimitableness. Norris.
inimitable |Not capable of being imitated, copied, or counterfeited; beyond imitation; surpassingly excellent; matchless; unrivaled; exceptional; unique; as, an inimitable style; inimitable eloquence. \"Inimitable force.\" Dryden. Performing such inimitable feats. Cowper. -- In*im\"i*ta*ble*ness, n. -- In*im\"i*ta*bly, adv.
inion |The external occipital protuberance of the skull.
iniquitous |Characterized by iniquity; unjust; wicked; as, an iniquitous bargain; an iniquitous proceeding. Demagogues . . . bribed to this iniquitous service. Burke. Syn. -- Wicked; wrong; unjust; unrighteous; nefarious; criminal. -- Iniquitous, Wicked, Nefarious. Wicked is the generic term. Iniquitous is stronger, denoting a violation of the rights of others, usually by fraud or circumvention. Nefarious is still stronger, implying a breach of the most sacred obligations, and points more directly to the intrinsic badness of the deed.
iniquitously |In an iniquitous manner; unjustly; wickedly.
iniquity |1. Absence of, or deviation from, just dealing; want of rectitude or uprightness; gross injustice; unrighteousness; wickedness; as, the iniquity of bribery; the iniquity of an unjust judge. Till the world from his perfection fell Into all filth and foul iniquity. Spenser. 2. An iniquitous act or thing; a deed of injustice o Milton. Your iniquities have separated between you and your God. Is. lix. 2. 3. A character or personification in the old English moralities, or moral dramas, having the name sometimes of one vice and sometimes of another. See Vice. Acts old Iniquity, and in the fit Of miming gets the opinion of a wit. B. Jonson.
iniquous |Iniquitous. [Obs.] Sir T. Browne.
inirritable |Not irritable; esp. (Physiol.), incapable of being stimulated to action, as a muscle. -- In*ir`ri*ta*bil\"i*ty, n.
inirritative |Not accompanied with excitement; as, an inirritative fever. E. Darwin.
inisle |To form into an island; to surround. [Obs.] Drayton.
initial |1. Of or pertaining to the beginning; marking the commencement; incipient; commencing; as, the initial symptoms of a disease. 2. Placed at the beginning; standing at the head, as of a list or series; as, the initial letters of a name.\n\nThe first letter of a word or a name.\n\nTo put an initial to; to mark with an initial of initials. [R.]
initially |In an initial or incipient manner or degree; at the beginning. Barrow.
initiate |1. To introduce by a first act; to make a beginning with; to set afoot; to originate; to commence; to begin or enter upon. How are changes of this sort to be initiated I. Taylor. 2. To acquaint with the beginnings; to instruct in the rudiments or principles; to introduce. Providence would only initiate mankind into the useful knowledge of her treasures, leaving the rest to employ our industry. Dr. H. More. To initiate his pupil into any part of learning, an ordinary skill in the governor is enough. Locke. 3. To introduce into a society or organization; to confer membership on; especially, to admit to a secret order with mysterious rites or ceremonies. The Athenians believed that he who was initiated and instructed in the mysteries would obtain celestial honor after death. Bp. Warburton. He was initiated into half a dozen clubs before he was one and twenty. Spectator.\n\nTo do the first act; to perform the first rite; to take the initiative. [R.] Pope.\n\n1. Unpracticed; untried; new. [Obs.] \"The initiate fear that wants hard use.\" Shak. 2. Begun; commenced; introduced to, or instructed in, the rudiments; newly admitted. To rise in science as in bliss, Initiate in the secrets of the skies. Young. Initiate tenant by courtesy (Law), said of a husband who becomes such in his wife's estate of inheritance by the birth of a child, but whose estate is not consummated till the death of the wife. Mozley & W.\n\nOne who is, or is to be, initiated.
initiation |1. The act of initiating, or the process of being initiated or introduced; as, initiation into a society, into business, literature, etc. \"The initiation of coursers of events.\" Pope. 2. The form or ceremony by which a person is introduced into any society; mode of entrance into an organized body; especially, the rite of admission into a secret society or order. Silence is the first thing that is taught us at our initiation into sacred mysteries. Broome.
initiative |Serving to initiate; inceptive; initiatory; introductory; preliminary.\n\n1. An introductory step or movement; an act which originates or begins. The undeveloped initiatives of good things to come. I. Taylor. 2. The right or power to introduce a new measure or course of action, as in legislation; as, the initiative in respect to revenue bills is in the House of Representatives.
initiator |One who initiates.
initiatory |1. Suitable for an introduction or beginning; introductory; prefatory; as, an initiatory step. Bp. Hall. 2. Tending or serving to initiate; introducing by instruction, or by the use and application of symbols or ceremonies; elementary; rudimentary. Some initiatory treatises in the law. Herbert. Two initiatory rites of the same general import can not exist together. J. M. Mason.\n\nAn introductory act or rite. [R.]
inject |1. To throw in; to dart in; to force in; as, to inject cold water into a condenser; to inject a medicinal liquid into a cavity of the body; to inject morphine with a hypodermic syringe. 2. Fig.: To throw; to offer; to propose; to instill. Cæsar also, then hatching tyranny, injected the same scrupulous demurs. Milton. 3. To cast or throw; -- with on. [R.] And mound inject on mound. Pope. 4. (Anat.)  To fill (a vessel, cavity, or tissue) with a fluid or other substance; as, to inject the blood vessels.
injection |1. The act of injecting or throwing in; -- applied particularly to the forcible throwing in of a liquid, or aëriform body, by means of a syringe, pump, etc. 2. That which is injected; especially, a liquid medicine thrown into a cavity of the body by a syringe or pipe; a clyster; an enema. Mayne. 3. (Anat.) (a) The act or process of filling vessels, cavities, or tissues with a fluid or other substance. (b) A specimen prepared by injection. 4. (Steam Eng.) (a) The act of throwing cold water into a condenser to produce a vacuum. (b) The cold water thrown into a condenser. Injection cock, or Injection valve (Steam Eng.), the cock or valve through which cold water is admitted into a condenser. -- Injection condenser. See under Condenser. -- Injection pipe, the pipe through which cold water is through into the condenser of a steam engine.
injector |1. One who, or that which, injects. 2. (Mach.)  A contrivance for forcing feed water into a steam boiler by the direct action of the steam upon the water. The water is driven into the boiler by the impulse of a jet of the steam which becomes condensed as soon as it strikes the stream of cold water it impels; - - also called Giffard's injector, from the inventor.
injelly |To place in jelly. [R.]
injoin |See Enjoin.
injoint |To join; to unite. [R.] Shak.\n\nTo disjoint; to separate. [Obs.] Holland.
injucundity |Unpleassantness; disagreeableness. [Obs.] Cockeram.
injudicable |Not cognizable by a judge. [Obs.] Bailey.
injudicial |Not according to the forms of law; not judicial. [R.]
injudicious |1. Not judicious; wanting in sound judgment; undiscerning; indiscreet; unwise; as, an injudicious adviser. An injudicious biographer who undertook to be his editor and the protector of his memory. A. Murphy. 2. Not according to sound judgment or discretion; unwise; as, an injudicious measure. Syn. -- Indiscreet; inconsiderate; undiscerning; incautious; unwise; rash; hasty; imprudent.
injudiciously |In an injudicious manner.
injudiciousness |The quality of being injudicious; want of sound judgment; indiscretion. Whitlock.
injunction |1. The act of enjoining; the act of directing, commanding, or prohibiting. 2. That which is enjoined; an order; a mandate; a decree; a command; a precept; a direction. For still they knew,and ought to have still remembered, The high injunction,not to taste that fruit. Milton. Necessary as the injunctions of lawful authority. South. 3. (Law)  A writ or process, granted by a court of equity, and, insome cases, under statutes, by a court of law,whereby a party is required to do or to refrain from doing certain acts, according to the exigency of the writ. Note: It is more generally used as a preventive than as a restorative process, although by no means confined to the former. Wharton. Daniell. Story.
injure |To do harm to; to impair the excellence and value of; to hurt; to damage; -- used in a variety of senses; as: (a) To hurt or wound, as the person; to impair soundness, as of health. (b) To damage or lessen the value of, as goods or estate. (c) To slander, tarnish, or impair, as reputation or character. (d) To impair or diminish, as happiness or virtue. (e) To give pain to, as the sensibilities or the feelings; to grieve; to annoy. (f) To impair, as the intellect or mind. When have I injured thee when done thee wrong Shak. Syn. -- To damage; mar; spoil; harm; sully; wrong; maltreat; abuse; insult; affront; dishonor.
injurer |One who injures or wrongs.
injuria |Injury; invasion of another's rights.
injurious |1. Not just; wrongful; iniquitous; culpable. [Obs.] Milton. Till the injurious Roman did extort This tribute from us, we were free. Shak. 2. Causing injury or harm; hurtful; harmful; detrimental; mischievous; as, acts injurious to health, credit, reputation, property, etc. Without being injurious to the memory of our English Pindar. Dryden. Syn. -- Harmful; hurtful; pernicious; mischievous; baneful; deleterious; noxious; ruinous; detrimental.
injuriously |In an injurious or hurtful manner; wrongfully; hurtfully; mischievously.
injuriousness |The quality of being injurious or hurtful; harmfulness; injury.
injury |Any damage or violation of, the person, character, feelings, rights, property, or interests of an individual; that which injures, or occasions wrong, loss, damage, or detriment; harm; hurt; loss; mischief; wrong; evil; as, his health was impaired by a severe injury; slander is an injury to the character. For he that doeth injury shall receve that he did evil. Wyclif(Col. iii. 25). Many times we do injury to a cause by dwelling on trifling arguments. I. Watts. Riot ascends above their loftiest towers, And injury and outrage. Milton. Note: Injury in morals and jurisprudence is the intentional doing of wrong. Fleming. Syn. -- Harm; hurt; damage; loss; impairment; detriment; wrong; evil; injustice.
injustice |1. Want of justice and equity; violation of the rights of another or others; iniquity; wrong; unfairness; imposition. If this people [the Athenians] resembled Nero in their extravagance, much more did they resemble and even exceed him in cruelty and injustice. Burke. 2. An unjust act or deed; a sin; a crime; a wrong. Cunning men can be guilty of a thousand injustices without being discovered, or at least without being punished. Swift.
ink |The step, or socket, in which the lower end of a millstone spindle runs.\n\n1. A fluid, or a viscous material or preparation of various kinds (commonly black or colored), used in writing or printing. Make there a prick with ink. Chaucer. Deformed monsters, foul and black as ink. Spenser. 2. A pigment. See India ink, under India. Note: Ordinarily, black ink is made from nutgalls and a solution of some salt of iron, and consists essentially of a tannate or gallate of iron; sometimes indigo sulphate, or other coloring matter,is added. Other black inks contain potassium chromate, and extract of logwood, salts of vanadium, etc. Blue ink is usually a solution of Prussian blue. Red ink was formerly made from carmine (cochineal), Brazil wood, etc., but potassium eosin is now used. Also red, blue, violet, and yellow inks are largely made from aniline dyes. Indelible ink is usually a weak solution of silver nitrate, but carbon in the form of lampblack or India ink, salts of molybdenum, vanadium, etc., are also used. Sympathetic inks may be made of milk, salts of cobalt, etc. See Sympathetic ink (below). Copying ink, a peculiar ink used for writings of which copies by impression are to be taken. -- Ink bag (Zoöl.), an ink sac. -- Ink berry. (Bot.) (a) A shrub of the Holly family (Ilex glabra), found in sandy grounds along the coast from New England to Florida, and producing a small black berry. (b) The West Indian indigo berry. See Indigo. -- Ink plant (Bot.), a New Zealand shrub (Coriaria thumifolia), the berries of which uield a juice which forms an ink. -- Ink powder, a powder from which ink is made by solution. -- Ink sac (Zoöl.), an organ, found in most cephalopods, containing an inky fluid which can be ejected from a duct opening at the base of the siphon. The fluid serves to cloud the water, and enable these animals to escape from their enemies. See Illust. of Dibranchiata. -- Printer's ink, or Printing ink. See under Printing. -- Sympathetic ink, a writing fluid of such a nature that what is written remains invisible till the action of a reagent on the characters makes it visible.\n\nTo put ink upon; to supply with ink; to blacken, color, or daub with ink.
inker |One who, or that which, inks; especially, in printing, the pad or roller which inks the type.
inkfish |A cuttlefish. See Cuttlefish.
inkhorn |A small bottle of horn or other material formerly used for holding ink; an inkstand; a portable case for writing materials. \"With a writer's inkhorn by his side.\" Ezek. ix. 2. From his pocket the notary drew his papers and inkhorn. Longfellow.\n\nLearned; pedantic; affected. [Obs.] \"Inkhorn terms.\" Bale.
inkhornism |Pedantry. Sir T. Wilson.
inkiness |The state or quality of being inky; blackness.
inking |Supplying or covering with ink. Inking roller, a somewhat elastic roller,used to spread ink over forms of type, copperplates, etc. -- Inking trough or table, a trough or table from which the inking roller receives its ink.
inkle |A kind of tape or braid. Shak.\n\nTo guess. [Prov. Eng.] \"She inkled what it was.\" R. D. Blackmore.
inkling |A hint; an intimation. The least inkling or glimpse of this island. Bacon. They had some inkling of secret messages. Clarendon.
inknee |Same as Knock-knee.
inkneed |See Knock-kneed.
inknot |To fasten or bind, as with a knot; to knot together. Fuller.
inkstand |A small vessel for holding ink, to dip the pen into; also, a device for holding ink and writing materials.
inkstone |A kind of stone containing native vitriol or subphate of iron, used in making ink.
inky |Consisting of, or resembling, ink; soiled with ink; black. \"Inky blots.\" Shak. \"Its inky blackness.\" Boyle.
inlace |To work in, as lace; to embellish with work resembling lace; also, to lace or enlace. P. Fletcher.
inlagation |The restitution of an outlawed person to the protection of the law; inlawing. Bouvier.
inlaid |of Inlay.
inland |1. Within the land; more or less remote from the ocean or from open water; interior; as, an inland town. \"This wide inland sea.\" Spenser. From inland regions to the distant main. Cowper. 2. Limited to the land, or to inland routes; within the seashore boundary; not passing on, or over, the sea; as, inland transportation, commerce, navigation, etc. 3. Confined to a country or state; domestic; not foreing; as, an inland bill of exchange. See Exchange.\n\nThe interior part of a country. Shak.\n\nInto, or towards, the interior, away from the coast. Cook. The greatest waves of population have rolled inland from the east. S. Turner.
inlander |One who lives in the interior of a country, or at a distance from the sea. Sir T. Browne.
inlandish |Inland. [Obs.] T. Reeve(1657)
inlapidate |To convert into a stony substance; to petrity. [R.] Bacon.
inlard |See Inlard.
inlaw |To clear of outlawry or attainder; to place under the protection of the law. Burrill.
inlay |To lay within; hence, to insert, as pieces of pearl, iviry, choice woods, or the like, in a groundwork of some other material; to form an ornamental surface; to diversify or adorn with insertions. Look,how the floor of heaven Is thick inlaid with patines of bright gold. Shak. But these things are . . . borrowed by the monks to inlay their story. Milton.\n\nMatter or pieces of wood, ivory, etc., inlaid, or prepared for inlaying; that which is inserted or inlaid for ornament or variety. Crocus and hyacinth with rich inlay Broidered the ground. Milton. The sloping of the moonlit sward Was damask work, and deep inlay Of braided blooms. Tennyson.
inlayer |One who inlays, or whose occupation it is to inlay.
inleague |To ally, or form an alliance witgh; to unite; to combine. With a willingness inleague our blood With his, for purchase of full growth in friendship. Ford.
inleaguer |To beleaguer. Holland.
inlet |1. A passage by which an inclosed place may be entered; a place of ingress; entrance. Doors and windows,inlets of men and of light. Sir H. Wotton. 2. A bay or recess,as in the shore of a sea, lake, or large river; a narrow strip of water running into the land or between islands. 3. That which is let in or inland; an inserted material. Note: Inlet is also usewd adjectively,as in inlet pipe, inlet valve, etc.
inlighten |See Enlighten.
inlist |See Enlist.
inlive |To animate. [R.] B. Jonson.
inlock |To lock in, or inclose.
inlumine |See Illumine.
inly |Internal; interior; secret. Didst thou but know the inly touch of love. Shak.\n\nInternally; within; in the heart. \"Whereat he inly raged.\" Milton.
inmacy |The state of being an inmate. [R.] Craig.
inmate |One who lives in the same house or apartment with another; a fellow lodger; esp.,one of the occupants of an asylum, hospital, or prison; by extension, one who occupies or lodges in any place or dwelling. So spake the enemy of mankind, inclos'd In serpent, inmate bad. Milton.\n\nAdmitted as a dweller; resident; internal. [R.] \"Inmate guests.\" Milton.
inmeats |The edible viscera of animals, as the heart, liver, etc.
inmesh |To bring within meshes, as of a net; to enmesh.
inmew |To inclose, as in a mew or cage. [R.] \"Inmew the town below.\" Beau. & Fl.
inmost |Deepest within; farthest from the surface or external part; innermost. And pierce the inmost center of the earth. Shak. The silent, slow, consuming fires, Which on my inmost vitals prey. Addison.
inn |1. A place of shelter; hence, dwelling; habitation; residence; abode. [Obs.] Chaucer. Therefore with me ye may take up your inn For this same night. Spenser. 2. A house for the lodging and entertainment of travelers or wayfarers; a tavern; a public house; a hotel. Note: As distinguished from a private boarding house, an inn is a house for the entertainment of all travelers of good conduct and means of payment,as guests for a brief period,not as lodgers or boarders by contract. The miserable fare and miserable lodgment of a provincial inn. W. Irving. 3. The town residence of a nobleman or distinguished person; as, Leicester Inn. [Eng.] 4. One of the colleges (societies or buildings) in London, for students of the law barristers; as, the Inns of Court; the Inns of Chancery; Serjeants' Inns. Inns of chancery (Eng.), colleges in which young students formerly began their law studies, now occupied chiefly by attorneys, solicitors, etc. -- Inns of court (Eng.), the four societies of \"students and practicers of the law of England\" which in London exercise the exclusive right of admitting persons to practice at the bar; also, the buildings in which the law students and barristers have their chambers. They are the Inner Temple, the Middle Temple, Lincoln's Inn, and Gray's Inn.\n\nTo take lodging; to lodge. [R.] Addison.\n\n1. To house; to lodge. [Obs.] When he had brought them into his city And inned them, everich at his degree. Chaucer. 2. To get in; to in. See In, v. t.
innate |1. Inborn; native; natural; as, innate vigor; innate eloquence. 2. (Metaph.)  Originating in, or derived from, the constitution of the intellect, as opposed to acquired from experience; as, innate ideas. See A priori, Intuitive. There is an innate light in every man, discovering to him the first lines of duty in the common notions of good and evil. South. Men would not be guilty if they did not carry in their mind common notions of morality,innate and written in divine letters. Fleming (Origen). If I could only show,as I hope I shall . . . how men, barely by the use of their natural faculties, may attain to all the knowledge they have, without the help of any innate impressions; and may arrive at certainty without any such original notions or principles. Locke. 3. (Bot.)  Joined by the base to the very tip of a filament; as, an innate anther. Gray. Innate ideas (Metaph.), ideas, as of God, immortality, right and wrong, supposed by some to be inherent in the mind, as a priori principles of knowledge.\n\nTo cause to exit; to call into being. [Obs.] \"The first innating cause.\" Marston.
innately |Naturally.
innateness |The quality of being innate.
innative |Native. [Obs.] Chapman.
innavigable |Incapable of being navigated; impassable by ships or vessels. Drygen. -- In*nav\"i*ga*bly, adv.
inne |In. [Obs.] And eke in what array that they were inne. Chaucer.
inner |1. Further in; interior; internal; not outward; as, an spirit or its phenomena. This attracts the soul, Governs the inner man,the nobler part. Milton. 3. Not obvious or easily discovered; obscure. Inner house (Scot.), the first and second divisions of the court of Session at Edinburgh; also,the place of their sittings. -- Inner jib (Naut.), a fore-and-aft sail set on a stay running from the fore-topmast head to the jib boom. -- Inner plate (Arch.), the wall plate which lies nearest to the center of the roof,in a double-plated roof. -- Inner post (Naut.), a piece brought on at the fore side of the main post, to support the transoms. -- Inner square (Carp.), the angle formed by the inner edges of a carpenter's square.
innerly |More within. [Obs.] Baret.
innermost |Farthest inward; most remote from the outward part; inmost; deepest within. Prov. xviii. 8.
innermostly |In the innermost place. [R.] His ebon cross worn innermostly. Mrs. Browning.
innervate |To supply with nerves; as, the heart is innervated by pneumogastric and sympathetic branches.
innervation |1. The act of innerving or stimulating. 2. (Physiol.)  Special activity excited in any part of the nervous system or in any organ of sense or motion; the nervous influence necessary for the maintenance of life,and the functions of the various organs. 3. (Anat.)  The distribution of nerves in an animal, or to any of its parts.
innerve |To give nervous energy or power to; to give increased energy,force,or courage to; to invigorate; to stimulate.
innholder |One who keeps an inn.
inning |1. Ingathering; harvesting. [Obs.] Holland. 2. The state or turn of being in; specifically, in cricket, baseball, etc.,the turn or time of a player or of a side at the bat; -- often in the pl. Hence: The turn or time of a person, or a party, in power; as, the Whigs went out, and the Democrats had their innings. 3. pl.  Lands recovered from the sea. Ainsworth.
innitency |A leaning; pressure; weight. [R.] Sir T. Browne.
innixion |Act of leaning upon something; incumbency. [Obs.] Derham.
innkeeper |An innholder.
innocence |1. The state or quality of being innocent; freedom from that which is harmful or infurious; harmlessness. 2. The state or quality of being morally free from guilt or sin; purity of heart; blamelessness. The silence often of pure innocence Persuades when speaking fails. Shak. Banished from man's life his happiest life, Simplicity and spotless innocence! Milton. 3. The state or quality of being not chargeable for, or guilty of, a particular crime or offense; as, the innocence of the prisoner was clearly shown. 4. Simplicity or plainness, bordering on weakness or silliness; artlessness; ingenuousness. Chaucer. Shak. Syn. -- Harmlessness; innocuousness; blamelessness; purity; sinlessness; guiltlessness.
innocency |Innocence.
innocent |1. Not harmful; free from that which can injure; innoxious; innocuous; harmless; as, an innocent medicine or remedy. The spear Sung innocent,and spent its force in air. Pope. 2. Morally free from guilt; guiltless; not tainted with sin; pure; upright. To offer up a weak, poor, innocent lamb. Shak. I have sinned in that I have betrayed the innocent blood. Matt. xxvii. 4. The aidless,innocent lady, his wished prey. Milton. 3. Free from the guilt of a particular crime or offense; as, a man is innocent of the crime charged. Innocent from the great transgression. Ps. xix. 13. 4. Simple; artless; foolish. Shak. 5. Lawful; permitted; as, an innocent trade. 6. Not contraband; not subject to forfeiture; as, innocent goods carried to a belligerent nation. Innocent party (Law),a party who has not notice of a fact tainting a litigated transaction with illegality. Syn. -- Harmless; innoxious; innoffensive; guiltless; spotless; immaculate; pure; unblamable; blameless; faultless; guileless; upright.\n\n1. An innocent person; one free from, or unacquainted with, guilt or sin. Shak. 2. An unsophisticated person; hence, a child; a simpleton; an idiot. B. Jonson. In Scotland a natural fool was called an innocent. Sir W. Scott. Innocents' day (Eccl.), Childermas day.
innocently |In an innocent manner.
innocuity |Innocuousness.
innocuous |Harmless; producing no ill effect; innocent. A patient, innocuous, innocent man. Burton. -- In*noc\"u*ous*ly, adv. -- In*noc\"u*ous*ness, n. Where the salt sea innocuously breaks. Wordsworth.
innodate |To bind up,as in a knot; to include. [Obs.] Fuller.
innominable |Not to be named. [R.] Testament of Love.
innominate |1. Having no name; unnamed; as, an innominate person or place. [R.] Ray. 2. (Anat.)  A term used in designating many parts otherwise unnamed; as, the innominate artery, a great branch of the arch of the aorta; the innominate vein, a great branch of the superior vena cava. Innominate bone (Anat.), the great bone which makes a lateral half of the pelvis in mammals; hip bone; haunch bone; huckle bone. It is composed of three bones, ilium, ischium, and pubis, consolidated into one in the adult, though separate in the fetus, as also in many adult reptiles and amphibians. -- Innominate contracts (Law), in the Roman law, contracts without a specific name.
innovate |1. To bring in as new; to introduce as a novelty; as, to innovate a word or an act. [Archaic] 2. To change or alter by introducing something new; to remodel; to revolutionize. [Archaic] Burton. From his attempts upon the civil power, he proceeds to innovate God's worship. South.\n\nTo introduce novelties or changes; -- sometimes with in or on. Bacon. Every man,therefore,is not fit to innovate. Dryden.
innovation |1. The act of innovating; introduction of something new, in customs, rites, etc. Dryden. 2. A change effected by innovating; a change in customs; something new, and contrary to established customs, manners, or rites. Bacon. The love of things ancient doth argue stayedness, but levity and want of experience maketh apt unto innovations. Hooker. 3. (Bot.)  A newly formed shoot, or the annually produced addition to the stems of many mosses.
innovationist |One who favors innovation.
innovative |Characterized by, or introducing, innovations. Fitzed. Hall.
innovator |One who innovates. Shak.
innoxious |1. Free from hurtful qualities or effects; harmless. \"Innoxious flames.\" Sir K. Digby. 2. Free from crime; pure; innocent. Pope. -- In*nox`ious*ly, adv. -- In*nox\"ious*ness, n.
innubilous |Cloudless. [Obs.] Blount.
innuendo |1. An oblique hint; a remote allusion or reference, usually derogatory to a person or thing not named; an insinuation. Mercury . . . owns it a marriage by an innuendo. Dryden. Pursue your trade of scandal picking; Your innuendoes, when you tell us, That Stella loves to talk with fellows. Swift. 2. (Law)  An averment employed in pleading, to point the application of matter otherwise unintelligible; an interpretative parenthesis thrown into quoted matter to explain an obscure word or words; -- as, the plaintiff avers that the defendant said that he (innuendo the plaintiff) was a thief. Wharton. Note: The term is so applied from having been the introductory word of this averment or parenthetic explanation when pleadings were in Latin. The word \"meaning\" is used as its equivalent in modern forms. Syn. -- Insinuation; suggestion; hint; intimation; reference; allusion; implication; representation; -- Innuendo, Insinuation. An innuendo is an equivocal allusion so framed as to point distinctly at something which is injurious to the character or reputation of the person referred to. An insinuation turns on no such double use of language, but consists in artfully winding into the mind imputations of an injurious nature without making any direct charge.
innuent |Conveying a hint; significant. [Obs.] Burton.
innuit |An Eskimo.
innumerability |State of being innumerable. Fotherby.
innumerable |Not capable of being counted, enumerated, or numbered, for multitude; countless; numberless; unnumbered, hence, indefinitely numerous; of great number. Innumerable as the stars of night. Milton. -- In*nu\"mer*a*ble*ness, n. -- In*nu\"mer*a*bly, adv.
innumerous |Innumerable. [Archaic] Milton.
innutrition |Want of nutrition; failure of nourishment. E. Darwin.
innutritious |Not nutritious; not furnishing nourishment.
innutritive |Innutritious.
innyard |The yard adjoining an inn.
inobedience |Disobedience. [Obs.] Wyclif. Chaucer.
inobedient |Not obedient; disobedient. [Obs.] Chaucer. -- In`o*be\"di*ent*ly, adv. [Obs.]
inobservable |Not observable.
inobservance |Want or neglect of observance. Bacon.
inobservant |Not observant; regardless; heedless. Bp. Hurd. -- In`ob*serv\"ant*ly, adv.
inobservation |Neglect or want of observation. [R.]
inobtrusive |Not obtrusive; unobtrusive. -- In`ob*tru\"sive*ly, adv. -- In`ob*tru\"sive*ness, n.
inocarpin |A red, gummy, coloring matter, extracted from the colorless juice of the Otaheite chestnut (Inocarpus edulis).
inoccupation |Want of occupation.
inoceramus |An extinct genus of large, fossil, bivalve shells,allied to the mussels. The genus is characteristic of the Cretaceous period.
inoculability |The qual ity or state of being inoculable.
inoculable |Capable of being inoculated; capable of communicating disease, or of being communicated, by inoculation.
inocular |Inserted in the corner of the eye; -- said of the antenn
inoculate |1. To bud; to insert, or graft, as the bud of a tree or plant in another tree or plant. 2. To insert a foreign bud into; as, to inoculate a tree. 3. (Med.)  To communicate a disease to ( a person ) by inserting infectious matter in the skin or flesh; as, to inoculate a person with the virus of smallpox,rabies, etc. See Vaccinate. 4. Fig.: To introduce into the mind; -- used especially of harmful ideas or principles; to imbue; as, to inoculate one with treason or infidelity.\n\n1. To graft by inserting buds. 2. To communicate disease by inoculation.
inoculation |1. The act or art of inoculating trees or plants. 2. (Med.)  The act or practice of communicating a disease to a person in health, by inserting contagious matter in his skin or flesh. Note: The use was formerly limited to the intentional communication of the smallpox, but is now extended to include any similar introduction of modified virus; as, the inoculation of rabies by Pasteur. 3. Fig.: The communication of principles, especially false principles, to the mind.
inoculator |One who inoculates; one who propagates plants or diseases by inoculation.
inodiate |To make odious or hateful. [Obs.] South.
inodorate |Inodorous. [Obs.] Bacon.
inodorous |Emitting no odor; wthout smell; scentless; odorless. -- In*o\"dor*ous*ness, n.
inoffensive |1. Giving no offense, or provocation; causing no uneasiness, annoyance, or disturbance; as, an inoffensive man, answer, appearance. 2. Harmless; doing no injury or mischief. Dryden. 3. Not obstructing; presenting no interruption bindrance. [R.] Milton. So have Iseen a river gintly glide In a smooth course, and inoffensive tide. Addison. -- In\"of*fen\"sive*ly, adv. -- In\"of*fen\"sive*ness, n.
inofficial |Not official; not having official sanction or authoriy; not according to the forms or ceremony of official business; as, inofficial intelligence. Pinckney and Marshall would not make inofficial visits to discuss official business. Pickering. Syn. -- Private; informal; unwarranted; unauthorizod; irregular; unceremonious; unprofessional.
inofficially |Without the usual forms, or not in the official character.
