lady-killer |A gallant who captivates the hearts of women. \"A renowned dandy and lady-killer.\" Blackw. Mag.
lance |1. A weapon of war, consisting of a long shaft or handle and a steel blade or head; a spear carried by horsemen, and often decorated with a small flag; also, a spear or harpoon used by whalers and fishermen. A braver soldier never couched lance. Shak. 2. A soldier armed with a lance; a lancer. 3. (Founding)  A small iron rod which suspends the core of the mold in casting a shell. 4. (Mil.)  An instrument which conveys the charge of a piece of ordnance and forces it home. 5. (Pyrotech.)  One of the small paper cases filled with combustible composition, which mark the outlines of a figure. Free lance, in the Middle Ages, and subsequently, a knight or roving soldier, who was free to engage for any state or commander that purchased his services; hence, a person who assails institutions or opinions on his own responsibility without regard to party lines or deference to authority. -- Lance bucket (Cavalry), a socket attached to a saddle or stirrup strap, in which to rest the but of a lance. -- Lance corporal, same as Lancepesade. -- Lance knight, a lansquenet. B. Jonson. -- Lance snake (Zoöl.), the fer-de-lance. -- Stink-fire lance (Mil.), a kind of fuse filled with a composition which burns with a suffocating odor; -- used in the counter operations of miners. To break a lance, to engage in a tilt or contest.\n\n1. To pierce with a lance, or with any similar weapon. Seized the due victim, and with fury lanced Her back. Dryden. 2. To open with a lancet; to pierce; as, to lance a vein or an abscess. 3. To throw in the manner of a lance. See Lanch.
lance fish |A slender marine fish of the genus Ammodytes, especially Ammodytes tobianus of the English coast; -- called also sand lance.
lancegay |A kind of spear anciently used. Its use was prohibited by a statute of Richard II. Nares. In his hand a launcegay, A long sword by his side. Chaucer.
lancegaye |A kind of spear anciently used. Its use was prohibited by a statute of Richard II. Nares. In his hand a launcegay, A long sword by his side. Chaucer.
lancelet |A small fishlike animal (Amphioxus lanceolatus), remarkable for the rudimentary condition of its organs. It is the type of the class Leptocardia. See Amphioxus, Leptocardia.
lancely |Like a lance. [R.] Sir P. Sidney.
lanceolar |Lanceolate.
lanceolate |Rather narrow, tapering to a point at the apex, and sometimes at the base also; as, a lanceolate leaf.
lanceolated |Rather narrow, tapering to a point at the apex, and sometimes at the base also; as, a lanceolate leaf.
lancepesade |An assistant to a corporal; a private performing the duties of a corporal; -- called also lance corporal.
lancer |1. One who lances; one who carries a lance; especially, a member of a mounted body of men armed with lances, attached to the cavalry service of some nations. Wilhelm. 2. A lancet. [Obs.] 3. pl. (Dancing)  A set of quadrilles of a certain arrangement. [Written also lanciers.]
lancet |1. A surgical instrument of various forms, commonly sharp-pointed and two-edged, used in venesection, and in opening abscesses, etc. 2. (Metal.)  An iron bar used for tapping a melting furnace. Knight. Lancet arch (Arch.), a pointed arch, of which the width, or span, is narrow compared with the height. -- Lancet architecture, a name given to a style of architecture, in which lancet arches are common; -- peculiar to England and 13th century. -- Lancet fish. (Zoöl.) (a) A large, voracious, deep-sea fish (Alepidosaurus ferox), having long, sharp, lancetlike teeth. (b) The doctor, or surgeon fish.
lancewood |A tough, elastic wood, often used for the shafts of gigs, archery bows, fishing rods, and the like. Also, the tree which produces this wood, Duguetia Quitarensis (a native of Guiana and Cuba), and several other trees of the same family (Anonaseæ). Australian lancewood, a myrtaceous tree (Backhousia Australis).
lanch |To throw, as a lance; to let fly; to launch. See Whose arm can lanch the surer bolt. Dryden & Lee.
lanciferous |Bearing a lance.
lanciform |Having the form of a lance.
lancinate |To tear; to lacerate; to pierce or stab. De Quincey.
lancinating |Piercing; seeming to pierce or stab; as, lancinating pains (i.e., severe, darting pains).
lancination |A tearing; laceration. \"Lancinations of the spirit.\" Jer. Taylor.
land |Urine. See Lant. [Obs.]\n\n1. The solid part of the surface of the earth; -- opposed to water as constituting a part of such surface, especially to oceans and seas; as, to sight land after a long voyage. They turn their heads to sea, their sterns to land. Dryden. 2. Any portion, large or small, of the surface of the earth, considered by itself, or as belonging to an individual or a people, as a country, estate, farm, or tract. Go view the land, even Jericho. Josh. ii. 1. Ill fares the land, to hastening ills a prey, Where wealth accumulates and men decay. Goldsmith. Note: In the expressions \"to be, or dwell, upon land,\" \"to go, or fare, on land,\" as used by Chaucer, land denotes the country as distinguished from the town. A poor parson dwelling upon land [i.e., in the country]. Chaucer. 3. Ground, in respect to its nature or quality; soil; as, wet land; good or bad land. 4. The inhabitants of a nation or people. These answers, in the silent night received, The kind himself divulged, the land believed. Dryden. 5. The mainland, in distinction from islands. 6. The ground or floor. [Obs.] Herself upon the land she did prostrate. Spenser. 7. (Agric.)  The ground left unplowed between furrows; any one of several portions into which a field is divided for convenience in plowing. 8. (Law)  Any ground, soil, or earth whatsoever, as meadows, pastures, woods, etc., and everything annexed to it, whether by nature, as trees, water, etc., or by the hand of man, as buildings, fences, etc.; real estate. Kent. Bouvier. Burrill. 9. (Naut.)  The lap of the strakes in a clinker-built boat; the lap of plates in an iron vessel; -- called also landing. Knight. 10. In any surface prepared with indentations, perforations, or grooves, that part of the surface which is not so treated, as the level part of a millstone between the furrows, or the surface of the bore of a rifled gun between the grooves. Land agent, a person employed to sell or let land, to collect rents, and to attend to other money matters connected with land. -- Land boat, a vehicle on wheels propelled by sails. -- Land blink, a peculiar atmospheric brightness seen from sea over distant snow-covered land in arctic regions. See Ice blink. -- Land breeze. See under Breeze. -- Land chain. See Gunter's chain. -- Land crab (Zoöl.), any one of various species of crabs which live much on the land, and resort to the water chiefly for the purpose of breeding. They are abundant in the West Indies and South America. Some of them grow to a large size. -- Land fish a fish on land; a person quite out of place.Shak. -- Land force, a military force serving on land, as distinguished from a naval force. -- Land, ho! (Naut.), a sailor's cry in announcing sight of land. -- Land ice, a field of ice adhering to the coast, in distinction from a floe. -- Land leech (Zoöl.), any one of several species of blood-sucking leeches, which, in moist, tropical regions, live on land, and are often troublesome to man and beast. -- Land measure, the system of measurement used in determining the area of land; also, a table of areas used in such measurement. -- Land, or House, of bondage, in Bible history, Egypt; by extension, a place or condition of special oppression. -- Land o' cakes, Scotland. -- Land of Nod, sleep. -- Land of promise, in Bible history, Canaan: by extension, a better country or condition of which one has expectation. -- Land of steady habits, a nickname sometimes given to the State of Connecticut. -- Land office, a government office in which the entries upon, and sales of, public land are registered, and other business respecting the public lands is transacted. [U.S.] -- Land pike. (Zoöl.) (a) The gray pike, or sauger. (b) The Menobranchus. -- Land service, military service as distinguished from naval service. -- Land rail. (Zoöl) (a) The crake or corncrake of Europe. See Crake. (b) An Australian rail (Hypotænidia Phillipensis); -- called also pectoral rail. -- Land scrip, a certificate that the purchase money for a certain portion of the public land has been paid to the officer entitled to receive it. [U.S.] -- Land shark, a swindler of sailors on shore. [Sailors' Cant] -- Land side (a) That side of anything in or on the sea, as of an island or ship, which is turned toward the land. (b) The side of a plow which is opposite to the moldboard and which presses against the unplowed land. -- Land snail (Zoöl.), any snail which lives on land, as distinguished from the aquatic snails are Pulmonifera, and belong to the Geophila; but the operculated land snails of warm countries are Dioecia, and belong to the Tænioglossa. See Geophila, and Helix. -- Land spout, a descent of cloud and water in a conical form during the occurrence of a tornado and heavy rainfall on land. -- Land steward, a person who acts for another in the management of land, collection of rents, etc. -- Land tortoise, Land turtle (Zoöl.), any tortoise that habitually lives on dry land, as the box tortoise. See Tortoise. -- Land warrant, a certificate from the Land Office, authorizing a person to assume ownership of a public land. [U.S.] -- Land wind. Same as Land breeze (above). -- To make land (Naut.), to sight land. To set the land, to see by the compass how the land bears from the ship. -- To shut in the land, to hide the land, as when fog, or an intervening island, obstructs the view.\n\n1. To set or put on shore from a ship or other water craft; to disembark; to debark. I 'll undertake top land them on our coast. Shak. 2. To catch and bring to shore; to capture; as, to land a fish. 3. To set down after conveying; to cause to fall, alight, or reach; to bring to the end of a course; as, he landed the quoit near the stake; to be thrown from a horse and landed in the mud; to land one in difficulties or mistakes.\n\nTo go on shore from a ship or boat; to disembark; to come to the end of a course.
land league |In Ireland, a combination of tenant farmers and other, organized, with Charles Stewart Parnell as president, in 1879 with a view to the reduction of farm rents and a reconstruction of the land laws. -- Land\"*lea`guer (#), n. -- Land\"*lea`guism (#), n. The Land League, of which Machael Davitt was the founder, originated in Mayo in August, and at a Dublin in October the organization was extended to all Ireland, with Parnell as president. Encyc. Brit.
land of steady habits |Connecticut; -- a nickname alluding to the moral character of its inhabitants, implied by the rigid laws (see Blue laws) of the early period.
land-poor |Pecuniarily embarrassed through owning much unprofitable land. [Colloq.]
landamman |1. A chief magistrate in some of the Swiss cantons. 2. The president of the diet of the Helvetic republic.
landau |A four-wheeled covered vehicle, the top of which is divided into two sections which can be let down, or thrown back, in such a manner as to make an open carriage. [Written also landaw.]
landaulet |A small landau.
landdrost |(a) A chief magistrate in rural districts. He was replaced in 1827 by \"resident magistrates.\" (b) The president of the Heemraad.
landed |1. Having an estate in land. The House of Commons must consist, for the most part, of landed men. Addison. 2. Consisting in real estate or land; as, landed property; landed security.
lander |1. One who lands, or makes a landing. \"The lander in a lonely isle.\" Tennyson. 2. (Mining)  A person who waits at the mouth of the shaft to receive the kibble of ore.
landfall |1. A sudden transference of property in land by the death of its owner. 2. (Naut.)  Sighting or making land when at sea. A good landfall (Naut.), the sighting of land in conformity with the navigator's reckoning and expectation.
landflood |An overflowing of land by river; an inundation; a freshet. Clarendon.
landgrave |A German nobleman of a rank corresponding to that of an earl in England and of a count in France. Note: The title was first adopted by some German counts in the twelfth century, to distinguish themselves from the inferior counts under their jurisdiction. Three of them were princes of the empire.
landgraviate |1. The territory held by a landgrave. 2. The office, jurisdiction, or authority of a landgrave.
landgravine |The wife of a landgrave.
landholder |A holder, owner, or proprietor of land. -- Land\"hold`ing, n. & a.
landing |Of, pertaining to or used for, setting, bringing, or going, on shore. Landing charges, charges or fees paid on goods unloaded from a vessel. -- Landing net, a small, bag-shaped net, used in fishing to take the fish from the water after being hooked. -- Landing stage, a floating platform attached at one end to a wharf in such a manner as to rise and fall with the tide, and thus facilitate passage between the wharf and a vessel lying beside the stage. -- Landing waiter, a customhouse officer who oversees the landing of goods, etc., from vessels; a landwaiter.\n\n1. A going or bringing on shore. 2. A place for landing, as from a ship, a carriage. etc. 3. (Arch.)  The level part of a staircase, at the top of a flight of stairs, or connecting one flight with another. Landing place. me as Landing, n., 2 and 3.
landlady |1. A woman having real estate which she leases to a tenant or tenants. 2. The mistress of an inn or lodging house.
landleaper |See Landlouper.
landless |Having no property in land.
landlock |To inclose, or nearly inclose, as a harbor or a vessel, with land.
landlocked |1. Inclosed, or nearly inclosed, by land. 2. (Zoöl.)  Confined to a fresh-water lake by reason of waterfalls or dams; -- said of fishes that would naturally seek the sea, after spawning; as, the landlocked salmon.
landloper |Same as Landlouper.
landlord |1. The lord of a manor, or of land; the owner of land or houses which he leases to a tenant or tenants. 2. The master of an inn or of a lodging house. Upon our arrival at the inn, my companion fetched out the jolly landlord. Addison.
landlordism |The state of being a landlord; the characteristics of a landlord; specifically, in Great Britain, the relation of landlords to tenants, especially as regards leased agricultural lands. J. S. Mill.
landlordry |The state of a landlord. [Obs.]
landlouper |A vagabond; a vagrant. [Written also landleaper and landloper.] \"Bands of landloupers.\" Moltey.
landlouping |Vagrant; wandering about.
landlubber |One who passes his life on land; -- so called among seamen in contempt or ridicule.
landman |1. A man who lives or serves on land; -- opposed to seaman. 2. (Eng.)  An occupier of land. Cowell.
landmark |1. A mark to designate the boundary of land; any , mark or fixed object (as a marked tree, a stone, a ditch, or a heap of stones) by which the limits of a farm, a town, or other portion of territory may be known and preserved. 2. Any conspicuous object on land that serves as a guide; some prominent object, as a hill or steeple. Landmarks of history, important events by which eras or conditions are determined.
landowner |An owner of land.
landowning |The owning of land. -- a.  Having property in land; of or pertaining to landowners.
landreeve |A subordinate officer on an extensive estate, who acts as an assistant to the steward.
landscape |1. A portion of land or territory which the eye can comprehend in a single view, including all the objects it contains. 2. A picture representing a scene by land or sea, actual or fancied, the chief subject being the general aspect of nature, as fields, hills, forests, water. etc. 3. The pictorial aspect of a country. The landscape of his native country had taken hold on his heart. Macaulay. Landscape gardening, The art of laying out grounds and arranging trees, shrubbery, etc., in such a manner as to produce a picturesque effect.
landscapist |A painter of landscapes.
landskip |A landscape. [Obs. except in poetry.] Straight my eye hath caught new pleasures, Whilst the landskip round it measures. Milton.
landslide |1. The slipping down of a mass of land from a mountain, hill, etc. 2. The land which slips down.
landslip |1. The slipping down of a mass of land from a mountain, hill, etc. 2. The land which slips down.
landsman |1. One who lives on the land; -- opposed to seaman. 2. (Naut.)  A sailor on his first voyage.
landsthing |See Legislature, below.
landstorm |See Varnpligtige.
landstreight |A narrow strip of land. [Obs.]
landsturm |That part of the reserve force in Germany which is called out last.
landtag |The diet or legislative body; as, the Landtag of Prussia.
landtrost |(a) A chief magistrate in rural districts. He was replaced in 1827 by \"resident magistrates.\" (b) The president of the Heemraad.
landwaiter |See Landing waiter, under Landing, a.
landward |Toward the land.
landwehr |That part of the army, in Germany and Austria, which has completed the usual military service and is exempt from duty in time of peace, except that it is called out occasionally for drill.
lane |Alone [Scot.] His lane, by himself; himself alone.\n\nA passageway between fences or hedges which is not traveled as a highroad; an alley between buildings; a narrow way among trees, ras, a lane between lines of men, or through a field of ice. It is become a turn-again lane unto them which they can not go through. Tyndale.
lang |Long. [Obs. or Scot.]
langaha |A curious colubriform snake of the genus Xyphorhynchus, from Madagascar. It is brownish red, and its hose is prolonged in the form of a sharp blade.
langarey |One of numerous species of long-winged, shrikelike birds of Australia and the East Indies, of the genus Artamus, and allied genera; called also wood swallow.
langate |A linen roller used in dressing wounds.
langdak |A wolf (Canis pallipes), found in India, allied to the jackal.
langrage |A kind of shot formerly used at sea for tearing sails and rigging. It consisted of bolts, nails, and other pieces of iron fastened together or inclosed in a canister.
langrel |A kind of shot formerly used at sea for tearing sails and rigging. It consisted of bolts, nails, and other pieces of iron fastened together or inclosed in a canister.
langret |A kind of loaded die. [Obs.]
langridge |See Langrage. Note: [Sometimes compounded with shot.]
langsyne |Long since; long ago. [Scot.]
langteraloo |An old game at cards. See Loo (a) Tatler.
language |1. Any means of conveying or communicating ideas; specifically, human speech; the expression of ideas by the voice; sounds, expressive of thought, articulated by the organs of the throat and mouth. Note: Language consists in the oral utterance of sounds which usage has made the representatives of ideas. When two or more persons customarily annex the same sounds to the same ideas, the expression of these sounds by one person communicates his ideas to another. This is the primary sense of language, the use of which is to communicate the thoughts of one person to another through the organs of hearing. Articulate sounds are represented to the eye by letters, marks, or characters, which form words. 2. The expression of ideas by writing, or any other instrumentality. 3. The forms of speech, or the methods of expressing ideas, peculiar to a particular nation. 4. The characteristic mode of arranging words, peculiar to an individual speaker or writer; manner of expression; style. Others for language all their care express. Pope. 5. The inarticulate sounds by which animals inferior to man express their feelings or their wants. 6. The suggestion, by objects, actions, or conditions, of ideas associated therewith; as, the language of flowers. There was . . . language in their very gesture. Shak. 7. The vocabulary and phraseology belonging to an art or department of knowledge; as, medical language; the language of chemistry or theology. 8. A race, as distinguished by its speech. [R.] All the people, the nations, and the languages, fell down and worshiped the golden image. Dan. iii. 7. Language master, a teacher of languages.[Obs.] Syn. -- Speech; tongue; idiom; dialect; phraseology; diction; discourse; conversation; talk. -- Language, Speech, Tongue, Idiom, Dialect. Language is generic, denoting, in its most extended use, any mode of conveying ideas; speech is the language of articulate sounds; tongue is the Anglo- Saxon tern for language, esp. for spoken language; as, the English tongue. Idiom denotes the forms of construction peculiar to a particular language; dialects are varieties if expression which spring up in different parts of a country among people speaking substantially the same language.\n\nTo communicate by language; to express in language. Others were languaged in such doubtful expressions that they have a double sense. Fuller.
languaged |Having a language; skilled in language; -- chiefly used in composition. \" Manylanguaged nations.\" Pope.
languageless |Lacking or wanting language; speechless; silent. Shak.
langued |Tongued; having the tongue visible. Lions . . . represented as armed and langued gules. Cussans. LANGUE D'OC Langue` d'oc\". Etym: [F., language of oc yes.]  The dialect, closely akin to French, formerly spoken south of the Loire (in which the word for \"yes\" was oc); Provencal. LANGUE D'OIL Langue` d'oïl\". Etym: [F., language of oïl yes.]  The dialect formerly spoken north of the Loire (in which the word for \"yes\" was oïl, F. oui).
languente |In a languishing manner; pathetically.
languet |1. Anything resembling the tongue in form or office; specif., the slip of metal in an organ pipe which turns the current of air toward its mouth. 2. That part of the hilt, in certain kinds of swords, which overlaps the scabbard.
languid |1. Drooping or flagging from exhaustion; indisposed to exertion; without animation; weak; weary; heavy; dull. \" Languid, powerless limbs. \" Armstrong. Fire their languid souls with Cato's virtue. Addison. 2. Slow in progress; tardy. \" No motion so swift or languid.\" Bentley. 3. Promoting or indicating weakness or heaviness; as, a languid day. Feebly she laugheth in the languid moon. Keats. Their idleness, aimless and languid airs. W. Black. Syn. -- Feeble; weak; faint; sickly; pining; exhausted; weary; listless; heavy; dull; heartless. -- Lan\"guid*ly, adv. -- Lan\"guid*ness, n.
languish |1. To become languid or weak; to lose strength or animation; to be or become dull, feeble or spiritless; to pine away; to wither or fade. We . . . do languish of such diseases. 2 Esdras viii. 31. Cease, fond nature, cease thy strife, And let me landguish into life. Pope. For the fields of Heshbon languish. Is. xvi. 8. 2. To assume an expression of weariness or tender grief, appealing for sympathy. Tennyson. Syn. -- To pine; wither; fade; droop; faint.\n\nTo cause to dr [Obs.] Shak. Dryden.\n\nSee Languishiment. [Obs. or Poetic] What, of death, too, That rids our dogs of languish Shak. And the blue languish of soft Allia's eye. Pope.
languisher |One who languishes.
languishing |1. Becoming languid and weak; pining; losing health and strength. 2. Amorously pensive; as, languishing eyes, or look.
languishingly |In a languishing manner.
languishment |1. The state of languishing. \" Lingering languishment.\" Shak. 2. Tenderness of look or mien; amorous pensiveness.
languishness |Languishment. [Obs.]
languor |1. A state of the body or mind which is caused by exhaustion of strength and characterized by a languid feeling; feebleness; lassitude; laxity. 2. Any enfeebling disease. [Obs.] Sick men with divers languors. Wyclif (Luke iv. 40). 3. Listless indolence; dreaminess. Pope. \" German dreams, Italian languors.\" The Century. Syn. -- Feebleness; weakness; faintness; weariness; dullness; heaviness; lassitude; listlessness.
languorous |Producing, or tending to produce, languor; characterized by languor. [Obs. or Poetic] Whom late I left in languorous constraint. Spenser. To wile the length from languorous hours, and draw The sting from pain. Tennyson.
langure |To languish. [Obs.] Chaucer.
langya |One of several species of East Indian and Asiatic fresh-water fishes of the genus Ophiocephalus, remarkable for their power of living out of water, and for their tenacity of life; -- called also walking fishes.
laniard |See Lanyard.
laniariform |Shaped like a laniary, or canine, tooth. Owen.
laniary |Lacerating or tearing; as, the laniary canine teeth.\n\n1. The shambles; a place of slaughter. [R.] 2. (Anat.)  A laniary, or canine, tooth.
laniate |To tear in pieces. [R.]
laniation |A tearing in pieces. [R.]
lanier |1. A thong of leather; a whip lash. [Prov. Eng.] Halliwell. 2. A strap used to fasten together parts of armor, to hold the shield by, and the like. Fairholt.
laniferous |Bearing or producing wool.
lanifical |Working in wool.
lanifice |Anything made of wool. [Obs.] Bacon.
lanigerous |Bearing or producing wool.
lank |1. Slender and thin; not well filled out; not plump; shrunken; lean. Meager and lank with fasting grown. Swift. Who would not choose . . . to have rather a lank purse than an empty brain Barrow. 2. Languid; drooping.[Obs.] Who, piteous of her woes, reared her lank head. Milton. Lank hair, long, thin hair. Macaulay.\n\nTo become lank; to make lank. [Obs.] Shak. G. Fletcher.
lankiness |The condition or quality or being lanky.
lankly |In a lank manner.
lankness |The state or quality of being lank.
lanky |Somewhat lank. Thackeray. The lanky Dinka, nearly seven feet in height. The Century.
lanner |A long-tailed falcon (Falco lanarius), of Southern Europe, Asia, and Northern Africa, resembling the American prairie falcon.
lanneret |A long-tailed falcon (Falco lanarius), of Southern Europe, Asia, and Northern Africa, resembling the American prairie falcon.
lanolin |A peculiar fatlike body, made up of cholesterin and certain fatty acids, found in feathers, hair, wool, and keratin tissues generally. Note: Under the same name, it is prepared from wool for commercial purposes, and forms an admirable basis for ointments, being readily absorbed by the skin.
lanseh |The small, whitish brown fruit of an East Indian tree (Lansium domesticum). It has a fleshy pulp, with an agreeable subacid taste. Balfour.
lansquenet |1. A German foot soldier in foreign service in the 15th and 16th centuries; a soldier of fortune; -- a term used in France and Western Europe. 2. A game at cards, vulgarly called lambskinnet. [They play] their little game of lansquenet. Longfellow.
lant |Urine. [Prov. Eng.] Nares.\n\nAny one of several species of small, slender, marine fishes of the genus Ammedytes. The common European species (A. tobianus) and the American species (A. Americanus) live on sandy shores, buried in the sand, and are caught in large quantities for bait. Called also launce, and sand eel.\n\nSee Lanterloo. [Obs.] Halliwell.
lantanium |See Lanthanum.
lantanum |See Lanthanum.
lantanuric |Pertaining to, or designating, a nitrogenous organic acid of the uric acid group, obtained by the decomposition of allantoin, and usually called allanturic acid.
lanterloo |An old name of loo (a).
lantern |1. Something inclosing a light, and protecting it from wind, rain, etc. ; -- sometimes portable, as a closed vessel or case of horn, perforated tin, glass, oiled paper, or other material, having a lamp or candle within; sometimes fixed, as the glazed inclosure of a street light, or of a lighthouse light. 2. (Arch.) (a) An open structure of light material set upon a roof, to give light and air to the interior. (b) A cage or open chamber of rich architecture, open below into the building or tower which it crowns. (c) A smaller and secondary cupola crowning a larger one, for ornament, or to admit light; such as the lantern of the cupola of the Capitol at Washington, or that of the Florence cathedral. 3. (Mach.)  A lantern pinion or trundle wheel. See Lantern pinion (below). 4. (Steam Engine)  A kind of cage inserted in a stuffing box and surrounding a piston rod, to separate the packing into two parts and form a chamber between for the reception of steam, etc. ; -- called also lantern brass. 5. (Founding)  A perforated barrel to form a core upon. 6. (Zoöl.)  See Aristotle's lantern. Note: Fig. 1 represents a hand lantern; fig. 2, an arm lantern; fig. 3, a breast lantern; -- so named from the positions in which they are carried. Dark lantern, a lantern with a single opening, which may be closed so as to conceal the light; -- called also bull's-eye. -- Lantern fly, Lantern carrier (Zoöl.), any one of several species of large, handsome, hemipterous insects of the genera Laternaria, Fulgora, and allies, of the family Fulgoridæ. The largest species is Laternaria phosphorea of Brazil. The head of some species has been supposed to be phosphorescent. -- Lantern jaws, long, thin jaws; hence, a thin visage. -- Lantern pinion, Lantern wheel (Mach.), a kind of pinion or wheel having cylindrical bars or trundles, instead of teeth, inserted at their ends in two parallel disks or plates; -- so called as resembling a lantern in shape; -- called also wallower, or trundle. -- Lantern shell (Zoöl.), any translucent, marine, bivalve shell of the genus Anatina, and allied genera. -- Magic lantern, an optical instrument consisting of a case inclosing a light, and having suitable lenses in a lateral tube, for throwing upon a screen, in a darkened room or the like, greatly magnified pictures from slides placed in the focus of the outer lens.\n\nTo furnish with a lantern; as, to lantern a lighthouse.
lantern-jawed |Having lantern jaws or long, thin jaws; as, a lantern-jawed person.
lanthanite |Hydrous carbonate of lanthanum, found in tabular while crystals.
lanthanum |A rare element of the group of the earth metals, allied to aluminium. It occurs in certain rare minerals, as cerite, gadolinite, orthite, etc., and was so named from the difficulty of separating it from cerium, didymium, and other rare elements with which it is usually associated. Atomic weight 138.5. Symbol La. [Formerly written also lanthanium.]
lanthopine |An alkaloid found in opium in small quantities, and extracted as a white crystalline substance.
lanthorn |See Lantern. [Obs.]
lanuginose |Covered with down, or fine soft hair; downy.
lanuginous |Covered with down, or fine soft hair; downy.
lanugo |The soft woolly hair which covers most parts of the mammal fetus, and in man is shed before or soon after birth.
lanyard |1. (Naut.)  A short piece of rope or line for fastening something in ships; as, the lanyards of the gun ports, of the buoy, and the like; esp., pieces passing through the dead-eyes, and used to extend shrouds, stays, etc. 2. (Mil.)  A strong cord, about twelve feet long, with an iron hook at one end a handle at the other, used in firing cannon with a friction tube.
lanyer |See Lanier.
laocooen |1. (Class. Myth.)  A priest of Apollo, during the Trojan war. (See 2.) 2. (Sculp.)  A marble group in the Vatican at Rome, representing the priest Laocoön, with his sons, infolded in the coils of two serpents, as described by Virgil.
laocoon |1. (Class. Myth.)  A priest of Apollo, during the Trojan war. (See 2.) 2. (Sculp.)  A marble group in the Vatican at Rome, representing the priest Laocoön, with his sons, infolded in the coils of two serpents, as described by Virgil.
laodicean |Of or pertaining to Laodicea, a city in Phrygia Major; like the Christians of Laodicea; lukewarm in religion. Rev. iii. 14-16.
lap |1. The loose part of a coat; the lower part of a garment that plays loosely; a skirt; an apron. Chaucer. 2. An edge; a border; a hem, as of cloth. Chaucer. If he cuts off but a lap of truth's garment, his heart smites him. Fuller. 3. The part of the clothing that lies on the knees or thighs when one sits down; that part of the person thus covered; figuratively, a place of rearing and fostering; as, to be reared in the lap of luxury. Men expect that happiness should drop into their laps. Tillotson. 4. That part of any substance or fixture which extends over, or lies upon, or by the side of, a part of another; as, the lap of a board; also, the measure of such extension over or upon another thing. Note: The lap of shingles or slates in roofing is the distance one course extends over the second course below, the distance over the course immediately below being called the cover. 5. (Steam Engine)  The amount by which a slide valve at its half stroke overlaps a port in the seat, being equal to the distance the valve must move from its mid stroke position in order to begin to open the port. Used alone, lap refers to outside lap. See Outside lap (below). 6. The state or condition of being in part extended over or by the side of something else; or the extent of the overlapping; as, the second boat got a lap of half its length on the leader. 7. One circuit around a race track, esp. when the distance is a small fraction of a mile; as, to run twenty laps; to win by three laps. See Lap, to fold, 2. 8. In card playing and other games, the points won in excess of the number necessary to complete a game; -- so called when they are counted in the score of the following game. 9. (Cotton Manuf.)  A sheet, layer, or bat, of cotton fiber prepared for the carding machine. 10. (Mach.)  A piece of brass, lead, or other soft metal, used to hold a cutting or polishing powder in cutting glass, gems, and the like, or in polishing cutlery, etc. It is usually in the form of wheel or disk, which revolves on a vertical axis. Lap joint, a joint made by one layer, part, or piece, overlapping another, as in the scarfing of timbers. -- Lap weld, a lap joint made by welding together overlapping edges or ends. -- Inside lap (Steam Engine), lap of the valve with respect to the exhaust port. -- Outside lap, lap with respect to the admission, or steam, port.\n\n1. To rest or recline in a lap, or as in a lap. To lap his head on lady's breast. Praed. 2. To cut or polish with a lap, as glass, gems, cutlery, etc. See 1st Lap, 10.\n\n1. To fold; to bend and lay over or on something; as, to lap a piece of cloth. 2. To wrap or wind around something. About the paper . . . I lapped several times a slender thread of very black silk. Sir I. Newton. 3. To infold; to hold as in one's lap; to cherish. Her garment spreads, and laps him in the folds. Dryden. 4. To lay or place over anything so as to partly or wholly cover it; as, to lap one shingle over another; to lay together one partly over another; as, to lap weather-boards; also, to be partly over, or by the side of (something); as, the hinder boat lapped the foremost one. 5. (Carding & Spinning)  To lay together one over another, as fleeces or slivers for further working. To lap boards, shingles, etc., to lay one partly over another. -- To lap timbers, to unite them in such a way as to preserve the same breadth and depth throughout, as by scarfing. Weale.\n\nTo be turned or folded; to lie partly upon or by the side of something, or of one another; as, the cloth laps back; the boats lap; the edges lap. The upper wings are opacous; at their hinder ends, where they lap over, transparent, like the wing of a flay. Grew.\n\n1. To take up drink or food with the tongue; to drink or feed by licking up something. The dogs by the River Nilus's side, being thirsty, lap hastily as they run along the shore. Sir K. Digby. 2. To make a sound like that produced by taking up drink with the tongue. I heard the ripple washing in the reeds, And the wild water lapping on the crag. Tennyson.\n\nTo take into the mouth with the tongue; to lick up with a quick motion of the tongue. They 'II take suggestion as a cat laps milk. Shak.\n\n1. The act of lapping with, or as with, the tongue; as, to take anything into the mouth with a lap. 2. The sound of lapping.
lap-jointed |Having a lap joint, or lap joints, as many kinds of woodwork and metal work.
lap-welded |Having edges or ends united by a lap weld; as, a lap-welded pipe.
laparocele |A rupture or hernia in the lumbar regions.
laparotomy |A cutting through the walls of the abdomen, as in the Cæsarean section.
lapboard |A board used on the lap as a substitute for a table, as by tailors.
lapdog |A small dog fondled in the lap.
lapel |That part of a garment which is turned back; specifically, the lap, or fold, of the front of a coat in continuation of collar. [Written also lappel and lapelle.]
lapelled |Furnished with lapels.
lapful |As much as the lap can contain.
lapicide |A stonecutter. [Obs.]
lapidarian |Of or pertaining to stone; inscribed on stone; as, a lapidarian record.
lapidarious |Consisting of stones.
