prorectorate |The office of prorector.
protoplasm |The viscid and more or less granular material of vegetable and animal cells, possessed of vital properties by which the processes of nutrition, secretion, and growth go forward; the so-called \" physical basis of life;\" the original cell substance, cytoplasm, cytoblastema, bioplasm sarcode, etc. Note: The lowest forms of animal and vegetable life (unicellular organisms) consist of simple or unaltered protoplasm; the tissues of the higher organisms, of differentiated protoplasm.
protoplasmatic |Protoplasmic.
protoplasmic |1. Of or pertaining to the first formation of living bodies. 2. (Biol.)  Of or pertaining to protoplasm; consisting of, or resembling, protoplasm.
protoplast |1. The thing first formed; that of which there are subsequent copies or reproductions; the original. 2. (Biol.)  A first-formed organized body; the first individual, or pair of individuals, of a species. A species is a class of individuals, each of which is hypothetically considered to be the descendant of the same protoplast, or of the same pair of protoplasts. Latham.
protoplasta |A division of fresh-water rhizopods including those that have a soft body and delicate branched pseudopodia. The genus Gromia is one of the best-known.
protoplastic |First-formed. Howell.
protopodite |The basal portion, or two proximal and more or less consolidated segments, of an appendage of a crustacean.
protopope |One of the clergy of first rank in the lower order of secular clergy; an archpriest; -- called also protopapas.
protopterus |See Komtok.
protosalt |A salt derived from a protoxide base. [Obs.]
protosilicate |A silicate formed with the lowest proportion of silicic acid, or having but one atom of silicon in the molecule.
protosomite |One of the primitive segments, or metameres, of an animal.
protosulphide |That one of a series of sulphides of any element which has the lowest proportion of sulphur; a sulphide with but one atom of sulphur in the molecule.
protosulphuret |A protosulphide. [Obs.]
prototheria |Same as Monotremata.
prototracheata |Same as Malacopoda.
prototype |An original or model after which anything is copied; the pattern of anything to be engraved, or otherwise copied, cast, or the like; a primary form; exemplar; archetype. They will turn their backs on it, like their great precursor and prototype. Burke.
protovertebra |One of the primitive masses, or segments, into which the mesoblast of the vertebrate embryo breaks up on either side of the anterior part of the notochord; a mesoblastic, or protovertebral, somite. See Illust. of Ectoderm. Note: The protovertebræ were long regarded as rudiments of the permanent vertebræ, but they are now known to give rise to the dorsal muscles and other structures as well as the vertebral column. See Myotome.
protovertebral |Of or pertaining to the protovertebræ.
protoxide |That one of a series of oxides having the lowest proportion of oxygen. See Proto-, 2 (b). protoxide of nitrogen, laughing gas, now called hyponitrous oxideNO. See under Laughing.
protoxidize |To combine with oxygen, as any elementary substance, in such proportion as to form a protoxide.
protozoa |The lowest of the grand divisions of the animal kingdom. Note: The entire animal consists of a single cell which is variously modified; but in many species a number of these simple zooids are united together so as to form a compound body or organism, as in the Foraminifera and Vorticellæ. The reproduction takes place by fission, or by the breaking up of the contents of the body after encystment, each portion becoming a distinct animal, or in other ways, but never by true eggs. The principal divisions are Rhizopoda, Gregarinæ, and Infusoria. See also Foraminifera, Heliozoa, Protoplasta, Radiolaria, Flagellata, Ciliata.
protozoan |Of or pertaining to the Protozoa. -- n.  One of the Protozoa.
protozoic |1. (Zoöl.)  Of or pertaining to the Protozoa. 2. (Geol.)  Containing remains of the earliest discovered life of the globe, which included mollusks, radiates and protozoans.
protozooen |(a) One of the Protozoa. (b) A single zooid of a compound protozoan.
protozooenite |One of the primary, or first-formed, segments of an embryonic arthropod.
protozoon |(a) One of the Protozoa. (b) A single zooid of a compound protozoan.
protozoonite |One of the primary, or first-formed, segments of an embryonic arthropod.
protracheata |Same as Malacopoda.
protract |1. To draw out or lengthen in time or (rarely) in space; to continue; to prolong; as, to protract an argument; to protract a war. 2. To put off to a distant time; to delay; to defer; as, to protract a decision or duty. Shak. 3. (Surv.)  To draw to a scale; to lay down the lines and angles of, with scale and protractor; to plot. 4. (Zoöl.)  To extend; to protrude; as, the cat can protract its claws; -- opposed to retract.\n\nTedious continuance or delay. [Obs.] Spenser.
protracted |Prolonged; continued. Protracted meeting,a religious meeting continued for many successive days. [U. S.] -- Pro*tract\"ed*ly, adv. -- Pro*tract\"ed*ness, n.
protracter |A protractor.
protractile |Capable of being protracted, or protruded; protrusile.
protraction |1. A drawing out, or continuing; the act of delaying the termination of a thing; prolongation; continuance; delay; as, the protraction of a debate. A protraction only of what is worst in life. Mallock. 2. (Surv.) (a) The act or process of making a plot on paper. (b) A plot on paper.
protractive |Drawing out or lengthening in time; prolonging; continuing; delaying. He suffered their protractive arts. Dryden.
protractor |1. One who, or that which, protracts, or causes protraction. 2. A mathematical instrument for laying down and measuring angles on paper, used in drawing or in plotting. It is of various forms, semicircular, rectangular, or circular. 3. (Surg.)  An instrument formerly used in extracting foreign or offensive matter from a wound. 4. (Anat.)  A muscle which extends an organ or part; -- opposed to retractor. 5. An adjustable pattern used by tailors. Knight.
protreptical |Adapted to persuade; hortatory; persuasive. [Obs.] Bp. Ward.
protrudable |That may be protruded; protrusile. Darwin.
protrude |1. To thrust forward; to drive or force along. Locke. 2. To thrust out, as through a narrow orifice or from confinement; to cause to come forth. When . . . Spring protrudes the bursting gems. Thomson.\n\nTo shoot out or forth; to be thrust forward; to extend beyond a limit; to project. The parts protrude beyond the skin. Bacon.
protrusile |Capable of being protruded or thrust out; protractile; protrusive.
protrusion |1. The act of protruding or thrusting forward, or beyond the usual limit. 2. The state of being protruded, or thrust forward.
protrusive |1. Thrusting or impelling forward; as, protrusive motion. E. Darwin. 2. Capable of being protruded; protrusile.
protrusively |In a protrusive manner.
protuberance |That which is protuberant swelled or pushed beyond the surrounding or adjacent surface; a swelling or tumor on the body; a prominence; a bunch or knob; an elevation. Solar protuberances (Astron.), certain rose-colored masses on the limb of the sun which are seen to extend beyond the edge of the moon at the time of a solar eclipse. They may be discovered with the spectroscope on any clear day. Called also solar prominences. See Illust. in Append. Syn. -- Projection, Protuberance. protuberance differs from projection, being applied to parts that rise from the surface with a gradual ascent or small angle; whereas a projection may be at a right angle with the surface.
protuberancy |The quality or state of being protuberant; protuberance; prominence.
protuberant |Prominent, or excessively prominent; bulging beyond the surrounding or adjacent surface; swelling; as, a protuberant joint; a protuberant eye. -- Pro*tu\"ber*ant*ly, adv.
protuberate |To swell, or be prominent, beyond the adjacent surface; to bulge out. S. Sharp.
protuberation |The act of swelling beyond the surrounding surface. Cooke (1615).
protuberous |Protuberant. [R.]
protureter |The duct of a pronephros. Haeckel.
protyle |The hypothetical homogeneous cosmic material of the original universe, supposed to have been differentiated into what are recognized as distinct chemical elements.
proud |1. Feeling or manifesting pride, in a good or bad sense; as: (a) Possessing or showing too great self-esteem; overrating one's excellences; hence, arrogant; haughty; lordly; presumptuous. Nor much expect A foe so proud will first the weaker seek. Milton. O death, made proud with pure and princely beauty ! Shak. And shades impervious to the proud world's glare. Keble. (b) Having a feeling of high self-respect or self-esteem; exulting (in); elated; -- often with of; as, proud of one's country. \"Proud to be checked and soothed.\" Keble. Are we proud men proud of being proud Thackeray. 2. Giving reason or occasion for pride or self-gratulation; worthy of admiration; grand; splendid; magnificent; admirable; ostentatious. \"Of shadow proud.\" Chapman. \"Proud titles.\" Shak. \" The proud temple's height.\" Dryden. Till tower, and dome, and bridge-way proud Are mantled with a golden cloud. Keble. 3. Excited by sexual desire; -- applied particularly to the females of some animals. Sir T. Browne. Note: Proud is often used with participles in the formation of compounds which, for the most part, are self-explaining; as, proud- crested, proud-minded, proud-swelling. Proud flesh (Med.), a fungous growth or excrescence of granulations resembling flesh, in a wound or ulcer.
proudish |Somewhat proud. Ash.
proudling |A proud or haughty person. Sylvester.
proudly |In a proud manner; with lofty airs or mien; haughtily; arrogantly; boastfully. Proudly he marches on, and void of fear. Addison.
proudness |The quality of being proud; pride. Set aside all arrogancy and proudness. Latimer.
proustite |A sulphide of arsenic and silver of a beautiful cochineal-red color, occurring in rhombohedral crystals, and also massive; ruby silver.
provable |Capable of being proved; demonstrable. -- Prov\"a*ble*ness, n. -- Prov\"a*bly, adv.
provand |Provender or food. [Obs.] One pease was a soldier's provant a whole day. Beau. & Fl.
provant |To supply with provender or provisions; to provide for. [Obs.] Nash.\n\nProvided for common or general use, as in an army; hence, common in quality; inferior. \"A poor provant rapier.\" B. Jonson.
prove |1. To try or to ascertain by an experiment, or by a test or standard; to test; as, to prove the strength of gunpowder or of ordnance; to prove the contents of a vessel by a standard measure. Thou hast proved mine heart. Ps. xvii. 3. 2. To evince, establish, or ascertain, as truth, reality, or fact, by argument, testimony, or other evidence. They have inferred much from slender premises, and conjectured when they could not prove. J. H. Newman. 3. To ascertain or establish the genuineness or validity of; to verify; as, to prove a will. 4. To gain experience of the good or evil of; to know by trial; to experience; to suffer. Where she, captived long, great woes did prove. Spenser. 5. (Arith.)  To test, evince, ascertain, or verify, as the correctness of any operation or result; thus, in subtraction, if the difference between two numbers, added to the lesser number, makes a sum equal to the greater, the correctness of the subtraction is proved. 6. (Printing)  To take a trial impression of; to take a proof of; as, to prove a page. Syn. -- To try; verify; justify; confirm; establish; evince; manifest; show; demonstrate.\n\n1. To make trial; to essay. 2. To be found by experience, trial, or result; to turn out to be; as, a medicine proves salutary; the report proves false. \"The case proves mortal.\" Arbuthnot. So life a winter's morn may prove. Keble. 3. To succeed; to turn out as expected. [Obs.] \"The experiment proved not.\" Bacon.
provect |Carried forward; advanced. [Obs.] \"Provect in years.\" Sir T. Flyot.
provection |A carrying forward, as of a final letter, to a following word; as, for example, a nickname for an ekename.
proveditor |One employed to procure supplies, as for an army, a steamer, etc.; a purveyor; one who provides for another. Jer. Taylor.
provedore |A proveditor; a purveyor. Busied with the duties of a provedore. W. Irving.
proven |Proved. \"Accusations firmly proven in his mind.\" Thackeray. Of this which was the principal charge, and was generally believed to beproven, he was acquitted. Jowett (Thucyd. ). Not proven (Scots Law), a verdict of a jury that the guilt of the accused is not made out, though not disproved. Mozley & W.
provenance |Origin; source; provenience. Their age attested by their provenance and associations. A. H. Keane.
provencal |Of or pertaining to Provence or its inhabitants.\n\n1. A native or inhabitant of Provence in France. 2. The Provencal language. See Langue d'oc.
provence rose |(a) The cabbage rose (Rosa centifolia). (b) A name of many kinds of roses which are hybrids of Rosa centifolia and R. Gallica.
provencial |Of or pertaining to Provence in France.
provend |See Provand. [Obs.]
provender |1. Dry food for domestic animals, as hay, straw, corn, oats, or a mixture of ground grain; feed. \"Hay or other provender.\" Mortimer. Good provender laboring horses would have. Tusser. 2. Food or provisions. [R or Obs.]
provenience |Origin; source; place where found or produced; provenance; -- used esp. in the fine arts and in archæology; as, the provenience of a patera.
provenient |Forthcoming; issuing. [Rare]
provent |See Provand. [Obs.]
proventricle |Proventriculus.
proventriulus |The glandular stomach of birds, situated just above the crop.
prover |One who, or that which, proves.
proverb |1. An old and common saying; a phrase which is often repeated; especially, a sentence which briefly and forcibly expresses some practical truth, or the result of experience and observation; a maxim; a saw; an adage. Chaucer. Bacon. 2. A striking or paradoxical assertion; an obscure saying; an enigma; a parable. His disciples said unto him, Lo, now speakest thou plainly, and speakest no proverb. John xvi. 29. 3. A familiar illustration; a subject of contemptuous reference. Thou shalt become an astonishment, a proverb, and a by word, among all nations. Deut. xxviii. 37. 4. A drama exemplifying a proverb. Book of Proverbs, a canonical book of the Old Testament, containing a great variety of wise maxims. Syn. -- Maxim; aphorism; apothegm; adage; saw.\n\n1. To name in, or as, a proverb. [R.] Am I not sung and proverbed for a fool Milton. 2. To provide with a proverb. [R.] I am proverbed with a grandsire phrase. Shak.\n\nTo write or utter proverbs. [R.]
proverbial |1. Mentioned or comprised in a proverb; used as a proverb; hence, commonly known; as, a proverbial expression; his meanness was proverbial. In case of excesses, I take the German proverbial cure, by a hair of the same beast, to be the worst. Sir W. Temple. 2. Of or pertaining to proverbs; resembling a proverb. \"A proverbial obscurity.\" Sir T. Browne.
proverbialism |A proverbial phrase.
proverbialist |One who makes much use of proverbs in speech or writing; one who composes, collects, or studies proverbs.
proverbialize |To turn into a proverb; to speak in proverbs.
proverbially |In a proverbial manner; by way of proverb; hence, commonly; universally; as, it is proverbially said; the bee is proverbially busy.
provexity |Great advance in age. [Obs.]
provide |1. To look out for in advance; to procure beforehand; to get, collect, or make ready for future use; to prepare. \"Provide us all things necessary.\" Shak. 2. To supply; to afford; to contribute. Bring me berries, or such cooling fruit As the kind, hospitable woods provide. Milton. 3. To furnish; to supply; -- formerly followed by of, now by with. \"And yet provided him of but one.\" Jer. Taylor. \"Rome . . . was well provided with corn.\" Arbuthnot. 4. To establish as a previous condition; to stipulate; as, the contract provides that the work be well done. 5. To foresee. Note: [A Latinism] [Obs.] B. Jonson. 6. To appoint to an ecclesiastical benefice before it is vacant. See Provisor. Prescott.\n\n1. To procure supplies or means in advance; to take measures beforehand in view of an expected or a possible future need, especially a danger or an evil; -- followed by against or for; as, to provide against the inclemency of the weather; to provide for the education of a child. Government is a contrivance of human wisdom to provide for human wants. Burke. 2. To stipulate previously; to condition; as, the agreement provides for an early completion of the work.
provided |On condition; by stipulation; with the understanding; if; -- usually followed by that; as, provided that nothing in this act shall prejudice the rights of any person whatever. Provided the deductions are logical, they seem almost indifferent to their truth. G. H. Lewes. Note: This word is strictly a participle, and the word being is understood, the participle provided agreeing with the whole sentence absolute, and being equivalent to this condition being previously stipulated or established.
providence |1. The act of providing or preparing for future use or application; a making ready; preparation. Providence for war is the best prevention of it. Bacon. 2. Foresight; care; especially, the foresight and care which God manifests for his creatures; hence, God himself, regarded as exercising a constant wise prescience. The world was all before them, where to choose Their place of rest, and Providence their guide. Milton. 3. (Theol.)  A manifestation of the care and superintendence which God exercises over his creatures; an event ordained by divine direction. He that hath a numerous family, and many to provide for, needs a greater providence of God. Jer. Taylor. 4. Prudence in the management of one's concerns; economy; frugality. It is a high point of providence in a prince to cast an eye rather upon actions than persons. Quarles.
provident |Foreseeing wants and making provision to supply them; prudent in preparing for future exigencies; cautious; economical; -- sometimes followed by of; as, aprovident man; an animal provident of the future. And of our good and of our dignity, How provident he is. Milton. Syn. -- Forecasting; cautious; careful; prudent; frugal; economical.
providential |Effected by, or referable to, divine direction or superintendence; as, the providential contrivance of thing; a providential escape. -- Prov\"i*den\"tial*ly, adv.
providently |In a provident manner.
providentness |The quality or state of being provident; carefulness; prudence; economy.
provider |One who provides, furnishes, or supplies; one who procures what is wanted.
providore |One who makes provision; a purveyor. [R.] De Foe.
province |1. (Roman Hist.)  A country or region, more or less remote from the city of Rome, brought under the Roman government; a conquered country beyond the limits of Italy. Wyclif (Acts xiii. 34). Milton. 2. A country or region dependent on a distant authority; a portion of an empire or state, esp. one remote from the capital. \"Kingdoms and provinces.\" Shak. 3. A region of country; a tract; a district. Over many a tract of heaven they marched, and many a province wide. Milton. Other provinces of the intellectual world. I. Watts. 4. A region under the supervision or direction of any special person; the district or division of a country, especially an ecclesiastical division, over which one has jurisdiction; as, the province of Canterbury, or that in which the archbishop of Canterbury exercises ecclesiastical authority. 5. The proper or appropriate business or duty of a person or body; office; charge; jurisdiction; sphere. The woman'sprovince is to be careful in her economy, and chaste in her affection. Tattler. 6. Specif.: Any political division of the Dominion of Canada, having a governor, a local legislature, and representation in the Dominion parliament. Hence, colloquially, The Provinces, the Dominion of Canada.
provincial |1. Of or pertaining to province; constituting a province; as, a provincial government; a provincial dialect. 2. Exhibiting the ways or manners of a province; characteristic of the inhabitants of a province; not cosmopolitan; countrified; not polished; rude; hence, narrow; illiberal. \"Provincial airs and graces.\" Macaulay. 3. Of or pertaining to an ecclesiastical province, or to the jurisdiction of an archbishop; not ecumenical; as, a provincial synod. Ayliffe. 4. Of or pertaining to Provence; Provencal. [Obs.] With two Provincial roses on my razed shoes. Shak.\n\n1. A person belonging to a province; one who is provincial. 2. (R. C. Ch.)  A monastic superior, who, under the general of his order, has the direction of all the religious houses of the same fraternity in a given district, called a province of the order.
provincialism |A word, or a manner of speaking, peculiar to a province or a district remote from the mother country or from the metropolis; a provincial characteristic; hence, narrowness; illiberality. M. Arnold.
provincialist |One who lives in a province; a provincial.
provinciality |The quality or state of being provincial; peculiarity of language characteristic of a province. T. Warton.
provincialize |To render provincial. M. Arnold.
provincially |In a provincial manner.
provinciate |To convert into a province or provinces. [Obs.] Howell.
provine |To lay a stock or branch of a vine in the ground for propagation. [Obs.] Johnson.
provision |1. The act of providing, or making previous preparation. Shak. 2. That which is provided or prepared; that which is brought together or arranged in advance; measures taken beforehand; preparation. Making provision for the relief of strangers. Bacon. 3. Especially, a stock of food; any kind of eatables collected or stored; -- often in the plural. And of provisions laid in large, For man and beast. Milton. 4. That which is stipulated in advance; a condition; a previous agreement; a proviso; as, the provisions of a contract; the statute has many provisions. 5. (R. C. Ch.)  A canonical term for regular induction into a benefice, comprehending nomination, collation, and installation. 6. (Eng. Hist.)  A nomination by the pope to a benefice before it became vacant, depriving the patron of his right of presentation. Blackstone.\n\nTo supply with food; to victual; as, to provision a garrison. They were provisioned for a journey. Palfrey.
provisional |Of the nature of a provision; serving as a provision for the time being; -- used of partial or temporary arrangements; as, a provisional government; a provisional treaty.
provisionally |By way of provision for the time being; temporarily. Locke.
provisionary |Provisional. Burke.
proviso |An article or clause in any statute, agreement, contract, grant, or other writing, by which a condition is introduced, usually beginning with the word provided; a conditional stipulation that affects an agreement, contract, law, grant, or the like; as, the contract was impaired by its proviso. He doth deny his prisoners, But with proviso and exception. Shak.
provisor |1. One who provides; a purveyor. [Obs.] \"The chief provisor of our horse.\" Ford. 2. (R. C. Ch.) (a) The purveyor, steward, or treasurer of a religious house. Cowell. (b) One who is regularly inducted into a benefice. See Provision, 5. P. Plowman. 3. (Eng. Hist.)  One who procures or receives a papal provision. See Provision, 6.
provisorily |In a provisory manner; conditionally; subject to a proviso; as, to admit a doctrine provisorily. Sir W. Hamilton.
provisorship |The office or position of a provisor. [R.] J. Webster.
provisory |1. Of the nature of a proviso; containing a proviso or condition; conditional; as, a provisory clause. 2. Making temporary provision; provisional.
provocation |1. The act of provoking, or causing vexation or, anger. Fabyan. 2. That which provokes, or excites anger; the cause of resentment; as, to give provocation. Paley. 3. Incitement; stimulus; as, provocation to mirth. 4. (Law)  Such prior insult or injury as may be supposed, under the circumstances, to create hot blood, and to excuse an assault made in retort or redress. 5. An appeal to a court. Note: [A Latinism] [Obs.] Ayliffe.
provocative |Serving or tending to provoke, excite, or stimulate; exciting.\n\nAnything that is provocative; a stimulant; as, a provocative of appetite.
provocativeness |Quality of being provocative.
provocatory |Provocative.
provokable |That may be provoked.
provoke |To call forth; to call into being or action; esp., to incense to action, a faculty or passion, as love, hate, or ambition; hence, commonly, to incite, as a person, to action by a challenge, by taunts, or by defiance; to exasperate; to irritate; to offend intolerably; to cause to retaliate. Obey his voice, provoke him not. Ex. xxiii. 21. Ye fathers, provoke not your children to wrath. Eph. vi. 4. Such acts Of contumacy will provoke the Highest To make death in us live. Milton. Can honor's voice provoke the silent dust Gray. To the poet the meaning is what he pleases to make it, what it provokes in his own soul. J. Burroughs. Syn. -- To irritate; arouse; stir up; awake; excite; incite; anger. See Irritate.\n\n1. To cause provocation or anger. 2. To appeal. Note: [A Latinism] [Obs.] Dryden.
provokement |The act that which, provokes; one who excites anger or other passion, or incites to action; as, a provoker of sedition. Drink, sir, is a great provoker of three things. Shak.
provoking |Having the power or quality of exciting resentment; tending to awaken passion or vexation; as, provoking words or treatment. -- Pro*vok\"ing*ly, adv.
provost |1. A person who is appointed to superintend, or preside over, something; the chief magistrate in some cities and towns; as, the provost of Edinburgh or of Glasgow, answering to the mayor of other cities; the provost of a college, answering to president; the provost or head of certain collegiate churches. 2. The keeper of a prison. [Obs.] Shak. Note: In France, formerly, a provost was an inferior judge who had cognizance of civil causes. The grand provost of France, or of the household, had jurisdiction in the king's house, and over its officers. Provost marshal (often pronounced . (a) (Mil.) An officer appointed in every army, in the field, to secure the prisoners confined on charges of a general nature. He also performs such other duties pertaining to police and discipline as the regulations of the service or the commander's orders impose upon him. (b) (Nav.) An officer who has charge of prisoners on trial by court-martial, serves notices to witnesses, etc.
provostship |The office of a provost.
prow |The fore part of a vessel; the bow; the stem; hence, the vessel itself. Wordsworth. The floating vessel swum Uplifted, and secure with beaked prow rode tilting o'er the waves. Milton.\n\nSee Proa.\n\nValiant; brave; gallant; courageous. [Archaic] Tennyson. The prowest knight that ever field did fight. Spenser.\n\nBenefit; profit; good; advantage. [Obs.] That shall be for your hele and for your prow. Chaucer.
prowess |Distinguished bravery; valor; especially, military bravery and skill; gallantry; intrepidity; fearlessness. Chaucer. Sir P. Sidney. He by his prowess conquered all France. Shak.
prowl |1. To rove over, through, or about in a stealthy manner; esp., to search in, as for prey or booty. He prowls each place, still in new colors decked. Sir P. Sidney. 2. To collect by plunder; as, to prowl money. [Obs.]\n\nTo rove or wander stealthily, esp. for prey, as a wild beast; hence, to prey; to plunder.\n\nThe act of prowling. [Colloq.] Smart.
prowler |One that prowls. Thomson.
prowling |Accustomed to prowl, or engaged in roving stealthily, as for prey. \"A prowling wolf.\" Milton. -- Prowl\"ing*ly, adv.
prox |\"The ticket or list of candidates at elections, presented to the people for their votes.\" [Rhode Island] Bartlett.
proxene |An officer who had the charge of showing hospitality to those who came from a friendly city or state.
proxenet |A negotiator; a factor. [R.] Dr. H. More.
proxenetism |The action of a go-between or broker in negotiating immoral bargains between the sexes; procuring.
proximad |Toward a proximal part; on the proximal side of; proximally.
proximal |1. Toward or nearest, as to a body, or center of motion of dependence; proximate. 2. (Biol.) (a) Situated near the point of attachment or origin; as, the proximal part of a limb. (b) Of or pertaining to that which is proximal; as, the proximal bones of a limb. Opposed to distal.
proximally |On or toward a proximal part; proximad.
proximate |Nearest; next immediately preceding or following. \"Proximate ancestors.\" J. S. Harford. The proximate natural causes of it [the deluge]. T. Burnet. Proximate analysis (Chem.), an analysis which determines the proximate principles of any substance, as contrasted with an ultimate analysis. -- Proximate cause. (a) A cause which immediately precedes and produces the effect, as distinguished from the remote, mediate, or predisposing cause. I. Watts. (b) That which in ordinary natural sequence produces a specific result, no independent disturbing agencies intervening. -- Proximate principle (Physiol. Chem.), one of a class of bodies existing ready formed in animal and vegetable tissues, and separable by chemical analysis, as albumin, sugar, collagen, fat, etc. Syn. -- Nearest; next; closest; immediate; direct.
proximately |In a proximate manner, position, or degree; immediately.
proxime |Next; immediately preceding or following. [Obs.]
proximious |Proximate. [Obs.]
proximity |The quality or state of being next in time, place, causation, influence, etc.; immediate nearness, either in place, blood, or alliance. If he plead proximity of blood That empty title is with ease withstood. Dryden.
proximo |In the next month after the present; -- often contracted to prox.; as, on the 3d proximo.
proxy |1. The agency for another who acts through the agent; authority to act for another, esp. to vote in a legislative or corporate capacity. I have no man's proxy: I speak only for myself. Burke. 2. The person who is substituted or deputed to act or vote for another. Every peer . . . may make another lord of parliament his proxy, to vote for him in his absence. Blackstone. 3. A writing by which one person authorizes another to vote in his stead, as in a corporation meeting. 4. (Eng. Law)  The written appointment of a proctor in suits in the ecclesiastical courts. Burrill. 5. (Eccl.)  See Procuration. [Obs.]\n\nTo act or vote by proxy; to do anything by the agency of another. [R.]
proxyship |The office or agency of a proxy.
pruce |Prussian leather. [Obs.] Dryden.
prude |A woman of affected modesty, reserve, or coyness; one who is overscrupulous or sensitive; one who affects extraordinary prudence in conduct and speech. Less modest than the speech of prudes. Swift.
prudence |The quality or state of being prudent; wisdom in the way of caution and provision; discretion; carefulness; hence, also, economy; frugality. Prudence is principally in reference to actions to be done, and due means, order, seasons, and method of doing or not doing. Sir M. Hale. Prudence supposes the value of the end to be assumed, and refers only to the adaptation of the means. It is the relation of right means for given ends. Whewell. Syn. -- Wisdom; forecast; providence; considerateness; judiciousness; discretion; caution; circumspection; judgment. See Wisdom.
prudency |Prudence. [Obs.] Hakluyt.
prudent |1. Sagacious in adapting means to ends; circumspect in action, or in determining any line of conduct; practically wise; judicious; careful; discreet; sensible; -- opposed to rash; as, a prudent man; dictated or directed by prudence or wise forethought; evincing prudence; as, prudent behavior. Moses established a grave and prudent law. Milton. 2. Frugal; economical; not extravagant; as, a prudent woman; prudent expenditure of money. Syn. -- Cautious; wary; circumspect; considerate; discreet; judicious; provident; economical; frugal.
prudential |1. Proceeding from, or dictated or characterized by, prudence; prudent; discreet; sometimes, selfish or pecuniary as distinguished from higher motives or influences; as, prudential motives. \" A prudential line of conduct.\" Sir W. Scott. 2. Exercising prudence; discretionary; advisory; superintending or executive; as, a prudential committee.\n\nThat which relates to or demands the exercise of, discretion or prudence; -- usually in the pl. Many stanzas, in poetic measures, contain rules relating to common prudentials as well as to religion. I. Watts.
prudentialist |One who is governed by, or acts from, prudential motives. [R.] Coleridge.
prudentiality |The quality or state of being prudential. Sir T. Browne.
prudentially |In a prudential manner; prudently. South.
prudently |In a prudent manner.
prudery |The quality or state of being prudish; excessive or affected scrupulousness in speech or conduct; stiffness; coyness. Cowper.
prudhomme |A trustworthy citizen; a skilled workman. See Citation under 3d Commune, 1.
prudish |Like a prude; very formal, precise, or reserved; affectedly severe in virtue; as, a prudish woman; prudish manners. A formal lecture, spoke with prudish face. Garrick.
prudishly |In a prudish manner.
pruinate |Same as Pruinose.
pruinose |Frosty; covered with fine scales, hairs, dust, bloom, or the like, so as to give the appearance of frost.
pruinous |Frosty; pruinose.
prune |1. To lop or cut off the superfluous parts, branches, or shoots of; to clear of useless material; to shape or smooth by trimming; to trim: as, to prune trees; to prune an essay. Thackeray. Taking into consideration how they [laws] are to be pruned and reformed. Bacon. Our delightful task To prune these growing plants, and tend these flowers. Milton. 2. To cut off or cut out, as useless parts. Horace will our superfluous branches prune. Waller. 3. To preen; to prepare; to dress. Spenser. His royal bird Prunes the immortal wing and cloys his beak. Shak.\n\nTo dress; to prink; -used humorously or in contempt. Dryden.\n\nA plum; esp., a dried plum, used in cookery; as, French or Turkish prunes; California prunes. German prune (Bot.), a large dark purple plum, of oval shape, often one-sided. It is much used for preserving, either dried or in sirup. Prune tree. (Bot.) (a) A tree of the genus Prunus (P. domestica), which produces prunes. (b) The West Indian tree, Prunus occidentalis. -- South African prune (Bot.), the edible fruit of a sapindaceous tree (Pappea Capensis).
prunella |(a) Angina, or angina pectoris. (b) Thrush. Prunella salt (Old Chem.), niter fused and cast into little balls.\n\nA smooth woolen stuff, generally black, used for making shoes; a kind of lasting; -- formerly used also for clergymen's gowns.
prunelle |A kind of small and very acid French plum; -- applied especially to the stoned and dried fruit.
prunello |A smooth woolen stuff, generally black, used for making shoes; a kind of lasting; -- formerly used also for clergymen's gowns.\n\nA species of dried plum; prunelle.
pruner |1. One who prunes, or removes, what is superfluous. 2. (Zoöl.)  Any one of several species of beetles whose larvæ gnaw the branches of trees so as to cause them to fall, especially the American oak pruner (Asemum moestum), whose larva eats the pith of oak branches, and when mature gnaws a circular furrow on the inside nearly to the bark. When the branches fall each contains a pupa.
pruniferous |Bearing plums.
pruning |1. The act of trimming, or removing what is superfluous. 2. (Falconry)  That which is cast off by bird in pruning her feathers; leavings. Beau. & Fl. Pruning hook, or Pruning knife, cutting instrument used in pruning trees, etc. -- Pruning shears, shears for pruning trees, vines, etc.
prunus |A genus of trees with perigynous rosaceous flowers, and a single two-ovuled carpel which usually becomes a drupe in ripening. Note: Originally, this genus was limited to the plums, then, by Linnæus, was made to include the cherries and the apricot. Later botanists separated these into several genera, as Prunus, Cerasus, and Armeniaca, but now, by Bentham and Hooker, the plums, cherries, cherry laurels, peach, almond, and nectarine are all placed in Prunus.
prurience |The quality or state of being prurient. The pruriency of curious ears. Burke. There is a prurience in the speech of some. Cowper.
pruriency |The quality or state of being prurient. The pruriency of curious ears. Burke. There is a prurience in the speech of some. Cowper.
prurient |Uneasy with desire; itching; especially, having a lascivious curiosity or propensity; lustful. -- Pru\"ri*ent*ly, adv. The eye of the vain and prurient is darting from object to object of illicit attraction. I. Taylor.
pruriginous |Tending to, or caused by, prurigo; affected by, or of the nature of, prurigo.
prurigo |A papular disease of the skin, of which intense itching is the chief symptom, the eruption scarcely differing from the healthy cuticle in color.
pruritus |Itching.
