parallel standards |Two or more metals coined without any attempt by the government to regulate their values.
parietal |1. Of or pertaining to a wall; hence, pertaining to buildings or the care of them. 2. Resident within the walls or buildings of a college. At Harvard College, the officers resident within the college walls constitute a permanent standing committee, called the Parietal Committee. B. H. Hall (1856). 3. (Anat.) (a) Of pertaining to the parietes. (b) Of, pertaining to, or in the region of, the parietal bones, which form the upper and middle part of the cranium, between the frontals and occipitals. 4. (Bot.)  Attached to the main wall of the ovary, and not to the axis; -- said of a placenta.\n\n1. (Anat.)  One of the parietal bones. 2. (Zoöl.)  One of the special scales, or plates, covering the back of the head in certain reptiles and fishes.
parietary |See Parietal, 2.\n\nAny one of several species of Parietaria. See 1st Pellitory.
parietes |1. (Anat.)  The walls of a cavity or an organ; as, the abdominal parietes; the parietes of the cranium. 2. (Bot.)  The sides of an ovary or of a capsule.
parietic |Pertaining to, or designating, an acid found in the lichen Parmelia parietina, and called also chrysophanic acid.
parietine |A piece of a fallen wall; a ruin. [Obs.] Burton.
parieto- |A combining form used to indicate connection with, or relation to, the parietal bones or the parietal segment of the skull; as, the parieto-mastoid suture.
parigenin |A curdy white substance, obtained by the decomposition of parillin.
paring |1. The act of cutting off the surface or extremites of anything. 2. That which is pared off. Pope. Pare off the surface of the earth, and with the parings raise your hills. Mortimer.
paripinnate |Pinnate with an equal number of leaflets on each side; having no odd leaflet at the end.
paris |A plant common in Europe (Paris quadrifolia); herb Paris; truelove. It has been used as a narcotic. Note: It much resembles the American genus Trillium, but has usually four leaves and a tetramerous flower.\n\nThe chief city of France. Paris green. See under Green, n. -- Paris white (Chem.), purified chalk used as a pigment; whiting; Spanish white.
parish |1. (Eccl. & Eng. Law) (a) That circuit of ground committed to the charge of one parson or vicar, or other minister having cure of souls therein. Cowell. (b) The same district, constituting a civil jurisdiction, with its own officers and regulations, as respects the poor, taxes, etc. Note: Populous and extensive parishes are now divided, under various parliamentary acts, into smaller ecclesiastical districts for spiritual purposes. Mozley & W. 2. An ecclesiastical society, usually not bounded by territorial limits, but composed of those persons who choose to unite under the charge of a particular priest, clergyman, or minister; also, loosely, the territory in which the members of a congregation live. [U. S.] 3. In Louisiana, a civil division corresponding to a county in other States.\n\nOf or pertaining to a parish; parochial; as, a parish church; parish records; a parish priest; maintained by the parish; as, parish poor. Dryden. Parish clerk. (a) The clerk or recording officer of a parish. (b) A layman who leads in the responses and otherwise assists in the service of the Church of England. -- Parish court, in Louisiana, a court in each parish.
parishen |A parishioner. [Obs.] Chaucer.
parishional |Of or pertaining to a parish; parochial. [R.] Bp. Hall.
parishioner |One who belongs to, or is connected with, a parish.
parisian |A native or inhabitant of Paris, the capital of France.\n\nOf or pertaining to Paris.
parisienne |A female native or resident of Paris.
parisology |The use of equivocal or ambiguous words. [R.]
parisyllabic |Having the same number of syllables in all its inflections.
parisyllabical |Having the same number of syllables in all its inflections.
paritor |An apparitor. \"Summoned by an host of paritors.\" Dryden.
paritory |Pellitory. [Obs.] Chaucer.
parity |The quality or condition of being equal or equivalent; A like state or degree; equality; close correspondence; analogy; as, parity of reasoning. \"No parity of principle.\" De Quincey. Equality of length and parity of numeration. Sir T. Browne.
park |1. (Eng. Law)  A piece of ground inclosed, and stored with beasts of the chase, which a man may have by prescription, or the king's grant. Mozley & W. 2. A tract of ground kept in its natural state, about or adjacent to a residence, as for the preservation of game, for walking, riding, or the like. Chaucer. While in the park I sing, the listening deer Attend my passion, and forget to fear. Waller. 3. A piece of ground, in or near a city or town, inclosed and kept for ornament and recreation; as, Hyde Park in London; Central Park in New York. 4. (Mil.)  A space occupied by the animals, wagons, pontoons, and materials of all kinds, as ammunition, ordnance stores, hospital stores, provisions, etc., when brought together; also, the objects themselves; as, a park of wagons; a park of artillery. 5. A partially inclosed basin in which oysters are grown. [Written also parc.] Park of artillery. See under Artillery. -- Park phaeton, a small, low carriage, for use in parks.\n\n1. To inclose in a park, or as in a park. How are we parked, and bounded in a pale. Shak. 2. (Mil.)  To bring together in a park, or compact body; as, to park the artillery, the wagons, etc.
parka |An outer garment made of the skins of birds or mammals, worn by Eskimos, etc.
parkee |An outer garment made of the skins of birds or mammals, worn by Eskimos, etc.
parker |, The keeper of a park. Sir M. Hale.
parkeria |A genus of large arenaceous fossil Foraminifera found in the Cretaceous rocks. The species are globular, or nearly so, and are of all sizes up to that of a tennis ball.
parkesine |A compound, originally made from gun cotton and castor oil, but later from different materials, and used as a substitute for vulcanized India rubber and for ivory; -- called also xylotile.
parkleaves |A European species of Saint John's-wort; the tutsan. See Tutsan.
parlance |Conversation; discourse; talk; diction; phrase; as, in legal parlance; in common parlance. A hate of gossip parlance and of sway. Tennyson.
parlando |Speaking; in a speaking or declamatory manner; to be sung or played in the style of a recitative.
parlante |Speaking; in a speaking or declamatory manner; to be sung or played in the style of a recitative.
parle |To talk; to converse; to parley. [Obs.] Shak. Finding himself too weak, began to parle. Milton.\n\nConversation; talk; parley. [Obs.] They ended parle, and both addressed for fight. Milton.
parley |Mutual discourse or conversation; discussion; hence, an oral conference with an enemy, as with regard to a truce. We yield on parley, but are stormed in vain. Dryden. To beat a parley (Mil.), to beat a drum, or sound a trumpet, as a signal for holding a conference with the enemy.\n\nTo speak with another; to confer on some point of mutual concern; to discuss orally; hence, specifically, to confer orally with an enemy; to treat with him by words, as on an exchange of prisoners, an armistice, or terms of peace. They are at hand, To parley or to fight; therefore prepare. Shak.
parliament |1. A parleying; a discussion; a conference. [Obs.] But first they held their parliament. Rom. of R. 2. A formal conference on public affairs; a general council; esp., an assembly of representatives of a nation or people having authority to make laws. They made request that it might be lawful for them to summon a parliament of Gauls. Golding. 3. The assembly of the three estates of the United Kingdom of Great Britain and Ireland, viz., the lords spiritual, lords temporal, and the representatives of the commons, sitting in the House of Lords and the House of Commons, constituting the legislature, when summoned by the royal authority to consult on the affairs of the nation, and to enact and repeal laws. Note: Thought the sovereign is a constituting branch of Parliament, the word is generally used to denote the three estates named above. 4. In France, before the Revolution of 1789, one of the several principal judicial courts. Parliament heel, the inclination of a ship when made to careen by shifting her cargo or ballast. -- Parliament hinge (Arch.), a hinge with so great a projection from the wall or frame as to allow a door or shutter to swing back flat against the wall. -- Long Parliament, Rump Parliament. See under Long, and Rump.
parliamental |Parliamentary. [Obs.]
parliamentarian |Of or pertaining to Parliament. Wood.\n\n1. (Eng. Hist.)  One who adhered to the Parliament, in opposition to King Charles I. Walpole. 2. One versed in the rules and usages of Parliament or similar deliberative assemblies; as, an accomplished parliamentarian.
parliamentarily |In a parliamentary manner.
parliamentary |1. Of or pertaining to Parliament; as, parliamentary authority. Bacon. 2. Enacted or done by Parliament; as, a parliamentary act. Sir M. Hale. 3. According to the rules and usages of Parliament or of deliberative bodies; as, a parliamentary motion. Parliamentary agent, a person, usually a solicitor, professionally employed by private parties to explain and recommend claims, bills, etc., under consideration of Parliament. [Eng.] -- Parliamentary train, one of the trains which, by act of Parliament, railway companies are required to run for the conveyance of third-class passengers at a reduced rate. [Eng.]
parlor |A room for business or social conversation, for the reception of guests, etc. Specifically: (a) The apartment in a monastery or nunnery where the inmates are permitted to meet and converse with each other, or with visitors and friends from without. Piers Plowman. (b) In large private houses, a sitting room for the family and for familiar guests, -- a room for less formal uses than the drawing- room. Esp., in modern times, the dining room of a house having few apartments, as a London house, where the dining parlor is usually on the ground floor. (c) Commonly, in the United States, a drawing-room, or the room where visitors are received and entertained. Note: \"In England people who have a drawing-room no longer call it a parlor, as they called it of old and till recently.\" Fitzed. Hall. Parior car. See Palace car, under Car.
parlor match |A friction match that contains little or no sulphur.
parlous |1. Attended with peril; dangerous; as, a parlous cough. [Archaic] \"A parlous snuffing.\" Beau. & Fl. 2. Venturesome; bold; mischievous; keen. [Obs.] \"A parlous boy.\" Shak. \"A parlous wit.\" Dryden. -- Par\"lous*ly, adv. [Obs.] -- Par\"lous*ness, n. [Obs.]
parmesan |Of or pertaining to Parma in Italy. Parmesan cheese, a kind of cheese of a rich flavor, though from skimmed milk, made in Parma, Italy.
parnassia |A genus of herbs growing in wet places, and having white flowers; grass of Parnassus.
parnassian |Of or pertaining to Parnassus.\n\nAny one of numerous species of butterflies belonging to the genus Parnassius. They inhabit the mountains, both in the Old World and in America.
parnassien |Same as Parnassian.
parnassus |A mountain in Greece, sacred to Apollo and the Muses, and famous for a temple of Apollo and for the Castalian spring. Grass of Parnassus. (Bot.) See under Grass, and Parnassia. -- To climb Parnassus, to write poetry. [Colloq.]
parnellism |The policy or principles of the Parnellites.
parnellite |One of the adherents of Charles Stewart Parnell (1846-91) in his advocacy of home rule for Ireland.
paroccipital |Situated near or beside the occipital condyle or the occipital bone; paramastoid; -- applied especially to a process of the skull in some animals.
parochial |Of or pertaining to a parish; restricted to a parish; as, parochial duties. \"Parochial pastors.\" Bp. Atterbury. Hence, limited; narrow. \"The parochial mind.\" W. Black.
parochialism |The quality or state of being parochial in form or nature; a system of management peculiar to parishes.
parochiality |The state of being parochial. [R.] Sir J. Marriot.
parochialize |To render parochial; to form into parishes.
parochially |In a parochial manner; by the parish, or by parishes. Bp. Stillingfleet.
parochian |Parochial. [Obs.] \"Parochian churches.\" Bacon.\n\nA parishioner. [Obs.] Ld. Burleigh.
parodic |Having the character of parody. Very paraphrastic, and sometimes parodical. T. Warton.
parodical |Having the character of parody. Very paraphrastic, and sometimes parodical. T. Warton.
parodist |One who writes a parody; one who parodies. Coleridge.
parody |1. A writing in which the language or sentiment of an author is mimicked; especially, a kind of literary pleasantry, in which what is written on one subject is altered, and applied to another by way of burlesque; travesty. The lively parody which he wrote . . . on Dryden's \"Hind and Panther\" was received with great applause. Macaulay. 2. A popular maxim, adage, or proverb. [Obs.]\n\nTo write a parody upon; to burlesque. I have translated, or rather parodied, a poem of Horace. Pope.
paroket |See Paroquet.
parol |1. A word; an oral utterance. [Obs.] 2. (Law)  Oral declaration; word of mouth; also, a writing not under seal. Blackstone.\n\nGiven or done by word of mouth; oral; also, given by a writing not under seal; as, parol evidence. Parol arrest (Law), an arrest in pursuance of a verbal order from a magistrate. -- Parol contract (Law), any contract not of record or under seal, whether oral or written; a simple contract. Chitty. Story.
parole |1. A word; an oral utterance. [Obs.] 2. Word of promise; word of honor; plighted faith; especially (Mil.), promise, upon one's faith and honor, to fulfill stated conditions, as not to bear arms against one's captors, to return to custody, or the like. This man had forfeited his military parole. Macaulay. 3. (Mil.)  A watchword given only to officers of guards; -- distinguished from countersign, which is given to all guards. 4. (Law)  Oral declaration. See lst Parol, 2.\n\nSee 2d Parol.\n\nTo set at liberty on parole; as, to parole prisoners.
paromology |A concession to an adversary in order to strengthen one's own argument.
paronomasia |A play upon words; a figure by which the same word is used in different senses, or words similar in sound are set in opposition to each other, so as to give antithetical force to the sentence; punning. Dryden.
paronomastic |Of or pertaining to paronomasia; consisting in a play upon words.
paronomastical |Of or pertaining to paronomasia; consisting in a play upon words.
paronomasy |Paronomasia. [R.] B. Jonson.
paronychia |A whitlow, or felon. Quincy.
paronym |A paronymous word. [Written also paronyme.]
paronymous |1. Having the same derivation; allied radically; conjugate; -- said of certain words, as man, mankind, manhood, etc. 2. Having a similar sound, but different orthography and different meaning; -- said of certain words, as al and awl; hair and hare, etc.
paronymy |The quality of being paronymous; also, the use of paronymous words.
parooephoron |A small mass of tubules near the ovary in some animals, and corresponding with the parepididymis of the male.
paroophoron |A small mass of tubules near the ovary in some animals, and corresponding with the parepididymis of the male.
paroquet |Same as Parrakeet. [Written also paroket, parroquet, and perroquet.] Paroquet auk or auklet (Zoöl.), a small auk (Cyclorrhynchus psittaculus) inhabiting the coast and islands of Alaska. The upper parts are dark slate, under parts white, bill orange red. Called also perroquet auk.
parorchis |The part of the epididymis; or the corresponding part of the excretory duct of the testicle, which is derived from the Wolffian body.
parosteal |Of or pertaining to parostosis; as, parosteal ossification.
parostosis |Ossification which takes place in purely fibrous tracts; the formation of bone outside of the periosteum.
parostotic |Pertaining to parostosis.
parotic |On the side of the auditory capsule; near the external ear. Parotic region (Zoöl.), the space around the ears.
parotid |(a) Situated near the ear; -- applied especially to the salivary gland near the ear. (b) Of, pertaining to, or in the region of, the parotid gland. Parotid gland (Anat.), one of the salivary glands situated just in front of or below the ear. It is the largest of the salivary glands in man, and its duct opens into the interior of the mouth opposite the second molar of the upper jaw.\n\nThe parotid gland.
parotitis |Inflammation of the parotid glands. Epidemic, or Infectious, parotitis, mumps.
parotoid |Resembling the parotid gland; -- applied especially to cutaneous glandular elevations above the ear in many toads and frogs. -- n.  A parotoid gland.
parousia |(a) The nativity of our Lord. (b) The last day. Shipley.
parovarium |A group of tubules, a remnant of the Wolffian body, often found near the ovary or oviduct; the epoöphoron.
paroxysm |1. (Med.)  The fit, attack, or exacerbation, of a disease that occurs at intervals, or has decided remissions or intermissions. Arbuthnot. 2. Any sudden and violent emotion; spasmodic passion or action; a convulsion; a fit. The returning paroxysms of diffidence and despair. South.
paroxysmal |Of the nature of a paroxysm; characterized or accompanied by paroxysms; as, a paroxysmal pain; paroxysmal temper. -- Par`ox*ys\"mal*ly, adv.
paroxytone |A word having an acute accent on the penultimate syllable.
parquet |1. A body of seats on the floor of a music hall or theater nearest the orchestra; but commonly applied to the whole lower floor of a theater, from the orchestra to the dress circle; the pit. 2. Same as Parquetry.
parquet circle |That part of the lower floor of a theater with seats at the rear of the parquet and beneath the galleries; -- called also, esp. in U. S., orchestra circle or parterre.
parquetage |See Parquetry.
parqueted |Formed in parquetry; inlaid with wood in small and differently colored figures. One room parqueted with yew, which I liked well. Evelyn.
parquetry |A species of joinery or cabinet-work consisting of an inlay of geometric or other patterns, generally of different colors, -- used especially for floors.
parquette |See Parquet.
parr |(a) A young salmon in the stage when it has dark transverse bands; -- called also samlet, skegger, and fingerling. (b) A young leveret.
parrakeet |Any one of numerous species of small parrots having a graduated tail, which is frequently very long; -- called also paroquet and paraquet. Note: Many of the Asiatic and Australian species belong to the genus Paleornis; others belong to Polytelis, Platycercus, Psephotus, Euphema, and allied genera. The American parrakeets mostly belong to the genus Conurus, as the Carolina parrakeet (C. Carolinensis).
parral |1. (Naut.)  The rope or collar by which a yard or spar is held to the mast in such a way that it may be hoisted or lowered at pleasure. Totten. 2. A chimney-piece. Halliwell.
parraqua |A curassow of the genus Ortalida, allied to the guan.
parrel |1. (Naut.)  The rope or collar by which a yard or spar is held to the mast in such a way that it may be hoisted or lowered at pleasure. Totten. 2. A chimney-piece. Halliwell.
parrhesia |Boldness or freedom of speech.
parricidal |Of or pertaining to parricide; guilty of parricide.
parricide |1. Properly, one who murders one's own father; in a wider sense, one who murders one's father or mother or any ancestor. 2. Etym: [L. parricidium.]  The act or crime of murdering one's own father or any ancestor.
parricidious |Parricidal. [Obs.]
parrock |A croft, or small field; a paddock. [Prov. Eng.]
parrot |1. (Zoöl.)  In a general sense, any bird of the order Psittaci. 2. (Zoöl.)  Any species of Psittacus, Chrysotis, Pionus, and other genera of the family Psittacidæ, as distinguished from the parrakeets, macaws, and lories. They have a short rounded or even tail, and often a naked space on the cheeks. The gray parrot, or jako (P. erithacus) of Africa (see Jako), and the species of Amazon, or green, parrots (Chrysotis) of America, are examples. Many species, as cage birds, readily learn to imitate sounds, and to repeat words and phrases. Carolina parrot (Zoöl.), the Carolina parrakeet. See Parrakeet. -- Night parrot, or Owl parrot. (Zoöl.) See Kakapo. -- Parrot coal, cannel coal; -- so called from the crackling and chattering sound it makes in burning. [Eng. & Scot.] -- Parrot green. (Chem.) See Scheele's green, under Green, n. -- Parrot weed (Bot.), a suffrutescent plant (Bocconia frutescens) of the Poppy family, native of the warmer parts of America. It has very large, sinuate, pinnatifid leaves, and small, panicled, apetalous flowers. -- Parrot wrasse, Parrot fish (Zoöl.), any fish of the genus Scarus. One species (S. Cretensis), found in the Mediterranean, is esteemed by epicures, and was highly prized by the ancient Greeks and Romans.\n\nTo repeat by rote, as a parrot.\n\nTo chatter like a parrot.
parroter |One who simply repeats what he has heard. [R.] J. S. Mill.
parrotry |Servile imitation or repetition. [R.] Coleridge. \"The supine parrotry.\" Fitzed. Hall. PARROT'S-BILL Par\"rot's-bill`, n. Etym: [So called from the resemblance of its curved superior petal to a parrot's bill.] (Bot.)  The glory pea. See under Glory.
parry |1. To ward off; to stop, or to turn aside; as, to parry a thrust, a blow, or anything that means or threatens harm. Locke. Vice parries wide The undreaded volley with a sword of straw. Cowper. 2. To avoid; to shift or put off; to evade. The French government has parried the payment of our claims. E. Everett.\n\nTo ward off, evade, or turn aside something, as a blow, argument, etc. Locke.\n\nA warding off of a thrust or blow, as in sword and bayonet exercises or in boxing; hence, figuratively, a defensive movement in debate or other intellectual encounter.
parse |To resolve into its elements, as a sentence, pointing out the several parts of speech, and their relation to each other by government or agreement; to analyze and describe grammatically. Let him construe the letter into English, and parse it over perfectly. Ascham.
parsee |1. One of the adherents of the Zoroastrian or ancient Persian religion, descended from Persian refugees settled in India; a fire worshiper; a Gheber. 2. The Iranian dialect of much of the religious literature of the Parsees.
parseeism |The religion and customs of the Parsees.
parser |One who parses.
parsimonious |Exhibiting parsimony; sparing in expenditure of money; frugal to excess; penurious; niggardly; stingy. -- Par`si*mo\"ni*ous*ly, adv. -- Par`si*mo\"ni*ous*ness, n. A prodigal king is nearer a tyrant than a parsimonious. Bacon. Extraordinary funds for one campaign may spare us the expense of many years; whereas a long, parsimonious war will drain us of more men and money. Addison. Syn. -- Covetous; niggardly; miserly; penurious; close; saving; mean; stingy; frugal. See Avaricious.
parsimony |Closeness or sparingness in the expenditure of money; -- generally in a bad sense; excessive frugality; niggardliness. Bacon. Awful parsimony presided generally at the table. Thackeray. Syn. -- Economy; frugality; illiberality; covetousness; closeness; stinginess. See Economy.
parsley |An aromatic umbelliferous herb (Carum Petroselinum), having finely divided leaves which are used in cookery and as a garnish. As she went to the garden for parsley, to stuff a rabbit. Shak. Fool's parsley. See under Fool. -- Hedge parsley, Milk parsley, Stone parsley, names given to various weeds of similar appearance to the parsley. -- Parsley fern (Bot.), a small fern with leaves resembling parsley (Cryptogramme crispa). -- Parsley piert (Bot.), a small herb (Alchemilla arvensis) formerly used as a remedy for calculus.
parsnip |The aromatic and edible spindle-shaped root of the cultivated form of the Pastinaca sativa, a biennial umbelliferous plant which is very poisonous in its wild state; also, the plant itself. Cow parsnip. See Cow parsnip. -- Meadow parsnip, the European cow parsnip. -- Poison parsnip, the wild stock of the parsnip. -- Water parsnip, any plant of the umbelliferous genus Sium, the species of which are poisonous.
parson |1. (Eng. Eccl. Law)  A person who represents a parish in its ecclesiastical and corporate capacities; hence, the rector or incumbent of a parochial church, who has full possession of all the rights thereof, with the cure of souls. 2. Any clergyman having ecclesiastical preferment; one who is in orders, or is licensed to preach; a preacher. He hears the parson pray and preach. Longfellow. Parson bird (Zoöl.), a New Zealand bird (Prosthemadera Novæseelandiæ) remarkable for its powers of mimicry and its ability to articulate words. Its color is glossy black, with a curious tuft of long, curly, white feathers on each side of the throat. It is often kept as a cage bird.
parsonage |1. (Eng. Eccl. Law)  A certain portion of lands, tithes, and offerings, for the maintenance of the parson of a parish. 2. The glebe and house, or the house only, owned by a parish or ecclesiastical society, and appropriated to the maintenance or use of the incumbent or settled pastor. 3. Money paid for the support of a parson. [Scot.] What have I been paying stipend and teind, parsonage and vicarage, for Sir W. Scott.
parsoned |Furnished with a parson.
parsonic |Of or pertaining to a parson; clerical. Vainglory glowed in his parsonic heart. Colman. -- Par*son\"ic*al*ly, adv.
parsonical |Of or pertaining to a parson; clerical. Vainglory glowed in his parsonic heart. Colman. -- Par*son\"ic*al*ly, adv.
parsonish |Appropriate to, or like, a parson; -- used in disparagement. [Colloq.]
part |1. One of the portions, equal or unequal, into which anything is divided, or regarded as divided; something less than a whole; a number, quantity, mass, or the like, regarded as going to make up, with others, a larger number, quantity, mass, etc., whether actually separate or not; a piece; a fragment; a fraction; a division; a member; a constituent. And kept back part of the price, . . . and brought a certain part and laid it at the apostles'feet. Acts v. 2. Our ideas of extension and number -- do they not contain a secret relation of the parts Locke. I am a part of all that I have met. Tennyson. 2. Hence, specifically: (a) An equal constituent portion; one of several or many like quantities, numbers, etc., into which anything is divided, or of which it is composed; proportional division or ingredient. An homer is the tenth part of an ephah. Ex. xvi. 36. A thought which, quartered, hath but one part wisdom, And ever three parts coward. Shak. (b) A constituent portion of a living or spiritual whole; a member; an organ; an essential element. All the parts were formed . . . into one harmonious body. Locke. The pulse, the glow of every part. Keble. (c) A constituent of character or capacity; quality; faculty; talent; -- usually in the plural with a collective sense. \"Men of considerable parts.\" Burke. \"Great quickness of parts.\" Macaulay. Which maintained so politic a state of evil, that they will not admit any good part to intermingle with them. Shak. (d) Quarter; region; district; -- usually in the plural. \"The uttermost part of the heaven.\" Neh. i. 9. All parts resound with tumults, plaints, and fears. Dryden. (e) (Math.)  Such portion of any quantity, as when taken a certain number of times, will exactly make that quantity; as, 3 is a part of 12; -- the opposite of multiple. Also, a line or other element of a geometrical figure. 3. That which belongs to one, or which is assumed by one, or which falls to one, in a division or apportionment; share; portion; lot; interest; concern; duty; office. We have no part in David. 2 Sam. xx. 1. Accuse not Nature! she hath done her part; Do thou but thine. Milton. Let me bear My part of danger with an equal share. Dryden. 4. Hence, specifically: (a) One of the opposing parties or sides in a conflict or a controversy; a faction. For he that is not against us is on our part. Mark ix. 40. Make whole kingdoms take her brother's part. Waller. (b) A particular character in a drama or a play; an assumed personification; also, the language, actions, and influence of a character or an actor in a play; or, figuratively, in real life. See To act a part, under Act. That part Was aptly fitted and naturally performed. Shak. It was a brute part of him to kill so capital a calf. Shak. Honor and shame from no condition rise; Act well your part, there all the honor lies. Pope. (c) (Mus.)  One of the different melodies of a concerted composition, which heard in union compose its harmony; also, the music for each voice or instrument; as, the treble, tenor, or bass part; the violin part, etc. For my part, so far as concerns me; for my share. -- For the most part. See under Most, a. -- In good part, as well done; favorably; acceptably; in a friendly manner. Hooker. In ill part, unfavorably; with displeasure. -- In part, in some degree; partly. -- Part and parcel, an essential or constituent portion; -- a reduplicative phrase. Cf. might and main, kith and kin, etc. \"She was . . . part and parcel of the race and place.\" Howitt. -- Part of speech (Gram.), a sort or class of words of a particular character; thus, the noun is a part of speech denoting the name of a thing; the verb is a part of speech which asserts something of the subject of a sentence. -- Part owner (Law), one of several owners or tenants in common. See Joint tenant, under Joint. -- Part singing, singing in which two or more of the harmonic parts are taken. -- Part song, a song in two or more (commonly four) distinct vocal parts. \"A part song differs from a madrigal in its exclusion of contrapuntual devices; from a glee, in its being sung by many voices, instead of by one only, to each part.\" Stainer & Barrett. Syn. -- Portion; section; division; fraction; fragment; piece; share; constituent. See Portion, and Section.\n\n1. To divide; to separate into distinct parts; to break into two or more parts or pieces; to sever. \"Thou shalt part it in pieces.\" Lev. ii. 6. There, [celestial love] parted into rainbow hues. Keble. 2. To divide into shares; to divide and distribute; to allot; to apportion; to share. To part his throne, and share his heaven with thee. Pope. They parted my raiment among them. John xix. 24. 3. To separate or disunite; to cause to go apart; to remove from contact or contiguity; to sunder. The Lord do so to me, and more also, if aught but death part thee and me. Ruth i. 17. While he blessed them, he was parted from them, and carried up into heaven. Luke xxiv. 51. The narrow seas that part The French and English. Shak. 4. Hence: To hold apart; to stand between; to intervene betwixt, as combatants. The stumbling night did part our weary powers. Shak. 5. To separate by a process of extraction, elimination, or secretion; as, to part gold from silver. The liver minds his own affair, . . . And parts and strains the vital juices. Prior. 6. To leave; to quit. [Obs.] Since presently your souls must part your bodies. Shak. To part a cable (Naut.), to break it. -- To part company, to separate, as travelers or companions.\n\n1. To be broken or divided into parts or pieces; to break; to become separated; to go asunder; as, rope parts; his hair parts in the middle. 2. To go away; to depart; to take leave; to quit each other; hence, to die; -- often with from. He wrung Bassanio's hand, and so they parted. Shak. He owned that he had parted from the duke only a few hours before. Macaulay. His precious bag, which he would by no means part from. G. Eliot. 3. To perform an act of parting; to relinquish a connection of any kind; -- followed by with or from. Celia, for thy sake, I part With all that grew so near my heart. Waller. Powerful hands . . . will not part Easily from possession won with arms. Milton. It was strange to him that a father should feel no tenderness at parting with an only son. A. Trollope. 4. To have a part or share; to partake. [Obs.] \"They shall part alike.\" 1 Sam. xxx. 24.\n\nPartly; in a measure. [R.] Shak.
partable |See Partible. Camden.
partage |1. Division; the act of dividing or sharing. [Obs.] Fuller. 2. Part; portion; share. [Obs.] Ford.
partake |1. To take a part, portion, lot, or share, in common with others; to have a share or part; to participate; to share; as, to partake of a feast with others. \"Brutes partake in this faculty.\" Locke. When I against myself with thee partake. Shak. 2. To have something of the properties, character, or office; -- usually followed by of. The attorney of the Duchy of Lancaster partakes partly of a judge, and partly of an attorney-general. Bacon.\n\n1. To partake of; to have a part or share in; to share. Let every one partake the general joy. Driden. 2. To admit to a share; to cause to participate; to give a part to. [Obs.] Spencer. 3. To distribute; to communicate. [Obs.] Shak.
partaker |1. One who partakes; a sharer; a participator. Partakers of their spiritual things. Rom. xv. 27. Wish me partaker in my happiness. Shark. 2. An accomplice; an associate; a partner. [Obs.] Partakers wish them in the blood of the prophets. Matt. xxiii. 30.
partan |An edible British crab. [Prov. Eng.]
parted |1. Separated; devided. 2. Endowed with parts or abilities. [Obs.] B. Jonson. 3. (Bot.)  Cleft so that the divisions reach nearly, but not quite, to the midrib, or the base of the blade; -- said of a leaf, and used chiefly in composition; as, three-parted, five-parted, etc. Gray.
partenope |1. (Gr. Myth.)  One of the Sirens, who threw herself into the sea, in despair at not being able to beguile Ulysses by her songs. 2. One of the asteroids between Mars and Jupiter, descovered by M. de Gasparis in 1850.
parter |One who, or which, parts or separates. Sir P. Sidney.
parterre |1. (Hort.)  An ornamental and diversified arrangement of beds or plots, in which flowers are cultivated, with intervening spaces of gravel or turf for walking on. 2. The pit of a theater; the parquet. [France]
partheniad |A poem in honor of a virgin. [Obs.]
parthenic |Of or pertaining to the Spartan Partheniæ, or sons of unmarried women.
parthenogenesis |1. (Biol.)  The production of new individuals from virgin females by means of ova which have the power of developing without the intervention of the male element; the production, without fertilization, of cells capable of germination. It is one of the phenomena of alternate generation. Cf. Heterogamy, and Metagenesis. 2. (Bot.)  The production of seed without fertilization, believed to occur through the nonsexual formation of an embryo extraneous to the embrionic vesicle.
parthenogenetic |Of, pertaining to, or produced by, parthenogenesis; as, parthenogenetic forms. -- Par`the*no*ge*net\"ic*al*ly, adv.
parthenogenitive |Parthenogenetic.
parthenogeny |Same as Parthenogenesis.
parthenon |A celebrated marble temple of Athene, on the Acropolis at Athens. It was of the pure Doric order, and has had an important influence on art.
parthenope |1. (Gr. Myth.)  One of the Sirens, who threw herself into the sea, in despair at not being able to beguile Ulysses by her songs. 2. One of the asteroids between Mars and Jupiter, descovered by M. de Gasparis in 1850.
parthian |Of or pertaining to ancient Parthia, in Asia. -- n.  A native Parthia. Parthian arrow, an arrow discharged at an enemy when retreating from him, as was the custom of the ancient Parthians; hence, a parting shot.
parti-colored |Colored with different tints; variegated; as, a party-colored flower. \"Parti-colored lambs.\" Shak.
