corrivalship |Corivalry. [R.] By the corrivalship of Shager his false friend. Sir T. Herbert.
cottoid |Like a fish of the genus Cottus. -- n.  A fish belonging to, or resembling, the genus Cottus. See Sculpin.
cottolene |A product from cottonseed, used as lard.
cotton |1. A soft, downy substance, resembling fine wool, consisting of the unicellular twisted hairs which grow on the seeds of the cotton plant. Long-staple cotton has a fiber sometimes almost two inches long; short-staple, from two thirds of an inch to an inch and a half. 2. The cotton plant. See Cotten plant, below. 3. Cloth made of cotton. Note: Cotton is used as an adjective before many nouns in a sense which commonly needs no explanation; as, cottton bagging; cotton clotch; cotton goods; cotton industry; cotton mill; cotton spinning; cotton tick. Cotton cambric. See Cambric, n., 2. -- Cotton flannel, the manufactures' name for a heavy cotton fabric, twilled, and with a long plush nap. In England it is called swan's- down cotton, or Canton flannel. -- Cotton gin, a machine to separate the seeds from cotton, invented by Eli Whitney. -- Cotton grass (Bot.), a genus of plants (Eriphorum) of the Sedge family, having delicate capillary bristles surrounding the fruit (seedlike achenia), which elongate at maturity and resemble tufts of cotton. -- Cotton mouse (Zool.), a field mouse (Hesperomys gossypinus), injurious to cotton crops. -- Cotton plant (Bot.), a plant of the genus Gossypium, of several species, all growing in warm climates, and bearing the cotton of commerce. The common species, originally Asiatic, is G. herbaceum. -- Cotton press, a building and machinery in which cotton bales are compressed into smaller bulk for shipment; a press for baling cotton. -- Cotton rose (Bot.), a genus of composite herbs (Filago), covered with a white substance resembling cotton. -- Cotton scale (Zoöl.), a species of bark louse (Pulvinaria innumerabilis), which does great damage to the cotton plant. -- Cotton shrub. Same as Cotton plant. -- Cotton stainer (Zoöl.), a species of hemipterous insect (Dysdercus suturellus), which seriously damages growing cotton by staining it; -- called also redbug. -- Cotton thistle (Bot.), the Scotch thistle. See under Thistle. -- Cotton velvet, velvet in which the warp and woof are both of cotton, and the pile is of silk; also, velvet made wholly of cotton. -- Cotton waste, the refuse of cotton mills. -- Cotton wool, cotton in its raw or woolly state. -- Cotton worm (Zool.), a lepidopterous insect (Aletia argillacea), which in the larval state does great damage to the cotton plant by eating the leaves. It also feeds on corn, etc., and hence is often called corn worm, and Southern army worm.\n\n1. To rise with a regular nap, as cloth does. [Obs.] It cottons well; it can not choose but bear A pretty nap. Family of Love. 2. To go on prosperously; to succeed. [Obs.] New, Hephestion, does not this matter cotton as I would Lyly. 3. To unite; to agree; to make friends; -- usually followed by with. [Colloq.] A quarrel will end in one of you being turned off, in which case it will not be easy to cotton with another. Swift. Didst see, Frank, how the old goldsmith cottoned in with his beggarly companion Sir W. Scott. 4. To take a liking to; to stick to one as cotton; -- used with to. [Slang]
cotton batting |Cotton prepared in sheets or rolls for quilting, upholstering, and similar purposes.
cotton seed |The seed of the cotton plant.
cotton state |Alabama; -- a nickname.
cottonade |A somewhat stoun and thick fabric of cotton.
cottonary |Relating to, or composed of, cotton; cottony. [Obs.] Cottomary and woolly pillows. Sir T. Browne.
cottonous |Resembling cotton. [R.] Evelyn.
cottonseed |The seed of the cotton plant.
cottonseed meal |A meal made from hulled cotton seeds after the oil has been expressed.
cottonseed oil |A fixed, semidrying oil extracted from cottonseed. It is pale yellow when pure (sp. gr., .92-.93). and is extensively used in soap making, in cookery, and as an adulterant of other oils.
cottontail |The American wood rabbit (Lepus sylvaticus); -- also called Molly cottontail.
cottonweed |See Cudweed.
cottonwood |An American tree of the genus Populus or polar, having the seeds covered with abundant cottonlike hairs; esp., the P. monilifera and P. angustifolia of the Western United States.
cottony |1. Covered with hairs or pubescence, like cotton; downy; nappy; woolly. 2. Of or pertaining to cotton; resembling cotton in appearance or character; soft, like cotton.
cottrel |A trammel, or hook to support a pot over a fire. Knight.
cotyla |A cuplike cavity or organ. Same as Acetabulum.
cotyle |A cuplike cavity or organ. Same as Acetabulum.
cotyledon |1. (Anat.)  One of the patches of villi found in some forms of placenta. 2. (Bot.)  A leaf borne by the caulicle or radicle of an embryo; a seed leaf. Note: Many plants, as the bean and the maple, have two cotyledons, the grasses only one, and pines have several. In one African plant (Welwitschia) the cotyledons are permanent and grow to immense proportions.
cotyledonal |Of, pertaining to, or resembling, a cotyledon.
cotyledonary |Having a cotyledon; tufted; as, the cotyledonary placenta of the cow.
cotyledonous |Of or pertaining to a cotyledon or cotyledons; having a seed lobe.
cotyliform |Shaped like a cotyle or a cup.
cotyligerous |Having cotyles.
cotyloid |(a) Shaped like a cup; as, the cotyloid cavity, which receives the head of the thigh bone. (b) Pertaining to a cotyloid cavity; as, the cotyloid ligament, or notch.
coucal |A large, Old World, ground cuckoo of the genus Centropus, of several species.
couch |1. To lay upon a bed or other resting place. Where unbruised youth, with unstuffed brain, Does couch his limbs, there golden sleep doth reign. Shak. 2. To arrauge or dispose as in a bed; -- sometimes followed by the reflexive pronoun. The waters couch themselves as may be to the center of this globe, in a spherical convexity. T. Burnet. 3. To lay or deposit in a bed or layer; to bed. It is at this day in use at Gaza, to couch potsherds, or vessels of earth, in their walls. Bacon. 4. (Paper Making)  To transfer (as sheets of partly dried pulp) from the wire clotch mold to a felt blanket, for further drying. 5. To conceal; to include or involve darkly. There is all this, and more, that lies naturally couched under this allegory. L'Estrange. 6. To arrange; to place; to inlay. [Obs.] Chaucer. 7. To put into some form of language; to express; to phrase; -- used with in and under. A well-couched invective. Milton. I had received a letter from Flora couched in rather cool terms. Blackw. Mag. 8. (Med.)  To treat by pushing down or displacing the opaque lens with a needle; as, to couch a cataract. To couch a spear or lance, to lower to the position of attack; to place in rest. He stooped his head, and couched his spear, And spurred his steed to full career. Sir W. Scott. To couch malt, to spread malt on a floor. Mortimer.\n\n1. To lie down or recline, as on a bed or other place of rest; to repose; to lie. Where souls do couch on flowers, we 'll hand in hand. Shak. If I court moe women, you 'll couch with moe men. Shak. 2. To lie down for concealment; to hide; to be concealed; to be included or involved darkly. We 'll couch in the castle ditch, till we see the light of our fairies. Shak. The half-hidden, hallf-revealed wonders, that yet couch beneath the words of the Scripture. I. Taylor. 3. To bend the body, as in reverence, pain, labor, etc.; to stoop; to crouch. [Obs.] An aged squire That seemed to couch under his shield three-square. Spenser.\n\n1. A bed or place for repose or sleep; particularly, in the United States, a lounge. Gentle sleep . . . why liest thou with the vile In loathsome beds, and leavest the kingly couch Shak. Like one that wraps the drapery of his couch About him, and lies down to pleasant dreams. Bryant. 2. Any place for repose, as the lair of a beast, etc. 3. A mass of steeped barley spread upon a floor to germinate, in malting; or the floor occupied by the barley; as, couch of malt. 4. (Painting & Gilding)  A preliminary layer, as of color, size, etc.
couch grass |See Quitch grass.
couchancy |State of lying down for repose. [R.]
couchant |1. Lying down with head erect; squatting. 2. (Her.)  Lying down with the head raised, which distinguishes the posture of couchant from that of dormant, or sleeping; -- said of a lion or other beast. Couchant and levant (Law), rising up and lying down; -- said of beasts, and indicating that they have been long enough on land, not belonging to their owner, to lie down and rise up to feed, -- such time being held to include a day and night at the least. Blackstone.
couche |(a) Not erect; inclined; -- said of anything that is usually erect, as an escutcheon. (b) Lying on its side; thus, a chevron couché is one which emerges from one side of the escutcheon and has its apex on the opposite side, or at the fess point.
couched |Same as Couch.
couchee |A reception held at the time of going to bed, as by a sovereign or great prince. [Obs.] Dryden. The duke's levees and couchees were so crowded that the antechambers were full. Bp. Burnet.
coucher |1. One who couches. 2. (Paper Manuf.)  One who couches paper. 3. Etym: [Cf. L. collectarius.] (O. Eng. Law) (a) A factor or agent resident in a country for traffic. Blount. (b) The book in which a corporation or other body registers its particular acts. [Obs.] Cowell.
couching |1. (Med.)  The operation of putting down or displacing the opaque lens in cataract. 2. Embroidering by laying the materials upon the surface of the foundation, instead of drawing them through.
couchless |Having no couch or bed.
coudee |A measure of length; the distance from the elbow to the end of the middle finger; a cubit.
cougar |An American feline quadruped (Felis concolor), resembling the African panther in size and habits. Its color is tawny, without spots; hence writers often called it the American lion. Called also puma, panther, mountain lion, and catamount. See Puma.
cough |To expel air, or obstructing or irritating matter, from the lungs or air passages, in a noisy and violent manner.\n\n1. To expel from the lungs or air passages by coughing; -- followed by up; as, to cough up phlegm. 2. To bring to a specified state by coughing; as, he coughed himself hoarse. To cough down, to silence or put down (an objectionable speaker) by simulated coughing.\n\n1. A sudden, noisy, and violent expulsion of air from the chest, caused by irritation in the air passages, or by the reflex action of nervous or gastric disorder, etc. 2. The more or less frequent repetition of coughing, constituting a symptom of disease. Stomach cough, Ear cough, cough due to irritation in the stomach or ear.
cougher |One who coughs.
couhage |See Cowhage.
could |Was, should be, or would be, able, capable, or susceptible. Used as an auxiliary, in the past tense or in the conditional present.
coulee |A stream; (Geol.)  a stream of lava. Also, in the Western United States, the bed of a stream, even if dry, when deep and having inclined sides; distinguished from a cañon, which has precipitous sides.
couleur |1. Color; -- chiefly used in a few French phrases, as couler de rose, color of rose; and hence, adjectively, rose-colored; roseate. 2.  A suit of cards, as hearts or clubs; --used in some French games.
coulisse |1. A piece of timber having a groove in which something glides. 2. One of the side scenes of the stage in a theater, or the space included between the side scenes.
couloir |1. A deep gorge; a gully. 2. (Hydraul. Engin.)  A dredging machine for excavating canals, etc.
coulomb |The standard unit of quantity in electrical measurements. It is the quantity of electricity conveyed in one second by the current produced by an electro-motive force of one volt acting in a circuit having a resistance of one ohm, or the quantitty transferred by one ampère in one second. Formerly called weber.
coulomb meter |Any instrument by which electricity can be measured in coulombs. COULOMB'S LAW Cou`lomb's\" law. (Physics)  The law that the force exerted between two electric or magnetic charges is directly proportional to the product of the charges and inversely to the square of the distance between them.
coulter |Same as Colter.
coulterneb |The puffin.
coulure |A disease affecting grapes, esp. in California, manifested by the premature dropping of the fruit.
coumaric |Relating to, derived from, or like, the Dipterix odorata, a tree of Guiana. Coumaric acid (Chem.), one of a series of aromatic acids, related to cinnamic acid, the most important of which is a white crystalline substance, HO.C6H4.C2H2.CO2H, obtained from the tonka bean, sweet clover, etc., and also produced artifically.
coumarin |The concrete essence of the tonka bean, the fruit of Dipterix (formerly Coumarouna) odorata and consisting essentially of coumarin proper, which is a white crystalline substance, C9H6O2, of vanilla- like odor, regarded as an anhydride of coumaric acid, and used in flavoring. Coumarin in also made artificially.
coumarou |The tree (Dipteryx odorata) which bears the tonka bean; also, the bean itself.
council |1. An assembly of men summoned or convened for consultation, deliberation, or advice; as, a council of physicians for consultation in a critical case. 2. A body of man elected or appointed to constitute an advisory or a legislative assembly; as, a governor's council; a city council. An old lord of the council rated me the other day. Shak. 3. Act of deliberating; deliberation; consultation. Satan . . . void of rest, His potentates to council called by night. Milton. O great in action and in council wise. Pope. Aulic council. See under Aulic. -- Cabinet council. See under Cabinet. -- City council, the legislative branch of a city government, usually consisting of a board of aldermen and common council, but sometimes otherwise constituted. -- Common council. See under Common. -- Council board, Council table, the table round which a council holds consultation; also, the council itself in deliberation. -- Council chamber, the room or apartment in which a council meets. -- Council fire, the ceremonial fire kept burning while the Indians hold their councils. [U.S.] Barilett. -- Council of war, an assembly of officers of high rank, called to consult with the commander in chief in regard to measures or importance or nesessity. -- Ecumenical council (Eccl.), an assembly of prelates or divines convened from the whole body of the church to regulate matters of doctrine or discipline. -- Executive council, a body of men elected as advisers of the chief magistrate, whether of a State or the nation. [U.S.] -- Legislative council, the upper house of a legislature, usually called the senate. -- Privy council. See under Privy. [Eng.] Syn. -- Assembly; meeting; congress; diet; parliament; convention; convocation; synod.
councilist |One who belong to a council; one who gives an opinion. [Obs.] I will in three months be an expert counsilist. Milton.
councilman |A member of a council, especially of the common council of a city; a councilor.
councilor |A member of a council. [Written also councillor.] Note: The distinction between councilor, a member of a council, and counselor, one who gives councel, was not formerly made, but is now very generally recognized and observed.
counsel |1. Interchange of opinions; mutual advising; consultation. All the chief priest and elders of the people took counsel against Jesus, to put him to death. Matt. xxvii. 1. 2. Examination of consequences; exercise of deliberate judgment; prudence. They all confess, therefore, in the working of that first cause, that counsel is used. Hooker. 3. Result of consultation; advice; instruction. I like thy counsel; well hast thou advised. Shak. It was ill counsel had misled the girl. Tennyson. 4. Deliberate purpose; design; intent; scheme; plan. The counsel of the Lord standeth forever. Ps. xxxiii. 11. The counsels of the wicked are deceit. Prov. xii. 5. 5. A secret opinion or purpose; a private matter. Thilke lord . . . to whom no counsel may be hid. Gower. 6. One who gives advice, especially in legal matters; one professionally engaged in the trial or management of a cause in court; also, collectively, the legal advocates united in the management of a case; as, the defendant has able counsel. The King found his counsel as refractory as his judges. Macaulay. Note: The some courts a distinction is observed between the attorney and the counsel in a cause, the former being employed in the management iof the more mechanical parts of the suit, the latter in attending to the pleadings, managing the cause at the trial, and in applying the law to the exigencies of the case during the whole progress of the suit. In other courts the same person can exercise the powers of each. See Attorney. Kent. In counsel, in secret. [Obs.] Chaucer. -- To keep counsel, or To keep one's own counsel, to keep one's thoughts, purposes, etc., undisclosed. The players can not keep counsel: they 'll tell all. Shak. Syn. -- Advice; consideration; consultation; purpose; scheme; opinion.\n\n1. To give advice to; to advice, admonish, or instruct, as a person. Good sir, I do in friendship counsel you To leave this place. Shak. 2. To advise or recommend, as an act or course. They who counsel war. Milton. Thus Belial, with words clothed in reson's garb, Counseled ignoble ease and peaceful sloth. Milton.
counselable |1. Willing to receive counsel or follow advice. [R.] Few men of so great parts were upon all occasions more counselable than he. Clarendon. 2. Suitable to be advised; advisable, wise. [Obs.] He did not believe it counselable. Clarendon.
counselor |1. One who counsels; an adviser. Can he that speaks with the tongue of an enemy be a good counselor, or no Shak. 2. A member of council; one appointed to advise a sovereign or chief magistrate. Note: [See under Consilor.] 3. One whose profession is to give advice in law, and manage causes for clients in court; a barrister. Good counselors lack no clients. Shak.
counselorship |The function and rank or office of a counselor. Bacon.
count |1. To tell or name one by one, or by groups, for the purpose of ascertaining the whole number of units in a collection; to number; to enumerate; to compute; to reckon. Who can count the dust of Jacob Num. xxiii. 10. In a journey of forty miles, Avaux counted only three miserable cabins. Macaulay. 2. To place to an account; to ascribe or impute; to consider or esteem as belonging. Abracham believed God, and it was counted unto him for righteousness. Rom. iv. 3. 3. To esteem; to account; to reckon; to think, judge, or consider. I count myself in nothing else so happy As in a soul remembering my good friends. Shak. To count out. (a) To exclude (one) will not particapate or cannot be depended upon. (b) (House of Commons) To declare adjourned, as a sitting of the House, when it is ascertained that a quorum is not present. (c) To prevent the accession of (a person) to office, by a fraudulent return or count of the votes cast; -- said of a candidate really elected. [Colloq.] Syn. -- To calculate; number; reckon; compute; enumerate. See Calculate.\n\n1. To number or be counted; to possess value or carry weight; hence, to increase or add to the strength or influence of some party or interest; as, every vote counts; accidents count for nothing. This excellent man . . . counted among the best and wisest of English statesmen. J. A. Symonds. 2. To reckon; to rely; to depend; -- with on or upon. He was brewer to the palace; and it was apprehended that the government counted on his voice. Macaulay. I think it a great error to count upon the genius of a nation as a standing argument in all ages. Swift. 3. To take account or note; -- with of. [Obs.] \"No man counts of her beauty.\" Shak. 4. (Eng. Law)  To plead orally; to argue a matter in court; to recite a count. Burrill.\n\n1. The act of numbering; reckoning; also, the number ascertained by counting. Of blessed saints for to increase the count. Spenser. By this count, I shall be much in years. Shak. 2. An object of interest or account; value; estimation. [Obs.] \"All his care and count.\" Spenser. 3. (Law)  A formal statement of the plaintiff's case in court; in a more technical and correct sense, a particular allegation or charge in a declaration or indictment, separately setting forth the cause of action or prosecution. Wharton. Note: In the old law books, count was used synonymously with declaration. When the plaintiff has but a single cause of action, and makes but one statement of it, that statement is called indifferently count or declaration, most generally, however, the latter. But where the suit embraces several causes, or the plaintiff makes several different statements of the same cause of action, each statement is called a count, and all of them combined, a declaration. Bouvier. Wharton.\n\nA nobleman on the continent of Europe, equal in rank to an English earl. Note: Though the tittle Count has never been introduced into Britain, the wives of Earls have, from the earliest period of its history, been designated as Countesses. Brande & C. Count palatine. (a) Formerly, the proprietor of a county who possessed royal prerogatives within his county, as did the Earl of Chester, the Bishop of Durham, and the Duke of Lancaster. [Eng.] See County palatine, under County. (b) Originally, a high judicial officer of the German emperors; afterward, the holder of a fief, to whom was granted the right to exercise certain imperial powers within his own domains. [Germany]
count-wheel |The wheel in a clock which regulates the number of strokes.
countable |Capable of being numbered.
countenance |1. Appearance or expression of the face; look; aspect; mien. So spake the Son, and into terror changed His countenance. Milton. 2. The face; the features. In countenance somewhat doth resemble you. Shak. 3. Approving or encouraging aspect of face; hence, favor, good will, support; aid; encouragement. Thou hast made him . . . glad with thy countenance. Ps. xxi. 6. This is the magistrate's peculiar province, to give countenance to piety and virtue, and to rebuke vice. Atterbury. 4. Superficial appearance; show; pretense. [Obs.] The election being done, he made countenance of great discontent thereat. Ascham. In countenance, in an assured condition or aspect; free from shame or dismay. \"It puts the learned in countenance, and gives them a place among the fashionable part of mankind.\" Addison. -- Out of countenance, not bold or assured; confounded; abashed. \"Their best friends were out of countenance, because they found that the imputations . . . were well grounded.\" Clarendon. -- To keep the countenance, to preserve a composed or natural look, undisturbed by passion or emotion. Swift.\n\n1. To encourage; to favor; to approve; to aid; to abet. This conceit, though countenanced by learned men, is not made out either by experience or reason. Sir T. Browne. Error supports custom, custom countenances error. Milton. 2. To make a show of; to pretend. [Obs.] Which to these ladies love did countenance. Spenser.
countenancer |One who countenances, favors, or supports.
counter |A prefix meaning contrary, opposite, in opposition; as, counteract, counterbalance, countercheck. See Counter, adv. & a.\n\n1. One who counts, or reckons up; a calculator; a reckoner. 2. A piece of metal, ivory, wood, or bone, used in reckoning, in keeping account of games, etc. The old gods of our own race whose names . . . serve as counters reckon the days of the week. E. B. Tylor. What comes the wool to . . . I can not do it witthout counters. Shak. 3. Money; coin; -- used in contempt. [Obs.] To lock such rascal counters from his friends. Shak. 4. A prison; either of two prisons formerly in London. Anne Aysavugh . . . imprisoned in the Counter. Fuller. 5. A telltale; a contrivance attached to an engine, printing press, or other machine, for the purpose of counting the revolutions or the pulsations. Knight.\n\nA table or board on which money is counted and over which business is transacted; a long, narrow table or bench, on which goods are laid for examination by purchasers, or on which they are weighed or measured.\n\n1. Contrary; in opposition; in an opposite direction; contrariwise; - - used chiefly with run or go. Running counter to all the rules of virtue. Locks. 2. In the wrong way; contrary to the right course; as, a hound that runs counter. This is counter, you false Danish dogs! Shak. 3. At or against the front or face. [R.] Which [darts] they never throw counter, but at the back of the flier. Sandys.\n\nContrary; opposite; contrasted; opposed; adverse; antagonistic; as, a counter current; a counter revolution; a counter poison; a counter agent; counter fugue. \"Innumerable facts attesting the counter principle.\" I. Taylor. Counter approach (Fort.), a trench or work pushed forward from defensive works to meet the approaches of besiegers. See Approach. -- Counter bond (Law), in old practice, a bond to secure one who has given bond for another. -- Counter brace. See Counter brace, in Vocabulary. -- Counter deed (Law), a secret writing which destroys, invalidates, or alters, a public deed. -- Counter distinction, contradistinction. [Obs.] -- Counter drain, a drain at the foot of the embankment of a canal or watercourse, for carrying off the water that may soak through. -- Counter extension (Surg.), the fixation of the upper part of a limb, while extension is practiced on the lower part, as in cases of luxation or fracture. -- Counter fissure (Surg.) Same as Contrafissure. -- Counter indication. (Med.) Same as Contraindication. -- Counter irritant (Med.), an irritant to produce a blister, a pustular eruption, or other irritation in some part of the body, in order to relieve an existing irritation in some other part. \"Counter irritants are of as great use in moral as in physical diseases.\" Macaulay. -- Counter irritation (Med.), the act or the result of applying a counter irritant. -- Counter opening, an aperture or vent on the opposite side, or in a different place. -Counter parole (Mil.), a word in addition to the password, given in time of alarm as a signal. -- Counter plea (Law), a replication to a plea. Cowell. -- Counter pressure, force or pressure that acts in a contrary direction to some other opposing pressure. -- Counter project, a project, scheme, or proposal brought forward in opposition to another, as in the negotiation of a treaty. Swift. -- Counter proof, in engraving, a print taken off from another just printed, which, by being passed through the press, gives a copy in reverse, and of course in the same position as that of plate from which the first was printed, the object being to enable the engraver to inspect the state of the plate. -- Counter revolution, a revolution opposed to a former one, and restoring a former state of things. -- Counter revolutionist, one engaged in, or befriending, a counter revolution. -- Counter round (Mil.), a body of officers whose duty it is to visit and inspect the rounds and sentinels. -- Counter sea (Naut.), a sea running in an opposite direction from the wind. -- Counter sense, opposite meaning. -- Counter signal, a signal to answer or correspond to another. -- Counter signature, the name of a secretary or other officer countersigned to a writing. . Tooke. -- Counter slope, an overhanging slope; as, a wall with a counter slope. Mahan. -- Counter statement, a statement made in opposition to, or denial of, another statement. -- Counter surety, a counter bond, or a surety to secure one who has given security. -- Counter tally, a tally corresponding to another. -- Counter tide, contrary tide.\n\n1. (Naut.)  The after part of a vessel's body, from the water line to the stern, -- below and somewhat forward of the stern proper. 2. (Mus.)  Same as Contra. Formerly used to designate any under part which served for contrast to a principal part, but now used as equivalent to counter tenor. 3. (Far.)  The breast, or thet part of a horse between the shoulders and under the neck. 4. The back leather or heel part of a boot.\n\nAn encounter. [Obs.] With kindly counter under mimic shade. Spenser.\n\nTo return a blow while receiving one, as in boxing. His left hand countered provokingly. C. Kingsley.
counter brace |1. (Naut.)  The brace of the fore-topsail on the leeward side of a vessel. 2. (Engin.)  A brace, in a framed structure, which resists a strain of a character opposite to that which a main brace is designed to receive. Note: In a quadrilateral system of bracing, the main brace is usually in the direction of one diagonal, and the counter brace in the direction of the other. Strains in counter braces are occasioned by the live load only, as, in a roof, by the wind, or, in a bridge, by a moving train.
counter tenor |One of the middle parts in music, between the tenor and the treble; high tenor. Counter-tenor clef (Mus.), the C clef when placed on the third line; -- also called alto clef.
counter weight |A counterpoise.
counter-compony |See Compony.
counter-couchant |Lying down, with their heads in opposite directions; -- said of animals borne in a coat of arms.
counter-courant |Running in opposite directions; -- said of animals borne in a coast of arms.
counter-paly |Paly, and then divided fesswise, so that each vertical piece is cut into two, having the colors used alternately or counterchanged. Thus the escutcheon in the illustration may also be blazoned paly of six per fess counterchanged argent and azure.
counter-revolutionary |marked by opposition or antipathy to revolution; as, ostracized for his counterrevolutionary tendencies. Opposite of revolutionary. [WordNet 1.5]
counter-roll |A duplicate roll (record or account) kept by an officer as a check upon another officer's roll. Burrill. Note: As a verb this word is contracted into control. See Control.
counter-salient |Leaping from each other; -- said of two figures on a coast of arms.
counteract |To act in opposition to; to hinder, defeat, or frustrate, by contrary agency or influence; as, to counteract the effect of medicines; to counteract good advice.
counteraction |Action in opposition; hindrance resistance. [They] do not . . . overcome the counteraction of a false principle or of stubborn partiality. Johnson.
counteractive |Tending to counteract.\n\nOne who, or that which, counteracts.
counteractively |By counteraction.
counterbalance |To oppose with an equal weight or power; to counteract the power or effect of; to countervail; to equiponderate; to balance. The remaining air was not able to counterbalance the mercurial cylinder. Boyle. The cstudy of mind is necessary to counterbalance and correct the influence of the study of nature. Sir W. Hamilton.\n\nA weight, power, or agency, acting against or balancing another; as: (a) A mass of metal in one side of a driving wheel or fly wheel, to balance the weight of a crank pin, etc., on the opposite side of the wheel. (b) A counterpoise to balance the weight of anything, as of a drawbridge or a scale beam. Money is the counterbalance to all other things purchasable by it. Locke.
counterbore |1. A flat-bottomed cylindrical enlargement of the mouth of a hole, usually of slight depth, as for receiving a cylindrical screw head. 2. A kind of pin drill with the cutting edge or edges normal to the axis; -- used for enlarging a hole, or for forming a flat-bottomed recess at its mouth.\n\nTo form a counterbore in, by boring, turning, or drilling; to enlarge, as a hole, by means of a counterbore.
counterbrace |1. (Naut.)  To brace in opposite directions; as, to counterbrace the yards, i. e., to brace the head yards one way and the after yards another. 2. (Engin.)  To brace in such a way that opposite strains are resisted; to apply counter braces to.
counterbuff |To strike or drive back or in an opposite direction; to stop by a blow or impulse in front. Dryden.\n\nA blow in an opposite direction; a stroke that stops motion or cause a recoil.
countercast |A trick; a delusive contrivance. [Obs.] Spenser.
countercaster |A caster of accounts; a reckoner; a bookkeeper; -- used conteptuously.
counterchange |1. To give and receive; to cause to change places; to exchange. 2. To checker; to diversify, as in heraldic counterchanging. See Counterchaged, a., 2. With-elms, that counterchange the floor Of this flat lawn with dusk and bright. Tennyson.\n\nExchange; reciprocation.
counterchanged |1. Exchanged. 2. (Her.)  Having the tinctures exchanged mutually; thus, if the field is divided palewise, or and azure, and cross is borne counterchanged, that part of the cross which comes on the azure side will be or, and that on the or side will be azure.
countercharge |An opposing charge.
countercharm |To destroy the effect of a charm upon.\n\nThat which has the power of destroying the effect of a charm.
countercheck |To oppose or check by some obstacle; to check by a return check.\n\n1. A check; a stop; a rebuke, or censure to check a reprover. 2. Any force or device designed to restrain another restraining force; a check upon a check. The system of checks and counterchecks. J. H. Newton.
counterclaim |A claim made by a person as an offset to a claim made on him.
countercurrent |Running in an opposite direction.\n\nA current running in an opposite direction to the main current.
counterdraw |To copy, as a design or painting, by tracing with a pencil on oiled paper, or other transparent substance.
counterfaisance |See Counterfesance. [Obs.]
counterfeit |1. Representing by imitation or likeness; having a resemblance to something else; portrayed. Look here upon this picture, and on this-The counterfeit presentment of two brothers. Shak. 2. Fabricated in imitation of something else, with a view to defraud by passing the false copy for genuine or original; as, counterfeit antiques; counterfeit coin. \"No counterfeit gem.\" Robinson (More's Utopia). 3. Assuming the appearance of something; false; spurious; deceitful; hypocritical; as, a counterfeit philanthropist. \"An arrant counterfeit rascal.\" Shak. Syn. -- Forged; fictitious; spurious; false.\n\n1. That which resembles or is like another thing; a likeness; a portrait; a counterpart. Thou drawest a counterfeit Best in all Athens. Shak. Even Nature's self envied the same, And grudged to see the counterfeit should shame The thing itself. Spenser. 2. That which is made in imitation of something, with a view to deceive by passing the false for the true; as, the bank note was a counterfeit. Never call a true piece of gold a counterfeit. Shak. Some of these counterfeits are fabricated with such exquisite taste and skill, that it is the achievement of criticism to distinguish them from originals. Macaulay. 3. One who pretends to be what he is not; one who personates another; an impostor; a cheat. I fear thou art another counterfeit; And yet, in faith, thou bears'st thee like a king. Shak.\n\n1. To imitate, or put on a semblance of; to mimic; as, to counterfeit the voice of another person. Full well they laughed with counterfeited glee At all his jokes, for many a joke had he. Goldsmith. 2. To imitate with a view to deceiving, by passing the copy for that which is original or genuine; to forge; as, to counterfeit the signature of another, coins, notes, etc.\n\n1. To carry on a deception; to dissemble; to feign; to pretend. The knave counterfeits well; a good knave. Shak. 2. To make counterfeits.
counterfeiter |1. One who counterfeits; one who copies or imitates; especially, one who copies or forges bank notes or coin; a forger. The coin which was corrupted by counterfeiters. Camden. 2. One who assumes a false appearance or semblance; one who makes false pretenses. Counterfeiters of devotion. Sherwood.
counterfeitly |By forgery; falsely.
counterfesance |The act of forging; forgery. [Obs.] [Written also counterfaisance.]
counterfleury |Counterflory.
counterflory |Adorned with flowers (usually fleurs-de-lis) so divided that the tops appear on one side and the bottoms on the others; -- said of any ordinary.
counterfoil |1. That part of a tally, formerly in the exchequer, which was kept by an officer in that court, the other, called the stock, being delivered to the person who had lent the king money on the account; - - called also counterstock. [Eng.] 2. The part of a writing (as the stub of a bank check) in which are noted the main particulars contained in the corresponding part, which has been issued.
counterforce |An opposing force.
counterfort |1. (Fort.)  A kind of buttress of masonry to strengthen a revetment wall. 2. A spur or projection of a mountain. Imp. Dict.
countergage |An adjustable gage, with double points for transferring measurements from one timber to another, as the breadth of a mortise to the place where the tenon is to be made. Knight.
counterglow |An exceedingly faint roundish or somewhat oblong nebulous light near the ecliptic and opposite the sun, best seen during September and October, when in the constellations Sagittarius and Pisces. Its cause is not yet understood. Called also Gegenschein.
counterguard |A low outwork before a bastion or ravelin, consisting of two lines of rampart parallel to the faces of the bastion, and protecting them from a breaching fire.
counterirritant |See Counter irritant, etc., under Counter, a.
counterirritate |To produce counter irritation in; to treat with one morbid process for the purpose of curing another.
counterirritation |See Counter irritant, etc., under Counter, a.
counterjumper |A salesman in a shop; a shopman; -- used contemtuously. [Slang]
counterlath |(a) A batten laid lengthwise between two rafters to afford a bearing for laths laid crosswise. (b) Any lath laid without actual measurement between two gauged laths. (c) Any of a series of laths nailed to the timbers to raise the sheet lathing above their surface to afford a key for plastering. (d) One of many laths used in preparing one side of a partition or framed wall, when the other side has been covered in and finished.
