tailage |See Tallage.
talmud |The body of the Jewish civil and canonical law not comprised in the Pentateuch. Note: The Talmud consists of two parts, the Mishna, or text, and the Gemara, or commentary. Sometimes, however, the name Talmud is restricted, especially by Jewish writers, to the Gemara. There are two Talmuds, the Palestinian, commonly, but incorrectly, called the Talmud of Jerusalem, and the Babylonian Talmud. They contain the same Mishna, but different Gemaras. The Babylonian Talmud is about three times as large as the other, and is more highly esteemed by the Jews.
talmudic |Of or pertaining to the Talmud; contained in the Talmud; as, Talmudic Greek; Talmudical phrases. Lightfoot.
talmudical |Of or pertaining to the Talmud; contained in the Talmud; as, Talmudic Greek; Talmudical phrases. Lightfoot.
talmudism |The teachings of the Talmud, or adherence to them.
talmudist |One versed in the Talmud; one who adheres to the teachings of the Talmud.
talmudistic |Resembling the Talmud; Talmudic.
talon |1. The claw of a predaceous bird or animal, especially the claw of a bird of prey. Bacon. 2. (Zoöl.)  One of certain small prominences on the hind part of the face of an elephant's tooth. 3. (Arch.)  A kind of molding, concave at the bottom and convex at the top; -- usually called an ogee. Note: When the concave part is at the top, it is called an inverted talon. 4. The shoulder of the bolt of a lock on which the key acts to shoot the bolt. Knight.
talook |A large estate; esp., one constituting a revenue district or dependency the native proprietor of which is responsible for the collection and payment of the public revenue due from it. [India]
talookdar |A proprietor of a talook. [India]
talpa |A genus of small insectivores including the common European mole.
taluk |A large estate; esp., one constituting a revenue district or dependency the native proprietor of which is responsible for the collection and payment of the public revenue due from it. [India]
talukdar |A proprietor of a talook. [India]
talus |1. (Anat.)  The astragalus. 2. (Surg.)  A variety of clubfoot (Talipes calcaneus). See the Note under Talipes.\n\n1. (Fort.)  A slope; the inclination of the face of a work. 2. (Geol.)  A sloping heap of fragments of rock lying at the foot of a precipice.
tam-tam |(a) A kind of drum used in the East Indies and other Oriental countries; -- called also tom-tom. (b) A gong. See Gong, n., 1.
tamability |The quality or state of being tamable; tamableness.
tamable |Capable of being tamed, subdued, or reclaimed from wildness or savage ferociousness. -- Tam\"a*ble*ness, n.
tamale |A Mexican dish made of crushed maize mixed with minced meat, seasoned with red pepper, dipped in oil, and steamed.
tamandu |A small ant-eater (Tamandua tetradactyla) native of the tropical parts of South America. Note: It has five toes on the fore feet, an elongated snout, small ears, and short woolly hair. Its tail is stout and hairy at the base, tapering, and covered with minute scales, and is somewhat prehensile at the end. Called also tamandua, little ant-bear, fourmilier, and cagouare. The collared, or striped, tamandu (Tamandua bivittata) is considered a distinct species by some writers, but by others is regarded as only a variety.
tamanoir |The ant-bear.
tamarack |(a) The American larch; also, the larch of Oregon and British Columbia (Larix occidentalis). See Hackmatack, and Larch. (b) The black pine (Pinus Murrayana) of Alaska, California, etc. It is a small tree with fine-grained wood.
tamaric |A shrub or tree supposed to be the tamarisk, or perhaps some kind of heath. [Obs.] He shall be like tamaric in the desert, and he shall not see when good shall come. Jer. xvii. 6 (Douay version).
tamarin |Any one of several species of small squirrel-like South American monkeys of the genus Midas, especially M. ursulus.
tamarind |1. A leguminous tree (Tamarindus Indica) cultivated both the Indies, and the other tropical countries, for the sake of its shade, and for its fruit. The trunk of the tree is lofty and large, with wide- spreading branches; the flowers are in racemes at the ends of the branches. The leaves are small and finely pinnated. 2. One of the preserved seed pods of the tamarind, which contain an acid pulp, and are used medicinally and for preparing a pleasant drink. Tamarind fish, a preparation of a variety of East Indian fish with the acid pulp of the tamarind fruit. -- Velvet tamarind. (a) A West African leguminous tree (Codarium acutifolium). (b) One of the small black velvety pods, which are used for food in Sierra Leone. -- Wild tamarind (Bot.), a name given to certain trees somewhat resembling the tamarind, as the Lysiloma latisiliqua of Southern Florida, and the Pithecolobium filicifolium of the West Indies.
tamarisk |Any shrub or tree of the genus Tamarix, the species of which are European and Asiatic. They have minute scalelike leaves, and small flowers in spikes. An Arabian species (T. mannifera) is the source of one kind of manna. Tamarisk salt tree, an East Indian tree (Tamarix orientalis) which produces an incrustation of salt.
tambac |See Tombac. [Obs.]
tambour |1. (Mus.)  A kind of small flat drum; a tambourine. 2. A small frame, commonly circular, and somewhat resembling a tambourine, used for stretching, and firmly holding, a portion of cloth that is to be embroidered; also, the embroidery done upon such a frame; -- called also, in the latter sense, tambour work. 3. (Arch.)  Same as Drum, n., 2(d). 4. (Fort.)  A work usually in the form of a redan, to inclose a space before a door or staircase, or at the gorge of a larger work. It is arranged like a stockade. 5. (Physiol.)  A shallow metallic cup or drum, with a thin elastic membrane supporting a writing lever. Two or more of these are connected by an India rubber tube, and used to transmit and register the movements of the pulse or of any pulsating artery.\n\nTo embroider on a tambour.
tambourin |1. A tambourine. [Obs.] 2. (Mus.)  An old Provençal dance of a lively character, common on the stage.
tambourine |A small drum, especially a shallow drum with only one skin, played on with the hand, and having bells at the sides; a timbrel.
tambreet |The duck mole.
tamburin |See Tambourine. Spenser.
tame |To broach or enter upon; to taste, as a liquor; to divide; to distribute; to deal out. [Obs. or Prov. Eng.] In the time of famine he is the Joseph of the country, and keeps the poor from starving. Then he tameth his stacks of corn, which not his covetousness, but providence, hath reserved for time of need. Fuller.\n\n1. Reduced from a state of native wildness and shyness; accustomed to man; domesticated; domestic; as, a tame deer, a tame bird. 2. Crushed; subdued; depressed; spiritless. Tame slaves of the laborious plow. Roscommon. 3. Deficient in spirit or animation; spiritless; dull; flat; insipid; as, a tame poem; tame scenery. Syn. -- Gentle; mild; meek. See Gentle.\n\n1. To reduce from a wild to a domestic state; to make gentle and familiar; to reclaim; to domesticate; as, to tame a wild beast. They had not been tamed into submission, but baited into savegeness and stubbornness. Macaulay. 2. To subdue; to conquer; to repress; as, to tame the pride or passions of youth.
tameable |Tamable. Bp. Wilkins.
tameless |Incapable of being tamed; wild; untamed; untamable. Bp. Hall. -- Tame\"less*ness, n.
tamely |In a tame manner.
tameness |The quality or state of being tame.
tamer |One who tames or subdues.
tamias |A genus of ground squirrels, including the chipmunk.
tamil |Of or pertaining to the Tamils, or to their language. [Written also Tamul.]\n\n1. (Ethnol.)  One of a Dravidian race of men native of Northern Ceylon and Southern India. 2. The Tamil language, the most important of the Dravidian languages. See Dravidian, a.
tamilian |Tamil.
tamine |A kind of woolen cloth; tammy.
taminy |A kind of woolen cloth; tammy.
tamis |1. A sieve, or strainer, made of a kind of woolen cloth. 2. The cloth itself; tammy. Tamis bird (Zoöl.), a Guinea fowl.
tamkin |A tampion. Johnson (Dict.).
tammuz |1. A deity among the ancient Syrians, in honor of whom the Hebrew idolatresses held an annual lamentation. This deity has been conjectured to be the same with the Phoenician Adon, or Adonis. Milton. 2. The fourth month of the Jewish ecclesiastical year, -- supposed to correspond nearly with our month of July.
tammy |1. A kind of woolen, or woolen and cotton, cloth, often highly glazed, -- used for curtains, sieves, strainers, etc. 2. A sieve, or strainer, made of this material; a tamis.
tamp |1. In blasting, to plug up with clay, earth, dry sand, sod, or other material, as a hole bored in a rock, in order to prevent the force of the explosion from being misdirected. 2. To drive in or down by frequent gentle strokes; as, to tamp earth so as to make a smooth place.
tampan |A venomous South African tick. Livingstone.
tampeon |See Tampion. Farrow.
tamper |1. One who tamps; specifically, one who prepares for blasting, by filling the hole in which the charge is placed. 2. An instrument used in tamping; a tamping iron.\n\n1. To meddle; to be busy; to try little experiments; as, to tamper with a disease. 'T is dangerous tampering with a muse. Roscommon. 2. To meddle so as to alter, injure, or vitiate a thing. 3. To deal unfairly; to practice secretly; to use bribery. Others tampered For Fleetwood, Desborough, and Lambert. Hudibras.
tamperer |One who tampers; one who deals unfairly.
tampico fiber |A tough vegetable fiber used as a substitute for bristles in making brushes. The piassava and the ixtle are both used under this name.
tampico fibre |A tough vegetable fiber used as a substitute for bristles in making brushes. The piassava and the ixtle are both used under this name.
tamping |1. The act of one who tamps; specifically, the act of filling up a hole in a rock, or the branch of a mine, for the purpose of blasting the rock or exploding the mine. 2. The material used in tamping. See Tamp, v. t., 1. Tamping iron, an iron rod for beating down the earthy substance in tamping for blasting.
tampion |1. A wooden stopper, or plug, as for a cannon or other piece of ordnance, when not in use. 2. (Mus.)  A plug for upper end of an organ pipe.
tampoe |The edible fruit of an East Indian tree (Baccaurea Malayana) of the Spurge family. It somewhat resembles an apple.
tampon |A plug introduced into a natural or artificial cavity of the body in order to arrest hemorrhage, or for the application of medicine.\n\nTo plug with a tampon.
tampoon |The stopper of a barrel; a bung. TAM-'-SHANTER Tam`-o'-shan\"ter, n. [So named after Tam o'Shanter, a character in Burns's poem of the same name.]  A kind of Scotch cap of wool, worsted, or the like, having a round, flattish top much wider than the band which fits the head, and usually having a tassel in the center.
tamul |Tamil.
tamworth |One of a long-established English breed of large pigs. They are red, often spotted with black, with a long snout and erect or forwardly pointed ears, and are valued as bacon producers.
tan |See Picul.\n\n1. The bark of the oak, and some other trees, bruised and broken by a mill, for tanning hides; -- so called both before and after it has been used. Called also tan bark. 2. A yellowish-brown color, like that of tan. 3. A brown color imparted to the skin by exposure to the sun; as, hands covered with tan. Tan bed (Hort.), a bed made of tan; a bark bed. -- Tan pickle, the liquor used in tanning leather. -- Tan spud, a spud used in stripping bark for tan from trees. -- Tan stove. See Bark stove, under Bark. -- Tan vat, a vat in which hides are steeped in liquor with tan.\n\nOf the color of tan; yellowish-brown. Black and tan. See under Black, a.\n\n1. To convert (the skin of an animal) into leather, as by usual process of steeping it in an infusion of oak or some other bark, whereby it is impregnated with tannin, or tannic acid (which exists in several species of bark), and is thus rendered firm, durable, and in some degree impervious to water. Note: The essential result in tanning is due to the fact that the tannins form, with gelatins and albuminoids, a series of insoluble compounds which constitute leather. Similar results may be produced by the use of other reagents in place of tannin, as alum, and some acids or chlorides, which are employed in certain processes of tanning. 2. To make brown; to imbrown, as by exposure to the rays of the sun; as, to tan the skin.\n\nTo get or become tanned.
tana |Same as Banxring.
tanager |Any one of numerous species of bright-colored singing birds belonging to Tanagra, Piranga, and allied genera. The scarlet tanager (Piranga erythromelas) and the summer redbird (Piranga rubra) are common species of the United States.
tanagrine |Of or pertaining to the tanagers.
tanagroid |Tanagrine.
tanate |An Asiatic wild dog (Canis procyonoides), native of Japan and adjacent countries. It has a short, bushy tail. Called also raccoon dog.
tandem |One after another; -- said especially of horses harnessed and driven one before another, instead of abreast.\n\nA team of horses harnessed one before the other. \"He drove tandems.\" Thackeray. Tandem engine, a compound steam engine having two or more steam cylinders in the same axis, close to one another. -- Tandem bicycle or tricycle, one for two persons in which one rider sits before the other.
tandem cart |A kind of two-wheeled vehicle with seats back to back, the front one somewhat elevated.
tandem engine |A steam engine having two or more steam cylinders in line, with a common piston rod.
tandem system |= Cascade system.
tang |A coarse blackish seaweed (Fuscus nodosus). Dr. Prior. Tang sparrow (Zoöl.), the rock pipit. [Prov. Eng.]\n\n1. A strong or offensive taste; especially, a taste of something extraneous to the thing itself; as, wine or cider has a tang of the cask. 2. Fig.: A sharp, specific flavor or tinge. Cf. Tang a twang. Such proceedings had a strong tang of tyranny. Fuller. A cant of philosophism, and a tang of party politics. Jeffrey. 3. Etym: [Probably of Scand. origin; cf. Icel. tangi a projecting point; akin to E. tongs. See Tongs.]  A projecting part of an object by means of which it is secured to a handle, or to some other part; anything resembling a tongue in form or position. Specifically: -- (a) The part of a knife, fork, file, or other small instrument, which is inserted into the handle. (b) The projecting part of the breech of a musket barrel, by which the barrel is secured to the stock. (c) The part of a sword blade to which the handle is fastened. (d) The tongue of a buckle. [Prov. Eng.]\n\nA sharp, twanging sound; an unpleasant tone; a twang.\n\nTo cause to ring or sound loudly; to ring. Let thy tongue tang arguments of state. Shak. To tang bees, to cause a swarm of bees to settle, by beating metal to make a din.\n\nTo make a ringing sound; to ring. Let thy tongue tang arguments of state. Shak.
tangalung |An East Indian civet (Viverra tangalunga).
tangelo |A hybrid between the tangerine orange and the grapefruit, or pomelo; also, the fruit.
tangence |Tangency. [R.]
tangency |The quality or state of being tangent; a contact or touching.
tangent |A tangent line curve, or surface; specifically, that portion of the straight line tangent to a curve that is between the point of tangency and a given line, the given line being, for example, the axis of abscissas, or a radius of a circle produced. See Trigonometrical function, under Function. Artificial, or Logarithmic, tangent, the logarithm of the natural tangent of an arc. -- Natural tangent, a decimal expressing the length of the tangent of an arc, the radius being reckoned unity. -- Tangent galvanometer (Elec.), a form of galvanometer having a circular coil and a short needle, in which the tangent of the angle of deflection of the needle is proportional to the strength of the current. -- Tangent of an angle, the natural tangent of the arc subtending or measuring the angle. -- Tangent of an arc, a right line, as ta, touching the arc of a circle at one extremity a, and terminated by a line ct, passing from the center through the other extremity o.\n\nTouching; touching at a single point; specifically (Geom.)  meeting a curve or surface at a point and having at that point the same direction as the curve or surface; -- said of a straight line, curve, or surface; as, a line tangent to a curve; a curve tangent to a surface; tangent surfaces. Tangent plane (Geom.), a plane which touches a surface in a point or line. -- Tangent scale (Gun.), a kind of breech sight for a cannon. -- Tangent screw (Mach.), an endless screw; a worm.
tangent spoke |A tension spoke of a bicycle or similar wheel, secured tangentially to the hub.
tangent wheel |(a) A worm or worm wheel; a tangent screw. (b) A wheel with tangent spokes.
tangental |Tangential.
tangential |Of or pertaining to a tangent; in the direction of a tangent. Tangential force (Mech.), a force which acts on a moving body in the direction of a tangent to the path of the body, its effect being to increase or diminish the velocity; -- distinguished from a normal force, which acts at right angles to the tangent and changes the direction of the motion without changing the velocity. -- Tangential stress. (Engin.) See Shear, n., 3.
tangentially |In the direction of a tangent.
tangerine |A kind of orange, much like the mandarin, but of deeper color and higher flavor. It is said to have been produced in America from the mandarin. [Written also tangierine.]
tangfish |The common harbor seal. [Prov. Eng.]
tanghinia |The ordeal tree. See under Ordeal.
tangibility |The quality or state of being tangible.
tangible |1. Perceptible to the touch; tactile; palpable. Bacon. 2. Capable of being possessed or realized; readily apprehensible by the mind; real; substantial; evident. \"A tangible blunder.\" Byron. Direct and tangible benefit to ourselves and others. Southey. -- Tan\"gi*ble*ness, n. -- Tan\"gi*bly, adv.
tangle |1. To unite or knit together confusedly; to interweave or interlock, as threads, so as to make it difficult to unravel the knot; to entangle; to ravel. 2. To involve; to insnare; to entrap; as, to be tangled in lies. \"Tangled in amorous nets.\" Milton. When my simple weakness strays, Tangled in forbidden ways. Crashaw.\n\nTo be entangled or united confusedly; to get in a tangle.\n\n1. Etym: [Cf. Icel. þöngull. See Tang seaweed.] (Bot.)  Any large blackish seaweed, especially the Laminaria saccharina. See Kelp. Coral and sea fan and tangle, the blooms and the palms of the ocean. C. Kingsley. 2. Etym: [From Tangle, v.]  A knot of threads, or other thing, united confusedly, or so interwoven as not to be easily disengaged; a snarl; as, hair or yarn in tangles; a tangle of vines and briers. Used also figuratively. 3. pl.  An instrument consisting essentiallly of an iron bar to which are attached swabs, or bundles of frayed rope, or other similar substances, -- used to capture starfishes, sea urchins, and other similar creatures living at the bottom of the sea. Blue tangle. (Bot.)See Dangleberry. -- Tangle picker (Zoöl.), the turnstone. [Prov. Eng.]
tanglefish |The sea adder, or great pipefish of Europe.
tanglingly |In a tangling manner.
tangly |1. Entangled; intricate. 2. Covered with tangle, or seaweed. Prone, helpless, on the tangly beach he lay. Falconer.
tango |(a) A difficult dance in two-four time characterized by graceful posturing, frequent pointing positions, and a great variety of steps, including the cross step and turning steps. The dance is of Spanish origin, and is believed to have been in its original form a part of the fandango. (b) Any of various popular forms derived from this.
tangram |A Chinese toy made by cutting a square of thin wood, or other suitable material, into seven pieces, as shown in the cut, these pieces being capable of combination in various ways, so as to form a great number of different figures. It is now often used in primary schools as a means of instruction.
tangue |The tenrec.
tangun |A piebald variety of the horse, native of Thibet.
tangwhaup |The whimbrel. [Prov. Eng.]
tanier |An aroid plant (Caladium sagittæfolium), the leaves of which are boiled and eaten in the West Indies. [Written also tannier.]
tanist |In Ireland, a lord or proprietor of a tract of land or of a castle, elected by a family, under the system of tanistry. This family [the O'Hanlons] were tanists of a large territory within the present county of Armagh. M. A. Lower.
tanistry |In Ireland, a tenure of family lands by which the proprietor had only a life estate, to which he was admitted by election. Note: The primitive intention seems to have been that the inheritance should descend to the oldest or most worthy of the blood and name of the deceased. This was, in reality, giving it to the strongest; and the practice often occasioned bloody feuds in families, for which reason it was abolished under James I.
tanite |A firm composition of emery and a certain kind of cement, used for making grinding wheels, slabs, etc.
tank |A small Indian dry measure, averaging 240 grains in weight; also, a Bombay weight of 72 grains, for pearls. Simmonds.\n\nA large basin or cistern; an artificial receptacle for liquids. Tank engine, a locomotive which carries the water and fuel it requires, thus dispensing with a tender. -- Tank iron, plate iron thinner than boiler plate, and thicker than sheet iron or stovepipe iron. -- Tank worm (Zoöl.), a small nematoid worm found in the water tanks of India, supposed by some to be the young of the Guinea worm.
tank ship |A vessel fitted with tanks for the carrying of oil or other liquid in bulk.
tank vessel |A vessel fitted with tanks for the carrying of oil or other liquid in bulk.
tanka |A kind of boat used in Canton. It is about 25 feet long and is often rowed by women. Called also tankia. S. W. Williams.
tankage |1. The act or process of putting or storing in tanks. 2.  Fees charged for storage in tanks. 3.  The capacity or contents of a tank or tanks. 4.  (Agric.) Waste matter from tanks; esp., the dried nitrogenous residue from tanks in which fat has been rendered, used as a fertilizer.
tankard |A large drinking vessel, especially one with a cover. Marius was the first who drank out of a silver tankard, after the manner of Bacchus. Arbuthnot.
tankia |See Tanka.
tankling |A tinkling. [Obs.]
tanling |One tanned by the sun. [R.] Hot summer's tanlings and The shrinking slaves of winter. Shak.
tannable |That may be tanned.
tannage |A tanning; the act, operation, or result of tanning. [R.] They should have got his cheek fresh tannage. R. Browning.
tannate |A salt of tannic acid.
tanner |One whose occupation is to tan hides, or convert them into leather by the use of tan.
tannery |1. A place where the work of tanning is carried on. 2. The art or process of tanning. [R.] Carlyle.
tannic |Of or pertaining to tan; derived from, or resembling, tan; as, tannic acid. Tannic acid. (Chem.) (a) An acid obtained from nutgalls as a yellow amorphous substance, C14H10O9, having an astringent taste, and forming with ferric salts a bluish-black compound, which is the basis of common ink. Called also tannin, and gallotannic acid. (b) By extension, any one of a series of astringent substances resembling tannin proper, widely diffused through the vegetable kingdom, as in oak bark, willow, catechu, tea, coffee, etc.
tannier |See Tanier.
tannigen |A compound obtained as a yellowish gray powder by the action of acetyl chloride or acetic anhydride or ordinary tannic acid. It is used as an intestinal astringent, and locally in rhinitis and pharyngitis.
tannin |Same as Tannic acid, under Tannic.
tanning |The art or process of converting skins into leather. See Tan, v. t., 1.
tanrec |Same as Tenrec.
tansy |1. (Bot.)  Any plant of the composite genus Tanacetum. The common tansy (T. vulgare) has finely divided leaves, a strong aromatic odor, and a very bitter taste. It is used for medicinal and culinary purposes. 2. A dish common in the seventeenth century, made of eggs, sugar, rose water, cream, and the juice of herbs, baked with butter in a shallow dish. [Obs.] Pepys. Double tansy (Bot.), a variety of the common tansy with the leaves more dissected than usual. -- Tansy mustard (Bot.), a plant (Sisymbrium canescens) of the Mustard family, with tansylike leaves.
tant |A small scarlet arachnid.
tantalate |A salt of tantalic acid.
tantalic |Of or pertaining to tantalum; derived from, or containing, tantalum; specifically, designating any one of a series of acids analogous to nitric acid and the polyacid compounds of phosphorus.
tantalism |A punishment like that of Tantalus; a teasing or tormenting by the hope or near approach of good which is not attainable; tantalization. Addison. Is not such a provision like tantalism to this people Josiah Quincy.
tantalite |A heavy mineral of an iron-black color and submetallic luster. It is essentially a tantalate of iron.
tantalization |The act of tantalizing, or state of being tantalized. Gayton.
tantalize |To tease or torment by presenting some good to the view and exciting desire, but continually frustrating the expectations by keeping that good out of reach; to tease; to torment. Thy vain desires, at strife Within themselves, have tantalized thy life. Dryden. Syn. -- To tease; vex; irritate; provoke. -- Tantalize, Disappoint. To disappoint is literally to do away with what was (or was taken to be) appointed; hence the peculiar pain from hopes thus dashed to the ground. To tantalize, a much stronger term, describes a most distressing form of disappointment, as in the case of Tantalus, the Phrygian king. To tantalize is to visit with the bitterest disappointment -- to torment by exciting hopes or expectations which can never be realized.
tantalizer |One who tantalizes.
tantalizingly |In a tantalizing or teasing manner.
tantalum |A rare nonmetallic element found in certain minerals, as tantalite, samarskite, and fergusonite, and isolated as a dark powder which becomes steel-gray by burnishing. Symbol Ta. Atomic weight 182.0. Formerly called also tantalium.
tantalus |1. A Phrygian king who was punished in the lower world by being placed in the midst of a lake whose waters reached to his chin but receded whenever he attempted to allay his thirst, while over his head hung branches laden with choice fruit which likewise receded whenever he stretched out his hand to grasp them. 2. (Zoöl.)  A genus of wading birds comprising the wood ibises. Tantalus's cup (Physics), a philosophical toy, consisting of a cup, within which is the figure of a man, and within the figure a siphon, the longer arm of which passes down through the bottom of the cup, and allows the escape of any liquid that may be poured in, when it reaches as high as the bend of the siphon, which is just below the level of the mouth of the figure in the cup.
tantamount |Equivalent in value, signification, or effect. A usage nearly tantamount to constitutional right. Hallam. The certainty that delay, under these circumstances, was tantamount to ruin. De Quincey.\n\nTo be tantamount or equivalent; to amount. [Obs.] Jer. Taylor.
tantivy |Swiftly; speedily; rapidly; -- a fox-hunting term; as, to ride tantivy.\n\nA rapid, violent gallop; an impetulous rush. Cleverland.\n\nTo go away in haste. [Colloq.]
tantra |A ceremonial treatise related to Puranic and magic literature; esp., one of the sacred works of the worshipers of Sakti. -- Tan\"tric (-trik), a.
tantrism |The system of doctrines and  rites taught in the tantras. -- Tan\"trist (#), n.
tantrum |A whim, or burst of ill-humor; an affected air. [Colloq.] Thackeray.
tanyard |An inclosure where the tanning of leather is carried on; a tannery.
tanystomata |A division of dipterous insects in which the proboscis is large and contains lancelike mandibles and maxillæ. The horseflies and robber flies are examples.
taoism |One of the popular religions of China, sanctioned by the state. -- Ta\"o*ist, a. & n.
taotai |In China, an official at the head of the civil and military affairs of a circuit, which consists of two or more fu, or territorial departments; --called also, by foreigners, intendant of circuit. Foreign consuls and commissioners associated with taotais as superintendants of trade at the treaty ports are ranked with the taotai.
tap |1. To strike with a slight or gentle blow; to touch gently; to rap lightly; to pat; as, to tap one with the hand or a cane. 2. To put a new sole or heel on; as, to tap shoes.\n\n1. A gentle or slight blow; a light rap; a pat. Addison. 2. A piece of leather fastened upon the bottom of a boot or shoe in repairing or renewing the sole or heel. 3. pl. (Mil.)  A signal, by drum or trumpet, for extinguishing all lights in soldiers' quarters and retiring to bed, -- usually given about a quarter of an hour after tattoo. Wilhelm.\n\nTo strike a gentle blow.\n\n1. A hole or pipe through which liquor is drawn. 2. A plug or spile for stopping a hole pierced in a cask, or the like; a faucet. 3. Liquor drawn through a tap; hence, a certain kind or quality of liquor; as, a liquor of the same tap. [Colloq.] 4. A place where liquor is drawn for drinking; a taproom; a bar. [Colloq.] 5. (Mech.)  A tool for forming an internal screw, as in a nut, consisting of a hardened steel male screw grooved longitudinally so as to have cutting edges. On tap. (a) Ready to be drawn; as, ale on tap. (b) Broached, or furnished with a tap; as, a barrel on tap. -- Plug tap (Mech.), a screw-cutting tap with a slightly tapering end. -- Tap bolt, a bolt with a head on one end and a thread on the other end, to be screwed into some fixed part, instead of passing through the part and receiving a nut. See Illust. under Bolt. -- Tap cinder (Metal.), the slag of a puddling furnace.\n\n1. To pierce so as to let out, or draw off, a fluid; as, to tap a cask, a tree, a tumor, etc. 2. Hence, to draw from (anything) in any analogous way; as, to tap telegraph wires for the purpose of intercepting information; to tap the treasury. 3. To draw, or cause to flow, by piercing. Shak. He has been tapping his liquors. Addison. 4. (Mech.)  To form an internal screw in (anything) by means of a tool called a tap; as, to tap a nut.
tapa |A kind of cloth prepared by the Polynesians from the inner bark of the paper mulberry; -- sometimes called also kapa.
tapadera |One of the leather hoods which cover the stirrups of a Mexican saddle.
tapadero |One of the leather hoods which cover the stirrups of a Mexican saddle.
tapayaxin |A Mexican spinous lizard (Phrynosoma orbiculare) having a head somewhat like that of a toad; -- called also horned toad.
tape |1. A narrow fillet or band of cotton or linen; a narrow woven fabric used for strings and the like; as, curtains tied with tape. 2. A tapeline; also, a metallic ribbon so marked as to serve as a tapeline; as, a steel tape. Red tape. See under Red. -- Tape grass (Bot.), a plant (Vallisneria spiralis) with long ribbonlike leaves, growing in fresh or brackish water; -- called also fresh-water eelgrass, and, in Maryland, wild celery. -- Tape needle. See Bodkin, n., 4.
tapeline |A painted tape, marked with linear dimensions, as inches, feet, etc., and often inclosed in a case, -- used for measuring.
taper |1. A small wax candle; a small lighted wax candle; hence, a small light. Get me a taper in my study, Lucius. Shak. 2. A tapering form; gradual diminution of thickness in an elongated object; as, the taper of a spire.\n\nRegularly narrowed toward the point; becoming small toward one end; conical; pyramidical; as, taper fingers.\n\nTo become gradually smaller toward one end; as, a sugar loaf tapers toward one end.\n\nTo make or cause to taper.
tapered |Lighted with a taper or tapers; as, a tapered choir. [R.] T. Warton.
tapering |Becoming gradually smaller toward one end. -- Ta\"per*ing*ly, adv.
taperness |The quality or state of being taper; tapering form; taper. Shenstone.
tapestry |A fabric, usually of worsted, worked upon a warp of linen or other thread by hand, the designs being usually more or less pictorial and the stuff employed for wall hangings and the like. The term is also applied to different kinds of embroidery. Tapestry carpet, a kind of carpet, somewhat resembling Brussels, in which the warp is printed before weaving, so as to produce the figure in the cloth. -- Tapestry moth. (Zoöl.) Same as Carpet moth, under Carpet.\n\nTo adorn with tapestry, or as with tapestry. The Trosachs wound, as now, between gigantic walls of rock tapestried with broom and wild roses. Macaulay.
tapestry beetle |A small black dermestoid beetle (Attagenus piceus) whose larva feeds on tapestry, carpets, silk, fur, flour, and various other goods.
tapet |Worked or figured stuff; tapestry. [R.] Spenser.
tapeti |A small South American hare (Lepus Braziliensis).
tapetum |An area in the pigmented layer of the choroid coat of the eye in many animals, which has an iridescent or metallic luster and helps to make the eye visible in the dark. Sometimes applied to the whole layer of pigmented epithelium of the choroid.
tapeworm |Any one of numerous species of cestode worms belonging to Tænia and many allied genera. The body is long, flat, and composed of numerous segments or proglottids varying in shape, those toward the end of the body being much larger and longer than the anterior ones, and containing the fully developed sexual organs. The head is small, destitute of a mouth, but furnished with two or more suckers (which vary greatly in shape in different genera), and sometimes, also, with hooks for adhesion to the walls of the intestines of the animals in which they are parasitic. The larvæ (see Cysticercus) live in the flesh of various creatures, and when swallowed by another animal of the right species develop into the mature tapeworm in its intestine. See Illustration in Appendix. Note: Three species are common parasites of man: the pork tapeworm (Tænia solium), the larva of which is found in pork; the beef tapeworm (T. mediocanellata), the larva of which lives in the flesh of young cattle; and the broad tapeworm (Bothriocephalus latus) which is found chiefly in the inhabitants of the mountainous regions of Europe and Asia. See also Echinococcus, Cysticercus, Proglottis, and 2d Measles, 4.
taphouse |A house where liquors are retailed.
taphrenchyma |Same as Bothrenchyma.
tapinage |A lurking or skulking. [Obs.] Gower.
tapioca |A coarsely granular substance obtained by heating, and thus partly changing, the moistened starch obtained from the roots of the cassava. It is much used in puddings and as a thickening for soups. See Cassava.
tapir |Any one of several species of large odd-toed ungulates belonging to Tapirus, Elasmognathus, and allied genera. They have a long prehensile upper lip, short ears, short and stout legs, a short, thick tail, and short, close hair. They have three toes on the hind feet, and four toes on the fore feet, but the outermost toe is of little use. Note: The best-known species are the Indian tapir (Tapirus Indicus), native of the East Indies and Malacca, which is black with a broad band of white around the middle, and the common American tapir (T. Americanus), which, when adult, is dull brown. Several others species inhabit the Andes and Central America. Tapir tiger (Zoöl.), the wallah.
tapiroid |Allied to the tapir, or the Tapir family.
tapis |Tapestry; formerly, the cover of a council table. On, or Upon, the tapis, on the table, or under consideration; as, to lay a motion in Parliament on the tapis.\n\nTo cover or work with figures like tapestry. [R.] Holland.
tapiser |A maker of tapestry; an upholsterer. [R.] Chaucer.
tapish |To lie close to the ground, so as to be concealed; to squat; to crouch; hence, to hide one's self. [Written also tappis, tappish, tappice.] [Obs. or Prov. Eng.] As a hound that, having roused a hart, Although he tappish ne'er so soft. Chapman.
taplash |Bad small beer; also, the refuse or dregs of liquor. [Obs. or Prov. Eng.] The taplash of strong ale and wine. Taylor (1630).
taplings |The strong double leathers by which the two parts of a flail are united. Halliwell.
