likehood |Likelihood. [Obs.] South.
line |1. Flax; linen. [Obs.] \"Garments made of line.\" Spenser. 2. The longer and fiber of flax.\n\n1. To cover the inner surface of; as, to line a cloak with silk or fur; to line a box with paper or tin. The inside lined with rich carnation silk. W. Browne. 2. To put something in the inside of; to fill; to supply, as a purse with money. The charge amounteth very high for any one man's purse, except lined beyond ordinary, to reach unto. Carew. Till coffee has her stomach lined. Swift. 3. To place persons or things along the side of for security or defense; to strengthen by adding; to fortify; as, to line works with soldiers. Line and new repair our towns of war With men of courage and with means defendant. Shak. 4. To impregnate; -- applied to brute animals. Creech. Lined gold, gold foil having a lining of another metal.\n\n1. linen thread or string; a slender, strong cord; also, a cord of any thickness; a rope; a hawser; as, a fishing line; a line for snaring birds; a clothesline; a towline. Who so layeth lines for to latch fowls. Piers Plowman. 2. A more or less threadlike mark of pen, pencil, or graver; any long mark; as, a chalk line. 3. The course followed by anything in motion; hence, a road or route; as, the arrow descended in a curved line; the place is remote from lines of travel. 4. Direction; as, the line sight or vision. 5. A row of letters, words, etc., written or printed; esp., a row of words extending across a page or column. 6. A short letter; a note; as, a line from a friend. 7. (Poet.)  A verse, or the words which form a certain number of feet, according to the measure. In the preceding line Ulysses speaks of Nausicaa. Broome. 8. Course of conduct, thought, occupation, or policy; method of argument; department of industry, trade, or intellectual activity. He is uncommonly powerful in his own line, but it is not the line of a first-rate man. Coleridge. 9. (Math.)  That which has length, but not breadth or thickness. 10. The exterior limit of a figure, plat, or territory; boundary; contour; outline. Eden stretched her line From Auran eastward to the royal towers Of great Seleucia. Milton. 11. A threadlike crease marking the face or the hand; hence, characteristic mark. Though on his brow were graven lines austere. Byron. He tipples palmistry, and dines On all her fortune-telling lines. Cleveland. 12. Lineament; feature; figure. \"The lines of my boy's face.\" Shak. 13. A straight row; a continued series or rank; as, a line of houses, or of soldiers; a line of barriers. Unite thy forces and attack their lines. Dryden. 14. A series or succession of ancestors or descand ants of a given person; a family or race; as, the ascending or descending line; the line of descent; the male line; a line of kings. Of his lineage am I, and his offspring By very line, as of the stock real. Chaucer. 15. A connected series of public conveyances, and hence, an established arrangement for forwarding merchandise, etc. ; as, a line of stages; an express line. 16. (Geog.) (a) A circle of latitude or of longitude, as represented on a map. (b) The equator; -- usually called the line, or equinoctial line; as, to cross the line. 17. A long tape, or a narrow ribbon of steel, etc., marked with subdivisions, as feet and inches, for measuring; a tapeline. 18. (Script.) (a) A measuring line or cord. He marketh it out with a line. Is. xliv. 13. (b) That which was measured by a line, as a field or any piece of land set apart; hence, allotted place of abode. The lines are fallen unto me in pleasant places; yes. I have a goodly heritage. Ps. xvi. 6. (c) Instruction; doctrine. Their line is gone out through all the earth. Ps. xix. 4. 19. (Mach.)  The proper relative position or adjustment of parts, not as to design or proportion, but with reference to smooth working; as, the engine is in line or out of line or out of line. 20. The track and roadbed of a railway; railroad. 21. (Mil.) (a) A row of men who are abreast of one another, whether side by side or some distance apart; -- opposed to column. (b) The regular infantry of an army, as distinguished from militia, guards, volunteer corps, cavalry, artillery, etc. 22. (Fort.) (a) A trench or rampart. (b) pl.  Dispositions made to cover extended positions, and presenting a front in but one direction to an enemy. 23. pl. (Shipbuilding)  form of a vessel as shown by the outlines of vertical, horizontal, and obique sections. 24. (Mus.)  One of the straight horizontal and parallel prolonged strokes on and between which the notes are placed. 25. (Stock Exchange)  A number of shares taken by a jobber. 26. (Trade)  A series of various qualities and values of the same general class of articles; as, a full line of hosiery; a line of merinos, etc. McElrath. 27. The wire connecting one telegraphic station with another, or the whole of a system of telegraph wires under one management and name. 28. pl.  The reins with which a horse is guided by his driver. [U. S.] 29. A measure of length; one twelfth of an inch. Hard lines, hard lot. C. Kingsley. [See Def. 18.] -- Line breeding (Stockbreeding), breeding by a certain family line of descent, especially in the selection of the dam or mother. -- Line conch (Zoöl.), a spiral marine shell (Fasciolaria distans), of Florida and the West Indies. It is marked by narrow, dark, revolving lines. -- Line engraving. (a) Engraving in which the effects are produced by lines of different width and closeness, cut with the burin upon copper or similar material; also, a plate so engraved. (b) A picture produced by printing from such an engraving. -- Line of battle. (a) (Mil Tactics) The position of troops drawn up in their usual order without any determined maneuver. (b) (Naval) The line or arrangement formed by vessels of war in an engagement. -- Line of battle ship. See Ship of the line, below. -- Line of beauty (Fine Arts),an abstract line supposed to be beautiful in itself and absolutely; -- differently represented by different authors, often as a kind of elongated S (like the one drawn by Hogarth). -- Line of centers. (Mach.) (a) A line joining two centers, or fulcra, as of wheels or levers. (b) A line which determines a dead center. See Dead center, under Dead. -- Line of dip (Geol.), a line in the plane of a stratum, or part of a stratum, perpendicular to its intersection with a horizontal plane; the line of greatest inclination of a stratum to the horizon. -- Line of fire (Mil.), the direction of fire. -- Line of force (Physics), any line in a space in which forces are acting, so drawn that at every point of the line its tangent is the direction of the resultant of all the forces. It cuts at right angles every equipotential surface which it meets. Specifically (Magnetism), a line in proximity to a magnet so drawn that any point in it is tangential with the direction of a short compass needle held at that point. Faraday. -- Line of life (Palmistry), a line on the inside of the hand, curving about the base of the thumb, supposed to indicate, by its form or position, the length of a person's life. -- Line of lines. See Gunter's line. -- Line of march. (Mil.) (a) Arrangement of troops for marching. (b) Course or direction taken by an army or body of troops in marching. -- Line of operations, that portion of a theater of war which an army passes over in attaining its object. H. W. Halleck. -- Line of sight (Firearms), the line which passes through the front and rear sight, at any elevation, when they are sighted at an object. -- Line tub (Naut.), a tub in which the line carried by a whaleboat is coiled. -- Mason and Dixon's line, the boundary line between Pennsylvania and Maryland, as run before the Revolution (1764-1767) by two English astronomers named Charles Mason and Jeremiah Dixon. In an extended sense, the line between the free and the slave States. -- On the line, on a level with the eye of the spectator; -- said of a picture, as hung in an exhibition of pictures. -- Right line a picture, as hung in an exhibition of pictures. -- Right line, a straight line; the shortest line that can be drawn between two points. -- Ship of the line, formerly, a ship of war large enough to have a place in the line of battle; a vessel superior to a frigate; usually, a seventy-four, or three-decker; -- called also line of battle ship. Totten. -- To cross the line, to cross the equator, as a vessel at sea. -- To give a person line, to allow him more or less liberty until it is convenient to stop or check him, like a hooked fish that swims away with the line. -- Water line (Shipbuilding), the outline of a horizontal section of a vessel, as when floating in the water.\n\n1. To mark with a line or lines; to cover with lines; as, to line a copy book. He had a healthy color in his cheeks, and his face, though lined, bore few traces of anxiety. Dickens. 2. To represent by lines; to delineate; to portray. [R.] \"Pictures fairest lined.\" Shak. 3. To read or repeat line by line; as, to line out a hymn. This custom of reading or lining, or, as it was frequently called \"deaconing' the hymn or psalm in the churches, was brought about partly from necessity. N. D. Gould. 4. To form into a line; to align; as, to line troops. To line bees, to track wild bees to their nest by following their line of flight. -- To line up (Mach.), to put in alignment; to put in correct adjustment for smooth running. See 3d Line, 19.
line-up |The formation of football players before the start or a restart of play; hence (Colloq.),  any arrangement of persons (rarely, of things), esp. when having a common purpose or sentiment; as, the line-up at a ticket- office window; the line-up of political factions.
lineage |Descent in a line from a common progenitor; progeny; race; descending line of offspring or ascending line of parentage. Both the lineage and the certain sire From which I sprung, from me are hidden yet. Spenser.
lineal |1. Descending in a direct line from an ancestor; hereditary; derived from ancestors; -- opposed to collateral; as, a lineal descent or a lineal descendant. The prime and ancient right of lineal succession. Locke. 2. Inheriting by direct descent; having the right by direct descent to succeed (to). For only you are lineal to the throne. Dryden. 3. Composed of lines; delineated; as, lineal designs. 4. In the direction of a line; of a line; of or pertaining to a line; measured on, or ascertained by, a line; linear; as, lineal magnitude. Lineal measure, the measure of length; -- usually written linear measure.
lineality |The quality of being linea
lineally |In a lineal manner; as, the prince is lineally descended from the Conqueror.
lineament |One of the outlines, exterior features, or distinctive marks, of a body or figure, particularly of the face; feature; form; mark; - - usually in the plural. \"The lineaments of the body.\" Locke. \"Lineaments in the character.\" Swift. Man he seems In all his lineaments. Milton.
linear |1. Of or pertaining to a line; consisting of lines; in a straight direction; lineal. 2. (Bot.)  Like a line; narrow; of the same breadth throughout, except at the extremities; as, a linear leaf. Linear differential (Math.), an equation which is of the first degree, when the expression which is equated to zero is regarded as a function of the dependent variable and its differential coefficients. -- Linear equation (Math.), an equation of the first degree between two variables; -- so called because every such equation may be considered as representing a right line. -- Linear measure, the measurement of length. -- Linear numbers (Math.), such numbers as have relation to length only: such is a number which represents one side of a plane figure. If the plane figure is square, the linear figure is called a root. -- Linear problem (Geom.), a problem which may be solved geometrically by the use of right lines alone. -- Linear transformation (Alg.), a change of variables where each variable is replaced by a function of the first degree in the new variable.
linear-shaped |Of a linear shape.
linearensate |Having the form of a sword, but very long and narrow.
linearly |In a linear manner; with lines.
lineary |Linear. Holland.
lineate |1. (Zoöl.)  Marked with lines. 2. (Bot.)  Marked longitudinally with depressed parallel lines; as, a lineate leaf.
lineated |1. (Zoöl.)  Marked with lines. 2. (Bot.)  Marked longitudinally with depressed parallel lines; as, a lineate leaf.
lineation |Delineation; a line or lines.
lineature |Anything having outline. [R.] Holland.
lineman |1. One who carried the line in surveying, etc. 2. A man employed to examine the rails of a railroad to see if they are in good condition; also, a man employed to repair telegraph lines.
linen |1.]  Made of linen; as, linen cloth; a linen stocking. 2. Resembling linen cloth; white; pale.\n\n1. Thread or cloth made of flax or (rarely) of hemp; -- used in a general sense to include cambric, shirting, sheeting, towels, tablecloths, etc. \"In linen white as milk.\" Robert of Brunne. 2. Underclothing, esp. the shirt, as being, in former times, chiefly made of linen. Linen draper, a dealer in linen. -- Linen prover, a small microscope for counting the threads in a given space in linen fabrics. -- Linen scroll, Linen pattern (Arch.), an ornament for filling panels, copied from the folds of a piece of stuff symmetrically disposed.
linener |A dealer in linen; a linen draper. [Obs.]
lineolate |1. (Zoöl.)  Marked with little lines. 2. (Bot.)  Marked longitudinally with fine lines. Gray.
liner |1. One who lines, as, a liner of shoes. 2. A vessel belonging to a regular line of packets; also, a line-of- battle ship; a ship of the line. 3. (Mach.)  A thin piece placed between two parts to hold or adjust them, fill a space, etc., ; a shim. 4. (Steam Engine)  A lining within the cylinder, in which the piston works and between which and the outer shell of the cylinder a space is left to form a steam jacket. 5. A slab on which small pieces of marble, tile, etc., are fastened for grinding. 6. (Baseball)  A ball which, when struck, flies through the air in a nearly straight line not far from the ground.
lineup |The formation of football players before the start or a restart of play; hence (Colloq.),  any arrangement of persons (rarely, of things), esp. when having a common purpose or sentiment; as, the line-up at a ticket- office window; the line-up of political factions.
ling |(a) A large, marine, gadoid fish (Molva vulgaris) of Northern Europe and Greenland. It is valued as a food fish and is largely salted and dried. Called also drizzle. (b) The burbot of Lake Ontario. (c) An American hake of the genus Phycis. [Canada] (d) A New Zealand food fish of the genus Genypterus. The name is also locally applied to other fishes, as the cultus cod, the mutton fish, and the cobia.\n\nHeather (Calluna vulgaris). Ling honey, a sort of wild honey, made from the flowers of the heather. Holland.
ling-bird |The European meadow pipit; -- called also titling.
linga |The phallic symbol under which Siva is principally worshiped in his character of the creative and reproductive power. Whitworth. E. Arnold.
lingam |The phallic symbol under which Siva is principally worshiped in his character of the creative and reproductive power. Whitworth. E. Arnold.
lingel |1. A shoemaker's thread. [Obs.] 2. A little tongue or thong of leather; a lacing for belts. Crabb.
lingence |A linctus. [Obs.] Fuller.
linger |To delay; to loiter; to remain or wait long; to be slow or reluctant in parting or moving; to be slow in deciding; to be in suspense; to hesitate. Nor cast one longing, lingering look behind. Gray. Perhaps thou linger'st, in deep thoughts detained. Milton. Syn. -- To loiter; lag; saunter; delay; tarry; stop; hesitate.\n\n1. To protract; to draw out. [Obs.] She lingers my desires. Shak. 2. To spend or pass in lingering manner; -- with out; as, to linger out one's days on a sick bed. Dryden.
lingerer |One who lingers. Guardian.
lingerie |Linen goods collectively; linen underwear, esp. of women; the clothing of linen and cotton with its lace, etc., worn by a women.
lingering |1. Delaying. 2. Drawn out in time; remaining long; protracted; as, a lingering disease. To die is the fate of man; but to die with lingering anguish is generally his folly. Rambler.
lingeringly |With delay; slowly; tediously.
linget |An ingot. [Written also lingot.]
lingism |A mode of treating certain diseases, as obesity, by gymnastics; -- proposed by Pehr Henrik Ling, a Swede. See Kinesiatrics.
lingle |See Lingel.
lingo |Language; speech; dialect. [Slang]
lingoa wood |. Amboyna wood.
lingot |A linget or ingot; also, a mold for casting metals. See Linget.
lingua |(a) A tongue. (b) A median process of the labium, at the under side of the mouth in insects, and serving as a tongue.
lingua franca |The commercial language of the Levant, -- a mixture of the language of the people of the region and foreign traders.
linguacious |Given to the use of the tongue; loquacious. [Obs.]
linguadental |Formed or uttered by the joint use of the tongue and teeth, or rather that part of the gum just above the front teeth; dentolingual, as the letters d and t.\n\nAn articulation pronounced by the aid or use of the tongue and teeth.
lingual |Of or pertaining to the tongue; uttered by the aid of the tongue; glossal; as, the lingual nerves; a lingual letter. Lingual ribbon. (Zoöl.) See Odontophore.\n\nA consonant sound formed by the aid of the tongue; -- a term especially applied to certain articulations (as those of t, d, th, and n) and to the letters denoting them. Note: In Sanskrit grammar certain letters, as t, th, d, dh, n, are called linguals, cerebrals, or cacuminals. They are uttered with the tip of the tongue turned up and drawn back into the dome of the palate.
linguality |The quality of being lingual.
linguatulida |Same as Linguatulina.
linguatulina |An order of wormlike, degraded, parasitic arachnids. They have two pairs of retractile hooks, near the mouth. Called also Pentastomida. Note: The adults of some species inhabit the nostrils and nasal sinuses of dogs and other carnivores. The young, after being swallowed by sheep, rabbits, etc., find their way to the lungs and liver and become encysted. These, when eaten by carnivores, develop into the adult forms.
linguidental |Linguadental.
linguiform |Having the form of the tongue; tongue-shaped.
linguist |1. A master of the use of language; a talker. [Obs.] I'll dispute with him; He's a rare linguist. J. Webster. 2. A person skilled in languages. There too were Gibbon, the greatest historian, and Jones, the greatest linguist, of the age. Macaulay.
linguistic |Of or pertaining to language; relating to linguistics, or to the affinities of languages.
linguistical |Of or pertaining to language; relating to linguistics, or to the affinities of languages.
linguistically |In a linguistic manner; from the point of view of a linguist. Tylor.
linguistics |The science of languages, or of the origin, signification, and application of words; glossology.
lingula |1. (Anat.)  A tonguelike process or part. 2. (Zoöl.)  Any one of numerous species of brachiopod shells belonging to the genus Lingula, and related genera. See Brachiopoda, and Illustration in Appendix. Lingula flags (Geol.), a group of strata in the lower Silurian or Cambrian system of Wales, in which some of the layers contain vast numbers of a species of Lingula.
lingulate |Shaped like the tongue or a strap; ligulate.
linigerous |Bearing flax; producing linen.
liniment |A liquid or semiliquid preparation of a consistence thinner than an ointment, applied to the skin by friction, esp. one used as a sedative or a stimulant.
lining |1. The act of one who lines; the act or process of making lines, or of inserting a lining. 2. That which covers the inner surface of anything, as of a garment or a box; also, the contents of anything. The lining of his coffers shall make coats To deck our soldiers. Shak.
link |A torch made of tow and pitch, or the like. Shak.\n\n1. A single ring or division of a chain. 2. Hence: Anything, whether material or not, which binds together, or connects, separate things; a part of a connected series; a tie; a bond. \"Links of iron.\" Shak. The link of brotherhood, by which One common Maker bound me to the kind. Cowper. And so by double links enchained themselves in lover's life. Gascoigne. 3. Anything doubled and closed like a link; as, a link of horsehair. Mortimer. 4. (Kinematics)  Any one of the several elementary pieces of a mechanism, as the fixed frame, or a rod, wheel, mass of confined liquid, etc., by which relative motion of other parts is produced and constrained. 5. (Mach.)  Any intermediate rod or piece for transmitting force or motion, especially a short connecting rod with a bearing at each end; specifically (Steam Engine), the slotted bar, or connecting piece, to the opposite ends of which the eccentric rods are jointed, and by means of which the movement of the valve is varied, in a link motion. 6. (Surveying)  The length of one joint of Gunter's chain, being the hundredth part of it, or 7.92 inches, the chain being 66 feet in length. Cf. Chain, n., 4. 7. (Chem.)  A bond of affinity, or a unit of valence between atoms; -- applied to a unit of chemical force or attraction. 8. pl.  Sausages; -- because linked together. [Colloq.]\n\nTo connect or unite with a link or as with a link; to join; to attach; to unite; to couple. All the tribes and nations that composed it [the Roman Empire] were linked together, not only by the same laws and the same government, but by all the facilities of commodious intercourse, and of frequent communication. Eustace.\n\nTo be connected. No one generation could link with the other. Burke.
link motion |A valve gear, consisting of two eccentrics with their rods, giving motion to a slide valve by an adjustable connecting bar, called the link, in such a way that the motion of the engine can be reversed, or the cut-off varied, at will; -- used very generally in locomotives and marine engines. Note: The illustration shows a link motion for a vertical engine, c representing the shaft carrying two eccentrics, a and b, for making the engine run forward and backward, respectively, their rods e and d being jointed to opposite ends of the slotted link f, in the opening of which is a pin g which is attached to the valve rod h. The valve will receive the motion of the forward eccentric when is in the position shown, and the motion of the backward eccentric when the link is shifted so far to the right as to bring e in line with h, or a compound motion derived from both eccentrics when the link is shifted to intermediate positions, the compound motion causing the valve to cut off the steam at a point determined by the position to which the link may have been shifted.
linkage |1. The act of linking; the state of being linked; also, a system of links. 2. (Chem.)  Manner of linking or of being linked; -- said of the union of atoms or radicals in the molecule. 3. (Geom.)  A system of straight lines or bars, fastened together by joins, and having certain of their points fixed in a plane. It is used to describe straight lines and curves in the plane.
linkboy |A boy or man that carried a link or torch to light passengers.
linkman |A boy or man that carried a link or torch to light passengers.
links |A tract of ground laid out for the game of golf; a golfing green. A second links has recently been opened at Prestwick, and another at Troon, on the same coast. P. P. Alexander.
linkwork |1. A fabric consisting of links made of metal or other material fastened together; also, a chain. And thou shalt make hooks of gold, and two chains of fine gold; linkwork and wreathed. Udall. 2. Mechanism in which links, or intermediate connecting pieces, are employed to transmit motion from one part to another.
linnaea borealis |The twin flower which grows in cold northern climates.
linnaean |Of or pertaining to Linnæus, the celebrated Swedish botanist. Linnaean system (Bot.), the system in which the classes are founded mainly upon the stamens, and the orders upon the pistils; the artificial or sexual system.
linnaeite |A mineral of pale steel-gray color and metallic luster, occurring in isometric crystals, and also massive. It is a sulphide of cobalt containing some nickel or copper.
linne |Flax. See Linen. [Obs.]
linnean |Of or pertaining to Linnæus, the celebrated Swedish botanist. Linnaean system (Bot.), the system in which the classes are founded mainly upon the stamens, and the orders upon the pistils; the artificial or sexual system.
linnet |Any one of several species of fringilline birds of the genera Linota, Acanthis, and allied genera, esp. the common European species (L. cannabina), which, in full summer plumage, is chestnut brown above, with the breast more or less crimson. The feathers of its head are grayish brown, tipped with crimson. Called also gray linnet, red linnet, rose linnet, brown linnet, lintie, lintwhite, gorse thatcher, linnet finch, and greater redpoll. The American redpoll linnet (Acanthis linaria) often has the crown and throat rosy. See Redpoll, and Twite. Green linnet (Zoöl.), the European green finch.
linoleate |A salt of linoleic acid.
linoleic |Pertaining to, or derived from, linoleum, or linseed oil; specifically (Chem.), designating an organic acid, a thin yellow oil, found combined as a salt of glycerin in oils of linseed, poppy, hemp, and certain nuts.
linoleum |1. Linseed oil brought to various degrees of hardness by some oxidizing process, as by exposure to heated air, or by treatment with chloride of sulphur. In this condition it is used for many of the purposes to which India rubber has been applied. 2. A kind of floor cloth made by laying hardened linseed oil mixed with ground cork on a canvas backing.
linotype |(a) A kind of typesetting machine which produces castings, each of which corresponds to a line of separate types. By pressing upon keys like those of a typewriter the matrices for one line are properly arranged; the stereotype, or slug, is then cast and planed, and the matrices are returned to their proper places, the whole process being automatic. (b) The slug produced by the machine, or matter composed in such lines. --Lin\"o*typ`ist (#), n.
linoxin |A resinous substance obtained as an oxidation product of linoleic acid. [Written also linoxyn.]
linsang |Any viverrine mammal of the genus Prionodon, inhabiting the East Indies and Southern Asia. The common East Indian linsang (P. gracilis) is white, crossed by broad, black bands. The Guinea linsang (Porana Richardsonii) is brown with black spots.
linseed |The seeds of flax, from which linseed oil is obtained. [Written also lintseed.] Linseed cake, the solid mass or cake which remains when oil is expressed. -- Linseed meal, linseed cake reduced to powder. -- Linseed oil, oil obtained by pressure from flaxseed.
linsey |Linsey-woolsey.
linsey-woolsey |1. Cloth made of linen and wool, mixed. 2. Jargon. [Obs.] Shak.\n\nMade of linen and wool; hence, of different and unsuitable parts; mean. Johnson.
linstock |A pointed forked staff, shod with iron at the foot, to hold a lighted match for firing cannon. [Written also lintstock.]
lint |1. Flax. 2. Linen scraped or otherwise made into a soft, downy or fleecy substance for dressing wounds and sores; also, fine ravelings, down, fluff, or loose short fibers from yarn or fabrics. Lint doctor (Calico-printing Mach.), a scraper to remove lint from a printing cylinder.
lintel |A horizontal member spanning an opening, and carrying the superincumbent weight by means of its strength in resisting crosswise fracture.
lintie |See Linnet. Tennyson.
lintseed |See Linseed.
lintwhite |See Linnet. Tennyson.
linum |A genus of herbaceous plants including the flax (Linum usitatissimum).
lion |1. (Zoöl.)  A large carnivorous feline mammal (Felis leo), found in Southern Asia and in most parts of Africa, distinct varieties occurring in the different countries. The adult male, in most varieties, has a thick mane of long shaggy hair that adds to his apparent size, which is less than that of the largest tigers. The length, however, is sometimes eleven feet to the base of the tail. The color is a tawny yellow or yellowish brown; the mane is darker, and the terminal tuft of the tail is black. In one variety, called the maneless lion, the male has only a slight mane. 2. (Astron.)  A sign and a constellation; Leo. 3. An object of interest and curiosity, especially a person who is so regarded; as, he was quite a lion in London at that time. Such society was far more enjoyable than that of Edinburgh, for here he was not a lion, but a man. Prof. Wilson. American lion (Zoöl.), the puma or cougar. -- Lion ant (Zoöl.), the ant-lion. -- Lion dog (Zoöl.), a fancy dog with a flowing mane, usually clipped to resemble a lion's mane. -- Lion lizard (Zoöl.), the basilisk. -- Lion's share, all, or nearly all; the best or largest part; -- from Æsop's fable of the lion hunting in company with certain smaller beasts, and appropriating to himself all the prey.
lion-heart |A very brave person.
lion-hearted |Very brave; brave and magnanimous. Sir W. Scott.
lionced |Adorned with lions heads; having arms terminating in lions' heads; -- said of a cross. [Written also leonced.]
lioncel |A small lion, especially one of several borne in the same coat of arms.
lionel |The whelp of a lioness; a young lion.
lioness |A female lion.
lionet |A young or small lion.
lionhood |State of being a lion. Carlyle.
lionism |An attracting of attention, as a lion; also, the treating or regarding as a lion.
lionize |1. To treat or regard as a lion or object of great interest. J. D. Forbes. 2. To show the lions or objects of interest to; to conduct about among objects of interest. Macaulay.
lionlike |Like a lion; brave as a lion.
lionly |Like a lion; fierce. [Obs.] Milton. LION'S EAR Li\"on's ear`. (Bot.)  A name given in Western South America to certain plants with shaggy tomentose leaves, as species of Culcitium, and Espeletia. LION'S FOOT Li\"on's foot`. (Bot.) (a) A composite plant of the genus Prenanthes, of which several species are found in the United States. (b) The edelweiss.
lionship |The state of being a lion. LION'S LEAF Li\"on's leaf`. (Bot.)  A South European plant of the genus Leontice (L. leontopetalum), the tuberous roots of which contain so much alkali that they are sometimes used as a substitute for soap. LION'S TAIL Li\"on's tail`. (Bot.)  A genus of labiate plants (Leonurus); -- so called from a fancied resemblance of its flower spikes to the tuft of a lion's tail. L. Cardiaca is the common motherwort. LION'S TOOTH Li\"on's tooth`; pl. Lions' teeth (. (Bot.)  See Leontodon.
lip |1. One of the two fleshy folds which surround the orifice of the mouth in man and many other animals. In man the lips are organs of speech essential to certain articulations. Hence, by a figure they denote the mouth, or all the organs of speech, and sometimes speech itself. Thine own lips testify against thee. Jeb xv. 6. 2. An edge of an opening; a thin projecting part of anything; a kind of short open spout; as, the lip of a vessel. 3. The sharp cutting edge on the end of an auger. 4. (Bot.) (a) One of the two opposite divisions of a labiate corolla. (b) The odd and peculiar petal in the Orchis family. See Orchidaceous. 5. (Zoöl.)  One of the edges of the aperture of a univalve shell. Lip bit, a pod auger. See Auger. -- Lip comfort, comfort that is given with words only. -- Lip comforter, one who comforts with words only. -- Lip labor, unfelt or insincere speech; hypocrisy. Bale. -- Lip reading, the catching of the words or meaning of one speaking by watching the motion of his lips without hearing his voice. Carpenter. -- Lip salve, a salve for sore lips. -- Lip service, expression by the lips of obedience and devotion without the performance of acts suitable to such sentiments. -- Lip wisdom, wise talk without practice, or unsupported by experience. -- Lip work. (a) Talk. (b) Kissing. [Humorous] B. Jonson. -- Lip make a lip, to drop the under lip in sullenness or contempt. Shak. -- To shoot out the lip (Script.), to show contempt by protruding the lip.\n\n1. To touch with the lips; to put the lips to; hence, to kiss. The bubble on the wine which breaks Before you lip the glass. Praed. A hand that kings Have lipped and trembled kissing. Shak. 2. To utter; to speak. [R.] Keats.\n\nTo clip; to trim. [Obs.] Holland.
lipaemia |A condition in which fat occurs in the blood.
lipans |A tribe of North American Inedians, inhabiting the northern part of Mexico. They belong to the Tinneh stock, and are closely related to the Apaches.
liparian |Any species of a family (Liparidæ) of destructive bombycid moths, as the tussock moths.
liparite |A quartzose trachyte; rhyolite.
lipic |Pertaining to, or derived from, fat. The word was formerly used specifically to designate a supposed acid obtained by the oxidation of oleic acid, tallow, wax, etc.
lipinic |Lipic.
lipless |, Having no lips.
liplet |A little lip.
lipocephala |Same as Lamellibranchia.
lipochrin |A yellow coloring matter, soluble in ether, contained in the small round fat drops in the retinal epithelium cells. It is best obtained from the eyes of frogs.
lipogram |A writing composed of words not having a certain letters; -- as in the Odyssey of Tryphiodorus there was no A in the first book, no B in the second, and so on.
lipogrammatic |Omitting a letter; composed of words not having a certain letter or letters; as, lipogrammatic writings.
lipogrammatist |One who makes a lipogram.
lipoma |A tumor consisting of fat or adipose tissue. -- Li*pom\"a*tous, a.
lipothymic |Tending to swoon; fainting. [Written also leipothymic.]
lipothymous |Pertaining, or given, to swooning; fainting.
lipothymy |A fainting; a swoon. Jer. Taylor.
lipped |1. Having a lip or lips; having a raised or rounded edge resembling the lip; -- often used in composition; as, thick-lipped, thin-lipped, etc. 2. (Bot.)  Labiate.
lippitude |Soreness of eyes; the state of being blear-eyes; blearedness.
lipse |To lisp. [Obs.] Chaucer.
lipyl |A hypothetical radical of glycerin. [Obs.] Berzelius.
liquable |Capable of being melted.
liquate |To melt; to become liquid. [Obs.] Woodward.\n\nTo separate by fusion, as a more fusible from a less fusible material.
liquation |1. The act or operation of making or becoming liquid; also, the capacity of becoming liquid. 2. (Metal.)  The process of separating, by heat, an easily fusible metal from one less fusible; eliquation.
liquefacient |1. That which serves to liquefy. 2. (Med.)  An agent, as mercury, iodine, etc., which promotes the liquefying processes of the system, and increases the secretions.
liquefaction |1. The act or operation of making or becoming liquid; especially, the conversion of a solid into a liquid by the sole agency of heat. 2. The state of being liquid. 3. (Chem. Physics)  The act, process, or method, of reducing a gas or vapor to a liquid by cold or pressure; as, the liquefaction of oxygen or hydrogen.
liquefiable |Capable of being changed from a solid to a liquid state.
liquefier |That which liquefies.
liquefy |To convert from a solid form to that of a liquid; to melt; to dissolve; and technically, to melt by the sole agency of heat.\n\nTo become liquid.
liquescency |The quality or state of being liquescent. Johnson.
liquescent |Tending to become liquid; inclined to melt to melt; melting.
liqueur |An aromatic alcoholic cordial. Note: Some liqueurs are prepared by infusing certain woods, fruits, or flowers, in either water or alcohol, and adding sugar, etc. Others are distilled from aromatic or flavoring agents.
liquid |1. Flowing freely like water; fluid; not solid. Yes, though he go upon the plane and liquid water which will receive no step. Tyndale. 2. (Physics)  Being in such a state that the component parts move among themselves, but do not tend to separate from each other as the particles of gases and vapors do; neither solid nor aëriform; as, liquid mercury, in distinction from mercury solidified or in a state of vapor. 3. Flowing or sounding smoothly or without abrupt transitions or harsh tones. \"Liquid melody.\" Crashaw. 4. Pronounced without any jar or harshness; smooth; as, l and r are liquid letters. 5. Fluid and transparent; as, the liquid air. 6. Clear; definite in terms or amount.[Obs.] \"Though the debt should be entirely liquid.\" Ayliffe. Liquid glass. See Soluble glass, under Glass.\n\n1. A substance whose parts change their relative position on the slightest pressure, and therefore retain no definite form; any substance in the state of liquidity; a fluid that is not aëriform. Note: Liquid and fluid are terms often used synonymously, but fluid has the broader signification. All liquids are fluids, but many fluids, as air and the gases, are not liquids. 2. (Phon.)  A letter which has a smooth, flowing sound, or which flows smoothly after a mute; as, l and r, in bla, bra. M and n also are called liquids. Liquid measure, a measure, or system of measuring, for liquids, by the gallon, quart, pint, gill, etc.
