quartzoid |A form of crystal common with quartz, consisting of two six- sided pyramids, base to base.
quiescent |1. Being in a state of repose; at rest; still; not moving; as, a quiescent body or fluid. 2. Not ruffed with passion; unagitated; not in action; not excited; quiet; dormant; resting. In times of national security, the feeling of patriotism . . . is so quiescent that it seems hardly to exist. Prof. Wilson. 3. (Gram.)  Not sounded; silent; as, y is quiescent in \"day\" and \"say.\"\n\nA silent letter. M. Stuart.
quiescently |In a quiescent manner.
quiet |1. In a state of rest or calm; without stir, motion, or agitation; still; as, a quiet sea; quiet air. They . . . were quiet all the night, saying, In the morning, when it is day, we shall kill him. Judg. xvi. 2. 2. Free from noise or disturbance; hushed; still. 3. Not excited or anxious; calm; peaceful; placid; settled; as, a quiet life; a quiet conscience. \" So quiet and so sweet a style.\" Shak. That son, who on the quiet state of man Such trouble brought. Milton. 4. Not giving offense; not exciting disorder or trouble; not turbulent; gentle; mild; meek; contented. The ornament of a meek and quiet spirit. 1 Pet. iii. 4. I will sit as quiet as a lamb. Shak. 5. Not showy; not such as to attract attention; undemonstrative; as, a quiet dress; quiet colors; a quiet movement. Syn. -- Still; tranquil; calm; unruffled; smooth; unmolested; undisturbed; placid; peaceful; mild; peaceable; meek; contented.\n\n1. The quality or state of being quiet, or in repose; as an hour or a time of quiet. 2. Freedom from disturbance, noise, or alarm; stillness; tranquillity; peace; security. And join with thee, calm Peace and Quiet. Milton. At quiet, still; peaceful. -- In quiet, quietly. \" I will depart in quiet.\" Shak. -- Out of quiet, disturbed; restless. [Obs.] \"She is much out of quiet.\" Shak.\n\n1. To stop motion in; to still; to reduce to a state of rest, or of silence. 2. To calm; to appease; to pacify; to lull; to allay; to tranquillize; as, to quiet the passions; to quiet clamors or disorders; to quiet pain or grief. Quiet yourselves, I pray, and be at peace. Shak.\n\nTo become still, silent, or calm; -- often with down; as, be soon quieted down.
quietage |Quietness. [Obs.] Spenser.
quieter |One who, or that which, quiets.
quietism |1. Peace or tranquillity of mind; calmness; indifference; apathy; dispassion; indisturbance; inaction. 2. (Eccl. Hist.)  The system of the Quietists, who maintained that religion consists in the withdrawal of the mind from worldly interests and anxieties and its constant employment in the passive contemplation of God and his attributes.
quietist |One of a sect of mystics originated in the seventeenth century by Molinos, a Spanish priest living in Rome. See Quietism.
quietistic |Of or pertaining to the Quietists, or to Quietism.
quietly |1. In a quiet state or manner; without motion; in a state of rest; as, to lie or sit quietly. 2. Without tumult, alarm, dispute, or disturbance; peaceably; as, to live quietly; to sleep quietly. 3. Calmly, without agitation or violent emotion; patiently; as, to submit quietly to unavoidable evils. 4. Noiselessly; silently; without remark or violent movement; in a manner to attract little or no observation; as, he quietly left the room.
quietness |The quality or state of being quiet; freedom from noise, agitation, disturbance, or excitement; stillness; tranquillity; calmness. I would have peace and quietness. Shak.
quietsome |Calm; still. [Obs.] Spenser.
quietude |Rest; repose; quiet; tranquillity. Shelley.
quietus |Final discharge or acquittance, as from debt or obligation; that which silences claims; (Fig.) rest; death. When he himself might his quietus make With a bare bodkin. Shak.
quill |1. One of the large feathers of a bird's wing, or one of the rectrices of the tail; also, the stock of such a feather. 2. A pen for writing made by sharpening and splitting the point or nib of the stock of a feather; as, history is the proper subject of his quill. Sir H. Wotton. 3. (Zoöl.) (a) A spine of the hedgehog or porcupine. (b) The pen of a squid. See Pen. 4. (Mus.) (a) The plectrum with which musicians strike the strings of certain instruments. (b) The tube of a musical instrument. He touched the tender stops of various quills. Milton. 5. Something having the form of a quill; as: (a) The fold or plain of a ruff. (b) (Weaving) A spindle, or spool, as of reed or wood, upon which the thread for the woof is wound in a shuttle. (c) (Mach.) A hollow spindle. Quill bit, a bit for boring resembling the half of a reed split lengthways and having its end sharpened like a gouge. -- Quill driver, one who works with a pen; a writer; a clerk. [Jocose] -- Quill nib, a small quill pen made to be used with a holder. Simmonds.\n\n1. To plaint in small cylindrical ridges, called quillings; as, to quill a ruffle. His cravat seemed quilled into a ruff. Goldsmith. 2. To wind on a quill, as thread or yarn. Judd.
quillaia bark |The bark of a rosaceous tree (Quillaja Saponaria), native of Chili. The bark is finely laminated, and very heavy with alkaline substances, and is used commonly by the Chilians instead of soap. Also called soap bark.
quillback |An American fresh-water fish (Ictiobus, or Carpiodes, cyprinus); -- called also carp sucker, sailfish, spearfish, and skimback.
quilled |Furnished with quills; also, shaped like quills. \"A sharp- quilled porcupine.\" Shak. Quilled suture (Surg.), a variety of stitch in which the threads after being passed deeply through the edges of a wound are secured about two quills or bodies of similar shape, in order to produce a suitable degree of pressure.
quillet |Subtilty; nicety; quibble. \"Nice, sharp quillets of the law.\" Shak.
quilling |(a) A band of linen, muslin, or the like, fluted, folded, or plaited so as somewhat to resemble a row of quills. (b) One of the rounded plaits or flutings of such a band.
quillwort |Any plant or species of the genus Isoetes, cryptogamous plants with a cluster of elongated four-tubed rushlike leaves, rising from a corm, and containing spores in their enlarged and excavated bases. There are about seventeen American species, usually growing in the mud under still, shallow water. So called from the shape of the shape of the leaves.
quilt |Anything that is quilted; esp., a quilted bed cover, or a skirt worn by women; any cover or garment made by putting wool, cotton, etc., between two cloths and stitching them together; also, any outer bed cover. The beds were covered with magnificent quilts. Arbuthnot.\n\n1. To stitch or sew together at frequent intervals, in order to confine in place the several layers of cloth and wadding of which a garment, comforter, etc., may be made; as, to quilt a coat. Dryden. 2. To wad, as a garment, with warm soft material. 3. To stitch or sew in lines or patterns.
quilter |One who, or that which, quilts.
quilting |1. The act of stitching or running in patterns, as in making a quilt. 2. A quilting bee. See Bee, 2. 3. The material used for making quilts. 4. (Naut.)  A coating of strands of rope for a water vessel.
quin |A European scallop (Pecten opercularis), used as food. [Prov. Eng.]
quinaldine |A colorless liquid of a slightly pungent odor, C9H6N.CH3, first obtained as a condensation product of aldehyde and aniline, and regarded as a derivative of quinoline; -- called also methyl quinoline. [Written also chinaldine.]
quinary |Consisting of five; arranged by fives. Boyle. Quinary system (Zoöl.), a fanciful classification based on the hypothesis that each group contains five types.
quinate |Growing in sets of five; -- said especially of leaves composed of five leaflets set at the end of a common petiole.\n\nA salt of quinic acid. [Written also kinate.]
quinazol |A complex nitrogenous base related to cinnoline. [Written also chinazol.]
quince |1. The fruit of a shrub (Cydonia vulgaris) belonging to the same tribe as the apple. It somewhat resembles an apple, but differs in having many seeds in each carpel. It has hard flesh of high flavor, but very acid, and is largely used for marmalade, jelly, and preserves. 2. (Bot.)  a quince tree or shrub. Japan quince (Bot.), an Eastern Asiatic shrub (Cydonia, formerly Pyrus, Japonica) and its very fragrant but inedible fruit. The shrub has very showy flowers, usually red, but sometimes pink or white, and is much grown for ornament. -- Quince curculio (Zoöl.), a small gray and yellow curculio (Conotrachelus cratægi) whose larva lives in quinces. -- Quince tree (Bot.), the small tree (Cydonia vulgaris) which produces the quince.
quincewort |The squinancy. Called also quinsywort.
quinch |To stir; to wince. [Obs.] Spenser.
quincuncial |1. Having the form of a quincunx. 2. (Bot.)  Having the leaves of a pentamerous calyx or corolla so imbricated that two are exterior, two are interior, and the other has one edge exterior and one interior; as, quincuncial æstivation. Quincuncial phyllotaxy (Bot.), an arrangement of five leaves in a spiral, each leaf two fifths of a circle from the next.
quincuncially |In the manner or order of a quincunx.
quincunx |1. An arrangement of things by fives in a square or a rectangle, one being placed at each corner and one in the middle; especially, such an arrangement of trees repeated indefinitely, so as to form a regular group with rows running in various directions. 2. (Astrol.)  The position of planets when distant from each other five signs, or 150º. Hutton. 3. (Bot.)  A quincuncial arrangement, as of the parts of a flower in æstivation. See Quincuncial, 2.
quindecagon |A plane figure with fifteen angles, and consequently fifteen sides.
quindecemvir |One of a sacerdotal college of fifteen men whose chief duty was to take care of the Sibylline books.
quindecemvirate |The body or office of the quindecemviri.
quindecone |An unsaturated hydrocarbon, C15H26, of the valylene series, produced artificially as an oily liquid. [Written also quindekone.]
quindecylic |Pertaining to, or designating, an acid of the fatty acid series, containing fifteen atoms of carbon; called also pentadecylic acid.
quindem |A fifteenth part. [Obs.]
quindism |A fifteenth. [Obs.] Prynne.
quinhydrone |A green crystalline substance formed by the union of quinone with hydroquinone, or as an intermediate product in the oxidation of hydroquinone or the reduction of quinone. [Written also chinhydrone.]
quinia |Quinine.
quinible |An interval of a fifth; also, a part sung with such intervals. [Obs.] \"He sang . . . a loud quynyble.\" Chaucer.
quinic |Pertaining to, derived from, or connected with, quinine and related compounds; specifically, designating a nonnitrogenous acid obtained from cinchona bark, coffee, beans, etc., as a white crystalline substance. [Written also chinic, kinic.]
quinicine |An uncrystallizable alkaloid obtained by the action of heat from quinine, with which it is isomeric.
quinidine |An alkaloid isomeric with, and resembling, quinine, found in certain species of cinchona, from which it is extracted as a bitter white crystalline substance; conchinine. It is used somewhat as a febrifuge. [Written also chinidine.]
quinine |An alkaloid extracted from the bark of several species of cinchona (esp. Cinchona Calisaya) as a bitter white crystalline substance, C20H24N2O2. Hence, by extension (Med.), any of the salts of this alkaloid, as the acetate, chloride, sulphate, etc., employed as a febrifuge or antiperiodic. Called also quinia, quinina, etc. [Written also chinine.]
quininic |Pertaining to, or designating, a nitrogenous acid obtained as a yellow crystalline substance by the oxidation of quinine.
quininism |See Cinchonism.
quinism |See Cinchonism.
quinizarin |A yellow crystalline substance produced artificially. It is isomeric with alizarin.
quinizine |any one of a series of nitrogenous bases, certain of which are used as antipyretics.
quinnat |The California salmon (Oncorhynchus choicha); -- called also chouicha, king salmon, chinnook salmon, and Sacramento salmon. It is of great commercial importance. [Written also quinnet.]
quinoa |The seeds of a kind of goosewort (Chenopodium Quinoa), used in Chili and Peru for making porridge or cakes; also, food thus made.
quinogen |A hypothetical radical of quinine and related alkaloids.
quinoidine |A brownish resinous substance obtained as a by-product in the treatment of cinchona bark. It consists of a mixture of several alkaloids. [Written also chinoidine.]
quinoline |A nitrogenous base, C9H7N obtained as a pungent colorless liquid by the distillation of alkaloids, bones, coal tar, etc. It the nucleus of many organic bodies, especially of certain alkaloids and related substances; hence, by extension, any one of the series of alkaloidal bases of which quinoline proper is the type. [Written also chinoline.]
quinologist |One who is versed in quinology.
quinology |The science which treats of the cultivation of the cinchona, and of its use in medicine.
quinone |A crystalline substance, C6H4O2 (called also benzoketone), first obtained by the oxidation of quinic acid and regarded as a double ketone; also, by extension, any one of the series of which quinone proper is the type. [Written also chinone, kinone.]
quinovic |Pertaining to, or designating, a crystalline acid obtained from some varieties of cinchona bark. [Written also chinovic, and kinovic.]
quinovin |An amorphous bitter glucoside derived from cinchona and other barks. Called also quinova bitter, and quinova. [Written also chinovin, and kinovin.]
quinoxaline |Any one of a series of complex nitrogenous bases obtained by the union of certain aniline derivatives with glyoxal or with certain ketones. [Written also chinoxaline.]
quinoxyl |The hypothetical radical of certain quinone derivatives related to rhodizonic acid.
quinoyl |A radical of which quinone is the hydride, analogous to phenyl. [Written also kinoyl.]
quinquagesima |Fiftieth. Quinquagesima Sunday, the Sunday which is the fiftieth day before Easter, both days being included in the reckoning; -- called also Shrove Sunday.
quinquangular |Having five angles or corners.
quinquarticular |Relating to the five articles or points; as, the quinquarticular controversy between Arminians and Calvinists. [Obs.] Bp. Sanderson.
quinque foliolate |Having five leaflets. Gray.
quinque- |A combining form meaning five, five times, fivefold; as, quinquefid, five-cleft; quinquedentate, five-toothed.
quinqueangled |Having five angles; quinquangular.
quinquedentate |Five-toothed; as, a quinquedentate leaf.
quinquedentated |Five-toothed; as, a quinquedentate leaf.
quinquefarious |Arranged in five vertical rows; pentastichous. Gray.
quinquefid |Sharply cut about halfway to the middle or base into five segments; as, a quinquefid leaf or corolla.
quinquefoliate |Having five leaves or leaflets. Gray.
quinquefoliated |Having five leaves or leaflets. Gray.
quinqueliteral |Consisting of five letters.
quinquelobared |Cut less than halfway into portions, usually somewhat rounded; five-lobed; as, a quinquelobate leaf or corolla.
quinquelobate |Cut less than halfway into portions, usually somewhat rounded; five-lobed; as, a quinquelobate leaf or corolla.
quinquelobed |Same as Quinquelobate.
quinquelocular |Having five cells or loculi; five-celled; as, a quinquelocular pericarp.
quinquenerved |Having five nerves; -- said of a leaf with five nearly equal nerves or ribs rising from the end of the petiole.
quinquennalia |Public games celebrated every five years.
quinquennial |Occurring once in five years, or at the end of every five years; also, lasting five years. A quinquennial event.
quinquennium |Space of five years.
quinquepartite |1. Consisting of five parts. 2. (Bot.)  Divided into five parts almost to the base.
quinquereme |A galley having five benches or banks of oars; as, an Athenian quinquereme.
quinquesyllable |A word of five syllables.
quinquevalve |Having five valves, as a pericarp.
quinquevalvular |Having five valves, as a pericarp.
quinquevir |One of five commissioners appointed for some special object.
quinquina |Peruvian bark.
quinquivalent |Same as Pentavalent.
quinsy |An inflammation of the throat, or parts adjacent, especially of the fauces or tonsils, attended by considerable swelling, painful and impeded deglutition, and accompanied by inflammatory fever. It sometimes creates danger of suffocation; -- called also squinancy, and squinzey.
quint |1. A set or sequence of five, as in piquet. 2. (Mus.)  The interval of a fifth.
quintain |An object to be tilted at; -- called also quintel. [Written also quintin.] Note: A common form in the Middle Ages was an upright post, on the top of which turned a crosspiece, having on one end a broad board, and on the other a sand bag. The endeavor was to strike the board with the lance while riding under, and get away without being hit by the sand bag. \"But a quintain, a mere lifeless block.\" Shak.
quintal |1. A hundredweight, either 112 or 100 pounds, according to the scale used. Cf. Cental. [Sometimes written and pronounced kentle.] 2. A metric measure of weight, being 100,000 grams, or 100 kilograms, equal to 220.46 pounds avoirdupois.
quintan |Occurring as the fifth, after four others also, occurring every fifth day, reckoning inclusively; as, a quintan fever. -- n. (Med.)  An intermittent fever which returns every fifth day, reckoning inclusively, or in which the intermission lasts three days.
quintel |See Quintain.
quintessence |1. The fifth or last and highest essence or power in a natural body. See Ferment oils, under Ferment. [Obs.] Note: The ancient Greeks recognized four elements, fire, air, water, and earth. The Pythagoreans added a fifth and called it nether, the fifth essence, which they said flew upward at creation and out of it the stars were made. The alchemists sometimes considered alcohol, or the ferment oils, as the fifth essence. 2. Hence: An extract from anything, containing its rarest virtue, or most subtle and essential constituent in a small quantity; pure or concentrated essence. Let there be light, said God; and forthwith light Ethereal, first of things, quintessence pure, Sprung from the deep. Milton.\n\nTo distil or extract as a quintessence; to reduce to a quintessence. [R.] Stirling. \"Truth quintessenced and raised to the highest power.\" J. A. Symonds.
quintessential |Of the nature of a quintessence; purest. \"Quintessential extract of mediocrity.\" G. Eliot.
quintet |A composition for five voices or instruments; also, the set of five persons who sing or play five-part music.
quintette |A composition for five voices or instruments; also, the set of five persons who sing or play five-part music.
quintic |Of the fifth degree or order. -- n. (Alg.)  A quantic of the fifth degree. See Quantic.
quintile |The aspect of planets when separated the fifth part of the zodiac, or 72º. Hutton.
quintilllion |According to the French notation, which is used on the Continent and in America, the cube of a million, or a unit with eighteen ciphers annexed; according to the English notation, a number produced by involving a million to the fifth power, or a unit with thirty ciphers annexed. See the Note under Numeration.
quintin |See Quintain.
quintine |The embryonic sac of an ovule, sometimes regarded as an innermost fifth integument. Cf. Quartine, and Tercine.
quintole |A group of five notes to be played or sung in the time of four of the same species.
quintroon |The off-spring of an octoroon and a white person.
quintuple |Multiplied by five; increased to five times the amount; fivefold. Quintuple time (Mus.), a time having five beats in a measure. It is seldom used.\n\nTo make fivefold, or five times as much or many.
quintuple-nerved |The same as Quinquenerved.
quintuple-ribbed |The same as Quinquenerved.
quintuplet |1. A collection or combination of five of a kind. 2.  pl. Five children born in the same labor. 3.  (Mus.) A group of five connected notes; a turn of five notes. 4.  A cycle having five crank shafts and adapted for five riders, all of whom can assist in the propulsion.
quinzaine |The fifteenth day after a feast day, including both in the reckoning. [Written also quinzain.]
quinze |A game at cards in which the object is to make fifteen points.
quip |A smart, sarcastic turn or jest; a taunt; a severe retort; a gibe. Quips, and cranks, and wanton wiles. Milton. He was full of joke and jest, But all his merry quips are o'er. Tennyson.\n\nTo taunt; to treat with quips. The more he laughs, and does her closely quip. Spenser.\n\nTo scoff; to use taunts. Sir H. Sidney.
quipo |Same as Quipu.
quipu |A contrivance employed by the ancient Peruvians, Mexicans, etc., as a substitute for writing and figures, consisting of a main cord, from which hung at certain distances smaller cords of various colors, each having a special meaning, as silver, gold, corn, soldiers. etc. Single, double, and triple knots were tied in the smaller cords, representing definite numbers. It was chiefly used for arithmetical purposes, and to register important facts and events. [Written also quipo.] Tylor. The mysterious science of the quipus . . . supplied the Peruvians with the means of communicating their ideas to one another, and of transmitting them to future generations. Prescott.
quirboilly |Leather softened by boiling so as to take any required shape. Upon drying, it becomes exceedingly hard, and hence was formerly used for armor. [Obs.] \"His jambeux were of quyrboilly.\" Chaucer.
quire |See Choir. [Obs.] Spenser. A quire of such enticing birds. Shak.\n\nTo sing in concert. [R.] Shak.\n\nA collection of twenty-four sheets of paper of the same size and quality, unfolded or having a single fold; one twentieth of a ream.
quirinal |Of, pertaining to, or designating, the hill Collis Quirinalis, now Monte Quirinale (one of the seven hills of Rome), or a modern royal place situated upon it. Also used substantively.
quirister |A chorister. See Chorister. [R.] Thomson.
quiritation |A crying for help. [Obs.] Bp. Hall.
quirite |One of the Quirites.
quirites |Roman citizens. Note: After the Sabines and Romans had united themselves into one community, under Romulus, the name of Quirites was taken in addition to that of Romani, the Romans calling themselves in a civil capacity Quirites, while in a political and military capacity they retained the name of Romani. Andrews.
quirk |1. A sudden turn; a starting from the point or line; hence, an artful evasion or subterfuge; a shift; a quibble; as, the quirks of a pettifogger. \"Some quirk or . . . evasion.\" Spenser. We ground the justification of our nonconformity on dark subtilties and intricate quirks. Barrow. 2. A fit or turn; a short paroxysm; a caprice. [Obs.] \"Quirks of joy and grief.\" Shak. 3. A smart retort; a quibble; a shallow conceit. Some odd quirks and remnants of wit. Shak. 4. An irregular air; as, light quirks of music. Pope. 5. (Building)  A piece of ground taken out of any regular ground plot or floor, so as to make a court, yard, etc.; -- sometimes written quink. Gwilt. 6. (Arch.)  A small channel, deeply recessed in proportion to its width, used to insulate and give relief to a convex rounded molding. Quirk molding, a bead between two quirks.
quirked |Having, or formed with, a quirk or quirks.
quirkish |, Consisting of quirks; resembling a quirk. Barrow.
quirky |Full of quirks; tricky; as, a quirky lawyer.
quirl |See Querl.
quirpele |The Indian ferret.
quirt |A rawhide whip plaited with two thongs of buffalo hide T. Roosevelt.
quish |See Cuish.
quit |Any one of numerous species of small passerine birds native of tropical America. See Banana quit, under Banana, and Guitguit.\n\nReleased from obligation, charge, penalty, etc.; free; clear; absolved; acquitted. Chaucer. The owner of the ox shall be quit. Ex. xxi. 28. Note: This word is sometimes used in the form quits, colloquially; as, to be quits with one, that is, to have made mutual satisfaction of demands with him; to be even with him; hence, as an exclamation: Quits! we are even, or on equal terms. \"To cry quits with the commons in their complaints.\" Fuller.\n\n1. To set at rest; to free, as from anything harmful or oppressive; to relieve; to clear; to liberate. [R.] To quit you of this fear, you have already looked Death in the face; what have you found so terrible in it Wake. 2. To release from obligation, accusation, penalty, or the like; to absolve; to acquit. There may no gold them quyte. Chaucer. God will relent, and quit thee all his debt. Milton. 3. To discharge, as an obligation or duty; to meet and satisfy, as a claim or debt; to make payment for or of; to requite; to repay. The blissful martyr quyte you your meed. Chaucer. Enkindle all the sparks of nature To quit this horrid act. Shak. Before that judge that quits each soul his hire. Fairfax. 4. To meet the claims upon, or expectations entertained of; to conduct; to acquit; -- used reflexively. Be strong, and quit yourselves like men. I Sam. iv. 9. Samson hath guit himself Like Samson. Milton. 5. To carry through; to go through to the end. [Obs.] Never worthy prince a day did quit With greater hazard and with more renown. Daniel. 6. To have done with; to cease from; to stop; hence, to depart from; to leave; to forsake; as, to quit work; to quit the place; to quit jesting. Such a superficial way of examining is to quit truth for appearance. Locke. To quit cost, to pay; to reimburse. -- To quit scores, to make even; to clear mutually from demands. Does not the earth quit scores with all the elements in the noble fruits that issue from it South. Syn. -- To leave; relinquish; resign; abandon; forsake; surrender; discharge; requite. -- Quit, Leave. Leave is a general term, signifying merely an act of departure; quit implies a going without intention of return, a final and absolute abandonment.\n\nTo away; to depart; to stop doing a thing; to cease.
quitch |1. (Bot.)  Same as Quitch grass. 2. Figuratively: A vice; a taint; an evil. To pick the vicious quitch Of blood and custom wholly out of him. Tennyson .
quitch grass |A perennial grass (Agropyrum repens) having long running rootstalks, by which it spreads rapidly and pertinaciously, and so becomes a troublesome weed. Also called couch grass, quick grass, quick grass, twitch grass. See Illustration in Appendix.
quitclaim |A release or relinquishment of a claim; a deed of release; an instrument by which some right, title, interest, or claim, which one person has, or is supposed to have, in or to an estate held by himself or another, is released or relinquished, the grantor generally covenanting only against persons who claim under himself.\n\nTo release or relinquish a claim to; to release a claim to by deed, without covenants of warranty against adverse and paramount titles.
quite |See Quit. [Obs.] Chaucer.\n\n1. Completely; wholly; entirely; totally; perfectly; as, the work is not quite done; the object is quite accomplished; to be quite mistaken. Man shall not quite be lost, but saved who will. Milton. The same actions may be aimed at different ends, and arise from quite contrary principles. Spectator. 2. To a great extent or degree; very; very much; considerably. \"Quite amusing.\" Macaulay. He really looks quite concerned. Landor. The island stretches along the land and is quite close to it. Jowett (Thucyd. ).
quitly |Quite. [Obs.] Chaucer.
quitrent |A rent reserved in grants of land, by the payment of which the tenant is quit from other service. Blackstone. Note: In some of the United States a fee-farm rent is so termed. Burrill.
quits |See the Note under Quit, a.
quittable |Capable of being quitted.
quittal |Return; requital; quittance. [Obs.]
quittance |1. Discharge from a debt or an obligation; acquittance. Omittance is no quittance. Shak. 2. Recompense; return; repayment. [Obs.] Shak.\n\nTo repay; to requite. [Obs.] Shak.
quitter |1. One who quits. 2. A deliverer. [Obs.] Ainsworth.
quittor |A chronic abscess, or fistula of the coronet, in a horse's foot, resulting from inflammation of the tissues investing the coffin bone.
quitture |A discharge; an issue. [Obs.] To cleanse the quitture from thy wound. Chapman.
quiver |Nimble; active. [Obs.] \" A little quiver fellow.\" Shak.\n\nTo shake or move with slight and tremulous motion; to tremble; to quake; to shudder; to shiver. The green leaves quiver with the cooling wind. Shak. And left the limbs still quivering on the ground. Addison.\n\nThe act or state of quivering; a tremor.\n\nA case or sheath for arrows to be carried on the person. Reside him hung his bow And quiver, with three-bolted thunder stored. Milton.
quivered |1. Furnished with, or carrying, a quiver. \"Like a quivered nymph with arrows keen.\" Milton. 2. Sheathed, as in a quiver. \"Whose quills stand quivered at his ear.\" Pope.
quiveringly |With quivering motion.
quixotic |Like Don Quixote; romantic to extravagance; absurdly chivalric; apt to be deluded. \"Feats of quixotic gallantry.\" Prescott.
quixotically |In a quixotic way.
quixotism |That form of delusion which leads to extravagant and absurd undertakings or sacrifices in obedience to a morbidly romantic ideal of duty or honor, as illustrated by the exploits of Don Quixote in knight-errantry.
quixotry |Quixotism; visionary schemes.
quiz |1. A riddle or obscure question; an enigma; a ridiculous hoax. 2. One who quizzes others; as, he is a great quiz. 3. An odd or absurd fellow. Smart. Thackeray. 4. An exercise, or a course of exercises, conducted as a coaching or as an examination. [Cant, U.S.]\n\n1. To puzzle; to banter; to chaff or mock with pretended seriousness of discourse; to make sport of, as by obscure questions. He quizzed unmercifully all the men in the room. Thackeray. 2. To peer at; to eye suspiciously or mockingly. 3. To instruct in or by a quiz. See Quiz, n., 4. [U.S.] Quizzing glass, a small eyeglass.\n\nTo conduct a quiz. See Quiz, n., 4. [U.S.]
quizzer |One who quizzes; a quiz.
quizzical |Relating to quizzing: given to quizzing; of the nature of a quiz; farcical; sportive. -- Quiz\"zic*al*ly, adv.
quizzism |The act or habit of quizzing.
quo warranto |A writ brought before a proper tribunal, to inquire by what warrant a person or a corporation acts, or exercises certain powers. Blackstone. Note: An information in the nature of a quo warranto is now common as a substitute for the writ. Wharton.
quob |To throb; to quiver. [Local & Vulgar]
quod |A quadrangle or court, as of a prison; hence, a prison. [Slang] \"Flogged or whipped in quod.\" T. Hughes.\n\nQuoth; said. See Quoth. [Obs.] \"Let be,\" quod he, \"it shall not be.\" Chaucer.
quoddies |Herring taken and cured or smoked near Quoddy Head, Maine, or near the entrance of Passamaquoddy Ray.
quodlibet |1. A nice point; a subtilty; a debatable point. These are your quodlibets, but no learning. P. Fletcher. 2. (Mus.)  A medley improvised by several performers.
quodlibetarian |One who discusses any subject at pleasure.
quodlibetical |Not restricted to a particular subject; discussed for curiosity or entertainment. -- Quod`li*bet\"ic*al*ly, adv.
quoif |See Coif. Shak.
quoiffure |See Coiffure.
quoil |See Coil. [Obs.]
quoin |1. (Arch.)  Originally, a solid exterior angle, as of a building; now, commonly, one of the selected pieces of material by which the corner is marked. Note: In stone, the quoins consist of blocks larger than those used in the rest of the building, and cut to dimension. In brickwork, quoins consist of groups or masses of brick laid together, and in a certain imitation of quoins of stone. 2. A wedgelike piece of stone, wood metal, or other material, used for various purposes, as: (a) (Masonry)  to support and steady a stone. (b) (Gun.) To support the breech of a cannon. (c) (Print.) To wedge or lock up a form within a chase. (d) (Naut.) To prevent casks from rolling. Hollow quoin. See under Hollow. -- Quoin post (Canals), the post of a lock gate which abuts against the wall.
quoit |1. (a) A flattened ring-shaped piece of iron, to be pitched at a fixed object in play; hence, any heavy flat missile used for the same purpose, as a stone, piece of iron, etc. (b) pl.  A game played with quoits. Shak. 2. The discus of the ancients. See Discus. 3. A cromlech. [Prov. Eng.] J. Morley.\n\nTo throw quoits; to play at quoits. To quoit, to run, and steeds and chariots drive. Dryden.\n\nTo throw; to pitch. [Obs. or R.] Shak.
quoke |imp. of Quake. Chaucer.
quoll |A marsupial of Australia (Dasyurus macrurus), about the size of a cat.
quondam |Having been formerly; former; sometime. \"This is the quondam king.\" Shak.\n\nA person dismissed or ejected from a position. [R.] \"Make them quondams; . . . cast them out of their office.\" Latimer.
quook |imp. of Quake. [Obs.] Spenser.
quop |See Quob.
quorum |Such a number of the officers or members of any body as is competent by law or constitution to transact business; as, a quorum of the House of Representatives; a constitutional quorum was not present. Note: The term arose from the Latin words, Quorum aliquem vestrum . . . unum esse volumus (of whom we wish some one of you to be one), which were used in the commission formerly issued to justices of the peace in England, by which commission it was directed that no business of certain kinds should be done without the presence of one or more of certain justices specially designated. Justice of the peace and of the quorum designates a class of justices of the peace in some of the United States.
quota |A proportional part or share; the share or proportion assigned to each in a division. \"Quota of troops and money.\" Motley.
quotable |Capable or worthy of being quoted; as, a quotable writer; a quotable sentence. -- Quot`a*bit\"i*ty, n. Poe.
quotation |1. The act of quoting or citing. 2. That which is quoted or cited; a part of a book or writing named, repeated, or adduced as evidence or illustration. Locke. 3. (Com.)  The naming or publishing of the current price of stocks, bonds, or any commodity; also the price named. 4. Quota; share. [Obs.] 5. (print.)  A piece of hollow type metal, lower than type, and measuring two or more pica ems in length and breadth, used in the blank spaces at the beginning and end of chapters, etc. Quotation marks (Print.), two inverted commas placed at the beginning, and two apostrophes at the end, of a passage quoted from an author in his own words.
quotationist |One who makes, or is given to making, quotations. The narrow intellectuals of quotationists. Milton.
quote |1. To cite, as a passage from some author; to name, repeat, or adduce, as a passage from an author or speaker, by way of authority or illustration; as, to quote a passage from Homer. 2. To cite a passage from; to name as the authority for a statement or an opinion; as, to quote Shakespeare. 3. (Com.)  To name the current price of. 4. To notice; to observe; to examine. [Obs.] Shak. 5. To set down, as in writing. [Obs.] \"He's quoted for a most perfidious slave.\" Shak. Syn. -- To cite; name; adduce; repeat. Quote, Cite. To cite was originally to call into court as a witness, etc., and hence denotes bringing forward any thing or person as evidence. Quote usually signifies to reproduce another's words; it is also used to indicate an appeal to some one as an authority, without adducing his exact words.\n\nA note upon an author. [Obs.] Cotgrave.
quoter |One who quotes the words of another.
quoth |Said; spoke; uttered; -- used only in the first and third persons in the past tenses, and always followed by its nominative, the word or words said being the object; as, quoth I. quoth he. \"Let me not live, quoth he.\" Shak.
quotha |Indeed; forsooth. To affront the blessed hillside drabs and thieves With mended morals, quotha, -- fine new lives ! Mrs. Browning.
