maculature |, Blotting paper. [Obs.]
magnificence |The act of doing what magnificent; the state or quality of being magnificent. Acts xix. 27. \"Then cometh magnificence.\" Chaucer. And, for the heaven's wide circuit, let it speak The Maker's high magnificence, who built so spacious. Milton. The noblest monuments of Roman magnificence. Eustace.
magnificent |1. Doing grand things; admirable in action; displaying great power or opulence, especially in building, way of living, and munificence. A prince is never so magnificent As when he's sparing to enrich a few With the injuries of many. Massinger. 2. Grand in appearance; exhibiting grandeur or splendor; splendid' pompous. When Rome's exalted beauties I descry Magnificent in piles of ruin lie. Addison. Syn. -- Glorious; majestic; sublime. See Grand.
magnificently |In a Magnificent manner.
magnifico |1. A grandee or nobleman of Venice; -- so called in courtesy. Shak. 2. A rector of a German university.
magnifier |One who, or that which, magnifies.
magnify |1. To make great, or greater; to increase the dimensions of; to amplify; to enlarge, either in fact or in appearance; as, the microscope magnifies the object by a thousand diameters. The least error in a small quantity . . . will in a great one . . . be proportionately magnified. Grew. 2. To increase the importance of; to augment the esteem or respect in which one is held. On that day the Lord magnified Joshua in the sight of all Israel. Joshua iv. 14. 3. To praise highly; to land; to extol. [Archaic] O, magnify the Lord with me, and let us exalt his name together. Ps. xxxiv. 3. 4. To exaggerate; as, to magnify a loss or a difficulty. To magnify one's self (Script.), to exhibit pride and haughtiness; to boast. -- To magnify one's self against (Script.), to oppose with pride.\n\n1. To have the power of causing objects to appear larger than they really are; to increase the apparent dimensions of objects; as, some lenses magnify but little. 2. To have effect; to be of importance or significance. [Cant & Obs.] Spectator. Magnifying glass, a lens which magnifies the apparent dimensions of objects seen through it.
magniloquence |The quality of being magniloquent; pompous discourse; grandiloquence.
magniloquent |Speaking pompously; using swelling discourse; bombastic; tumid in style; grandiloquent. -- Mag*nil\"o*quent*ly, adv.
magniloquous |Magniloquent. [Obs.]
magnitude |1. Extent of dimensions; size; -- applied to things that have length, breath, and thickness. Conceive those particles of bodies to be so disposed amongst themselves, that the intervals of empty spaces between them may be equal in magnitude to them all. Sir I. Newton. 2. (Geom.)  That which has one or more of the three dimensions, length, breadth, and thickness. 3. Anything of which greater or less can be predicated, as time, weight, force, and the like. 4. Greatness; grandeur. \"With plain, heroic magnitude of mind.\" Milton. 5. Greatness, in reference to influence or effect; importance; as, an affair of magnitude. The magnitude of his designs. Bp. Horsley. Apparent magnitude (Opt.), the angular breadth of an object viewed as measured by the angle which it subtends at the eye of the observer; - - called also apparent diameter. -- Magnitude of a star (Astron.), the rank of a star with respect to brightness. About twenty very bright stars are said to be of first magnitude, the stars of the sixth magnitude being just visible to the naked eye. Telescopic stars are classified down to the twelfth magnitude or lower. The scale of the magnitudes is quite arbitrary, but by means of photometers, the classification has been made to tenths of a magnitude.
magnolia |A genus of American and Asiatic trees, with aromatic bark and large sweet-scented whitish or reddish flowers. Note: Magnolia grandiflora has coriaceous shining leaves and very fragrant blossoms. It is common from North Carolina to Florida and Texas, and is one of the most magnificent trees of the American forest. The sweet bay (M. glauca)is a small tree found sparingly as far north as Cape Ann. Other American species are M. Umbrella, M. macrophylla, M. Fraseri, M. acuminata, and M. cordata. M. conspicua and M. purpurea are cultivated shrubs or trees from Eastern Asia. M. Campbellii, of India, has rose-colored or crimson flowers. Magnolia warbler (Zoöl.), a beautiful North American wood warbler (Dendroica maculosa). The rump and under parts are bright yellow; the breast and belly are spotted with black; the under tail coverts are white; the crown is ash.
magnoliaceous |Pertaining to a natural order (Magnoliaceæ) of trees of which the magnolia, the tulip tree, and the star anise are examples.
magnum |1. A large wine bottle. They passed the magnum to one another freely. Sir W. Scott . 2. (Anat.)  A bone of the carpus at the base of the third metacarpal bone.
magot |The Barbary ape.
magot-pie |A magpie. [Obs.] Shak.
magpie |Any one of numerous species of the genus Pica and related genera, allied to the jays, but having a long graduated tail. Note: The common European magpie (Pica pica, or P. caudata) is a black and white noisy and mischievous bird. It can be taught to speak. The American magpie (P. Hudsonica) is very similar. The yellow-belled magpie (P. Nuttalli) inhabits California. The blue magpie (Cyanopolius Cooki) inhabits Spain. Other allied species are found in Asia. The Tasmanian and Australian magpies are crow shrikes, as the white magpie (Gymnorhina organicum), the black magpie (Strepera fuliginosa), and the Australian magpie (Cracticus picatus). Magpie lark (Zoöl.), a common Australian bird (Grallina picata), conspicuously marked with black and white; -- called also little magpie. -- Magpie moth (Zoöl.), a black and white European geometrid moth (Abraxas grossulariata); the harlequin moth. Its larva feeds on currant and gooseberry bushes.
maguari |A South American stork (Euxenara maguari), having a forked tail.
maguey |The century plant, a species of Agave (A. Americana). See Agave.
magyar |1. (Ethnol.)  One of the dominant people of Hungary, allied to the Finns; a Hungarian. 2. The language of the Magyars.
maha |A kind of baboon; the wanderoo.
mahabarata |A celebrated epic poem of the Hindoos. It is of great length, and is chiefly devoted to the history of a civil war between two dynasties of ancient India.
mahabharatam |A celebrated epic poem of the Hindoos. It is of great length, and is chiefly devoted to the history of a civil war between two dynasties of ancient India.
mahaled |(Bot.) A cherry tree (Prunus Mahaleb) of Southern Europe. The wood is prized by cabinetmakers, the twigs are used for pipe stems, the flowers and leaves yield a perfume, and from the fruit a violet dye and a fermented liquor (like kirschwasser) are prepared.
maharajah |A sovereign prince in India; -- a title given also to other persons of high rank.
maharif |An African antelope (Hippotragus Bakeri). Its face is striped with black and white.
maharmah |A muslin wrapper for the head and the lower part of the face, worn by Turkish and Armenian women when they go abroad.
mahatma |One of a class of sages, or \"adepts,\" reputed to have knowledge and powers of a higher order than those of ordinary men. -- Ma*hat\"ma*ism (#), n.
mahdi |Among Mohammedans, the last imam or leader of the faithful. The Sunni, the largest sect of the Mohammedans, believe that he is yet to appear. Note: The title has been taken by several persons in countries where Mohammedanism prevails, -- notably by Mohammad Ahmed, who overran the Egyptian Sudan, and in 1885 captured Khartum, his soldiers killing General Gordon, an Englishman, who was then the Egyptian governor of the region.
mahdiism |See Mahdism.
mahdism |Belief in the coming of the Mahdi; fanatical devotion to the cause of the Mahdi or a pretender to that title. -- Mah\"dist (#), n. Mahdism has proved the most shameful and terrible instrument of bloodshed and oppression which the modern world has ever witnessed. E. N. Bennett.
mahl-stick |See Maul-stick.
mahoe |A name given to several malvaceous trees (species of Hibiscus, Ochroma, etc.), and to their strong fibrous inner bark, which is used for strings and cordage.
mahogany |1. (Bot.)  A large tree of the genus Swietenia (S. Mahogoni), found in tropical America. Note: Several other trees, with wood more or less like mahogany, are called by this name; as, African mahogany (Khaya Senegalensis), Australian mahogany (Eucalyptus marginatus), Bastard mahogany (Batonia apetala of the West Indies), Indian mahogany (Cedrela Toona of Bengal, and trees of the genera Soymida and Chukrassia), Madeira mahogany (Persea Indica), Mountain mahogany, the black or cherry birch (Betula lenta), also the several species of Cercocarpus of California and the Rocky Mountains. 2. The wood of the Swietenia Mahogoni. It is of a reddish brown color, beautifully veined, very hard, and susceptible of a fine polish. It is used in the manufacture of furniture. 3. A table made of mahogany wood. [Colloq.] To be under the mahogany, to be so drunk as to have fallen under the table. [Eng.] -- To put one's legs under some one's mahogany, to dine with him. [Slang]
maholi |A South African lemur (Galago maholi), having very large ears. [Written also moholi.]
mahomedan |See Mohammedan.
mahometan |See Mohammedan.
mahometanism |See Mohammedanism.
mahometanize |To convert to the religion of Mohammed; to Mohammedanize.
mahometism |See Mohammedanism.
mahometist |A Mohammedan. [R.]
mahometry |Mohammedanism. [Obs.]
mahon stock |An annual cruciferous plant with reddish purple or white flowers (Malcolmia maritima). It is called in England Virginia stock, but the plant comes from the Mediterranean.
mahone |A large Turkish ship. Crabb.
mahonia |The Oregon grape, a species of barberry (Berberis Aquifolium), often cultivated for its hollylike foliage.
mahoohoo |The African white two-horned rhinoceros (Atelodus simus).
mahori |One of the dark race inhabiting principally the islands of Eastern Polynesia. Also used adjectively.
mahound |A contemptuous name for Mohammed; hence, an evil spirit; a devil. [Obs.] Who's this, my mahound cousin Beau. & Fl.
mahout |The keeper and driver of an elephant. [East Indies]
mahovo |A device for saving power in stopping and starting a railroad car, by means of a heavy fly wheel.
mahrati |The language of the Mahrattas; the language spoken in the Deccan and Concan. [Written also Marathi.]
mahratta |One of a numerous people inhabiting the southwestern part of India. Also, the language of the Mahrattas; Mahrati. It is closely allied to Sanskrit. -- a.  Of or pertaining to the Mahrattas. [Written also Maratha.]\n\nA Sanskritic language of western India, prob. descended from the Maharastri Prakrit, spoken by the Marathas and neighboring peoples. It has an abundant literature dating from the 13th century. It has a book alphabet nearly the same as Devanagari and a cursive script translation between the Devanagari and the Gujarati.
mahumetan |See Mohammedan, Mohammedanism.
mahumetanism |See Mohammedan, Mohammedanism.
mahwa tree |An East Indian sapotaceous tree (Bassia latifolia, and also B. butyracea), whose timber is used for wagon wheels, and the flowers for food and in preparing an intoxicating drink. It is one of the butter trees. The oil, known as mahwa and yallah, is obtained from the kernels of the fruit.
maia |(a) A genus of spider crabs, including the common European species (Maia squinado). (b) A beautiful American bombycid moth (Eucronia maia).
maian |Any spider crab of the genus Maia, or family Maiadæ.
maid |1. An unmarried woman; usually, a young unmarried woman; esp., a girl; a virgin; a maiden. Would I had died a maid, And never seen thee, never borne thee son. Shak. Can a maid forget her ornaments, or a bride her attire Yet my people have forgotten me. Jer. ii. 32. 2. A man who has not had sexual intercourse. [Obs.] Christ was a maid and shapen as a man. Chaucer. 3. A female servant. Spinning amongst her maids. Shak. Note: Maid is used either adjectively or in composition, signifying female, as in maid child, maidservant. 4. (Zoöl.)  The female of a ray or skate, esp. of the gray skate (Raia batis), and of the thornback (R. clavata). [Prov. Eng.] Fair maid. (Zoöl.) See under Fair, a. -- Maid of honor, a female attendant of a queen or royal princess; - - usually of noble family, and having to perform only nominal or honorary duties. -- Old maid. See under Old.
maidan |In various parts of Asia, an open space, as for military exercises, or for a market place; an open grassy tract; an esplanade. A gallop on the green maidan. M. Crawford.
maiden |1. An unmarried woman; a girl or woman who has not experienced sexual intercourse; a virgin; a maid. She employed the residue of her life to repairing of highways, building of bridges, and endowing of maidens. Carew. A maiden of our century, yet most meek. Tennyson. 2. A female servant. [Obs.] 3. An instrument resembling the guillotine, formerly used in Scotland for beheading criminals. Wharton. 4. A machine for washing linen.\n\n1. Of or pertaining to a maiden, or to maidens; suitable to, or characteristic of, a virgin; as, maiden innocence. \"Amid the maiden throng.\" Addison. Have you no modesty, no maiden shame Shak. 2. Never having been married; not having had sexual intercourse; virgin; -- said usually of the woman, but sometimes of the man; as, a maiden aunt. \"A surprising old maiden lady.\" Thackeray. 3. Fresh; innocent; unpolluted; pure; hitherto unused. \"Maiden flowers.' Shak. Full bravely hast thou fleshed Thy maiden sword. Shak. 4. Used of a fortress, signifying that it has never been captured, or violated. T. Warton. Macaulay. Maiden assize (Eng. Law), an assize which there is no criminal prosecution; an assize which is unpolluted with blood. It was usual, at such an assize, for the sheriff to present the judge with a pair of white gloves. Smart. -- Maiden name, the surname of a woman before her marriage. -- Maiden pink. (Bot.) See under Pink. -- Maiden plum (Bot.), a West Indian tree (Comocladia integrifolia) with purplish drupes. The sap of the tree is glutinous, and gives a persistent black stain. -- Maiden speech, the first speech made by a person, esp. by a new member in a public body. -- Maiden tower, the tower most capable of resisting an enemy.\n\nTo act coyly like a maiden; -- with it as an indefinite object. For had I maiden'd it, as many use. Loath for to grant, but loather to refuse. Bp. Hall.
maidenhair |A fern of the genus Adiantum (A. pedatum), having very slender graceful stalks. It is common in the United States, and is sometimes used in medicine. The name is also applied to other species of the same genus, as to the Venus-hair. Maiden grass, the smaller quaking grass. -- Maiden tree. See Ginkgo.
maidenhead |1. The state of being a maiden; maidenhood; virginity. Shak. 2. The state of being unused or uncontaminated; freshness; purity. [Obs.] The maidenhead of their credit. Sir H. Wotton. 3. The hymen, or virginal membrane.
maidenhood |1. The state of being a maid or a virgin; virginity. Shak. 2. Newness; freshness; uncontaminated state. The maidenhood Of thy fight. Shak.
maidenlike |Like a maiden; modest; coy.
maidenliness |The quality of being maidenly; the behavior that becomes a maid; modesty; gentleness.
maidenly |Like a maid; suiting a maid; maiden-like; gentle, modest, reserved. Must you be blushing . . . What a maidenly man-at-arms are you become ! Shak.\n\nIn a maidenlike manner. \"Maidenly demure.\" Skelton.
maidenship |Maidenhood. [Obs.] Fuller.
maidhood |Maidenhood. Shak.
maidmarian |1. The lady of the May games; one of the characters in a morris dance; a May queen. Afterward, a grotesque character personated in sports and buffoonery by a man in woman's clothes. 2. A kind of dance. Sir W. Temple.
maidpale |Pale, like a sick girl. Shak.
maidservant |A female servant. MAID'S HAIR Maid's\" hair`. (Bot.)  The yellow bedstraw (Galium verum).
maieutic |1. Serving to assist childbirth. Cudworth. 2. Fig. : Aiding, or tending to, the definition and interpretation of thoughts or language. Payne.
maieutical |1. Serving to assist childbirth. Cudworth. 2. Fig. : Aiding, or tending to, the definition and interpretation of thoughts or language. Payne.
maieutics |The art of giving birth (i. e., clearness and conviction) to ideas, which are conceived as struggling for birth. Payne.
maiger |The meagre.
maigre |Belonging to a fast day or fast; as, a maigre day. Walpole. Maigre food (R. C. Ch.), food allowed to be eaten on fast days.
maihem |See Maim, and Mayhem.
maikel |A South American carnivore of the genus Conepatus, allied to the skunk, but larger, and having a longer snout. The tail is not bushy.
maikong |A South American wild dog (Canis cancrivorus); the crab-eating dog.
mail |A spot. [Obs.]\n\n1. A small piece of money; especially, an English silver half-penny of the time of Henry V. [Obs.] [Written also maile, and maille.] 2. Rent; tribute. [Obs., except in certain compounds and phrases, as blackmail, mails and duties, etc.] Mail and duties (Scots Law), the rents of an estate, in whatever form paid.\n\n1. A flexible fabric made of metal rings interlinked. It was used especially for defensive armor. Chaucer. Chain mail, Coat of mail. See under Chain, and Coat. 2. Hence generally, armor, or any defensive covering. 3. (Naut.)  A contrivance of interlinked rings, for rubbing off the loose hemp on lines and white cordage. 4. (Zoöl.)  Any hard protective covering of an animal, as the scales and plates of reptiles, shell of a lobster, etc. We . . . strip the lobster of his scarlet mail. Gay.\n\n1. To arm with mail. 2. To pinion. [Obs.]\n\n1. A bag; a wallet. [Obs.] Chaucer. 2. The bag or bags with the letters, papers, papers, or other matter contained therein, conveyed under public authority from one post office to another; the whole system of appliances used by government in the conveyance and delivery of mail matter. There is a mail come in to-day, with letters dated Hague. Tatler. 3. That which comes in the mail; letters, etc., received through the post office. 4. A trunk, box, or bag, in which clothing, etc., may be carried. [Obs.] Sir W. Scott. Mail bag, a bag in which mailed matter is conveyed under public authority. -- Mail boat, a boat that carries the mail. -- Mail catcher, an iron rod, or other contrivance, attached to a railroad car for catching a mail bag while the train is in motion. -- Mail guard, an officer whose duty it is to guard the public mails. [Eng.] -- Mail train, a railroad train carrying the mail.\n\nTo deliver into the custody of the postoffice officials, or place in a government letter box, for transmission by mail; to post; as, to mail a letter. [U. S.] Note: In the United States to mail and to post are both in common use; as, to mail or post a letter. In England post is the commoner usage.
mail-shell |A chiton.
mailable |Admissible lawfully into the mail. [U.S.]
mailclad |Protected by a coat of mail; clad in armor. Sir W. Scott.
mailed |Protected by an external coat, or covering, of scales or plates.\n\nSpotted; speckled.
mailing |A farm. [Scot.] Sir W. Scott.
maim |1. To deprive of the use of a limb, so as to render a person on fighting less able either to defend himself or to annoy his adversary. By the ancient law of England he that maimed any man whereby he lost any part of his body, was sentenced to lose the like part. Blackstone. 2. To mutilate; to cripple; to injure; to disable; to impair. My late maimed limbs lack wonted might. Spenser. You maimed the jurisdiction of all bishops. Shak. Syn. -- To mutilate; mangle; cripple.\n\n1. The privation of the use of a limb or member of the body, by which one is rendered less able to defend himself or to annoy his adversary. 2. The privation of any necessary part; a crippling; mutilation; injury; deprivation of something essential. See Mayhem. Surely there is more cause to fear lest the want there of be a maim than the use of it a blemish. Hooker. A noble author esteems it to be a maim in history that the acts of Parliament should not be recited. Hayward.
maimedly |In a maimed manner.
maimedness |State of being maimed. Bolton.
main |1. A hand or match at dice. Prior. Thackeray. 2. A stake played for at dice. [Obs.] Shak. 3. The largest throw in a match at dice; a throw at dice within given limits, as in the game of hazard. 4. A match at cockfighting. \"My lord would ride twenty miles . . . to see a main fought.\" Thackeray. 5. A main-hamper. [Obs.] Ainsworth.\n\n1. Strength; force; might; violent effort. [Obs., except in certain phrases.] There were in this battle of most might and main. R. of Gl. He 'gan advance, With huge force, and with importable main. Spenser. 2. The chief or principal part; the main or most important thing. [Obs., except in special uses.] Resolved to rest upon the title of Lancaster as the main, and to use the other two . . . but as supporters. Bacon. 3. Specifically: (a) The great sea, as distinguished from an arm, bay, etc. ; the high sea; the ocean. \"Struggling in the main.\" Dryden. (b) The continent, as distinguished from an island; the mainland. \"Invaded the main of Spain.\" Bacon. (c) principal duct or pipe, as distinguished from lesser ones; esp. (Engin.), a principal pipe leading to or from a reservoir; as, a fire main. Forcing main, the delivery pipe of a pump. -- For the main, or In the main, for the most part; in the greatest part. -- With might and main, or With all one's might and main, with all one's strength; with violent effort. With might and main they chased the murderous fox. Dryden.\n\n1. Very or extremely strong. [Obs.] That current with main fury ran. Daniel. 2. Vast; huge. [Obs.] \"The main abyss.\" Milton. 3. Unqualified; absolute; entire; sheer. [Obs.] \"It's a man untruth.\" Sir W. Scott. 4. Principal; chief; first in size, rank, importance, etc. Our main interest is to be happy as we can. Tillotson. 5. Important; necessary. [Obs.] That which thou aright Believest so main to our success, I bring. Milton. By main force, by mere force or sheer force; by violent effort; as, to subdue insurrection by main force. That Maine which by main force Warwick did win. Shak. -- By main strength, by sheer strength; as, to lift a heavy weight by main strength. -- Main beam (Steam Engine), working beam. -- Main boom (Naut.), the boom which extends the foot of the mainsail in a fore and aft vessel. -- Main brace. (a) (Mech.) The brace which resists the chief strain. Cf. Counter brace. (b) (Naut.) The brace attached to the main yard. -- Main center (Steam Engine), a shaft upon which a working beam or side lever swings. -- Main chance. See under Chance. -- Main couple (Arch.), the principal truss in a roof. -- Main deck (Naut.), the deck next below the spar deck; the principal deck. -- Main keel (Naut.), the principal or true keel of a vessel, as distinguished from the false keel. Syn. -- Principal; chief; leading; cardinal; capital.\n\nVery extremely; as, main heavy. \"I'm main dry.\" Foote. [Obs. or Low]
main yard |The yard on which the mainsail is extended, supported by the mainmast.
main-gauche |The dagger held in the left hand, while the rapier is held in the right; -- used to parry thrusts of the adversary's rapier.
main-hamper |A hamper to be carried in the hand; a hand basket used in carrying grapes to the press.
maine |One of the New England States. Maine law, any law prohibiting the manufacture and sale of intoxicating beverages, esp. one resembling that enacted in the State of Maine.
mainland |The continent; the principal land; -- opposed to island, or peninsula. Dryden. After the two wayfarers had crossed from the peninsula to the mainland. Hawthorne.
mainly |Very strongly; mightily; to a great degree. [Obs.] Bacon. Shak.\n\nPrincipally; chiefly.
mainmast |The principal mast in a ship or other vessel.
mainor |A thing stolen found on the person of the thief. Note: A thief was said to be \"taken with the mainor,\" when he was taken with the thing stolen upon him, that is, in his hands. Wharton. Bouvier.
mainpernable |Capable of being admitted to give surety by mainpernors; able to be mainprised.
mainpernor |A surety, under the old writ of mainprise, for a prisoner's appearance in court at a day. Note: Mainpernors differ from bail in that a man's bail may imprison or surrender him before the stipulated day of appearance; mainpernors can do neither; they are bound to produce him to answer all charges whatsoever. Blackstone.
mainpin |A kingbolt.
mainprise |(a) A writ directed to the sheriff, commanding him to take sureties, called mainpernors, for the prisoner's appearance, and to let him go at large. This writ is now obsolete. Wharton. (b) Deliverance of a prisoner on security for his appearance at a day.\n\nTo suffer to go at large, on his finding sureties, or mainpernors, for his appearance at a day; -- said of a prisoner.
mains |The farm attached to a mansion house. [Scot.]
mainsail |The principal sail in a ship or other vessel. [They] hoised up the mainsail to the wind. Acts xxvii. 40. Note: The mainsail of a ship is extended upon a yard attached to the mainmast, and that of a sloop or schooner upon the boom.
mainsheet |One of the ropes by which the mainsail is hauled aft and trimmed.
mainspring |The principal or most important spring in a piece of mechanism, especially the moving spring of a watch or clock or the spring in a gunlock which impels the hammer. Hence: The chief or most powerful motive; the efficient cause of action.
mainstay |1. (Naut.)  The stay extending from the foot of the foremast to the maintop. 2. Main support; principal dependence. The great mainstay of the Church. Buckle.
mainswear |To swear falsely. [Obs.] Blount.
maintain |1. To hold or keep in any particular state or condition; to support; to sustain; to uphold; to keep up; not to suffer to fail or decline; as, to maintain a certain degree of heat in a furnace; to maintain a fence or a railroad; to maintain the digestive process or powers of the stomach; to maintain the fertility of soil; to maintain present reputation. 2. To keep possession of; to hold and defend; not to surrender or relinquish. God values . . . every one as he maintains his post. Grew. 3. To continue; not to suffer to cease or fail. Maintain talk with the duke. Shak. 4. To bear the expense of; to support; to keep up; to supply with what is needed. Glad, by his labor, to maintain his life. Stirling. What maintains one vice would bring up two children. Franklin. 5. To affirm; to support or defend by argument. It is hard to maintain the truth, but much harder to be maintained by it. South. Syn. -- To assert; vindicate; allege. See Assert.
maintainable |That maybe maintained.
maintainer |One who maintains.
maintainor |One who, not being interested, maintains a cause depending between others, by furnishing money, etc., to either party. Bouvier. Wharton.
maintenance |1. The act of maintaining; sustenance; support; defense; vindication. Whatsoever is granted to the church for God's honor and the maintenance of his service, is granted to God. South. 2. That which maintains or supports; means of sustenance; supply of necessaries and conveniences. Those of better fortune not making learning their maintenance. Swift. 3. (Crim. Law)  An officious or unlawful intermeddling in a cause depending between others, by assisting either party with money or means to carry it on. See Champerty. Wharton. Cap of maintenance. See under Cap.
maintop |The platform about the head of the mainmast in square-rigged vessels.
maioid |Of or pertaining to the genus Maia, or family Maiadeæ.
maister |Master. [Obs.] Chaucer. Spenser.\n\nPrincipal; chief. [Obs.] Chaucer.
maistre |Mastery; superiority; art. See Mastery. [Obs.] Chaucer.
maistress |Mistress. [Obs.] Chaucer.
maistrie |Mastery; superiority; art. See Mastery. [Obs.] Chaucer.
maistry |Mastery; superiority; art. See Mastery. [Obs.] Chaucer.
maithes |Same as Maghet.
maize |A large species of American grass of the genus Zea (Z. Mays), widely cultivated as a forage and food plant; Indian corn. Also, its seed, growing on cobs, and used as food for men animals. Maize eater (Zoöl.), a South American bird of the genus Pseudoleistes, allied to the troupials. -- Maize yellow, a delicate pale yellow.
majestatal |Majestic. [Obs.] E. Pocock. Dr. J. Scott.
majestatic |Majestic. [Obs.] E. Pocock. Dr. J. Scott.
majestic |Possessing or exhibiting majesty; of august dignity, stateliness, or imposing grandeur; lofty; noble; grand. \"The majestic world.\" Shak. \"Tethys'grave majestic pace.\" Milton. The least portions must be of the epic kind; all must be grave, majestic, and sublime. Dryden . Syn. -- August; splendid; grand; sublime; magnificent; imperial; regal; pompous; stately; lofty; dignified; elevated.
majestical |Majestic. Cowley. An older architecture, greater, cunninger, more majestical. M. Arnold. -- Ma*jes\"tic*al*ly, adv. -- Ma*jes\"tic*al*ness, n.
majesticness |The quality or state of being majestic. Oldenburg.
majesty |The dignity and authority of sovereign power; quality or state which inspires awe or reverence; grandeur; exalted dignity, whether proceeding from rank, character, or bearing; imposing loftiness; stateliness; -- usually applied to the rank and dignity of sovereigns. The Lord reigneth; he is clothed with majesty. Ps. xciii. 1. No sovereign has ever represented the majesty of great state with more dignity and grace. Macaulay. 2. Hence, used with the possessive pronoun, the title of an emperor, king or queen; -- in this sense taking a plural; as, their majesties attended the concert. In all the public writs which he [Emperor Charles V.] now issued as King of Spain, he assumed the title of Majesty, and required it from his subjects as a mark of respect. Before that time all the monarchs of Europe were satisfied with the appellation of Highness or Grace. Robertson. 3. Dignity; elevation of manner or style. Dryden.
majolica |A kind of pottery, with opaque glazing and showy, which reached its greatest perfection in Italy in the 16th century. Note: The term is said to be derived from Majorca, which was an early seat of this manufacture. Heyse.
major |1. Greater in number, quantity, or extent; as, the major part of the assembly; the major part of the revenue; the major part of the territory. 2. Of greater dignity; more important. Shak. 3. Of full legal age. [Obs.] 4. (Mus.)  Greater by a semitone, either in interval or in difference of pitch from another tone. Major axis (Geom.), the greater axis. See Focus, n., 2. -- Major key (Mus.), a key in which one and two, two and three, four and five, five and six and seven, make major seconds, and three and four, and seven and eight, make minor seconds. -- Major offense (Law), an offense of a greater degree which contains a lesser offense, as murder and robbery include assault. -- Major premise (Logic), that premise of a syllogism which contains the major term. -- Major scale (Mus.), the natural diatonic scale, which has semitones between the third and fourth, and seventh and fourth, and seventh and eighth degrees; the scale of the major mode, of which the third is major. See Scale, and Diatonic. -- Major second (Mus.), a second between whose tones is a difference in pitch of a step. -- Major sixth (Mus.), a sixth of four steps and a half step. In major keys the third and sixth from the key tone are major. Major keys and intervals, as distinguished from minors, are more cheerful. -- Major term (Logic), that term of a syllogism which forms the predicate of the conclusion. -- Major third (Mus.), a third of two steps.\n\n1. (Mil.)  An officer next in rank above a captain and next below a lieutenant colonel; the lowest field officer. 2. (Law)  A person of full age. 3. (Logic)  That premise which contains the major term. It its the first proposition of a regular syllogism; as: No unholy person is qualified for happiness in heaven [the major]. Every man in his natural state is unholy [minor]. Therefore, no man in his natural state is qualified for happiness in heaven [conclusion or inference]. Note: In hypothetical syllogisms, the hypothetical premise is called the major. 4. Etym: [LL. See Major.]  A mayor. [Obs.] Bacon.
major general |. An officer of the army holding a rank next above that of brigadier general and next below that of lieutenant general, and who usually commands a division or a corps.
major-domo |A man who has authority to act, within certain limits, as master of the house; a steward; also, a chief minister or officer.
majorat |1. The right of succession to property according to age; -- so termed in some of the countries of continental Europe. 2. (French Law)  Property, landed or funded, so attached to a title of honor as to descend with it.
majorate |The office or rank of a major.\n\nTo augment; to increase. [Obs.] Howell.
majoration |Increase; enlargement. [Obs.] Bacon.
majorcan |Of or pertaining to Majorca. -- n.  A native or inhabitant of Majorca.
majority |1. The quality or condition of being major or greater; superiority. Specifically: (a) The military rank of a major. (b) The condition of being of full age, or authorized by law to manage one's own affairs. 2. The greater number; more than half; as, a majority of mankind; a majority of the votes cast. 3. Etym: [Cf. L. majores.]  Ancestors; ancestry. [Obs.] 4. The amount or number by which one aggregate exceeds all other aggregates with which it is contrasted; especially, the number by which the votes for a successful candidate exceed those for all other candidates; as, he is elected by a majority of five hundred votes. See Plurality. To go over to, or To join, the majority, to die.
majorship |The office of major.
majoun |See Madjoun.
majusculae |Capital letters, as found in manuscripts of the sixth century and earlier.
majuscule |A capital letter; especially, one used in ancient manuscripts. See Majusculæ. Majuscule writing, writing composed wholly of capital letters, especially the style which prevailed in Europe from the third to the sixth century.
makable |Capable of being made.
makaron |See Macaroon, 2. [Obs.]
