essonite |Cinnamon stone, a variety of garnet. See Garnet.
etwee |See . Shenstone.
etym |See Etymon. H. F. Talbot.
etymic |Relating to the etymon; as, an etymic word.
etymologer |An etymologist.
etymological |Pertaining to etymology, or the derivation of words. -- Et`y*mo*log\"ic*al*ly, adv.
etymologicon |an etymological dictionary or manual.
etymologist |One who investigates the derivation of words.
etymologize |To give the etymology of; to trace to the root or primitive, as a word. Camden\n\nTo search into the origin of words; to deduce words from their simple roots. How perilous it is to etymologize at random. Trench.
etymology |1. That branch of philological science which treats of the history of words, tracing out their origin, primitive significance, and changes of from and meaning. 2. That pert of grammar which relates to the changes in the form of the words in a language; inflection.
etymon |1. An original form; primitive word; root. 2. Original or fundamental signification. [R.] Given as the etymon or genuine sense of the word. Coleridge.
etypical |Diverging from, or lacking conformity to, a type.
eu |A prefix used frequently in composition, signifying well, good, advantageous; -- the opposite of dys-.
eucairite |A metallic mineral, a selenide of copper and silver; -- so called by Berzelius on account of its being found soon after the discovery of the metal selenium.
eucalyn |An unfermentable sugar, obtained as an uncrystallizable sirup by the decomposition of melitose; also obtained from a Tasmanian eucalyptus, -- whence its name.
eucalyptol |A volatile, terpenelike oil extracted from the eucalyptus, and consisting largely of cymene.
eucalyptus |A myrtaceous genus of trees, mostly Australian. Many of them grow to an immense height, one or two species exceeding the height even of the California Sequoia. Note: They have rigid, entire leaves with one edge turned toward the zenith. Most of them secrete resinous gums, whence they called gum trees, and their timber is of great value. Eucalyptus Globulus is the blue gum; E. aigantea, the stringy bark: E. amygdalina, the peppermint tree. E. Gunnii, the Tasmanian cider tree, yields a refreshing drink from wounds made in the bark in the spring. Center species yield oils, tars, acids, dyes and tans. It is said that miasmatic valleys in Algeria and Portugal, and a part of the unhealthy Roman Campagna, have been made more salubrious by planting groves of these trees.
eucharis |A genus of South American amaryllidaceous plants with large and beautiful white blossoms.
eucharist |1. The act of giving thanks; thanksgiving. [Obs.] Led through the vale of tears to the region of eucharist and hallelujahs. South. 2. (Eccl.)  The sacrament of the Lord's Supper; the solemn act of ceremony of commemorating the death of Christ, in the use of bread and wine, as the appointed emblems; the communion. -- See Sacrament.
eucharistic |1. Giving thanks; expressing thankfulness; rejoicing. [Obs.] The eucharistical part of our daily devotions. Ray. 2. Pertaining to the Lord's Supper. \"The eucharistic sacrament.\" Sir. G. C. Lewis.
eucharistical |1. Giving thanks; expressing thankfulness; rejoicing. [Obs.] The eucharistical part of our daily devotions. Ray. 2. Pertaining to the Lord's Supper. \"The eucharistic sacrament.\" Sir. G. C. Lewis.
euchite |One who resolves religion into prayer. [Obs.] Gauden.
euchloric |Relating to, or consisting of, euchlorine; as, euchloric . Davy.
euchlorine |A yellow or greenish yellow gas, first prepared by Davy, evolved from potassium chlorate and hydrochloric acid. It is supposed to consist of chlorine tetroxide with some free chlorine.
euchologion |A formulary of prayers; the book of offices in the Greek Church, containing the liturgy, sacraments, and forms of prayers.
euchologue |Euchology. [R.]
euchology |A formulary of prayers; the book of offices in the Greek Church, containing the liturgy, sacraments, and forms of prayers.
euchre |A game at cards, that may be played by two, three, or four persons, the highest card (except when an extra card called the Joker is used) being the knave of the same suit as the trump, and called right bower, the lowest card used being the seven, or frequently, in two-handed euchre, the nine spot. See Bower.\n\n1. To defeat, in a game of euchre, the side that named the trump. 2. To defeat or foil thoroughly in any scheme. [Slang.]
euchroic |Having a fine color. Euchroic acid (Chem.), an organic, imide acid, obtained as a colorless crystalline substance, C12H4N2O8 by heating an ammonium salt of mellitic acid. By reduction it is changed to a dark blue substance (euchrone), -- hence its name.
euchroite |A mineral occurring in transparent emerald green crystals. It is hydrous arseniate of copper.
euchrone |A substance obtained from euchroic acid. See Eychroic.
euchymy |A good state of he blood and other fluids of the body.
euclase |A brittle gem occurring in light green, transparent crystals, affording a brilliant clinodiagonal cleavage. It is a silicate of alumina and glucina.
euclid |A Greek geometer of the 3d century
euclidian |Related to Euclid, or to the geometry of Euclid. Euclidian space (Geom.), the kind of space to which the axioms and definitions of Euclid, relative to straight lines and parallel lines, apply; -- called also flat space, and homaloidal space.
eucopepoda |A group which includes the typical copepods and the lerneans.
eucrasy |Such a due mixture of qualities in bodies as constitutes health or soundness. Quincy.
euctical |Expecting a wish; supplicatory. [R.] Sacrifices . . . distinguished into expiatory, euctical, and eucharistical. Bp. Law.
eudaemon |A good angel. Southey.
eudaemonics |That part of moral philosophy which treats of happiness; the science of happiness; -- contrasted with aretaics. J. Grote.
eudaemonism |That system of ethics which defines and enforces moral obligation by its relation to happiness or personal well-being.
eudaemonist |One who believes in eudemonism. I am too much of a eudæmonist; I hanker too much after a state of happiness both for myself and others. De Quincey.
eudaemonistic |Of or pertaining to eudemonism.
eudaemonistical |Eudemonistic.
eudemon |A good angel. Southey.
eudemonics |That part of moral philosophy which treats of happiness; the science of happiness; -- contrasted with aretaics. J. Grote.
eudemonism |That system of ethics which defines and enforces moral obligation by its relation to happiness or personal well-being.
eudemonist |One who believes in eudemonism. I am too much of a eudæmonist; I hanker too much after a state of happiness both for myself and others. De Quincey.
eudemonistic |Of or pertaining to eudemonism.
eudemonistical |Eudemonistic.
eudialyte |A mineral of a brownish red color and vitreous luster, consisting chiefly of the silicates of iron, zirconia, and lime.
eudiometer |An instrument for the volumetric measurement of gases; -- so named because frequently used to determine the purity of the air. Note: It usually consists of a finely graduated and calibrated glass tube, open at one end, the bottom; and having near the top a pair of platinum wires fused in, to allow the passage of an electric spark, as the process involves the explosion and combustion of one of the ingredients to be determined. The operation is conducted in a through of mercury, or sometimes over water. Cf. Burette. Use's ediometer has the tube bent in the form of the letter. U.
eudiometric |Of or pertaining to a eudiometer; as, eudiometrical experiments or results.
eudiometrical |Of or pertaining to a eudiometer; as, eudiometrical experiments or results.
eudiometry |The art or process of determining he constituents of a gaseous mixture by means of the eudiometer, or for ascertaining the purity of the air or the amount of oxygen in it.
eudipleura |The fundamental forms of organic life, that are composed of two equal and symmetrical halves. Syd. Soc. Lex.
eudoxian |A follower of Eudoxius, patriarch of Antioch and Constantinople in the 4th century, and a celebrated defender of the doctrines of Arius.
euganoidei |A group which includes the bony ganoids, as the gar pikes.
euge |Applause. [Obs.] Hammond.
eugenesis |The quality or condition of having strong reproductive powers; generation with full fertility between different species or races, specif. between hybrids of the first generation.
eugenia |A genus of mytraceous plants, mostly of tropical countries, and including several aromatic trees and shrubs, among which are the trees which produce allspice and cloves of commerce.
eugenic |Pertaining to, or derived from, cloves; as, eugenic acid.\n\nWell-born; of high birth. Atlantic Monthly.
eugenics |The science of improving stock, whether human or animal. F. Galton.
eugenin |A colorless, crystalline substance extracted from oil of cloves; -- called also clove camphor.
eugenol |A colorless, aromatic, liquid hydrocarbon, C10H12O2 resembling the phenols, and hence also called eugenic acid. It is found in the oils of pimento and cloves.
eugeny |Nobleness of birth. [Obs.]
eugetic |Pertaining to, or derived from, eugenol; as, eugetic acid.
eugetinic |Pertaining to, or derived from, eugenol; as, eugetic acid.
eugh |The yew. [Obs.] Dryden.
eugubian |Of or pertaining to the ancient town of Eugubium (now Gubbio); as, the Eugubine tablets, or tables, or inscriptions.
eugubine |Of or pertaining to the ancient town of Eugubium (now Gubbio); as, the Eugubine tablets, or tables, or inscriptions.
euharmonic |Producing mathematically perfect harmony or concord; sweetly or perfectly harmonious.
euhemerism |The theory, held by Euhemerus, that the gods of mythology were but deified mortals, and their deeds only the amplification in imagination of human acts.
euhemerist |One who advocates euhemerism.
euhemeristic |Of or pertaining to euhemerism.
euhemerize |To interpret (mythology) on the theory of euhemerism.
euisopoda |A group which includes the typical Isopoda.
eulachon |The candlefish. [Written also oulachan, oolacan, and ulikon.] See Candlefish.
eulerian |Pertaining Euler, a German mathematician of the 18th century. Eulerian integrals, certain definite integrals whose properties were first investigated by Euler.
eulogic |Bestowing praise of eulogy; commendatory; eulogistic. [R.] -- Eu*log\"ic*al*ly, adv. [R.]
eulogical |Bestowing praise of eulogy; commendatory; eulogistic. [R.] -- Eu*log\"ic*al*ly, adv. [R.]
eulogist |One who eulogizes or praises; panegyrist; encomiast. Buckle.
eulogistic |Of or pertaining to eulogy; characterized by eulogy; bestowing praise; panegyrical; commendatory; laudatory; as, eulogistic speech or discourse. -- Eu\"lo*gis\"tic*al*ly, adv.
eulogistical |Of or pertaining to eulogy; characterized by eulogy; bestowing praise; panegyrical; commendatory; laudatory; as, eulogistic speech or discourse. -- Eu\"lo*gis\"tic*al*ly, adv.
eulogium |A formal eulogy. Smollett.
eulogize |To speak or write in commendation of (another); to extol in speech or writing; to praise.
eulogy |A speech or writing in commendation of the character or services of a person; as, a fitting eulogy to worth. Eulogies turn into elegies. Spenser. Syn. -- Encomium; praise; panegyric; applause. -- Eulogy, Eulogium, Encomium, Panegyric. The idea of praise is common to all these words. The word encomium is used of both persons and things which are the result of human action, and denotes warm praise. Eulogium and eulogy apply only to persons and are more studied and of greater length. A panegyric was originally a set speech in a full assembly of the people, and hence denotes a more formal eulogy, couched in terms of warm and continuous praise, especially as to personal character. We may bestow encomiums on any work of art, on production of genius, without reference to the performer; we bestow eulogies, or pronounce a eulogium, upon some individual distinguished for his merit public services; we pronounce a panegyric before an assembly gathered for the occasion.
eulytite |a mineral, consisting chiefly of the silicate of bismuth, found at Freiberg; -- called also culytine.
eumenides |A euphemistic name for the Furies of Erinyes.
eumolpus |A genus of small beetles, one species of which (E. viti) is very injurious to the vines in the wine countries of Europe.
eunomian |A follower of Eunomius, bishop of Cyzicus (4th century A. D.), who held that Christ was not God but a created being, having a nature different from that of the Father. -- a.  Of or pertaining to Eunomius or his doctrine.
eunomy |Equal law, or a well-adjusted constitution of government. [R.] Mitford.
eunuch |A male of the human species castrated; commonly, one of a class of such persons, in Oriental countries, having charge of the women's apartments. Some of them, in former times, gained high official rank.\n\nTo make a eunuch of; to castrate. as a man. Creech. Sir. T. Browne.
eunuchate |To make a eunuch of; to castrate. as a man. Creech. Sir. T. Browne.
eunuchism |The state of being eunuch. Bp. Hall.
euonymin |A principle or mixture of principles derived from Euonymus atropurpureus, or spindle tree.
euonymus |A genus of small European and American trees; the spindle tree. The bark is used as a cathartic.
euornithes |The division of Aves which includes all the typical birds, or all living birds except the penguins and birds of ostrichlike form.
euosmitte |A fossil resin, so called from its strong, peculiar, pleasant odor.
eupathy |Right feeling. [R.] Harris.
eupatorin |A principle or mixture of principles extracted from various species of Eupatorium.
eupatorine |A principle or mixture of principles extracted from various species of Eupatorium.
eupatorium |A genus of perennial, composite herbs including hemp agrimony, boneset, throughwort, etc.
eupatrid |One well born, or of noble birth.
eupepsia |Soundness of the nutritive or digestive organs; good concoction or digestion; -- opposed to dyspepsia.
eupepsy |Soundness of the nutritive or digestive organs; good concoction or digestion; -- opposed to dyspepsia.
eupeptic |Of or pertaining to good digestion; easy of digestion; having a good digestion; as, eupeptic food; an eupeptic man. Wrapt in lazy eupeptic fat. Carlyle.
euphemism |A figure in which a harts or indelicate word or expression is softened; a way of describing an offensive thing by an inoffensive expression; a mild name for something disagreeable.
euphemistic |Pertaining to euphemism; containing a euphemism; softened in expression. -- Eu`phe*mis\"tic*al*ly, adv.
euphemistical |Pertaining to euphemism; containing a euphemism; softened in expression. -- Eu`phe*mis\"tic*al*ly, adv.
euphemize |To express by a euphemism, or in delicate language; to make use of euphemistic expressions.
euphoniad |An instrument in which are combined the characteristic tones of the organ and various other instruments. [R.]
euphonic |Pertaining to, or exhibiting, euphony; agreeable in sound; pleasing to the ear; euphonious; as, a euphonic expression; euphonical orthography.
euphonical |Pertaining to, or exhibiting, euphony; agreeable in sound; pleasing to the ear; euphonious; as, a euphonic expression; euphonical orthography.
euphonicon |A kind of uptight piano.
euphonious |Pleasing or sweet in sound; euphonic; smooth-sounding. Hallam. -- Eu*pho\"ni*ous*ly, adv.
euphonism |An agreeable combination of sounds; euphony.
euphonium |A bass instrument of the saxhorn family.
euphonize |To make euphonic. [R.]
euphonon |An instrument resembling the organ in tine and the upright piano in form. It is characterized by great strength and sweetness of tone.
euphonous |Euphonious. [R.]
euphony |A pleasing or sweet sound; an easy, smooth enunciation of sounds; a pronunciation of letters and syllables which is pleasing to the ear.
euphorbia |Spurge, or bastard spurge, a genus of plants of many species, mostly shrubby, herbaceous succulents, affording an acrid, milky juice. Some of them are armed with thorns. Most of them yield powerful emetic and cathartic products.
euphorbiaceous |Of, relating to, or resembling, the Euphorbia family.
euphorbial |Of, relating to, or resembling, the Euphorbia family.
euphorbin |A principle, or mixture of principles, derived from various species of Euphorbia.
euphorbine |A principle, or mixture of principles, derived from various species of Euphorbia.
euphorbium |An inodorous exudation, usually in the form of yellow tears, produced chiefly by the African Euphorbia resinifrea. It was formerly employed medicinally, but was found so violent in its effects that its use is nearly abandoned.
euphotide |A rock occurring in the Alps, consisting of saussurite and smaragdite; -- sometimes called gabbro.
euphrasy |The plant eyesight (euphrasia officionalis), formerly regarded as beneficial in disorders of the eyes. Then purged with euphrasy and rue The visual nerve, for he had much to see. Milton.
euphroe |A block or long slat of wood, perforated for the passage of the crowfoot, or cords by which an awning is held up. [Written also uphroe and uvrou.] Knight.
euphuism |An affectation of excessive elegance and refinement of language; high-flown diction.
euphuist |One who affects excessive refinement and elegance of language; -- applied esp. to a class of writers, in the age of Elizabeth, whose productions are marked by affected conceits and high-flown diction.
euphuistic |Belonging to the euphuists, or euphuism; affectedly refined.
euphuize |To affect excessive refinement in language; to be overnice in expression.
eupione |A limpid, oily liquid obtained by the destructive distillation of various vegetable and animal substances; -- specifically, an oil consisting largely of the higher hydrocarbons of the paraffin series. [Written also eupion.]
eupittone |A yellow, crystalline substance, resembling aurin, and obtained by the oxidation of pittacal; -- called also eupittonic acid. [Written also eupitton.]
eupittonic |Pertaining to, or derived from, eupittone.
euplastic |Having the capacity of becoming organizable in a high degree, as the matter forming the false membranes which sometimes result from acute inflammation in a healthy person. Dunglison.\n\nOrganizable substance by which the tissues of an animal body are renewed.
euplectella |A genus of elegant, glassy sponges, consisting of interwoven siliceous fibers, and growing in the form of a cornucopia; -- called also Venus's flower-basket.
euplexoptera |An order of insects, including the earwig. The anterior wings are short, in the form of elytra, while the posterior wings fold up beneath them. See Earwig.
eupnaea |Normal breathing where arterialization of the blood is normal, in distinction from dyspnæa, in which the blood is insufficiently arterialized. Foster.
eupryion |A contrivance for obtaining a light instantaneous, as a lucifer match. Brande & C.
eupyrion |A contrivance for obtaining a light instantaneous, as a lucifer match. Brande & C.
eurafric |1. (Geog.)  Of, pertaining to, or designating, the continents of Europe and Africa combined. 2.  (Zoögeography) Pert. to or designating a region including most of Europe and northern Africa south to the Sahara. 3.  Of European and African descent.
eurafrican |1. (Geog.)  Of, pertaining to, or designating, the continents of Europe and Africa combined. 2.  (Zoögeography) Pert. to or designating a region including most of Europe and northern Africa south to the Sahara. 3.  Of European and African descent.
eurasian |1. A child of a European parent on the one side and an Asiatic on the other. 2. One born of European parents in Asia.\n\nOf European and Asiatic descent; of or pertaining to both Europe and Asia; as, the great Eurasian plain.
eurasiatio |Of or pertaining to the continents of Europe and Asia combined.
eureka |The exclamation attributed to Archimedes, who is said to have cried out \"Eureka! eureka!\" (I have found it! I have found it!), upon suddenly discovering a method of finding out how much the gold of King Hiero's crown had been alloyed. Hence, an expression of triumph concerning a discovery.
eurhipidurous |Having a fanlike tail; belonging to the Eurhipiduræ, a division of Aves which includes all living birds.
euripize |To whirl hither and thither. [Obs.]
euripus |A strait; a narrow tract of water, where the tide, or a current, flows and reflows with violence, as the ancient fright of this name between Eubæa and Bæotia. Hence, a flux and reflux. Burke.
eurite |A compact feldspathic rock; felsite. See Felsite.
euritic |Of or pelating to eurite.
euroclydon |A tempestuous northeast wind which blows in the Mediterranean. See Levanter. A tempestuous wind called Euroclydon. Acts xxvii. 14.
european |Of or pertaining to Europe, or to its inhabitants. On the European plain, having rooms to let, and leaving it optional with guests whether they will take meals in the house; -- said of hotels. [U. S.]\n\nA native or an inhabitant of Europe.
european concert |An agreement or understanding between the chief European powers to take only joint action in the (European) Eastern Question.
europeanize |To cause to become like the Europeans in manners or character; to habituate or accustom to European usages. A state of society . . . changed and Europenized. Lubbock.
europium |A metallic element of the rare-earth group, discovered spectroscopically by Demarcay in 1896. Symbol, Eu; at. wt., 152.0.
eurus |The east wind.
euryale |1. (Bot.)  A genus of water lilies, growing in India and China. The only species (E. ferox) is very prickly on the peduncles and calyx. The rootstocks and seeds are used as food. 2. (Zoöl)  A genus of ophiurans with much-branched arms.
euryalida |A tribe of Ophiuroidea, including the genera Euryale, Astrophyton, etc. They generally have the arms branched. See Astrophyton.
eurycerous |Having broad horns.
eurypteroid |Like, or pertaining to, the genus Euryperus.
eurypteroidea |An extinct order of Merostomata, of which the genus Eurypterus is the type. They are found only in Paleozoic rocks. [Written also Eurypterida.]
eurypterus |A genus of extinct Merostomata, found in Silurian rocks. Some of the species are more than three feet long.
eurythmy |1. (Fine Arts)  Just or harmonious proportion or movement, as in the composition of a poem, an edifice, a painting, or a statue. 2. (Med.)  Regularly of the pulse.
eusebian |A follower of Eusebius, bishop of Cæsarea, who was a friend and protector of Arius.
eustachian |(a) Discovered by Eustachius. (b) Pertaining to the Eustachian tube; as, Eustachian catheter. Eustachian catheter, a tubular instrument to be introduced into the Eustachian tube so as to allow of inflation of the middle ear through the nose or mouth. -- Eustrachian tube (Anat.), a passage from the tympanum of the ear to the pharynx. See Ear. -- Eustachian valve (Anat.), a crescent-shaped fold of the lining membrane of the heart at the entrance of the vena cava inferior. It directs the blood towards the left auricle in the fetus, but is rudimentary and functionless in the adult.
eustyle |See Intercolumnlation.
eutaxy |Good or established order or arrangement. [R.] E. Waterhouse.
eutectic |Of maximum fusibility; -- said of an alloy or mixture which has the lowest melting point which it is possible to obtain by the combination of the given components.
euterpe |1. (Class. Myth.)  The Muse who presided over music. 2. (Bot.)  A genus of palms, some species of which are elegant trees.
euterpean |Of or pertaining to Euterpe or to music.
eutexia |The principle or process of forming from given components the eutectic alloy, or alloy of maximum fusibility.
euthanasia |An easy death; a mode of dying to be desired. \"An euthanasia of all thought.\" Hazlitt. The kindest wish of my friends is euthanasia. Arbuthnot.
euthanasy |Same as Euthanasia.
euthiochroic |Pertaining to, or denoting, an acid so called. Euthiochroic acid (Chem.), a complex derivative of hydroquinone and sulphonic (thionic) acid. -- so called because it contains sulphur, and forms brilliantly colored (yellow) salts.
euthyneura |A large division of gastropod molluske, including the Pulmonifera and Opisthobranchiata.
eutrophy |Healthy nutrition; soundless as regards the nutritive functions.
eutychian |A follower of Eutyches [5th century], who held that the divine and the human in the person of Christ were blended together as to constitute but one nature; a monophysite; -- opposed to Nestorian.
eutychianism |The doctrine of Eutyches and his followers.
euxanthic |Having a yellow color; pertaining to, derived from, or resembling, euxanthin. Euxanthic acid (Chem.), a yellow, crystalline, organic acid, extracted from euxanthin.
euxanthin |A yellow pigment imported from India and China. It has a strong odor, and is said to be obtained from the urine of herbivorous animals when fed on the mango. It consists if a magnesium salt of euxanthic acid. Called also puri, purree, and Indian yellow.
euxenite |A brownish black mineral with a metallic luster, found in Norway. It contains niobium, titanium, yttrium, and uranium, with some other metals.
evacate |To empty. [Obs.] Harvey.
evacuant |Emptying; evacuative; purgative; cathartic. -- n. (Med.)  A purgative or cathartic.
evacuate |1. To make empty; to empty out; to remove the contents of; as, to evacuate a vessel or dish. 2. Fig.: To make empty; to deprive. [R.] Evacuate the Scriptures of their most important meaning. Coleriage. 3. To remove; to eject; to void; o discharge, as the contents of a vessel, or of the bowels. 4. To withdraw from; to quit; to retire from; as, soldiers from a country, city, or fortress. The Norwegians were forced to evacuate the country. Burke. 5. To make void; to nullify; to vacate; as, to evacuate a contract or marriage. [Obs.] Bacon.\n\nTo let blood [Obs.] Burton.
evacuation |1. The act of emptying, clearing of the contents, or discharging. Specifically: (a) (Mil.) Withdrawal of troops from a town, fortress, etc. (b) (Med.) Voidance of any matter by the natural passages of the body or by an artificial opening; defecation; also, a diminution of the fluids of an animal body by cathartics, venesection, or other means. 2. That which is evacuated or discharged; especially, a discharge by stool or other natural means. Quincy. 3. Abolition; nullification. [Obs.] Hooker. Evacuation day, the anniversary of the day on which the British army evacuated the city of New York, November 25, 1783.
evacuative |Serving of tending to evacuate; cathartic; purgative.
evacuator |One who evacuates; a nullifier. \"Evacuators of the law.\" Hammond.
evacuatory |A purgative.
evade |To get away from by artifice; to avoid by dexterity, subterfuge, address, or ingenuity; to elude; to escape from cleverly; as, to evade a blow, a pursuer, a punishment; to evade the force of an argument. The heathen had a method, more truly their own, of evading the Christian miracles. Trench.\n\n1. To escape; to slip away; -- sometimes with from. \"Evading from perils.\" Bacon. Unarmed they might Have easily, as spirits evaded swift By quick contraction or remove. Milton. 2. To attempt to escape; to practice artifice or sophistry, for the purpose of eluding. The ministers of God are not to evade and take refuge any of these . . . ways. South. Syn. - To equivocate; shuffle. See Prevaricate.
evadible |Capable of being evaded. [R.]
evagation |A wandering about; excursion; a roving. [R.] Ray.
evaginate |Protruded, or grown out, as an evagination; turned inside out; unsheathed; evaginated; as, an evaginate membrane.\n\nTo become evaginate; to cause to be evaginate.
evagination |The act of unsheathing.
eval |Relating to time or duration. [Obs.]
evaluate |To fix the value of; to rate; to appraise.
evaluation |Valuation; appraisement. J. S. Mill.
evanesce |To vanish away; to because dissipated and disappear, like vapor. I believe him to have evanesced or evaporated. De Quincey.
evanescence |The act or state of vanishing away; disappearance; as, the evanescence of vapor, of a dream, of earthly plants or hopes. Rambler.
evanescent |1. Liable to vanish or pass away like vapor; vanishing; fleeting; as, evanescent joys. So evanescent are the fashions of the world in these particulars. Hawthorne. 2. Vanishing from notice; imperceptible. The difference between right and wrong, is some petty cases, is almost evanescent. Wollaston.
evanescently |; imperceptibly. Chalmers.
evangel |Good news; announcement of glad tidings; especially, the gospel, or a gospel. Milton. Her funeral anthem is a glad evangel. Whittier.
evangelian |Rendering thanks for favors.
evangelic |Belonging to, or contained in, the gospel; evangelical. \"Evangelic truth.\" J. Foster.
evangelical |1. Contained in, or relating to, the four Gospels; as, the evangelical history. 2. Belonging to, agreeable or consonant to, or contained in, the gospel, or the truth taught in the New Testament; as, evangelical religion. 3. Earnest for the truth taught in the gospel; strict in interpreting Christian doctrine; preëminetly orthodox; -- technically applied to that party in the Church of England, and in the Protestant Episcopal Church, which holds the doctrine of \"Justification by Faith alone\"; the Low Church party. The term is also applied to other religion bodies not regarded as orthodox. Evangelical Alliance, an alliance for mutual strengthening and common work, comprising Christians of different denominations and countries, organized in Liverpool, England, in 1845. -- Evangelical Church. (a) The Protestant Church in Germany. (b) A church founded by a fusion of Lutherans and Calvinists in Germany in 1817. -- Evangelical Union, a religion sect founded in Scotland in 1843 by the Rev. James Morison; -- called also Morisonians.\n\nOne of evangelical principles.
evangelicalism |Adherence to evangelical doctrines; evangelism. G. Eliot.
evangelically |In an evangelical manner.
evangelicalness |State of being evangelical.
evangelicism |Evangelical principles; evangelism.
evangelicity |Evangelicism.
evangelism |The preaching or promulgation of the gospel. Bacon.
evangelist |A bringer of the glad tidings of Church and his doctrines. Specially: (a) A missionary preacher sent forth to prepare the way for a resident pastor; an itinerant missionary preacher. (b) A writer of one of the four Gospels (With the definite article); as, the four evangelists, Matthew, Mark, Luke, and John. (c) A traveling preacher whose efforts are chiefly directed to arouse to immediate repentance. The Apostles, so far as they evangelized, might claim the tittle though there were many evangelists who were not Apistles. Plumptre.
evangelistary |A selection of passages from the Gospels, as a lesson in divine service. Porson.
evangelistic |Pertaining to the four evangelists; designed or fitted to evangelize; evangelical; as, evangelistic efforts.
evangelization |The act of evangelizing; the state of being evangelized. The work of Christ's ministers is evangelization. Hobbes.
evangelize |To instruct in the gospel; to preach the gospel to; to convert to Christianity; as, to evangelize the world. His apostles whom he sends To evangelize the nations. Milton.\n\nTo preach the gospel.
evangely |Evangel. [Obs.] The sacred pledge of Christ's evangely. Spenser.
evangile |Good tidings; evangel. [R.] Above all, the Servians . . . read, with much avidity, the evangile of their freedom. Londor.
evanid |Liable to vanish or disappear; faint; weak; evanescent; as, evanid color. [Obs.] They are very transistory and evanid. Barrow.
evanish |To vanish. Or like the rainbow's lovely form, Evanishing amid the storm. Burns.
evanishment |A vanishing; disappearance. [R.] T. Jefferson.
evaporable |Capable of being converted into vapor, or dissipated by evaporation.
evaporate |1. To pass off in vapor, as a fluid; to escape and be dissipated, either in visible vapor, or in practice too minute to be visible. 2. To escape or pass off without effect; to be dissipated; to be wasted, as, the spirit of writer often evaporates in the process of translation. To give moderate liberty for griefs and discontents to evaporate . . . is a safe way. Bacon.\n\n1. To convert from a liquid or solid state into vapor (usually) by the agency of heat; to dissipate in vapor or fumes. 2. To expel moisture from (usually by means of artificial heat), leaving the solid portion; to subject to evaporation; as, to evaporate apples. 3. To give vent to; to dissipate. [R.] My lord of Essex evaporated his thoughts in a sonnet. Sir. H. Wotton. Evaporating surface (Steam Boilers), that part of the heating surface with which water is in contact.\n\nDispersed in vapors. Thomson.
evaporation |1. The process by which any substance is converted from a liquid state into, and carried off in, vapor; as, the evaporation of water, of ether, of camphor. 2. The transformation of a portion of a fluid into vapor, in order to obtain the fixed matter contained in it in a state of greater consistence. 3. That which is evaporated; vapor. 4. (Steam Engine)  See Vaporization.
evaporative |Pertaining to, or producing, evaporation; as, the evaporative process.
evaporator |An apparatus for condensing vegetable juices, or for drying fruit by heat.
evaporometer |An instrument for ascertaining the quantity of a fluid evaporated in a given time; an atmometer.
evasible |That may be evaded. [R.]
evasion |The act of eluding or avoiding, particularly the pressure of an argument, accusation, charge, or interrogation; artful means of eluding. Thou . . . by evasions thy crime uncoverest more. Milton. Syn. -- Shift; subterfuge; shuffling; prevarication; equivocation.
evasive |Tending to evade, or marked by evasion; elusive; shuffling; avoiding by artifice. Thus he, though conscious of the ethereal guest, Answered evasive of the sly request. Pope. Stammered out a few evasive phrases. Macaulay. -- E*va\"sive*ly , adv. -- E*va\"sive*ness, n.
eve |1. Evening. [Poetic] Winter oft, at eve resumes the breeze. Thomson. 2. The evening before a holiday, -- from the Jewish mode of reckoning the day as beginning at sunset. not at midnight; as, Christians eve is the evening before Christmas; also, the period immediately preceding some important event. \"On the eve of death.\" Keble. Eve churr (Zoöl), the European goatsucker or nightjar; -- called also night churr, and churr owl.
evectics |The branch of medical science which teaches the method of acquiring a good habit of body. [Obs.]
evection |1. The act of carrying up or away; exaltation. [Obs.] Bp. Pearson. 2. (Astron.) (a) An inequality of the moon's motion is its orbit to the attraction of the sun, by which the equation of the center is diminished at the syzygies, and increased at the quadratures by about 1º 20'. (b) The libration of the moon. Whewell.
