sesamoidal |Sesamoid.
seventeenth |1. Next in order after the sixteenth; coming after sixteen others. In . . . the seventeenth day of the month . . . were all the fountains of the great deep broken up. Gen. vii. 11. 2. Constituting or being one of seventeen equal parts into which anything is divided.\n\n1. The next in order after the sixteenth; one coming after sixteen others. 2. The quotient of a unit divided by seventeen; one of seventeen equal parts or divisions of one whole. 3. (Mus.)  An interval of two octaves and a third.
seventh |1. Next in order after the sixth;; coming after six others. On the seventh day, God ended his work which he had made; and he rested on the seventh day from all his work which he had made. Gen. ii. 2. 2. Constituting or being one of seven equal parts into which anything is divided; as, the seventh part. Seventh day, the seventh day of the week; Saturday. -- Seventh-day Baptists. See under Baptist.\n\n1. One next in order after the sixth; one coming after six others. 2. The quotient of a unit divided by seven; one of seven equal parts into which anything is divided. 3. (Mus.) (a) An interval embracing seven diatonic degrees of the scale. (b) A chord which includes the interval of a seventh whether major, minor, or diminished.
seventhly |In the seventh place.
seventieth |1. Next in order after the sixty-ninth; as, a man in the seventieth year of his age. 2. Constituting or being one of seventy equal parts.\n\n1. One next in order after the sixty-ninth. 2. The quotient of a unit divided by seventy; one of seventy equal parts or fractions.
seventy |Seven times ten; one more than sixty-nine.\n\n1. The sum of seven times ten; seventy units or objects. 2. A symbol representing seventy units, as 70, or lxx. The Seventy, the translators of the Greek version of the Old Testament called the Septuagint. See Septuagint.
seventy-four |A naval vessel carrying seventy-four guns.
sever |1. To separate, as one from another; to cut off from something; to divide; to part in any way, especially by violence, as by cutting, rending, etc.; as, to sever the head from the body. The angels shall come forth, and sever the wicked from among the just. Matt. xiii. 49. 2. To cut or break open or apart; to divide into parts; to cut through; to disjoin; as, to sever the arm or leg. Our state can not be severed; we are one. Milton. 3. To keep distinct or apart; to except; to exempt. I will sever in that day the land of Goshen, in which my people dwell, that no swarms of flies shall be there. Ex. viii. 22. 4. (Law)  To disunite; to disconnect; to terminate; as, to sever an estate in joint tenancy. Blackstone.\n\n1. To suffer disjunction; to be parted, or rent asunder; to be separated; to part; to separate. Shak. 2. To make a separation or distinction; to distinguish. The Lord shall sever between the cattle of Israel and the cattle of Egypt. Ex. ix. 4. They claimed the right of severing in their challenge. Macaulay.
severable |Capable of being severed. Encyc. Dict.
several |1. Separate; distinct; particular; single. Each several ship a victory did gain. Dryden. Each might his several province well command, Would all but stoop to what they understand. Pope. 2. Diverse; different; various. Spenser. Habits and faculties, several, and to be distinguished. Bacon. Four several armies to the field are led. Dryden. 3. Consisting of a number more than two, but not very many; divers; sundry; as, several persons were present when the event took place.\n\nBy itself; severally. [Obs.] Every kind of thing is laid up several in barns or storehoudses. Robynson (More's Utopia).\n\n1. Each particular taken singly; an item; a detail; an individual. [Obs.] There was not time enough to hear . . . The severals. Shak. 2. Persons oe objects, more than two, but not very many. Several of them neither rose from any conspicuous family, nor left any behind them. Addison. 3. An inclosed or separate place; inclosure. [Obs.] They had their several for heathen nations, their several for the people of their own nation. Hooker. In several, in a state of separation. [R.] \"Where pastures in several be.\" Tusser.
severality |Each particular taken singly; distinction. [Obs.] Bp. Hall.
severalize |To distinguish. [Obs.]
severally |Separately; distinctly; apart from others; individually. There must be an auditor to check and revise each severally by itself. De Quincey.
severalty |A state of separation from the rest, or from all others; a holding by individual right. Forests which had never been owned in severalty. Bancroft. Estate in severalty (Law), an estate which the tenant holds in his own right, without being joined in interest with any other person; -- distinguished from joint tenancy, coparcenary, and common. Blackstone.
severance |1. The act of severing, or the state of being severed; partition; separation. Milman. 2. (Law)  The act of dividing; the singling or severing of two or more that join, or are joined, in one writ; the putting in several or separate pleas or answers by two or more disjointly; the destruction of the unity of interest in a joint estate. Bouvier.
severe |1. Serious in feeeling or manner; sedate; grave; austere; not light, lively, or cheerful. Your looks alter, as your subject does, From kind to fierce, from wanton to severe. Waller. 2. Very strict in judgment, discipline, or government; harsh; not mild or indulgent; rigorous; as, severe criticism; severe punishment. \"Custody severe.\" Milton. Come! you are too severe a moraler. Shak. Let your zeal, if it must be expressed in anger, be always more severe against thyself than against others. Jer. Taylor. 3. Rigidly methodical, or adherent to rule or principle; exactly conformed to a standard; not allowing or employing unneccessary ornament, amplification, etc.; strict; -- said of style, argument, etc. \"Restrained by reason and severe principles.\" Jer. Taylor. The Latin, a most severe and compendious language. Dryden. 4. Sharp; afflictive; distressing; violent; extreme; as, severe pain, anguish, fortune; severe cold. 5. Difficult to be endured; exact; critical; rigorous; as, a severe test. Syn. -- Strict; grave; austere; stern; morose; rigid; exact; rigorous; hard; rough; harsh; censorious; tart; acrimonious; sarcastic; satirical; cutting; biting; keen; bitter; cruel. See Strict. -- Se*vere\"ly, adv. -- Se*vere\"ness, n.
severity |The quality or state of being severe. Specifically: -- (a) Gravity or austerity; extreme strictness; rigor; harshness; as, the severity of a reprimand or a reproof; severity of discipline or government; severity of penalties. \"Strict age, and sour severity.\" Milton. (b) The quality or power of distressing or paining; extreme degree; extremity; intensity; inclemency; as, the severity of pain or anguish; the severity of cold or heat; the severity of the winter. (c) Harshness; cruel treatment; sharpness of punishment; as, severity practiced on prisoners of war. (d) Exactness; rigorousness; strictness; as, the severity of a test. Confining myself to the severity of truth. Dryden.
severy |A bay or compartment of a vaulted ceiling. [Written also civery.]
sevocation |A calling aside. [Obs.]
sevres blue |A very light blue.
sevres ware |Porcelain manufactured at Sèvres, France, ecpecially in the national factory situated there.
sew |Juice; gravy; a seasoned dish; a delicacy. [Obs.] Gower. I will not tell of their strange sewes. Chaucer.\n\nTo follow; to pursue; to sue. [Obs.] Chaucer. Spenser.\n\n1. To unite or fasten together by stitches, as with a needle and thread. No man also seweth a piece of new cloth on an old garment. Mark ii. 21. 2. To close or stop by ssewing; -- often with up; as, to sew up a rip. 3. To inclose by sewing; -- sometimes with up; as, to sew money in a bag.\n\nTo practice sewing; to work with needle and thread.\n\nTo drain, as a pond, for taking the fish. [Obs.] Tusser.
sewage |1. The contents of a sewer or drain; refuse liquids or matter carried off by sewers 2. Sewerage, 2.
sewe |To perform the duties of a sewer. See 3d Sewer. [Obs.]
sewel |A scarecrow, generally made of feathers tied to a string, hung up to prevent deer from breaking into a place. Halliwell.
sewellel |A peculiar gregarious burrowing rodent (Haplodon rufus), native of the coast region of the Northwestern United States. It somewhat resembles a muskrat or marmot, but has only a rudimentary tail. Its head is broad, its eyes are small and its fur is brownish above, gray beneath. It constitutes the family Haplodontidæ. Called also boomer, showt'l, and mountain beaver.
sewen |A British trout usually regarded as a variety (var. Cambricus) of the salmon trout.
sewer |1. One who sews, or stitches. 2. (Zoöl.)  A small tortricid moth whose larva sews together the edges of a leaf by means of silk; as, the apple-leaf sewer (Phoxopteris nubeculana)\n\nA drain or passage to carry off water and filth under ground; a subterraneous channel, particularly in cities.\n\nFormerly, an upper servant, or household officer, who set on and removed the dishes at a feast, and who also brought water for the hands of the guests. Then the sewer Poured water from a great and golden ewer, That from their hands to a silver caldron ran. Chapman.
sewerage |1. The construction of a sewer or sewers. 2. The system of sewers in a city, town, etc.; the general drainage of a city or town by means of sewers. 3. The material collected in, and discharged by, sewers. [In this sense sewage is preferable and common.]
sewin |Same as Sewen.
sewing |1. The act or occupation of one who sews. 2. That which is sewed with the needle. Sewing horse (Harness making), a clamp, operated by the foot, for holding pieces of leather while being sewed. -- Sewing machine, a machine for sewing or stitching. -- Sewing press, or Sewing table (Bookbinding), a fixture or table having a frame in which are held the cords to which the back edges of folded sheets are sewed to form a book.
sewster |A seamstress. [Obs.] B. Jonson.
sex |1. The distinguishing peculiarity of male or female in both animals and plants; the physical difference between male and female; the assemblage of properties or qualities by which male is distinguished from female. 2. One of the two divisions of organic beings formed on the distinction of male and female. 3. (Bot.) (a) The capability in plants of fertilizing or of being fertilized; as, staminate and pistillate flowers are of opposite sexes. (b) One of the groups founded on this distinction. The sex, the female sex; women, in general.
sex- |A combining form meaning six; as, sexdigitism; sexennial.
sexagenarian |A person who is sixty years old.
sexagenary |Pertaining to, or designating, the number sixty; poceeding by sixties; sixty years old. Sexagenary arithmetic. See under Sexagesimal. -- Sexagenary, or Sexagesimal, scale (Math.), a scale of numbers in which the modulus is sixty. It is used in treating the divisions of the circle.\n\n1. Something composed of sixty parts or divisions. 2. A sexagenarian. Sir W. Scott.
sexagesima |The second Sunday before Lent; -- so called as being about the sixtieth day before Easter.
sexagesimal |Pertaining to, or founded on, the number sixty. Sexagesimal fractions or numbers (Arith. & Alg.), those fractions whose denominators are some power of sixty; as, astronomical fractions, because formerly there were no others used in astronomical calculations. -- Sexagesimal, or Sexagenary, arithmetic, the method of computing by the sexagenary scale, or by sixties. -- Sexagesimal scale (Math.), the sexagenary scale.\n\nA sexagesimal fraction.
sexangle |A hexagon. [R.] Hutton.
sexangled |Having six angles; hexagonal. [R.] Dryden.
sexangular |Having six angles; hexagonal. [R.] Dryden.
sexangularly |Hexagonally. [R.]
sexavalent |See Sexivalent. [R.]
sexdigitism |The state of having six fingers on a hand, or six toes on a foot.
sexdigitist |One who has six fingers on a hand, or six toes on a foot.
sexed |Belonging to sex; having sex; distinctively male of female; as, the sexed condition.
sexenary |Proceeding by sixes; sextuple; -- applied especially to a system of arithmetical computation in which the base is six.
sexennial |Lasting six years, or happening once in six years. -- n.  A sexennial event.
sexennially |Once in six years.
sexfid |Six-cleft; as, a sexfid calyx or nectary.
sexifid |Six-cleft; as, a sexfid calyx or nectary.
sexisyllabic |Having six syllables. Emerson.
sexisyllable |A word of six syllables.
sexivalent |Hexavalent. [R.]
sexless |Having no sex.
sexlocular |Having six cells for seeds; six-celled; as, a sexlocular pericarp.
sexly |Pertaining to sex. [R.] Should I ascribe any of these things unto myself or my sexly weakness, I were not worthy to live. Queen Elizabeth.
sexradiate |Having six rays; -- said of certain sponge spicules. See Illust. of Spicule.
sext |(a) The office for the sixth canonical hour, being a part of the Breviary. (b) The sixth book of the decretals, added by Pope Boniface VIII.
sextain |A stanza of six lines; a sestine.
sextans |1. (Rom. Antiq.)  A Roman coin, the sixth part of an as. 2. (Astron.)  A constellation on the equator south of Leo; the Sextant.
sextant |1. (Math.)  The sixth part of a circle. 2. An instrument for measuring angular distances between objects, -- used esp. at sea, for ascertaining the latitude and longitude. It is constructed on the same optical principle as Hadley's quadrant, but usually of metal, with a nicer graduation, telescopic sight, and its arc the sixth, and sometimes the third, part of a circle. See Quadrant. 3. (Astron.)  The constellation Sextans. Box sextant, a small sextant inclosed in a cylindrical case to make it more portable.
sextary |An ancient Roman liquid and dry measure, about equal to an English pint.\n\nA sacristy. [Obs.]
sextet |See Sestet.
sextetto |See Sestet.
sexteyn |A sacristan. [Obs.] Chaucer.
sextic |Of the sixth degree or order. -- n. (Alg.)  A quantic of the sixth degree.
sextile |Measured by sixty degrees; fixed or indicated by a distance of sixty degrees. Glanvill.\n\nThe aspect or position of two planets when distant from each other sixty degrees, or two signs. This position is marked thus: Hutton.
sextillion |According to the method of numeration (which is followed also in the United States), the number expressed by a unit with twenty-one ciphers annexed. According to the English method, a million raised to the sixth power, or the number expressed by a unit with thirty-six ciphers annexed. See Numeration.
sexto |A book consisting of sheets each of which is folded into six leaves.
sextodecimo |Having sixteen leaves to a sheet; of, or equal to, the size of one fold of a sheet of printing paper when folded so as to make sixteen leaves, or thirty-two pages; as, a sextodecimo volume.\n\nA book composed of sheets each of which is folded into sixteen leaves; hence, indicating, more or less definitely, a size of a book; -- usually written 16mo, or 16º.
sextolet |A double triplet; a group of six equal notes played in the time of four.
sexton |An under officer of a church, whose business is to take care of the church building and the vessels, vestments, etc., belonging to the church, to attend on the officiating clergyman, and to perform other duties pertaining to the church, such as to dig graves, ring the bell, etc. Sexton beetle (Zoöl.), a burying beetle.
sextoness |A female sexton; a sexton's wife.
sextonry |Sextonship. [Obs.] Ld. Bernes.
sextonship |The office of a sexton. Swift.
sextry |See Sacristy. [Obs.]
sextuple |1. Six times as much; sixfold. 2. (Mus.)  Divisible by six; having six beats; as, sixtuple measure.
sexual |Of or pertaining to sex, or the sexes; distinguishing sex; peculiar to the distinction and office of male or female; relating to the distinctive genital organs of the sexes; proceeding from, or based upon, sex; as, sexual characteristics; sexual intercourse, connection, or commerce; sexual desire; sexual diseases; sexual generation. Sexual dimorphism (Biol.), the condition of having one of the sexes existing in two forms, or varieties, differing in color, size, etc., as in many species of butterflies which have two kinds of females. -- Sexual method (Bot.), a method of classification proposed by Linnæus, founded mainly on difference in number and position of the stamens and pistils of plants. -- Sexual selection (Biol.), the selective preference of one sex for certain characteristics in the other, such as bright colors, musical notes, etc.; also, the selection which results from certain individuals of one sex having more opportunities of pairing with the other sex, on account of greater activity, strength, courage, etc.; applied likewise to that kind of evolution which results from such sexual preferences. Darwin. In these cases, therefore, natural selection seems to have acted independently of sexual selection. A. R. Wallace.
sexualist |One who classifies plants by the sexual method of Linnæus.
sexuality |The quality or state of being distinguished by sex. Lindley.
sexualize |To attribute sex to.
sexually |In a sexual manner or relation.
sey |of See. Chaucer.
seye |of See.
seyen |of See.
seyh |of See. Chaucer.
seynd |of Senge, to singe. Chaucer.
seynt |A gridle. See 1st Seint. [Obs.]
sforzando |Forcing or forced; -- a direction placed over a note, to signify that it must be executed with peculiar emphasis and force; -- marked fz (an abbreviation of forzando), sf, sfz, or
sforzato |Forcing or forced; -- a direction placed over a note, to signify that it must be executed with peculiar emphasis and force; -- marked fz (an abbreviation of forzando), sf, sfz, or
sfumato |Having vague outlines, and colors and shades so mingled as to give a misty appearance; -- said of a painting.
sgraffito |Scratched; -- said of decorative painting of a certain style, in which a white overland surface is cut or scratched through, so as to form the design from a dark ground underneath.
shab |The itch in animals; also, a scab. [Obs. or Prov. Eng.]\n\nTo play mean tricks; to act shabbily. [Obs. or Prov.Eng.]\n\nTo scratch; to rub. [Obs.] Farquhar.
shabbed |Shabby. [Obs.] Wood.
shabbily |In a shabby manner.
shabbiness |The quality or state of being sghabby.
shabble |A kind of crooked sword or hanger. [Scot.]\n\nA kind of crooked sword or hanger. [Scot.]
shabby |1. Torn or worn to rage; poor; mean; ragged. Wearing shabby coats and dirty shirts. Macaulay. 2. Clothed with ragged, much worn, or soiled garments. \"The dean was so shabby.\" Swift. 3. Mean; paltry; despicable; as, shabby treatment. \"Very shabby fellows.\" Clarendon.
shabrack |The saddlecloth or housing of a cavalry horse.
shack |1. To shed or fall, as corn or grain at harvest. [Prov. Eng.] Grose. 2. To feed in stubble, or upon waste corn. [Prov. Eng.] 3. To wander as a vagabond or a tramp. [Prev.Eng.]\n\n1. The grain left after harvest or gleaning; also, nuts which have fallen to the ground. [Prov. Eng.] 2. Liberty of winter pasturage. [Prov. Eng.] 3. A shiftless fellow; a low, itinerant beggar; a vagabond; a tramp. [Prov. Eng. & Colloq. U.S.] Forby. All the poor old shacks about the town found a friend in Deacon Marble. H. W. Beecher. Common of shack (Eng.Law), the right of persons occupying lands lying together in the same common field to turn out their cattle to range in it after harvest. Cowell.
shackatory |A hound. [Obs.]
shackle |Stubble. [Prov. Eng.] Pegge.\n\n1. Something which confines the legs or arms so as to prevent their free motion; specifically, a ring or band inclosing the ankle or wrist, and fastened to a similar shackle on the other leg or arm, or to something else, by a chain or a strap; a gyve; a fetter. His shackles empty left; himself escaped clean. Spenser. 2. Hence, that which checks or prevents free action. His very will seems to be in bonds and shackles. South. 3. A fetterlike band worn as an ornament. Most of the men and women . . . had all earrings made of gold, and gold shackles about their legs and arms. Dampier. 4. A link or loop, as in a chain, fitted with a movable bolt, so that the parts can be separated, or the loop removed; a clevis. 5. A link for connecting railroad cars; -- called also drawlink, draglink, etc. 6. The hinged and curved bar of a padlock, by which it is hung to the staple. Knight. Shackle joint (Anat.), a joint formed by a bony ring passing through a hole in a bone, as at the bases of spines in some fishes.\n\n1. To tie or confine the limbs of, so as to prevent free motion; to bind with shackles; to fetter; to chain. To lead him shackled, and exposed to scorn Of gathering crowds, the Britons' boasted chief. J. Philips. 2. Figuratively: To bind or confine so as to prevent or embarrass action; to impede; to cumber. Shackled by her devotion to the king, she seldom could pursue that object. Walpole. 3. To join by a link or chain, as railroad cars. [U. S.] Shackle bar, the coupling between a locomotive and its tender. [U.S.] -- Shackle bolt, a shackle. Sir W. Scott.
shacklock |A sort of shackle. [Obs.]
shackly |Shaky; rickety. [Colloq. U. S.]
shad |Any one of several species of food fishes of the Herring family. The American species (Clupea sapidissima), which is abundant on the Atlantic coast and ascends the larger rivers in spring to spawn, is an important market fish. The European allice shad, or alose (C. alosa), and the twaite shad. (C. finta), are less important species. [Written also chad.] Note: The name is loosely applied, also, to several other fishes, as the gizzard shad (see under Gizzard), called also mud shad, white- eyed shad, and winter shad. Hardboaded, or Yellow-tailed, shad, the menhaden. -- Hickory, or Tailor, shad, the mattowacca. -- Long-boned shad, one of several species of important food fishes of the Bermudas and the West Indies, of the genus Gerres. -- Shad bush (Bot.), a name given to the North American shrubs or small trees of the rosaceous genus Amelanchier (A. Canadensis, and A. alnifolia) Their white racemose blossoms open in April or May, when the shad appear, and the edible berries (pomes) ripen in June or July, whence they are called Juneberries. The plant is also called service tree, and Juneberry. -- Shad frog, an American spotted frog (Rana halecina); -- so called because it usually appears at the time when the shad begin to run in the rivers. -- Trout shad, the squeteague. -- White shad,the common shad.
shad-spirit |See Shadbird (a)
shad-waiter |A lake whitefish; the roundfish. See Roundfish.
shadbird |(a) The American, or Wilson's, snipe. See under Snipe. So called because it appears at the same time as the shad. (b) The common European sandpiper. [Prov. Eng.]
shadd |Rounded stones containing tin ore, lying at the surface of the ground, and indicating a vein. Raymond.
shadde |obs. imp. of Shed. Chaucer.
shaddock |A tree (Citrus decumana) and its fruit, which is a large species of orange; -- called also forbidden fruit, and pompelmous.
shade |1. Comparative obscurity owing to interception or interruption of the rays of light; partial darkness caused by the intervention of something between the space contemplated and the source of light. Note: Shade differs from shadow as it implies no particular form or definite limit; whereas a shadow represents in form the object which intercepts the light. When we speak of the shade of a tree, we have no reference to its form; but when we speak of measuring a pyramid or other object by its shadow, we have reference to its form and extent. 2. Darkness; obscurity; -- often in the plural. The shades of night were falling fast. Longfellow. 3. An obscure place; a spot not exposed to light; hence, a secluded retreat. Let us seek out some desolate shade, and there Weep our sad bosoms empty. Shak. 4. That which intercepts, or shelters from, light or the direct rays of the sun; hence, also, that which protects from heat or currents of air; a screen; protection; shelter; cover; as, a lamp shade. The Lord is thy shade upon thy right hand. Ps. cxxi. 5. Sleep under a fresh tree's shade. Shak. Let the arched knife well sharpened now assail the spreading shades of vegetables. J. Philips. 5. Shadow. [Poetic.] Envy will merit, as its shade, pursue. Pope. 6. The soul after its separation from the body; -- so called because the ancients it to be perceptible to the sight, though not to the touch; a spirit; a ghost; as, the shades of departed heroes. Swift as thought the flitting shade Thro' air his momentary journey made. Dryden. 7. (Painting, Drawing, etc.)  The darker portion of a picture; a less illuminated part. See Def. 1, above. 8. Degree or variation of color, as darker or lighter, stronger or paler; as, a delicate shade of pink. White, red, yellow, blue, with their several degrees, or shades and mixtures, as green only in by the eyes. Locke. 9. A minute difference or variation, as of thought, belief, expression, etc.; also, the quality or degree of anything which is distinguished from others similar by slight differences; as, the shades of meaning in synonyms. New shades and combinations of thought. De Quincey. Every shade of religious and political opinion has its own headquarters. Macaulay. The Shades, the Nether World; the supposed abode of souls after leaving the body.\n\n1. To shelter or screen by intercepting the rays of light; to keep off illumination from. Milton. I went to crop the sylvan scenes, And shade our altars with their leafy greens. Dryden. 2. To shelter; to cover from injury; to protect; to screen; to hide; as, to shade one's eyes. Ere in our own house I do shade my head. Shak. 3. To obscure; to dim the brightness of. Thou shad'st The full blaze of thy beams. Milton. 4. To pain in obscure colors; to darken. 5. To mark with gradations of light or color. 6. To present a shadow or image of; to shadow forth; to represent. [Obs.] [The goddess] in her person cunningly did shade That part of Justice which is Equity. Spenser.
shadeful |Full of shade; shady.
shadeless |Being without shade; not shaded.
shader |One who, or that which, shades.
shadily |In a shady manner.
shadiness |, n. Quality or state of being shady.
shading |1. Act or process of making a shade. 2. That filling up which represents the effect of more or less darkness, expressing rotundity, projection, etc., in a picture or a drawing.
shadoof |A machine, resembling a well sweep, used in Egypt for raising water from the Nile for irrigation.
shadow |1. Shade within defined limits; obscurity or deprivation of light, apparent on a surface, and representing the form of the body which intercepts the rays of light; as, the shadow of a man, of a tree, or of a tower. See the Note under Shade, n., 1. 2. Darkness; shade; obscurity. Night's sable shadows from the ocean rise. Denham. 3. A shaded place; shelter; protection; security. In secret shadow from the sunny ray, On a sweet bed of lilies softly laid. Spenser. 4. A reflected image, as in a mirror or in water. Shak. 5. That which follows or attends a person or thing like a shadow; an inseparable companion; hence, an obsequious follower. Sin and her shadow Death. Milton. 6. A spirit; a ghost; a shade; a phantom. \"Hence, horrible shadow!\" Shak. 7. An imperfect and faint representation; adumbration; indistinct image; dim bodying forth; hence, mystical reprresentation; type. The law having a shadow of good things to come. Heb. x. 1. [Types] and shadows of that destined seed. Milton. 8. A small degree; a shade. \"No variableness, neither shadow of turning.\" James i. 17. 9. An uninvited guest coming with one who is invited. [A Latinism] Nares. I must not have my board pastered with shadows That under other men's protection break in Without invitement. Massinger. Shadow of death, darkness or gloom like that caused by the presence or the impending of death. Ps. xxiii. 4.\n\n1. To cut off light from; to put in shade; to shade; to throw a shadow upon; to overspead with obscurity. The warlike elf much wondered at this tree, So fair and great, that shadowed all the ground. Spenser. 2. To conceal; to hide; to screen. [R.] Let every soldier hew him down a bough. And bear't before him; thereby shall we shadow The numbers of our host. Shak. 3. To protect; to shelter from danger; to shroud. Shadoving their right under your wings of war. Shak. 4. To mark with gradations of light or color; to shade. 5. To represent faintly or imperfectly; to adumbrate; hence, to represent typically. Augustus is shadowed in the person of Dryden. 6. To cloud; to darken; to cast a gloom over. The shadowed livery of the burnished sun. Shak. Why sad I must not see the face O love thus shadowed. Beau & Fl. 7. To attend as closely as a shadow; to follow and watch closely, especially in a secret or unobserved manner; as, a detective shadows a criminal.
shadowiness |The quality or state of being shadowy.
shadowing |1. Shade, or gradation of light and color; shading. Feltham. 2. A faint representation; an adumbration. There are . . . in savage theology shadowings, quaint or majestic, of the conception of a Supreme Deity. Tylor.
shadowish |Shadowy; vague. [Obs.] Hooker.
shadowless |Having no shadow.
shadowy |1. Full of shade or shadows; causing shade or shadow. \"Shadowy verdure.\" Fenton. This shadowy desert, unfrequented woods. Shak. 2. Hence, dark; obscure; gloomy; dim. \"The shadowy past.\" Longfellow. 3. Not brightly luminous; faintly light. The moon . . . with more pleasing light, Shadowy sets off the face things. Milton. 4. Faintly representative; hence, typical. From sshadowy types to truth, from flesh to spirit. Milton. 5. Unsubstantial; unreal; as, shadowy honor. Milton has brought into his poems two actors of a shadowy and fictitious nature, in the persons of Sin and Death. Addison.
shadrach |A mass of iron on which the operation of smelting has failed of its intended effect; -- so called from Shadrach, one of the three Hebrews who came forth unharmed from the fiery furnace of Nebuchadnezzar. (See Dan. iii. 26, 27.)
shady |1. Abounding in shade or shades; overspread with shade; causing shade. The shady trees cover him with their shadow. Job. xl. 22. And Amaryllis fills the shady groves. Dryden. 2. Sheltered from the glare of light or sultry heat. Cast it also that you may have rooms shady for summer and warm for winter. Bacon. 3. Of or pertaining to shade or darkness; hence, unfit to be seen or known; equivocal; dubious or corrupt. [Colloq.] \"A shady business.\" London Sat. Rev. Shady characters, disreputable, criminal. London Spectator. On the shady side of, on the thither side of; as, on the shady side of fifty; that is, more than fifty. [Colloq.] -- To keep shady, to stay in concealment; also, to be reticent. [Slang]
shaffle |To hobble or limp; to shuffle. [Obs. or Prov.Eng.]
shaffler |A hobbler; one who limps; a shuffer. [Obs. or Prov.Eng.]
shafiite |A member of one of the four sects of the Sunnites, or Orthodox Mohammedans; -- so called from its founder, Mohammed al-Shafeï.
shaft |1. The slender, smooth stem of an arrow; hence, an arrow. His sleep, his meat, his drink, is him bereft, That lean he wax, and dry as is a shaft. Chaucer. A shaft hath three principal parts, the stele [stale], the feathers, and the head. Ascham. 2. The long handle of a spear or similar weapon; hence, the weapon itself; (Fig.) anything regarded as a shaft to be thrown or darted; as, shafts of light. And the thunder, Winged with red lightning and impetuous rage, Perhaps hath spent his shafts. Milton. Some kinds of literary pursuits . . . have been attacked with all the shafts of ridicule. V. Knox. 3. That which resembles in some degree the stem or handle of an arrow or a spear; a long, slender part, especially when cylindrical. Specifically: (a) (Bot.) The trunk, stem, or stalk of a plant. (b) (Zoöl.) The stem or midrib of a feather. See Illust. of Feather. (c) The pole, or tongue, of a vehicle; also, a thill. (d) The part of a candlestick which supports its branches. Thou shalt make a candlestick of pure gold . . . his shaft, and his branches, his bowls, his knops, and his flowers, shall be of the same. Ex. xxv. 31. (e) The handle or helve of certain tools, instruments, etc., as a hammer, a whip, etc. (f) A pole, especially a Maypole. [Obs.] Stow. (g) (Arch.) The body of a column; the cylindrical pillar between the capital and base (see Illust. of Column). Also, the part of a chimney above the roof. Also, the spire of a steeple. [Obs. or R.] Gwilt. (h) A column, an obelisk, or other spire-shaped or columnar monument. Bid time and nature gently spare The shaft we raise to thee. Emerson. (i) (Weaving)  A rod at the end of a heddle. (j) (Mach.) A solid or hollow cylinder or bar, having one or more journals on which it rests and revolves, and intended to carry one or more wheels or other revolving parts and to transmit power or motion; as, the shaft of a steam engine. See Illust. of Countershaft. 4. (Zoöl.)  A humming bird (Thaumastura cora) having two of the tail feathers next to the middle ones very long in the male; -- called also cora humming bird. 5. Etym: [Cf. G. schacht.] (Mining)  A well-like excavation in the earth, perpendicular or nearly so, made for reaching and raising ore, for raising water, etc. 6. A long passage for the admission or outlet of air; an air shaft. 7. The chamber of a blast furnace. Line shaft (Mach.), a main shaft of considerable length, in a shop or factory, usually bearing a number of pulleys by which machines are driven, commonly by means of countershafts; -- called also line, or main line. -- Shaft alley (Naut.), a passage extending from the engine room to the stern, and containing the propeller shaft. -- Shaft furnace (Metal.), a furnace, in the form of a chimney, which is charged at the top and tapped at the bottom.
shafted |1. Furnished with a shaft, or with shafts; as, a shafted arch. 2. (Her.)  Having a shaft; -- applied to a spear when the head and the shaft are of different tinctures.
shafting |Shafts, collectivelly; a system of connected shafts for communicating motion.
shaftman |A measure of about six inches. [Obs.]
shaftment |A measure of about six inches. [Obs.]
shag |1. Coarse hair or nap; rough, woolly hair. True Witney broadcloth, with its shag unshorn. Gay. 2. A kind of cloth having a long, coarse nap. 3. (Com.)  A kind of prepared tobacco cut fine. 4. (Zoöl.)  Any species of cormorant.\n\nHairy; shaggy. Shak.\n\nTo make hairy or shaggy; hence, to make rough. Shag the green zone that bounds the boreal skies. J. Barlow.
shag-haired |Having shaggy hair. Shak.
shag-rag |The unkempt and ragged part of the community. [Colloq. or Slang.] R. Browning.
shagbark |A rough-barked species of hickory (Carya alba), its nut. Called also shellbark. See Hickory. (b) The West Indian Pithecolobium micradenium, a legiminous tree with a red coiled-up pod.
shagebush |A sackbut. [Obs.]
shagged |Shaggy; rough. Milton. -- Shag\"ged*ness, n. Dr. H. More.
shagginess |The quality or state of being shaggy; roughness; shaggedness.
shaggy |Rough with long hair or wool. About his shoulders hangs the shaggy skin. Dryden. 2. Rough; rugged; jaggy. Milton. [A rill] that winds unseen beneath the shaggy fell. Keble.
shagreen |To chagrin. [Obs.]\n\n1. A kind of untanned leather prepared in Russia and the East, from the skins of horses, asses, and camels, and grained so as to be covered with small round granulations. This characteristic surface is produced by pressing small seeds into the grain or hair side when moist, and afterward, when dry, scraping off the roughness left between them, and then, by soaking, causing the portions of the skin which had been compressed or indented by the seeds to swell up into relief. It is used for covering small cases and boxes. 2. The skin of various small sharks and other fishes when having small, rough, bony scales. The dogfishes of the genus Scyllium furnish a large part of that used in the arts.\n\n1. Made or covered with the leather called shagreen. \"A shagreen case of lancets.\" T. Hook. 2. (Zoöl.)  Covered with rough scales or points like those on shagreen.
