wastorel |See Wastrel. [Obs.]
water thermometer |A thermometer filled with water instead of mercury, for ascertaining the precise temperature at which water attains its maximum density. This is about 39º Fahr., or 4º Centigrade; and from that point down to 32º Fahr., or 0º Centigrade, or the freezing point, it expands.
water thief |A pirate. [R.] Shak.
water thrush |(a) A North American bird of the genus Seiurus, belonging to the Warbler family, especially the common species (S. Noveboracensis). (b) The European water ousel. (b) The pied wagtail.
water thyme |See Anacharis.
water tick |Same as Water mite.
water tiger |A diving, or water, beetle, especially the larva of a water beetle. See Illust. b of Water beetle.
water torch |The common cat-tail (Typha latifolia), the spike of which makes a good torch soaked in oil. Dr. Prior.
water tower |A large metal pipe made to be extended vertically by sections, and used for discharging water upon burning buildings.
water tree |A climbing shrub (Tetracera alnifolia, or potatoria) of Western Africa, which pours out a watery sap from the freshly cut stems.
water trefoil |The buck bean.
water tu tuyere |A tuyère kept cool by water circulating within a casing. It is used for hot blast.
water tu twist |Yarn made by the throstle, or water frame.
water tube |One of a system of tubular excretory organs having external openings, found in many invertebrates. They are believed to be analogous in function to the kidneys of vertebrates. See Illust. under Trematodea, and Sporocyst.
water tupelo |A species of large tupelo (Nyssa aquatica) growing in swamps in the southern of the United States. See Ogeechee lime.
water turkey |The American snakebird. See Snakebird.
water vine |Any plant of the genus Phytocrene, climbing shrubs of Asia and Africa, the stems of which are singularly porous, and when cut stream with a limpid potable juice.
water violet |See under Violet.
water viper |See Water moccasin.
water vole |See under Vole.
water wagtail |See under Wagtail.
water way |Same as Water course.
water wheel |1. Any wheel for propelling machinery or for other purposes, that is made to rotate by the direct action of water; -- called an overshot wheel when the water is applied at the top, an undershot wheel when at the bottom, a breast wheel when at an intermediate point; other forms are called reaction wheel, vortex wheel, turbine wheel, etc. 2. The paddle wheel of a steam vessel. 3. A wheel for raising water; a noria, or the like.
water willow |An American aquatic plant (Dianthera Americana) with long willowlike leaves, and spikes of small purplish flowers.
water wing |One of two walls built on either side of the junction of a bridge with the bank of a river, to protect the abutment of the bridge and the bank from the action of the current.
water witch |(a) The dabchick. (b) The stormy petrel. [Prov. Eng.]
water-bearer |The constellation Aquarius.
water-bound |Prevented by a flood from proceeding.
water-closet |A privy; especially, a privy furnished with a contrivance for introducing a stream of water to cleanse it.
water-colorist |One who paints in water colors.
water-furrow |To make water furrows in.
water-laid |Having a left-hand twist; -- said of cordage; as, a water-laid, or left-hand, rope.
water-logged |Filled or saturated with water so as to be heavy, unmanageable, or loglike; -- said of a vessel, when, by receiving a great quantity of water into her hold, she has become so heavy as not to be manageable by the helm.
water-ret |To ret, or rot, in water, as flax; to water-rot.
water-rot |To rot by steeping in water; to water-ret; as, to water-rot hemp or flax.
water-soak |To soak water; to fill the interstices of with water.
water-standing |Tear-filled. [R.] \"Many an orphan's water-standing eye.\" Shak.
water-tight |So tight as to retain, or not to admit, water; not leaky.
water-white |A vinelike plant (Vitis Caribæa) growing in parched districts in the West Indies, and containing a great amount of sap which is sometimes used for quenching thirst.
water-withe |A vinelike plant (Vitis Caribæa) growing in parched districts in the West Indies, and containing a great amount of sap which is sometimes used for quenching thirst.
waterage |Money paid for transportation of goods, etc., by water. [Eng.]
waterboard |A board set up to windward in a boat, to keep out water. Ham. Nav. Encyc.
waterbok |A water buck.
watercourse |One of the holes in floor or other plates to permit water to flow through.
waterer |One who, or that which, waters.
waterfall |1. A fall, or perpendicular descent, of the water of a river or stream, or a descent nearly perpendicular; a cascade; a cataract. 2. (Hairdressing)  An arrangement of a woman's back hair over a cushion or frame in some resemblance to a waterfall. 3. A certain kind of neck scarf. T. Hughes.
waterflood |A flood of water; an inundation.
waterfowl |Any bird that frequents the water, or lives about rivers, lakes, etc., or on or near the sea; an aquatic fowl; -- used also collectively. Note: Of aquatic fowls, some are waders, or furnished with long legs; others are swimmers, or furnished with webbed feet.
waterhorse |A pile of salted fish heaped up to drain.
waterie |The pied wagtail; -- so called because it frequents ponds.
wateriness |The quality or state of being watery; moisture; humidity.
watering |a. & n. from Water, v. Watering call (Mil.), a sound of trumpet or bugle summoning cavalry soldiers to assemble for the purpose of watering their horses. -- Watering cart, a sprinkling cart. See Water. -- Watering place. (a) A place where water may be obtained, as for a ship, for cattle, etc. (b) A place where there are springs of medicinal water, or a place by the sea, or by some large body of water, to which people resort for bathing, recreation, boating, etc. -- Watering pot. (a) A kind of bucket fitted with a rose, or perforated nozzle, -- used for watering flowers, paths, etc. (b) (Zoöl.) Any one of several species of marine bivalve shells of the genus Aspergillum, or Brechites. The valves are small, and consolidated with the capacious calcareous tube which incases the entire animal. The tube is closed at the anterior end by a convex disk perforated by numerous pores, or tubules, and resembling the rose of a watering pot. -- Watering trough, a trough from which cattle, horses, and other animals drink.
waterish |1. Resembling water; thin; watery. Feed upon such nice and waterish diet. Shak. 2. Somewhat watery; moist; as, waterish land.
waterishness |The quality of being waterish.
waterlander |One of a body of Dutch Anabaptists who separated from the Mennonites in the sixteenth century; -- so called from a district in North Holland denominated Waterland.
waterlandian |One of a body of Dutch Anabaptists who separated from the Mennonites in the sixteenth century; -- so called from a district in North Holland denominated Waterland.
waterleaf |Any plant of the American genus Hydrophyllum, herbs having white or pale blue bell-shaped flowers. Gray.
waterless |Destitute of water; dry. Chaucer.
waterman |1. A man who plies for hire on rivers, lakes, or canals, or in harbors, in distinction from a seaman who is engaged on the high seas; a man who manages fresh-water craft; a boatman; a ferryman. 2. An attendant on cab stands, etc., who supplies water to the horses. [Eng.] Dickens. 3. A water demon. Tylor.
watermanship |1. The business or skill of a waterman. 2.  Art of, or skill in, rowing; oarsmanship; specif., skill in managing the blade in the water, as distinguished from managing arms, body, etc., in the stroke.
watermark |1. A mark indicating the height to which water has risen, or at which it has stood; the usual limit of high or low water. 2. A letter, device, or the like, wrought into paper during the process of manufacture. Note: \"The watermark in paper is produced by bending the wires of the mold, or by wires bent into the shape of the required letter or device, and sewed to the surface of the mold; -- it has the effect of making the paper thinner in places. The old makers employed watermarks of an eccentric kind. Those of Caxton and other early printers were an oxhead and star, a collared dog's head, a crown, a shield, a jug, etc. A fool's cap and bells, employed as a watermark, gave the name to foolscap paper; a postman's horn, such as was formerly in use, gave the name to post paper.\" Tomlinson. 3. (Naut.)  See Water line, 2. [R.]
watermelon |The very large ovoid or roundish fruit of a cucurbitaceous plant (Citrullus vulgaris) of many varieties; also, the plant itself. The fruit sometimes weighs many pounds; its pulp is usually pink in color, and full of a sweet watery juice. It is a native of tropical Africa, but is now cultivated in many countries. See Illust. of Melon.
waterpot |A vessel for holding or conveying water, or for sprinkling water on cloth, plants, etc.
waterproof |Proof against penetration or permeation by water; impervious to water; as, a waterproof garment; a waterproof roof.\n\n1. A substance or preparation for rendering cloth, leather, etc., impervious to water. 2. Cloth made waterproof, or any article made of such cloth, or of other waterproof material, as rubber; esp., an outer garment made of such material.\n\nTo render impervious to water, as cloth, leather, etc.
waterproofing |1. The act or process of making waterproof. 2. Same as Waterproof, n., 1.
waterscape |A sea view; -- distinguished from landscape. [Jocose] Fairholt.
watershed |1. The whole region or extent of country which contributes to the supply of a river or lake. 2. The line of division between two adjacent rivers or lakes with respect to the flow of water by natural channels into them; the natural boundary of a basin.
watershoot |1. A sprig or shoot from the root or stock of a tree. [Obs.] 2. (Arch.)  That which serves to guard from falling water; a drip or dripstone. 3. A trough for discharging water.
waterspout |A remarkable meteorological phenomenon, of the nature of a tornado or whirlwind, usually observed over the sea, but sometimes over the land. Note: Tall columns, apparently of cloud, and reaching from the sea to the clouds, are seen moving along, often several at once, sometimes straight and vertical, at other times inclined and tortuous, but always in rapid rotation. At their bases, the sea is violently agitated and heaped up with a leaping or boiling motion, water, at least in some cases, being actually carried up in considerable quantity, and scattered round from a great height, as solid bodies are by tornadoes on land. Sir J. Herschel.
watertath |A kind of coarse grass growing in wet grounds, and supposed to be injurious to sheep. [Prov. Eng.]
waterway |Heavy plank or timber extending fore and aft the whole length of a vessel's deck at the line of junction with the sides, forming a channel to the scuppers, which are cut through it. In iron vessels the waterway is variously constructed.
waterweed |See Anacharis.
waterwork |1. (Paint.)  Painting executed in size or distemper, on canvas or walls, -- formerly, frequently taking the place of tapestry. Shak. Fairholt. 2. An hydraulic apparatus, or a system of works or fixtures, by which a supply of water is furnished for useful or ornamental purposes, including dams, sluices, pumps, aqueducts, distributing pipes, fountains, etc.; -- used chiefly in the plural.
waterworn |Worn, smoothed, or polished by the action of water; as, waterworn stones.
waterwort |Any plant of the natural order Elatineæ, consisting of two genera (Elatine, and Bergia), mostly small annual herbs growing in the edges of ponds. Some have a peppery or acrid taste.
watery |1. Of or pertaining to water; consisting of water. \"The watery god.\" Dryden. \"Fish within their watery residence.\" Milton. 2. Abounding with water; wet; hence, tearful. 3. Resembling water; thin or transparent, as a liquid; as, watery humors. The oily and watery parts of the aliment. Arbuthnot. 4. Hence, abounding in thin, tasteless, or insipid fluid; tasteless; insipid; vapid; spiritless.
watt |A unit of power or activity equal to 107 C.G.S. units of power, or to work done at the rate of one joule a second. An English horse power is approximately equal to 746 watts.
watteau |Having the appearance of that which is seen in pictures by Antoine Watteau, a French painter of the eighteenth century; --said esp. of women's garments; as, a Watteau bodice.
watteau back |The back of a woman's gown in which one or more very broad folds are carried from the neck to the floor without being held in at the waist, while the front and sides of the gown are shaped to the person and have a belt or its equivalent.
wattle |1. A twig or flexible rod; hence, a hurdle made of such rods. And there he built with wattles from the marsh A little lonely church in days of yore. Tennyson. 2. A rod laid on a roof to support the thatch. 3. (Zoöl.) (a) A naked fleshy, and usually wrinkled and highly colored, process of the skin hanging from the chin or throat of a bird or reptile. (b) Barbel of a fish. 4. (a) The astringent bark of several Australian trees of the genus Acacia, used in tanning; -- called also wattle bark. (b) (Bot.) The trees from which the bark is obtained. See Savanna wattle, under Savanna. Wattle turkey. (Zoöl.) Same as Brush turkey.\n\n1. To bind with twigs. 2. To twist or interweave, one with another, as twigs; to form a network with; to plat; as, to wattle branches. 3. To form, by interweaving or platting twigs. The folded flocks, penned in their wattled cotes. Milton.
wattlebird |1. (Zoöl.)  Any one of several species of honey eaters belonging to Anthochæra and allied genera of the family Meliphagidæ. These birds usually have a large and conspicuous wattle of naked skin hanging down below each ear. They are natives of Australia and adjacent islands. Note: The best-known species (Anthochæra carunculata) has the upper parts grayish brown, with a white stripe on each feather, and the wing and tail quills dark brown or blackish, tipped with withe. Its wattles, in life, are light blood-red. Called also wattled crow, wattled bee-eater, wattled honey eater. Another species (A. inauris) is streaked with black, gray, and white, and its long wattles are white, tipped with orange. The bush wattlebirds, belonging to the genus Anellobia, are closely related, but lack conspicuous wattles. The most common species (A. mellivora) is dark brown, finely streaked with white. Called also goruck creeper. 2. (Zoöl.)  The Australian brush turkey.
wattled |Furnished with wattles, or pendent fleshy processes at the chin or throat. The wattled cocks strut to and fro. Longfellow.
wattless |Without any power (cf. Watt); -- said of an alternating current or component of current when it differs in phase by ninety degrees from the electromotive force which produces it, or of an electromotive force or component thereof when the current it produces differs from it in phase by 90 degrees.
wattling |The act or process of binding or platting with twigs; also, the network so formed. Made with a wattling of canes or sticks. Dampier.
wattmeter |An instrument for measuring power in watts, -- much used in measuring the energy of an electric current.
waucht |A large draught of any liquid. [Scot.] Jamieson.
waught |A large draught of any liquid. [Scot.] Jamieson.
waul |To cry as a cat; to squall; to wail. [Written also wawl.] The helpless infant, coming wauling and crying into the world. Sir W. Scott.
waur |Worse. [Scot.] Murder and waur than number. Sir W. Scott.
wave |See Wave. Sir H. Wotton. Burke.\n\n1. To play loosely; to move like a wave, one way and the other; to float; to flutter; to undulate. His purple robes waved careless to the winds. Trumbull. Where the flags of three nations has successively waved. Hawthorne. 2. To be moved to and fro as a signal. B. Jonson. 3. To fluctuate; to waver; to be in an unsettled state; to vacillate. [Obs.] He waved indifferently 'twixt doing them neither good nor harm. Shak.\n\n1. To move one way and the other; to brandish. \"[Æneas] waved his fatal sword.\" Dryden. 2. To raise into inequalities of surface; to give an undulating form a surface to. Horns whelked and waved like the enridged sea. Shak. 3. To move like a wave, or by floating; to waft. [Obs.] Sir T. Browne. 4. To call attention to, or give a direction or command to, by a waving motion, as of the hand; to signify by waving; to beckon; to signal; to indicate. Look, with what courteous action It waves you to a more removed ground. Shak. She spoke, and bowing waved Dismissal. Tennyson.\n\n1. An advancing ridge or swell on the surface of a liquid, as of the sea, resulting from the oscillatory motion of the particles composing it when disturbed by any force their position of rest; an undulation. The wave behind impels the wave before. Pope. 2. (Physics)  A vibration propagated from particle to particle through a body or elastic medium, as in the transmission of sound; an assemblage of vibrating molecules in all phases of a vibration, with no phase repeated; a wave of vibration; an undulation. See Undulation. 3. Water; a body of water. [Poetic] \"Deep drank Lord Marmion of the wave.\" Sir W. Scott. Build a ship to save thee from the flood, I 'll furnish thee with fresh wave, bread, and wine. Chapman. 4. Unevenness; inequality of surface. Sir I. Newton. 5. A waving or undulating motion; a signal made with the hand, a flag, etc. 6. The undulating line or streak of luster on cloth watered, or calendered, or on damask steel. 7. Fig.: A swelling or excitement of thought, feeling, or energy; a tide; as, waves of enthusiasm. Wave front (Physics), the surface of initial displacement of the particles in a medium, as a wave of vibration advances. -- Wave length (Physics), the space, reckoned in the direction of propagation, occupied by a complete wave or undulation, as of light, sound, etc.; the distance from a point or phase in a wave to the nearest point at which the same phase occurs. -- Wave line (Shipbuilding), a line of a vessel's hull, shaped in accordance with the wave-line system. -- Wave-line system, Wave-line theory (Shipbuilding), a system or theory of designing the lines of a vessel, which takes into consideration the length and shape of a wave which travels at a certain speed. -- Wave loaf, a loaf for a wave offering. Lev. viii. 27. -- Wave moth (Zoöl.), any one of numerous species of small geometrid moths belonging to Acidalia and allied genera; -- so called from the wavelike color markings on the wings. -- Wave offering, an offering made in the Jewish services by waving the object, as a loaf of bread, toward the four cardinal points. Num. xviii. 11. -- Wave of vibration (Physics), a wave which consists in, or is occasioned by, the production and transmission of a vibratory state from particle to particle through a body. -- Wave surface. (a) (Physics) A surface of simultaneous and equal displacement of the particles composing a wave of vibration. (b) (Geom.) A mathematical surface of the fourth order which, upon certain hypotheses, is the locus of a wave surface of light in the interior of crystals. It is used in explaining the phenomena of double refraction. See under Refraction. -- Wave theory. (Physics) See Undulatory theory, under Undulatory.
wave-worn |Worn by the waves. The shore that o'er his wave-worn basis bowed. Shak.
waved |1. Exhibiting a wavelike form or outline; undulating; intended; wavy; as, waved edge. 2. Having a wavelike appearance; marked with wavelike lines of color; as, waved, or watered, silk. 3. (Her.)  Having undulations like waves; -- said of one of the lines in heraldry which serve as outlines to the ordinaries, etc.
waveless |Free from waves; undisturbed; not agitated; as, the waveless sea.
wavelet |A little wave; a ripple.
wavellite |A hydrous phosphate of alumina, occurring usually in hemispherical radiated forms varying in color from white to yellow, green, or black.
waver |1. To play or move to and fro; to move one way and the other; hence, to totter; to reel; to swing; to flutter. With banners and pennons wavering with the wind. Ld. Berners. Thou wouldst waver on one of these trees as a terror to all evil speakers against dignities. Sir W. Scott. 2. To be unsettled in opinion; to vacillate; to be undetermined; to fluctuate; as, to water in judgment. Let us hold fast . . . without wavering. Heb. x. 23. In feeble hearts, propense enough before To waver, or fall off and join with idols. Milton. Syn. -- To reel; totter; vacillate. See Fluctuate.\n\nA sapling left standing in a fallen wood. [Prov. Eng.] Halliwell.
waverer |One who wavers; one who is unsettled in doctrine, faith, opinion, or the like. Shak.
waveringly |In a wavering manner.
waveringness |The quality or state of wavering.
waveson |Goods which, after shipwreck, appear floating on the waves, or sea.
wavey |The snow goose. [Canadian, & Local U. S.]
waviness |The quality or state of being wavy.
wavure |See Waivure. [R.]
wavy |1. Rising or swelling in waves; full of waves. \"The wavy seas.\" Chapman. 2. Playing to and fro; undulating; as, wavy flames. Let her glad valleys smile with wavy corn. Prior. 3. (Bot.)  Undulating on the border or surface; waved.
wawaskeesh |The wapiti, or wapiti, or American elk.
wawe |Woe. [Obs.]\n\nA wave. [Obs.] Chaucer. Spenser.
wawl |See Waul. Shak.
wax |1. To increase in size; to grow bigger; to become larger or fuller; - - opposed to wane. The waxing and the waning of the moon. Hakewill. Truth's treasures . . . never shall wax ne wane. P. Plowman. 2. To pass from one state to another; to become; to grow; as, to wax strong; to wax warmer or colder; to wax feeble; to wax old; to wax worse and worse. Your clothes are not waxen old upon you. Deut. xxix. 5. Where young Adonis oft reposes, Waxing well of his deep wound. Milton. Waxing kernels (Med.), small tumors formed by the enlargement of the lymphatic glands, especially in the groins of children; -- popularly so called, because supposed to be caused by growth of the body. Dunglison.\n\n1. A fatty, solid substance, produced by bees, and employed by them in the construction of their comb; -- usually called beeswax. It is first excreted, from a row of pouches along their sides, in the form of scales, which, being masticated and mixed with saliva, become whitened and tenacious. Its natural color is pale or dull yellow. Note: Beeswax consists essentially of cerotic acid (constituting the more soluble part) and of myricyl palmitate (constituting the less soluble part). 2. Hence, any substance resembling beeswax in consistency or appearance. Specifically: --(a) (Physiol.)  Cerumen, or earwax. See Cerumen. (b) A waxlike composition used for uniting surfaces, for excluding air, and for other purposes; as, sealing wax, grafting wax, etching wax, etc. (c) A waxlike composition used by shoemakers for rubbing their thread. (d) (Zoöl.) A substance similar to beeswax, secreted by several species of scale insects, as the Chinese wax. See Wax insect, below. (e) (Bot.) A waxlike product secreted by certain plants. See Vegetable wax, under Vegetable. (f) (Min.)  A substance, somewhat resembling wax, found in connection with certain deposits of rock salt and coal; -- called also mineral wax, and ozocerite. (g) Thick sirup made by boiling down the sap of the sugar maple, and then cooling. [Local U.S.] Japanese wax, a waxlike substance made in Japan from the berries of certain species of Rhus, esp. R. succedanea. -- Mineral wax. (Min.) See Wax, 2 (f), above. -- Wax cloth. See Waxed cloth, under Waxed. -- Wax end. See Waxed end, under Waxed. -- Wax flower, a flower made of, or resembling, wax. -- Wax insect (Zoöl.), any one of several species of scale insects belonging to the family Coccidæ, which secrete from their bodies a waxlike substance, especially the Chinese wax insect (Coccus Sinensis) from which a large amount of the commercial Chinese wax is obtained. Called also pela. -- Wax light, a candle or taper of wax. -- Wax moth (Zoöl.), a pyralid moth (Galleria cereana) whose larvæ feed upon honeycomb, and construct silken galleries among the fragments. The moth has dusky gray wings streaked with brown near the outer edge. The larva is yellowish white with brownish dots. Called also bee moth. -- Wax myrtle. (Bot.) See Bayberry. -- Wax painting, a kind of painting practiced by the ancients, under the name of encaustic. The pigments were ground with wax, and diluted. After being applied, the wax was melted with hot irons and the color thus fixed. -- Wax palm. (Bot.) (a) A species of palm (Ceroxylon Andicola) native of the Andes, the stem of which is covered with a secretion, consisting of two thirds resin and one third wax, which, when melted with a third of fat, makes excellent candles. (b) A Brazilian tree (Copernicia cerifera) the young leaves of which are covered with a useful waxy secretion. -- Wax paper, paper prepared with a coating of white wax and other ingredients. -- Wax plant (Bot.), a name given to several plants, as: (a) The Indian pipe (see under Indian). (b) The Hoya carnosa, a climbing plant with polished, fleshy leaves. (c) Certain species of Begonia with similar foliage. -- Wax tree (Bot.) (a) A tree or shrub (Ligustrum lucidum) of China, on which certain insects make a thick deposit of a substance resembling white wax. (b) A kind of sumac (Rhus succedanea) of Japan, the berries of which yield a sort of wax. (c) A rubiaceous tree (Elæagia utilis) of New Grenada, called by the inhabitants \"arbol del cera.\" -- Wax yellow, a dull yellow, resembling the natural color of beeswax.\n\nTo smear or rub with wax; to treat with wax; as, to wax a thread or a table. Waxed cloth, cloth covered with a coating of wax, used as a cover, of tables and for other purposes; -- called also wax cloth. -- Waxed end, a thread pointed with a bristle and covered with shoemaker's wax, used in sewing leather, as for boots, shoes, and the like; -- called also wax end. Brockett.
waxberry |The wax-covered fruit of the wax myrtle, or bayberry. See Bayberry, and Candleberry tree.
waxbill |Any one of numerous species of finchlike birds belonging to Estrelda and allied genera, native of Asia, Africa, and Australia. The bill is large, conical, and usually red in color, resembling sealing wax. Several of the species are often kept as cage birds.
waxbird |The waxwing.
waxen |1. Made of wax. \"The female bee, that . . . builds her waxen cells.\" Milton. 2. Covered with wax; waxed; as, a waxen tablet. 3. Resembling wax; waxy; hence, soft; yielding. Men have marble, women waxen, minds. Shak. Waxen chatterer (Zoöl.), the Bohemian chatterer.
waxiness |Quality or state of being waxy.
waxwing |Any one of several species of small birds of the genus Ampelis, in which some of the secondary quills are usually tipped with small horny ornaments resembling red sealing wax. The Bohemian waxwing (see under Bohemian) and the cedar bird are examples. Called also waxbird.
waxwork |1. Work made of wax; especially, a figure or figures formed or partly of wax, in imitation of real beings. 2. (Bot.)  An American climbing shrub (Celastrus scandens). It bears a profusion of yellow berrylike pods, which open in the autumn, and display the scarlet coverings of the seeds.
waxworker |1. One who works in wax; one who makes waxwork. 2. A bee that makes or produces wax.
waxworks |An exhibition of wax figures, or the place of exhibition.
waxy |Resembling wax in appearance or consistency; viscid; adhesive; soft; hence, yielding; pliable; impressible. \"Waxy to persuasion.\" Bp. Hall. Waxy degeneration (Med.), amyloid degeneration. See under Amyloid. -- Waxy kidney, Waxy liver, etc. (Med.), a kidney or liver affected by waxy degeneration.
way |Away. [Obs. or Archaic] Chaucer. To do way, to take away; to remove. [Obs.] \"Do way your hands.\" Chaucer. -- To make way with, to make away with. See under Away. [Archaic]\n\n1. That by, upon, or along, which one passes or processes; opportunity or room to pass; place of passing; passage; road, street, track, or path of any kind; as, they built a way to the mine. \"To find the way to heaven.\" Shak. I shall him seek by way and eke by street. Chaucer. The way seems difficult, and steep to scale. Milton. The season and ways were very improper for his majesty's forces to march so great a distance. Evelyn. 2. Length of space; distance; interval; as, a great way; a long way. And whenever the way seemed long, Or his heart began to fail. Longfellow. 3. A moving; passage; procession; journey. I prythee, now, lead the way. Shak. 4. Course or direction of motion or process; tendency of action; advance. If that way be your walk, you have not far. Milton. And let eternal justice take the way. Dryden. 5. The means by which anything is reached, or anything is accomplished; scheme; device; plan. My best way is to creep under his gaberdine. Shak. By noble ways we conquest will prepare. Dryden. What impious ways my wishes took! Prior. 6. Manner; method; mode; fashion; style; as, the way of expressing one's ideas. 7. Regular course; habitual method of life or action; plan of conduct; mode of dealing. \"Having lost the way of nobleness.\" Sir. P. Sidney. Her ways are ways of pleasantness, and all her paths are peace. Prov. iii. 17. When men lived in a grander way. Longfellow. 8. Sphere or scope of observation. Jer. Taylor. The public ministers that fell in my way. Sir W. Temple. 9. Determined course; resolved mode of action or conduct; as, to have one's way. 10. (Naut.) (a) Progress; as, a ship has way. (b) pl.  The timbers on which a ship is launched. 11. pl. (Mach.)  The longitudinal guides, or guiding surfaces, on the bed of a planer, lathe, or the like, along which a table or carriage moves. 12. (Law)  Right of way. See below. By the way, in passing; apropos; aside; apart from, though connected with, the main object or subject of discourse. -- By way of, for the purpose of; as being; in character of. -- Covert way. (Fort.) See Covered way, under Covered. -- In the family way. See under Family. -- In the way, so as to meet, fall in with, obstruct, hinder, etc. -- In the way with, traveling or going with; meeting or being with; in the presence of. -- Milky way. (Astron.) See Galaxy, 1. -- No way, No ways. See Noway, Noways, in the Vocabulary. -- On the way, traveling or going; hence, in process; advancing toward completion; as, on the way to this country; on the way to success. -- Out of the way. See under Out. -- Right of way (Law), a right of private passage over another's ground. It may arise either by grant or prescription. It may be attached to a house, entry, gate, well, or city lot, as well as to a country farm. Kent. -- To be under way, or To have way (Naut.), to be in motion, as when a ship begins to move. -- To give way. See under Give. -- To go one's way, or To come one's way, to go or come; to depart or come along. Shak. -- To go the way of all the earth, to die. -- To make one's way, to advance in life by one's personal efforts. -- To make way. See under Make, v. t. -- Ways and means. (a) Methods; resources; facilities. (b) (Legislation) Means for raising money; resources for revenue. -- Way leave, permission to cross, or a right of way across, land; also, rent paid for such right. [Eng] -- Way of the cross (Eccl.), the course taken in visiting in rotation the stations of the cross. See Station, n., 7 (c). -- Way of the rounds (Fort.), a space left for the passage of the rounds between a rampart and the wall of a fortified town. -- Way pane, a pane for cartage in irrigated land. See Pane, n., 4. [Prov. Eng.] -- Way passenger, a passenger taken up, or set down, at some intermediate place between the principal stations on a line of travel. -- Ways of God, his providential government, or his works. -- Way station, an intermediate station between principal stations on a line of travel, especially on a railroad. -- Way train, a train which stops at the intermediate, or way, stations; an accommodation train. -- Way warden, the surveyor of a road. Syn. -- Street; highway; road. -- Way, Street, Highway, Road. Way is generic, denoting any line for passage or conveyance; a highway is literally one raised for the sake of dryness and convenience in traveling; a road is, strictly, a way for horses and carriages; a street is, etymologically, a paved way, as early made in towns and cities; and, hence, the word is distinctively applied to roads or highways in compact settlements. All keep the broad highway, and take delight With many rather for to go astray. Spenser. There is but one road by which to climb up. Addison. When night Darkens the streets, then wander forth the sons Of Belial, flown with insolence and wine. Milton.\n\nTo go or travel to; to go in, as a way or path. [Obs.] \"In land not wayed.\" Wyclif.\n\nTo move; to progress; to go. [R.] On a time as they together wayed. Spenser.
way shaft |1. (Mach.)  A rock shaft. 2. (Mining)  An interior shaft, usually one connecting two levels. Raymond.
way-going |Going away; departing; of or pertaining to one who goes away. Way-going crop (Law of Leases), a crop of grain to which tenants for years are sometimes entitled by custom; grain sown in the fall to be reaped at the next harvest; a crop which will not ripen until after the termination of the lease. Burrill.
way-goose |See Wayz-goose, n., 2. [Eng.]
way-wise |Skillful in finding the way; well acquainted with the way or route; wise from having traveled.
waybill |A list of passengers in a public vehicle, or of the baggage or gods transported by a common carrier on a land route. When the goods are transported by water, the list is called a bill of lading.
waybread |The common dooryard plantain (Plantago major).
waybung |An Australian insessorial bird (Corcorax melanorhamphus) noted for the curious actions of the male during the breeding season. It is black with a white patch on each wing.
wayed |Used to the way; broken. [R.] A horse that is not well wayed; he starts at every bird that flies out the hedge. Selden.
wayfare |To journey; to travel; to go to and fro. [Obs.] A certain Laconian, as he wayfared, came unto a place where there dwelt an old friend of his. Holland.\n\nThe act of journeying; travel; passage. [Obs.] Holland.
wayfarer |One who travels; a traveler; a passenger.
wayfaring |Traveling; passing; being on a journey. \"A wayfaring man.\" Judg. xix. 17. Wayfaring tree (Bot.), a European shrub (Viburnum lantana) having large ovate leaves and dense cymes of small white flowers. -- American wayfaring tree (Bot.), the (Viburnum lantanoides).
waygate |The tailrace of a mill. Knight.
wayk |Weak. [Obs.] Chaucer.
waylay |To lie in wait for; to meet or encounter in the way; especially, to watch for the passing of, with a view to seize, rob, or slay; to beset in ambush. Falstaff, Bardolph, Peto, and Gadshill shall rob those men that we have already waylaid. Shak. She often contrived to waylay him in his walks. Sir W. Scott.
waylayer |One who waylays another.
wayless |Having no road or path; pathless.
wayleway |See Welaway. [Obs.]
waymaker |One who makes a way; a precursor. [R.] Bacon.
waymark |A mark to guide in traveling.
wayment |To lament; to grieve; to wail. [Written also waiment.] [Obs.] Thilke science . . . maketh a man to waymenten. Chaucer. For what boots it to weep and wayment, When ill is chanced Spenser.\n\nGrief; lamentation; mourning. [Written also waiment.] [Obs.] Spenser.
wayside |The side of the way; the edge or border of a road or path.\n\nOf or pertaining to the wayside; as, wayside flowers. \"A wayside inn.\" Longfellow.
wayward |Taking one's own way; disobedient; froward; perverse; willful. My wife is in a wayward mood. Shak. Wayward beauty doth not fancy move. Fairfax. Wilt thou forgive the wayward thought Keble. -- Way\"ward*ly, adv. -- Way\"ward*ness, n.
waywiser |An instrument for measuring the distance which one has traveled on the road; an odometer, pedometer, or perambulator. The waywiser to a coach, exactly measuring the miles, and showing them by an index. Evelyn.
waywode |Originally, the title of a military commander in various Slavonic countries; afterwards applied to governors of towns or provinces. It was assumed for a time by the rulers of Moldavia and Wallachia, who were afterwards called hospodars, and has also been given to some inferior Turkish officers. [Written also vaivode, voivode, waiwode, and woiwode.]
waywodeship |The office, province, or jurisdiction of a waywode.
wayworn |Wearied by traveling.
wayz-goose |1. A stubble goose. [Obs. or Prov. Eng.] 2. An annual feast of the persons employed in a printing office. [Written also way-goose.] [Eng.]
