supremely |In a supreme manner.
susceptibility |1. The state or quality of being susceptible; the capability of receiving impressions, or of being affected. 2. Specifically, capacity for deep feeling or emotional excitement; sensibility, in its broadest acceptation; impressibility; sensitiveness. Magnetic susceptibility (Physics), the intensity of magnetization of a body placed in a uniform megnetic field of unit strength. Sir W. Thomson. Syn. -- Capability; sensibility; feeling; emotion.
susceptible |1. Capable of admitting anything additional, or any change, affection, or influence; readily acted upon; as, a body susceptible of color or of alteration. It sheds on souls susceptible of light, The glorious dawn of our eternal day. Young. 2. Capable of impression; having nice sensibility; impressible; tender; sensitive; as, children are more susceptible than adults; a man of a susceptible heart. Candidates are . . . not very susceptible of affronts. Cowper. I am constitutionally susceptible of noises. Lamb. -- Sus*cep\"ti*ble*ness, n. -- Sus*cep\"ti*bly, adv.
susception |The act of taking; reception.
susceptive |Susceptible. I. Watts. -- Sus*cep\"tive*ness, n.
susceptivity |Capacity for receiving; susceptibility. [R.] Wollaston.
susceptor |One who undertakes anything; specifically, a godfather; a sponsor; a guardian. Puller. Shipley.
suscipiency |Admission. [R.]
suscipient |Receiving; admitting. [R.]\n\nOne who takes or admits; one who receives. [R.] Jer. Taylor.
suscitability |Capability of being suscitated; excitability. [Obs.] B. Jonson.
suscitate |To rouse; to excite; to call into life and action. [Obs.]
suscitation |The act of raising or exciting. [R.] A mere suscitation or production of a thing. South.
suslik |A ground squirrel (Spermophilus citillus) of Europe and Asia. It has large cheek pouches. [Written also souslik.]
suspect |1. Suspicious; inspiring distrust. [Obs.] Suspect [was] his face, suspect his word also. Chaucer. 2. Suspected; distrusted. [Obs.] What I can do or offer is suspect. Milton.\n\n1. Suspicion. [Obs.] Chaucer. So with suspect, with fear and grief, dismayed. Fairfax. 2. One who, or that which, is suspected; an object of suspicion; -- formerly applied to persons and things; now, only to persons suspected of crime. Bacon.\n\n1. To imagine to exist; to have a slight or vague opinion of the existence of, without proof, and often upon weak evidence or no evidence; to mistrust; to surmise; -- commonly used regarding something unfavorable, hurtful, or wrong; as, to suspect the presence of disease. Nothing makes a man suspect much, more than to know little; and therefore men should remedy suspicion by producing to know more. Bacon. From her hand I could suspect no ill. Milton. 2. To imagine to be guilty, upon slight evidence, or without proof; as, to suspect one of equivocation. 3. To hold to be uncertain; to doubt; to mistrust; to distruct; as, to suspect the truth of a story. Addison. 4. To look up to; to respect. [Obs.] Syn. -- To mistrust; distrust; surmise; doubt.\n\nTo imagine guilt; to have a suspicion or suspicions; to be suspicious. If I suspect without cause, why then make sport at time. Shak.
suspectable |That may be suspected.
suspected |Distrusted; doubted. -- Sus*pect\"ed*ly, adv. -- Sus*pect\"ed*ness, n.
suspecter |One who suspects.
suspectful |Apt to suspect or mistrust; full of suspicion; suspicious; as, to be suspectful of the motives of others. Milton. -- Sus*pect\"ful*ness, n.
suspection |Suspicion. [Obs.]
suspectiousness |Suspiciousness; cause for suspicion. [Obs. & R.] Ld. Berners.
suspectless |1. Not suspecting; having no suspicion. [R.] Sir T. Herbert. 2. Not suspected; not mistrusted. [R.] Beau. & Fl.
suspend |1. To attach to something above; to hang; as, to suspend a ball by a thread; to suspend a needle by a loadstone. 2. To make to depend; as, God hath suspended the promise of eternal life on the condition of obedience and holiness of life. [Archaic] Tillotson. 3. To cause to cease for a time; to hinder from proceeding; to interrupt; to delay; to stay. Suspend your indignation against my brother. Shak. The guard nor fights nor fies; their fate so near At once suspends their courage and their fear. Denham. 4. To hold in an undetermined or undecided state; as, to suspend one's judgment or opinion. Locke. 5. To debar, or cause to withdraw temporarily, from any privilege, from the execution of an office, from the enjoyment of income, etc.; as, to suspend a student from college; to suspend a member of a club. Good men should not be suspended from the exercise of their ministry and deprived of their livelihood for ceremonies which are on all hands acknowledged indifferent. Bp. Sanderson. 6. To cause to cease for a time from operation or effect; as, to suspend the habeas corpus act; to suspend the rules of a legislative body. 7. (Chem.)  To support in a liquid, as an insoluble powder, by stirring, to facilitate chemical action. To suspend payment (Com.), to cease paying debts or obligations; to fail; -- said of a merchant, a bank, etc. Syn. -- To hang; interrupt; delay; intermit; stay; hinder; debar.\n\nTo cease from operation or activity; esp., to stop payment, or be unable to meet obligations or engagements (said of a commercial firm or a bank).
suspender |One who, or that which, suspends; esp., one of a pair of straps or braces worn over the shoulders, for holding up the trousers.
suspensation |The act of suspending, or the state of being suspended, especially for a short time; temporary suspension.
suspense |1. Held or lifted up; held or prevented from proceeding. [Obs.] [The great light of day] suspense in heaven. Milton. 2. Expressing, or proceeding from, suspense or doubt. [Obs.] \"Expectation held his look suspense.\" Milton.\n\n1. The state of being suspended; specifically, a state of uncertainty and expectation, with anxiety or apprehension; indetermination; indecision; as, the suspense of a person waiting for the verdict of a jury. Ten days the prophet in suspense remained. Denham. Upon the ticklish balance of suspense. Cowper. 2. Cessation for a time; stop; pause. A cool suspense from pleasure and from pain. Pope. 3. Etym: [Cf. F. suspense.] (Law)  A temporary cessation of one's right; suspension, as when the rent or other profits of land cease by unity of possession of land and rent. Suspense account (Bookkeeping), an account in which receipts or disbursements are temporarily entered until their proper position in the books is determined.
suspensely |In suspense. [Obs.] Hales.
suspensibility |The quality or state of being suspensible.
suspensible |Capable of being suspended; capable of being held from sinking.
suspension |1. The act of suspending, or the state of being suspended; pendency; as, suspension from a hook. 2. Especially, temporary delay, interruption, or cessation; as: (a) Of labor, study, pain, etc. (b) Of decision, determination, judgment, etc.; as, to ask a suspension of judgment or opinion in view of evidence to be produced. (c) Of the payment of what is due; as, the suspension of a mercantile firm or of a bank. (d) Of punishment, or sentence of punishment. (e) Of a person in respect of the exercise of his office, powers, prerogative, etc.; as, the suspension of a student or of a clergyman. (f) Of the action or execution of law, etc.; as, the suspension of the habeas corpus act. 3. A conditional withholding, interruption, or delay; as, the suspension of a payment on the performance of a condition. 4. The state of a solid when its particles are mixed with, but undissolved in, a fluid, and are capable of separation by straining; also, any substance in this state. 5. (Rhet.)  A keeping of the hearer in doubt and in attentive expectation of what is to follow, or of what is to be the inference or conclusion from the arguments or observations employed. 6. (Scots Law)  A stay or postponement of execution of a sentence condemnatory by means of letters of suspension granted on application to the lord ordinary. 7. (Mus.)  The prolongation of one or more tones of a chord into the chord which follows, thus producing a momentary discord, suspending the concord which the ear expects. Cf. Retardation. Pleas in suspension (Law), pleas which temporarily abate or suspend a suit. -- Points of suspension (Mech.), the points, as in the axis or beam of a balance, at which the weights act, or from which they are suspended. -- Suspension bridge, a bridge supported by chains, ropes, or wires, which usually pass over high piers or columns at each end, and are secured in the ground beyond. -- Suspension of arms (Mil.), a short truce or cessation of operations agreed on by the commanders of contending armies, as for burying the dead, making proposal for surrender or for peace, etc. -- Suspension scale, a scale in which the platform hangs suspended from the weighing apparatus instead of resting upon it. Syn. -- Delay; interruption; intermission; stop.
suspensive |Tending to suspend, or to keep in suspense; causing interruption or delay; uncertain; doubtful. \"In suspensive thoughts.\" Beaumont. \"A suspensive veto.\" Macaulay. The provisional and suspensive attitude. J. Morley. Suspensive condition (Scots Law), a condition precedent, or a condition without the performance of which the contract can not be completed.
suspensor |1. A suspensory. 2. (Bot.)  The cord which suspends the embryo; and which is attached to the radicle in the young state; the proembryo.
suspensorium |Anything which suspends or holds up a part: especially, the mandibular suspensorium (a series of bones, or of cartilages representing them) which connects the base of the lower jaw with the skull in most vertebrates below mammals.
suspensory |1. Suspended; hanging; depending. 2. Fitted or serving to suspend; suspending; as, a suspensory muscle. Ray. 3. (Anat.)  Of or pertaining to a suspensorium.\n\nThat which suspends, or holds up, as a truss; specifically (Med.),  a bandage or bag for supporting the scrotum.
suspicable |Liable to suspicion; suspicious. [Obs.] It is a very suspicable business. Dr. H. more.
suspiciency |Suspiciousness; suspicion. [Obs.] Hopkins.
suspicion |1. The act of suspecting; the imagination or apprehension of the existence of something (esp. something wrong or hurtful) without proof, or upon very slight evidence, or upon no evidence. Suspicions among thoughts are like bats among birds, they ever fly by twilight. Bacon. 2. Slight degree; suggestion; hint. [Colloq.] The features are mild but expressive, with just a suspicion . . . of saturnine or sarcastic humor. A. W. Ward. Syn. -- Jealousy; distrust; mistrust; diffidence; doubt.\n\nTo view with suspicion; to suspect; to doubt. [Obs. or Low] South.
suspicious |1. Inclined to suspect; given or prone to suspicion; apt to imagine without proof. Nature itself, after it has done an injury, will ever be suspicious; and no man can love the person he suspects. South. Many mischievous insects are daily at work to make men of merit suspicious of each other. Pope. 2. Indicating suspicion, mistrust, or fear. We have a suspicious, fearful, constrained countenance. Swift. 3. Liable to suspicion; adapted to raise suspicion; giving reason to imagine ill; questionable; as, an author of suspicious innovations; suspicious circumstances. I spy a black, suspicious, threatening could. Shak. Syn. -- Jealous; distrustful; mistrustful; doubtful; questionable. See Jealous. -- Sus*pi\"cious*ly, adv. -- Sus*pi\"cious*ness, n.
suspiral |1. A breathing hole; a vent or ventiduct. 2. A spring of water passing under ground toward a cistern or conduit.
suspiration |The act of sighing, or fetching a long and deep breath; a deep respiration; a sigh. Windy suspiration of forced breath. Shak.
suspire |To fetch a long, deep breath; to sigh; to breathe. Shak. Fireflies that suspire In short, soft lapses of transported flame. Mrs. Browning.\n\nA long, deep breath; a sigh. [Obs.]
suspired |Ardently desired or longed for; earnestly coveted. [Obs.] Sir H. Wotton.
sustain |1. To keep from falling; to bear; to uphold; to support; as, a foundation sustains the superstructure; a beast sustains a load; a rope sustains a weight. Every pillar the temple to sustain. Chaucer. 2. Hence, to keep from sinking, as in despondence, or the like; to support. No comfortable expectations of another life to sustain him under the evils in this world. Tillotson. 3. To maintain; to keep alive; to support; to subsist; to nourish; as, provisions to sustain an army. 4. To aid, comfort, or relieve; to vindicate. Shak. His sons, who seek the tyrant to sustain. Dryden. 5. To endure without failing or yielding; to bear up under; as, to sustain defeat and disappointment. 6. To suffer; to bear; to undergo. Shall Turnus, then, such endless toil sustain Dryden. You shall sustain more new disgraces. Shak. 7. To allow the prosecution of; to admit as valid; to sanction; to continue; not to dismiss or abate; as, the court sustained the action or suit. 8. To prove; to establish by evidence; to corroborate or confirm; to be conclusive of; as, to sustain a charge, an accusation, or a proposition. Syn. -- To support; uphold; subsist; assist; relieve; suffer; undergo.\n\nOne who, or that which, upholds or sustains; a sustainer. [Obs.] I waked again, for my sustain was the Lord. Milton.
sustainable |Capable of being sustained or maintained; as, the action is not sustainable.
sustained |Held up to a certain pitch, degree, or level; uniform; as, sustained pasion; a sustained style of writing; a sustained note in music.
sustainer |One who, or that which, sustains. Waterland.
sustainment |The act of sustaining; maintenance; support. Milton. Lowell.
sustaltic |Mournful; -- said of a species of music among the ancient Greeks. Busby.
sustenance |1. The act of sustaining; support; maintenance; subsistence; as, the sustenance of the body; the sustenance of life. 2. That which supports life; food; victuals; provisions; means of living; as, the city has ample sustenance. \"A man of little sustenance.\" Chaucer. For lying is thy sustenance, thy food. Milton.
sustentacle |Sustenance. [Obs.] Dr. H. More.
sustentacular |Supporting; sustaining; as, a sustentacular tissue.
sustentate |To sustain. [R.] C. Reade.
sustentation |1. The act of sustaining, or the state of being sustained; preservation from falling; support; sustenance; maintenance. 2. (Physiol.)  The aggregate of the functions by which a living organism is maintained in a normal condition of weight and growth. Sustentation fund (Eccl.), a fund of a religious body for support of its ministers, chapels, etc.; as, the sustentation fund of the Free Church of Scotland.
sustentative |Adapted to sustain, strengthen, or corroborate; as, sustentative citations or quotations. Sustentative functions (Physiol.), those functions of the body which affect its material composition and thus determine its mass.
sustention |Sustentation. [R. or Colloq.] In fine images, in sustention, in irony, they surpass anything that Burke ever wrote. J. Morley.
suster |Sister. [Obs.] Chaucer. There are seven sustren, that serve truth ever. Piers Plowman.
sustre |Sister. [Obs.] Chaucer. There are seven sustren, that serve truth ever. Piers Plowman.
susu |See Soosoo.
susurrant |Whispering. [R.] \"The soft susurrant sigh.\" Poetry of Anti- Jacobin.
susurration |A whispering; a soft murmur. \"Soft susurrations of the trees.\" Howell.
susurringly |In the manner of a whisper. [Obs.]
susurrous |Whispering; rustling; full of whispering sounds. [R.]
susurrus |The act of whispering; a whisper; a murmur. De Quincey. The soft susurrus and sighs of the branches. Longfellow.
sutile |Done by stitching. [R.] Boswell.
sutler |A person who follows an army, and sells to the troops provisions, liquors, and the like.
sutlership |The condition or occupation of a sutler.
sutling |Belonging to sutlers; engaged in the occupation of a sutler. Addison.
sutor |A kind of sirup made by the Indians of Arizona from the fruit of some cactaceous plant (probably the Cereus giganteus).
sutra |1. (a) A precept; an aphorism; a brief rule. (b) A collection of such aphorisms. 2. pl.  A body of Hindoo literature containing aphorisms on grammar, meter, law, and philosophy, and forming a connecting link between the Vedic and later Sanscrit literature. Balfour (Cyc. of India).
suttee |1. A Hindoo widow who immolates herself, or is immolated, on the funeral pile of her husband; -- so called because this act of self- immolation is regarded as envincing excellence of wifely character. [India] 2. The act of burning a widow on the funeral pile of her husband. [India] Note: The practice, though abolished in British India law in 1829, is not wholly prevented.
sutteeism |The practice of self-immolation of widows in Hindostan.
suttle |The weight when the tare has been deducted, and tret is yet to be allowed. M\n\nTo act as sutler; to supply provisions and other articles to troops.
sutural |1. Of or pertaining to a suture, or seam. 2. (Bot.)  Taking place at a suture; as, a sutural de.
suturally |In a sutural manner.
suturated |Sewed or knit together; united by a suture; stitched.
suture |1. The act of sewing; also, the line along which two things or parts are sewed together, or are united so as to form a seam, or that which resembles a seam. 2. (Surg.) (a) The uniting of the parts of a wound by stitching. (b) The stitch by which the parts are united. 3. (Anat.)  The line of union, or seam, in an immovable articulation, like those between the bones of the skull; also, such an articulation itself; synarthrosis. See Harmonic suture, under Harmonic. 4. (Bot.) (a) The line, or seam, formed by the union of two margins in any part of a plant; as, the ventral suture of a legume. (b) A line resembling a seam; as, the dorsal suture of a legume, which really corresponds to a midrib. 5. (Zoöl.) (a) The line at which the elytra of a beetle meet and are sometimes confluent. (b) A seam, or impressed line, as between the segments of a crustacean, or between the whorls of a univalve shell. Glover's suture, Harmonic suture, etc. See under Glover, Harmonic, etc.
sutured |Having a suture or sutures; knit or united together. Pennant.
suwarrow |The giant cactus (Cereus giganteus); -- so named by the Indians of Arizona. Called also saguaro.
suzerain |A superior lord, to whom fealty is due; a feudal lord; a lord paramount.
suzerainty |The dominion or authority of a suzerain; paramount authority.
swa |So. [Obs.] Chaucer.
swab |To clean with a mop or swab; to wipe when very wet, as after washing; as, to swab the desk of a ship. [Spelt also swob.]\n\n1. A kind of mop for cleaning floors, the desks of vessels, etc., esp. one made of rope-yarns or threads. 2. A bit of sponge, cloth, or the like, fastened to a handle, for cleansing the mouth of a sick person, applying medicaments to deep- seated parts, etc. 3. (Naut.)  An epaulet. [Sailor's Slang] Marryat. 4. A cod, or pod, as of beans or pease. [Obs.] Bailey. 5. A sponge, or other suitable substance, attached to a long rod or handle, for cleaning the bore of a firearm.
swabber |To swab. [R.]\n\n1. One who swabs a floor or desk. Shak. 2. (Naut.)  Formerly, an interior officer on board of British ships of war, whose business it was to see that the ship was kept clean. 3. Same as Swobber, 2.
swad |1. A cod, or pod, as of beans or pease. [Prov. Eng.] Swad, in the north, is a peascod shell -- thence used for an empty, shallow-headed fellow. Blount. 2. A clown; a country bumpkin. [Obs. or Prov. Eng.] \"Country swains, and silly swads.\" Greene. There was one busy fellow was their leader, A blunt, squat swad, but lower than yourself. B. Jonson. 3. A lump of mass; also, a crowd. [Low, U.S.] 4. (Coal Mining)  A thin layer of refuse at the bottom of a seam. Raymond.
swaddle |Anything used to swaddle with, as a cloth or band; a swaddling band. They put me in bed in all my swaddles. Addison.\n\n1. To bind as with a bandage; to bind or warp tightly with clothes; to swathe; -- used esp. of infants; as, to swaddle a baby. They swaddled me up in my nightgown with long pieces of linen. Addison. 2. To beat; to cudgel. [Obs.] Hudibras.
swaddlebill |The shoveler. [Local, U.S.]
swaddler |A term of contempt for an Irish Methodist. Shipley.
swaddling |from Swaddle, v. Swaddling band, Swaddling cloth, or Swaddling clout, a band or cloth wrapped round an infant, especially round a newborn infant. Ye shall find the babe wrapped in swaddling clothes, lying in a manger. Luke ii. 12.
swag |1. To hang or move, as something loose and heavy; to sway; to swing. [Prov. Eng.] 2. To sink down by its weight; to sag. Sir H. Wotton. I swag as a fat person's belly swaggeth as he goeth. Palsgrave.\n\n1. A swaying, irregular motion. 2. A burglar's or thief's booty; boodle. [Cant or Slang] Charles Reade.
swag-bellied |Having a prominent, overhanging belly. Shak.
swagbelly |1. A prominent, overhanging belly. Smollett. 2. (Med.)  Any large tumor developed in the abdomen, and neither fluctuating nor sonorous. Dunglison.
swage |See Assuage. [Obs.]\n\nA tool, variously shaped or grooved on the end or face, used by blacksmiths and other workers in metals, for shaping their work, whether sheet metal or forging, by holding the swage upon the work, or the work upon the swage, and striking with a sledge. Swage block, a perforated block of iron, having grooved sides and adapted for use in heading bolts and swaging objects of large size.\n\nTo shape by means of a swage; to fashion, as a piece of iron, by forcing it into a groove or mold having the required shape.
swagger |1. To walk with a swaying motion; hence, to walk and act in a pompous, consequential manner. A man who swaggers about London clubs. Beaconsfield. 2. To boast or brag noisily; to be ostentatiously proud or vainglorious; to bluster; to bully. What a pleasant it is . . . to swagger at the bar! Arbuthnot. To be great is not . . . to swagger at our footmen. Colier.\n\nTo bully. [R.] Swift.\n\nThe act or manner of a swaggerer. He gave a half swagger, half leer, as he stepped forth to receive us. W. Irving.
swaggerer |One who swaggers; a blusterer; a bully; a boastful, noisy fellow. Shak.
swaggie |A swagman. [Australia]
swaggy |Inclined to swag; sinking, hanging, or leaning by its weight. Sir T. Browne.
swagman |A bushman carrying a swag and traveling on foot; -- called also swagsman, swagger, and swaggie.
swagsman |A swagman. [Australia]
swain |1. A servant. [Obs.] Him behoves serve himself that has no swain. Chaucer. 2. A young man dwelling in the country; a rustic; esp., a cuntry gallant or lover; -- chiefly in poetry. It were a happy life To be no better than a homely swain. Shak. Blest swains! whose nymphs in every grace excel. Pope.
swainish |Pertaining to, or resembling, a swain; rustic; ignorant. \"An ungentle and swainish beast.\" Milton. -- Swain\"ish*ness, n. Emerson.
swainling |A little swain. [R.]
swainmote |A court held before the verders of the forest as judges, by the steward of the court, thrice every year, the swains, or freeholders, within the forest composing the jury. [Written also swanimote, and sweinmote.] Blackstone.
swainship |The condition of a swain.
swaip |To walk proudly; to sweep along. [Prov. Eng.] Todd.
swal |Swelled. Chaucer.
swale |A valley or low place; a tract of low, and usually wet, land; a moor; a fen. [Prov. Eng. & Local, U.S.]\n\nTo melt and waste away; to singe. See Sweal, v.\n\nA gutter in a candle. [Prov. Eng.]
swallet |Water breaking in upon the miners at their work; -- so called among tin miners. [Prov. Eng.]
swallow |1. (Zoöl.)  Any one of numerous species of passerine birds of the family Hirundinidæ, especially one of those species in which the tail is deeply forked. They have long, pointed wings, and are noted for the swiftness and gracefulness of their flight. Note: The most common North American species are the barn swallow (see under Barn), the cliff, or eaves, swallow (see under Cliff), the white-bellied, or tree, swallow (Tachycineta bicolor), and the bank swallow (see under Bank). The common European swallow (Chelidon rustica), and the window swallow, or martin (Chelidon urbica), are familiar species. 2. (Zoöl.)  Any one of numerous species of swifts which resemble the true swallows in form and habits, as the common American chimney swallow, or swift. 3. (Naut.)  The aperture in a block through which the rope reeves. Ham. Nav. Encyc. Swallow plover (Zoöl.), any one of several species of fork-tailed ploverlike birds of the genus Glareola, as G. orientalis of India; a pratincole. -- Swallow shrike (Zoöl.), any one of several species of East Indian and Asiatic birds of the family Artamiidæ, allied to the shrikes but similar to swallows in appearance and habits. The ashy swallow shrike (Artamus fuscus) is common in India. -- Swallow warbler (Zoöl.), any one of numerous species of East Indian and Australian singing birds of the genus Dicæum. They are allied to the honeysuckers.\n\n1. To take into the stomach; to receive through the gullet, or esophagus, into the stomach; as, to swallow food or drink. As if I had swallowed snowballs for pills. Shak. 2. To draw into an abyss or gulf; to ingulf; to absorb -- usually followed by up. Milton. The earth opened her mouth, and swallowed them up, and their houses. Num. xvi. 32. 3. To receive or embrace, as opinions or belief, without examination or scruple; to receive implicitly. Though that story . . . be not so readily swallowed. Sir T. Browne. 4. To engross; to appropriate; -- usually with up. Homer excels . . . in this, that he swallowed up the honor of those who succeeded him. Pope. 5. To occupy; to take up; to employ. The necessary provision of the life swallows the greatest part of their time. Locke. 6. To seize and waste; to exhaust; to consume. Corruption swallowed what the liberal hand Of bounty scattered. Thomson. 7. To retract; to recant; as, to swallow one's opinions. \"Swallowed his vows whole.\" Shak. 8. To put up with; to bear patiently or without retaliation; as, to swallow an affront or insult. Syn. -- To absorb; imbibe; ingulf; engross; consume. See Absorb.\n\nTo perform the act of swallowing; as, his cold is so severe he is unable to swallow.\n\n1. The act of swallowing. 2. The gullet, or esophagus; the throat. 3. Taste; relish; inclination; liking. [Colloq.] I have no swallow for it. Massinger. 4. Capacity for swallowing; voracity. There being nothing too gross for the swallow of political rancor. Prof. Wilson. 5. As much as is, or can be, swallowed at once; as, a swallow of water. 6. That which ingulfs; a whirlpool. [Obs.] Fabyan.
swallow-tailed |1. Having a tail like that of a swallow; hence, like a swallow's tail in form; having narrow and tapering or pointed skirts; as, a swallow- tailed coat. 2. (Carp.)  United by dovetailing; dovetailed. Swallow-tailed duck (Zoöl.), the old squaw. -- Swallow-tailed gull (Zoöl.), an Arctic gull (Xema furcata), which has a deeply forked tail. -- Swallow-tailed hawk or kite (Zoöl.), the fork-tailed kite. -- Swallow-tailed moth (Zoöl.), a European moth (Urapteryx sambucaria) having tail-like lobes on the hind wings.
swallower |One who swallows; also, a glutton. Tatler.
swallowfish |The European sapphirine gurnard (Trigla hirundo). It has large pectoral fins.
swallowtail |1. (Carp.)  A kind of tenon or tongue used in making joints. See Dovetail. 2. (Bot.)  A species of willow. 3. (Fort.)  An outwork with converging sides, its head or front forming a reëntrant angle; -- so called from its form. Called also priestcap. 4. A swallow-tailed coat. This Stultz coat, a blue swallowtail, with yellow buttons. Thackeray. 5. An arrow. Sir W. Scott. 6. (Zoöl.)  Any one of numerous species of large and handsome butterflies, belonging to Papilio and allied genera, in which the posterior border of each hind wing is prolongated in the form of a long lobe. Note: The black swallowtail, or asterias (see Papilio), the blue swallowtail, or philenor, the tiger swallowtail, or turnus (see Turnus), and the zebra swallowtail, or ajax (see under Zebra) are common American species. See also Troilus.
swallowwort |(a) See Celandine. (b) A poisonous plant (Vincetoxicum officinale) of the Milkweed family, at one time used in medicine; -- also called white swallowwort. African swallowwort, a plant of the genus Stapelia.
swam |imp. of Swim.
swamp |Wet, spongy land; soft, low ground saturated with water, but not usually covered with it; marshy ground away from the seashore. Gray swamps and pools, waste places of the hern. Tennyson. A swamp differs from a bog and a marsh in producing trees and shrubs, while the latter produce only herbage, plants, and mosses. Farming Encyc. (E. Edwards, Words). Swamp blackbird. (Zoöl.) See Redwing (b). -- Swamp cabbage (Bot.), skunk cabbage. -- Swamp deer (Zoöl.), an Asiatic deer (Rucervus Duvaucelli) of India. -- Swamp hen. (Zoöl.) (a) An Australian azure-breasted bird (Porphyrio bellus); -- called also goollema. (b) An Australian water crake, or rail (Porzana Tabuensis); -- called also little swamp hen. (c) The European purple gallinule. -- Swamp honeysuckle (Bot.), an American shrub (Azalea, or Rhododendron, viscosa) growing in swampy places, with fragrant flowers of a white color, or white tinged with rose; -- called also swamp pink. -- Swamp hook, a hook and chain used by lumbermen in handling logs. Cf. Cant hook. -- Swamp itch. (Med.) See Prairie itch, under Prairie. -- Swamp laurel (Bot.), a shrub (Kalmia glauca) having small leaves with the lower surface glaucous. -- Swamp maple (Bot.), red maple. See Maple. -- Swamp oak (Bot.), a name given to several kinds of oak which grow in swampy places, as swamp Spanish oak (Quercus palustris), swamp white oak (Q. bicolor), swamp post oak (Q. lyrata). -- Swamp ore (Min.), big ore; limonite. -- Swamp partridge (Zoöl.), any one of several Australian game birds of the genera Synoicus and Excalfatoria, allied to the European partridges. -- Swamp robin (Zoöl.), the chewink. -- Swamp sassafras (Bot.), a small North American tree of the genus Magnolia (M. glauca) with aromatic leaves and fragrant creamy-white blossoms; -- called also sweet bay. -- Swamp sparrow (Zoöl.), a common North American sparrow (Melospiza Georgiana, or M. palustris), closely resembling the song sparrow. It lives in low, swampy places. -- Swamp willow. (Bot.) See Pussy willow, under Pussy.\n\n1. To plunge or sink into a swamp. 2. (Naut.)  To cause (a boat) to become filled with water; to capsize or sink by whelming with water. 3. Fig.: To plunge into difficulties and perils; to overwhelm; to ruin; to wreck. The Whig majority of the house of Lords was swamped by the creation of twelve Tory peers. J. R. Green. Having swamped himself in following the ignis fatuus of a theory. Sir W. Hamilton.\n\n1. To sink or stick in a swamp; figuratively, to become involved in insuperable difficulties. 2. To become filled with water, as a boat; to founder; to capsize or sink; figuratively, to be ruined; to be wrecked.
swampy |Consisting of swamp; like a swamp; low, wet, and spongy; as, swampy land.
swan |1. (Zoöl.)  Any one of numerous species of large aquatic birds belonging to Cygnus, Olor, and allied genera of the subfamily Cygninæ. They have a large and strong beak and a long neck, and are noted for their graceful movements when swimming. Most of the northern species are white. In literature the swan was fabled to sing a melodious song, especially at the time of its death. Note: The European white, or mute, swan (Cygnus gibbus), which is most commonly domesticated, bends its neck in an S-shaped curve. The whistling, or trumpeting, swans of the genus Olor do not bend the neck in an S-shaped curve, and are noted for their loud and sonorous cry, due to complex convolutions of the windpipe. To this genus belong the European whooper, or whistling swan (Olor cygnus), the American whistling swan (O. Columbianus), and the trumpeter swan (O. buccinator). The Australian black swan (Chenopis atrata) is dull black with white on the wings, and has the bill carmine, crossed with a white band. It is a very graceful species and is often domesticated. The South American black-necked swan (Sthenelides melancorypha) is a very beautiful and graceful species, entirely white, except the head and neck, which are dark velvety seal-brown. Its bill has a double bright rose-colored knob. 2. Fig.: An appellation for a sweet singer, or a poet noted for grace and melody; as Shakespeare is called the swan of Avon. 3. (Astron.)  The constellation Cygnus. Swan goose (Zoöl.), a bird of India (Cygnopsis cygnoides) resembling both the swan and the goose. -- Swan shot, a large size of shot used in fowling.
swan-hopping |A corruption of Swan-upping. [Eng.] Encyc. Brit.
swan-upping |A yearly expedition on the Thames to take up young swans and mark them, as by Companies of Dyers and Vintners; -- called also swan-hopping. [Eng.] Encyc. Brit.
swang |imp. of Swing.\n\nA swamp. [Prov. Eng.]
swanherd |One who tends or marks swans; as, the royal swanherd of England.
swanimote |See Swainmote.
swankie |An active and clever young fellow. [Scot.] Sir W. Scott.
swanky |An active and clever young fellow. [Scot.] Sir W. Scott.
swanlike |Resembling a swan.
swanmark |A mark of ownership cut on the bill or swan. [Eng.] Encyc. Brit.
swannery |A place where swans are bred. \"The largest swannery in England.\" Encyc. Brit.
swanny |Swanlike; as, a swanny glossiness of the neck. Richardson.
swanpan |The Chinese abacus; a schwanpan. S. W. Williams. SWAN'S-DOWN; SWANS-DOWN Swan's\"-down`, or; Swans\"-down`, n. 1. The down, or fine, soft feathers, of the swan, used on various articles of dress. 2. A fine, soft, thick cloth of wool mixed with silk or cotton; a sort of twilled fustian, like moleskin. Swan's-down cotton. See Cotton flannel, under Cotton.
swanskin |1. The act of a swan with the down or the feathers on. 2. A species of soft flannel, thick and warm.
swap |1. To strike; -- with off. [Obs. or Prov. Eng.] \"Swap off his head!\" Chaucer. 2. To exchange (usually two things of the same kind); to swop. [Colloq.] Miss Edgeworth.\n\n1. To fall or descend; to rush hastily or violently. C. Richardson (Dict.). All suddenly she swapt adown to ground. Chaucer. 2. To beat the air, or ply the wings, with a sweeping motion or noise; to flap.\n\n1. A blow; a stroke. [Obs. or Prov. Eng.] 2. An exchange; a barter. [Colloq.] Sir W. Scott.\n\nHastily. [Prov. Eng.]
swape |See Sweep, n., 12.
