isagoge |An introduction. [Obs.] Harris.
iterate |Uttered or done again; repeated. [Obs.] Bp. Gardiner.\n\nTo utter or do a second time or many times; to repeat; as, to iterate advice. Nor Eve to iterate Her former trespass feared. Milton.\n\nBy way of iteration.
iteration |Recital or performance a second time; repetition. Bacon. What needs this iteration, woman Shak.
iterative |Repeating. Cotgrave. -- It\"er*a*tive*ly, adv.
ithyphallic |Lustful; lewd; salacious; indecent; obscene.
itineracy |The act or practice of itinerating; itinerancy.
itinerancy |1. A passing from place to place. Dr. H. More. 2. A discharge of official duty involving frequent change of residence; the custom or practice of discharging official duty in this way; also, a body of persons who thus discharge official duty.
itinerant |Passing or traveling about a country; going or preaching on a circuit; wandering; not settled; as, an itinerant preacher; an itinerant peddler. The king's own courts were then itinerant, being kept in the king's palace, and removing with his household in those royal progresses which he continually made. Blackstone.\n\nOne who travels from place to place, particularly a preacher; one who is unsettled. Glad to turn itinerant, To stroll and teach from town to town. Hudibras.
itinerantly |In an itinerant manner.
itinerary |Itinerant; traveling; passing from place to place; done on a journey. It was rather an itinerary circuit of justice than a progress. Bacon.\n\nAn account of travels, or a register of places and distances as a guide to travelers; as, the Itinerary of Antoninus.
itinerate |To wander without a settled habitation; to travel from place or on a circuit, particularly for the purpose of preaching, lecturing, etc.
its |Possessive form of the pronoun it. See It.
itself |The neuter reciprocal pronoun of It; as, the thing is good in itself; it stands by itself. Borrowing of foreigners, in itself, makes not the kingdom rich or poor. Locke.
ittria |See Yttria.
ittrium |See Yttrium.
itzibu |A silver coin of Japan, worth about thirty-four cents. [Written also itzebu, ichebu, itcheboo, etc.]
iulidan |One of the Iulidæ, a family of myriapods, of which the genus Iulus is the type. See Iulus.
iulus |A genus of chilognathous myriapods. The body is long and round, consisting of numerous smooth, equal segments, each of which bears two pairs of short legs. It includes the galleyworms. See Chilognatha.
ivan ivanovitch |. An ideal personification of the typical Russian or of the Russian people; -- used as \"John Bull\" is used for the typical Englishman. I'VE I've  . Colloquial contraction of I have.
ivied |Overgrown with ivy.
ivoride |A composition resembling ivory in appearance and used as a substitute for it.
ivory |1. The hard, white, opaque, fine-grained substance constituting the tusks of the elephant. It is a variety of dentine, characterized by the minuteness and close arrangement of the tubes, as also by their double flexure. It is used in manufacturing articles of ornament or utility. Note: Ivory is the name commercially given not only to the substance constituting the tusks of the elephant, but also to that of the tusks of the hippopotamus and walrus, the hornlike tusk of the narwhal, etc. 2. The tusks themselves of the elephant, etc. 3. Any carving executed in ivory. Mollett. 4. pl.  Teeth; as, to show one's ivories. [Slang] Ivory black. See under Black, n. -- Ivory gull (Zoöl.), a white Arctic gull (Larus eburneus). -- Ivory nut (Bot.), the nut of a species of palm, the Phytephas macroarpa, often as large as a hen's egg. When young the seed contains a fluid, which gradually hardness into a whitish, close- grained, albuminous substance, resembling the finest ivory in texture and color, whence it is called vegetable ivory. It is wrought into various articles, as buttons, chessmen, etc. The palm is found in New Grenada. A smaller kind is the fruit of the Phytephas microarpa. The nuts are known in commerce as Corosso nuts. -- Ivory palm (Bot.), the palm tree which produces ivory nuts. -- Ivory shell (Zoöl.), any species of Eburna, a genus of marine gastropod shells, having a smooth surface, usually white with red or brown spots. -- Vegetable ivory, the meat of the ivory nut. See Ivory nut (above).
ivory-bill |A large, handsome, North American woodpecker (Campephilus principalis), having a large, sharp, ivory-colored beak. Its general color is glossy black, with white secondaries, and a white dorsal stripe. The male has a large, scarlet crest. It is now rare, and found only in the Gulf States.
ivorytype |A picture produced by superposing a very light print, rendered translucent by varnish, and tinted upon the back, upon a stronger print, so as to give the effect of a photograph in natural colors; -- called also hellenotype. Knight.
ivy |A plant of the genus Hedera (H. helix), common in Europe. Its leaves are evergreen, dark, smooth, shining, and mostly five-pointed; the flowers yellowish and small; the berries black or yellow. The stem clings to walls and trees by rootlike fibers. Direct The clasping ivy where to climb. Milton. Ye myrtles brown, with ivy never sere. Milton. American ivy. (Bot.) See Virginia creeper. -- English ivy (Bot.), a popular name in America for the ivy proper (Hedera helix). -- German ivy (Bot.), a creeping plant, with smooth, succulent stems, and fleshy, light-green leaves; a species of Senecio (S. scandens). -- Ground ivy. (Bot.) Gill (Nepeta Glechoma). -- Ivy bush. (Bot.) See Mountain laurel, under Mountain. -- Ivy owl (Zoöl.), the barn owl. -- Ivy tod (Bot.), the ivy plant. Tennyson. -- Japanese ivy (Bot.), a climbing plant (Ampelopsis tricuspidata), closely related to the Virginia creeper. -- Poison ivy (Bot.), an American woody creeper (Rhus Toxicodendron), with trifoliate leaves, and greenish-white berries. It is exceedingly poisonous to the touch for most persons. -- To pipe in an ivy leaf, to console one's self as best one can. [Obs.] Chaucer. -- West Indian ivy, a climbing plant of the genus Marcgravia.
ivy-mantled |Covered with ivy.
iwis |Indeed; truly. See Ywis. [Written also iwys, iwisse, etc.] [Obs.] Ascham. I. W. W. I. W. W. (Abbrev.)  Industrial Workers of the World (the name of two American labor organizations, one of which advocates syndicalism).
ixia |A South African bulbous plant of the Iris family, remarkable for the brilliancy of its flowers.
ixodes |A genus of parasitic Acarina, which includes various species of ticks. See Tick, the insect.
ixodian |A tick of the genus Ixodes, or the family Ixodidæ.
ixtil |The fine, soft fiber of the bromeliaceous plant Bromelia sylvestris.
ixtle |A Mexican name for a variety of Agave rigida, which furnishes a strong coarse fiber; also, the fiber itself, which is called also pita, and Tampico fiber. [Written also istle.]\n\nThe fine, soft fiber of the bromeliaceous plant Bromelia sylvestris.
ixtli |A Mexican name for a variety of Agave rigida, which furnishes a strong coarse fiber; also, the fiber itself, which is called also pita, and Tampico fiber. [Written also istle.]
izard |A variety of the chamois found in the Pyrenees.
izedi |One of an Oriental religious sect which worships Satan or the Devil. The Izedis or Yezdis, the so-called Devil worshipers, still remain a numerous though oppressed people in Mesopotamia and adjacent countries. Tylor.
izedism |The religion of the Izedis.
izzard |See Izard.\n\nThe letter z; -- formerly so called.
j |. J is the tenth letter of the English alphabet. It is a later variant form of the Roman letter I, used to express a consonantal sound, that is, originally, the sound of English y in yet. The forms J and I have, until a recent time, been classed together, and they have been used interchangeably. Note: In medical prescriptions j is still used in place of i at the end of a number, as a Roman numeral; as, vj, xij. J is etymologically most closely related to i, y, g; as in jot, iota; jest, gesture; join, jugular, yoke. See I. J is a compound vocal consonant, nearly equivalent in sound to dzh. It is exactly the same as g in gem. See Guide to Pronunciation, §§ 179, 211, 239.
jaal goat |A species of wild goat (Capra Nubiana) found in the mountains of Abyssinia, Upper Egypt, and Arabia; -- called also beden, and jaela.
jab |To thrust; to stab; to punch. See Job, v. t. [Scot. & Colloq. U. S.]\n\nA thrust or stab. [Scot. & Colloq. U. S.]
jabber |To talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense; to chatter. Swift.\n\nTo utter rapidly or indistinctly; to gabble; as, to jabber French. Addison.\n\nRapid or incoherent talk, with indistinct utterance; gibberish. Swift.\n\nOne who jabbers.
jabberer |One who jabbers.
jabberingly |In a jabbering manner.
jabberment |Jabber. [R.] Milton.
jabbernowl |Same as Jobbernowl.
jabiru |One of several large wading birds of the genera Mycteria and Xenorhynchus, allied to the storks in form and habits. Note: The American jabiru (Mycteria Americana) is white, with the head and neck black and nearly bare of feathers. The East Indian and Australian (Xenorhynchus Australis) has the neck, head, and back covered with glossy, dark green feathers, changing on the head to purple. The African jabiru (Mycteria, or Ephippiorhynchus, Senegalensis) has the neck, head, wing coverts, and tail, black, and is called also saddle-billed stork.
jaborandi |The native name of a South American rutaceous shrub (Pilocarpus pennatifolius). The leaves are used in medicine as an diaphoretic and sialogogue.
jaborine |An alkaloid found in jaborandi leaves, from which it is extracted as a white amorphous substance. In its action it resembles atropine.
jabot |1. Originally, a kind of ruffle worn by men on the bosom of the shirt. 2. An arrangement of lace or tulle, looped ornamentally, and worn by women on the front of the dress.
jacal |In Mexico and the southwestern United States, a kind of plastered house or hut, usually made by planting poles or timber in the ground, filling in between them with screen work or wickerwork, and daubing one or both sides with mud or adobe mortar; also, this method of construction.
jacamar |Any one of numerous species of tropical American birds of the genus Galbula and allied genera. They are allied to the kingfishers, but climb on tree trunks like nuthatches, and feed upon insects. Their colors are often brilliant.
jacana |Any of several wading birds belonging to the genus Jacana and several allied genera, all of which have spurs on the wings. They are able to run about over floating water weeds by means of their very long, spreading toes. Called also surgeon bird. Note: The most common South American species is Jacana spinosa. The East Indian or pheasant jacana (Hydrophasianus chirurgus) is remarkable for having four very long, curved, middle tail feathers.
jacaranda |(a) The native Brazilian name for certain leguminous trees, which produce the beautiful woods called king wood, tiger wood, and violet wood. (b) A genus of bignoniaceous Brazilian trees with showy trumpet- shaped flowers.
jacare |A cayman. See Yacare.
jacchus |The common marmoset (Hapale vulgaris). Formerly, the name was also applied to other species of the same genus.
jacconet |See Jaconet.
jacent |Lying at length; as, the jacent posture. [R.] Sir H. Wotton.
jacinth |See Hyacinth. Tennyson.
jack |A large tree, the Artocarpus integrifolia, common in the East Indies, closely allied to the breadfruit, from which it differs in having its leaves entire. The fruit is of great size, weighing from thirty to forty pounds, and through its soft fibrous matter are scattered the seeds, which are roasted and eaten. The wood is of a yellow color, fine grain, and rather heavy, and is much used in cabinetwork. It is also used for dyeing a brilliant yellow. [Written also jak.]\n\n1. A familiar nickname of, or substitute for, John. You are John Rugby, and you are Jack Rugby. Shak. 2. An impertinent or silly fellow; a simpleton; a boor; a clown; also, a servant; a rustic. \"Jack fool.\" Chaucer. Since every Jack became a gentleman, There 's many a gentle person made a Jack. Shak. 3. A popular colloquial name for a sailor; -- called also Jack tar, and Jack afloat. 4. A mechanical contrivance, an auxiliary machine, or a subordinate part of a machine, rendering convenient service, and often supplying the place of a boy or attendant who was commonly called Jack; as: (a) A device to pull off boots. (b) A sawhorse or sawbuck. (c) A machine or contrivance for turning a spit; a smoke jack, or kitchen jack. (b) (Mining) A wooden wedge for separating rocks rent by blasting. (e) (Knitting Machine) A lever for depressing the sinkers which push the loops down on the needles. (f) (Warping Machine) A grating to separate and guide the threads; a heck box. (g) (Spinning) A machine for twisting the sliver as it leaves the carding machine. (h) A compact, portable machine for planing metal. (i) A machine for slicking or pebbling leather. (k) A system of gearing driven by a horse power, for multiplying speed. (l) A hood or other device placed over a chimney or vent pipe, to prevent a back draught. (m) In the harpsichord, an intermediate piece communicating the action of the key to the quill; -- called also hopper. (n) In hunting, the pan or frame holding the fuel of the torch used to attract game at night; also, the light itself. C. Hallock. 5. A portable machine variously constructed, for exerting great pressure, or lifting or moving a heavy body through a small distance. It consists of a lever, screw, rack and pinion, hydraulic press, or any simple combination of mechanical powers, working in a compact pedestal or support and operated by a lever, crank, capstan bar, etc. The name is often given to a jackscrew, which is a kind of jack. 6. The small bowl used as a mark in the game of bowls. Shak. Like an uninstructed bowler who thinks to attain the jack by delivering his bowl straight forward upon it. Sir W. Scott. 7. The male of certain animals, as of the ass. 8. (Zoöl.) (a) A young pike; a pickerel. (b) The jurel. (c) A large, California rock fish (Sebastodes paucispinus); -- called also boccaccio, and mérou. (d) The wall-eyed pike. 9. A drinking measure holding half a pint; also, one holding a quarter of a pint. [Prov. Eng.] Halliwell. 10. (Naut.) (a) A flag, containing only the union, without the fly, usually hoisted on a jack staff at the bowsprit cap; -- called also union jack. The American jack is a small blue flag, with a star for each State. (b) A bar of iron athwart ships at a topgallant masthead, to support a royal mast, and give spread to the royal shrouds; -- called also jack crosstree. R. H. Dana, Jr. 11. The knave of a suit of playing cards. Note: Jack is used adjectively in various senses. It sometimes designates something cut short or diminished in size; as, a jack timber; a jack rafter; a jack arch, etc. Jack arch, an arch of the thickness of one brick. -- Jack back (Brewing & Malt Vinegar Manuf.), a cistern which receives the wort. See under 1st Back. -- Jack block (Naut.), a block fixed in the topgallant or royal rigging, used for raising and lowering light masts and spars. -- Jack boots, boots reaching above the knee; -- worn in the 17 century by soldiers; afterwards by fishermen, etc. -- Jack crosstree. (Naut.) See 10, b, above. -- Jack curlew (Zoöl.), the whimbrel. -- Jack frame. (Cotton Spinning) See 4 (g), above. -- Jack Frost, frost personified as a mischievous person. -- Jack hare, a male hare. Cowper. -- Jack lamp, a lamp for still hunting and camp use. See def. 4 (n.), above. -- Jack plane, a joiner's plane used for coarse work. -- Jack post, one of the posts which support the crank shaft of a deep-well-boring apparatus. -- Jack pot (Poker Playing), the name given to the stakes, contributions to which are made by each player successively, till such a hand is turned as shall take the \"pot,\" which is the sum total of all the bets. -- Jack rabbit (Zoöl.), any one of several species of large American hares, having very large ears and long legs. The California species (Lepus Californicus), and that of Texas and New Mexico (L. callotis), have the tail black above, and the ears black at the tip. They do not become white in winter. The more northern prairie hare (L. campestris) has the upper side of the tail white, and in winter its fur becomes nearly white. -- Jack rafter (Arch.), in England, one of the shorter rafters used in constructing a hip or valley roof; in the United States, any secondary roof timber, as the common rafters resting on purlins in a trussed roof; also, one of the pieces simulating extended rafters, used under the eaves in some styles of building. -- Jack salmon (Zoöl.), the wall-eyed pike, or glasseye. -- Jack sauce, an impudent fellow. [Colloq. & Obs.] -- Jack shaft (Mach.), the first intermediate shaft, in a factory or mill, which receives power, through belts or gearing, from a prime mover, and transmits it, by the same means, to other intermediate shafts or to a line shaft. -- Jack sinker (Knitting Mach.), a thin iron plate operated by the jack to depress the loop of thread between two needles. -- Jack snipe. (Zoöl.) See in the Vocabulary. -- Jack staff (Naut.), a staff fixed on the bowsprit cap, upon which the jack is hoisted. -- Jack timber (Arch.), any timber, as a rafter, rib, or studding, which, being intercepted, is shorter than the others. -- Jack towel, a towel hung on a roller for common use. -- Jack truss (Arch.), in a hip roof, a minor truss used where the roof has not its full section. -- Jack tree. (Bot.) See 1st Jack, n. -- Jack yard (Naut.), a short spar to extend a topsail beyond the gaff. Blue jack, blue vitriol; sulphate of copper. -- Hydraulic jack, a jack used for lifting, pulling, or forcing, consisting of a compact portable hydrostatic press, with its pump and a reservoir containing a supply of liquid, as oil. -- Jack-at-a-pinch. (a) One called upon to take the place of another in an emergency. (b) An itinerant parson who conducts an occasional service for a fee. -- Jack-at-all-trades, one who can turn his hand to any kind of work. -- Jack-by-the-hedge (Bot.), a plant of the genus Erysimum (E. alliaria, or Alliaria officinalis), which grows under hedges. It bears a white flower and has a taste not unlike garlic. Called also, in England, sauce-alone. Eng. Cyc. -- Jack-in-a-box. (a) (Bot.) A tropical tree (Hernandia sonora), which bears a drupe that rattles when dry in the inflated calyx. (b) A child's toy, consisting of a box, out of which, when the lid is raised, a figure springs. (c) (Mech.) An epicyclic train of bevel gears for transmitting rotary motion to two parts in such a manner that their relative rotation may be variable; applied to driving the wheels of tricycles, road locomotives, and to cotton machinery, etc.; an equation box; a jack frame; -- called also compensating gearing. (d) A large wooden screw turning in a nut attached to the crosspiece of a rude press. -- Jack-in-office, an insolent fellow in authority. Wolcott. -- Jack-in-the-bush (Bot.), a tropical shrub with red fruit (Cordia Cylindrostachya). -- Jack-in-the-green, a chimney sweep inclosed in a framework of boughs, carried in Mayday processions. -- Jack-in-the-pulpit (Bot.), the American plant Arisæma triphyllum, or Indian turnip, in which the upright spadix is inclosed. -- Jack-of-the-buttery (Bot.), the stonecrop (Sedum acre). -- Jack-of-the-clock, a figure, usually of a man, on old clocks, which struck the time on the bell. -- Jack-on-both-sides, one who is or tries to be neutral. -- Jack-out-of-office, one who has been in office and is turned out. Shak. -- Jack the Giant Killer, the hero of a well-known nursery story. -- Jack-with-a-lantern, Jack-o'-lantern. (a) An ignis fatuus; a will-o'-the-wisp. \"[Newspaper speculations] supplying so many more jack-o'-lanterns to the future historian.\" Lowell. (b) A lantern made of a pumpkin so prepared as to show in illumination the features of a human face, etc. -- Yellow Jack (Naut.), the yellow fever; also, the quarantine flag. See Yellow flag, under Flag.\n\nA coarse and cheap mediæval coat of defense, esp. one made of leather. Their horsemen are with jacks for most part clad. Sir J. Harrington.\n\nA pitcher or can of waxed leather; -- called also black jack. [Obs.] Dryden.\n\nTo hunt game at night by means of a jack. See 2d Jack, n., 4, n.\n\nTo move or lift, as a house, by means of a jack or jacks. See 2d Jack, n., 5.
jack ketch |A public executioner, or hangman. [Eng.] The manor of Tyburn was formerly held by Richard Jaquett, where felons for a long time were executed; from whence we have Jack Ketch. Lloyd's MS., British Museum. [Monmouth] then accosted John Ketch, the executioner, a wretch who had butchered many brave and noble victims, and whose name has, during a century and a half, been vulgarly given to all who have succeeded him in his odious office. Macaulay.
jack-a-dandy |A little dandy; a little, foppish, impertinent fellow.
jack-a-lent |A small stuffed puppet to be pelted in Lent; hence, a simple fellow.
jackal |1. (Zoöl.)  Any one of several species of carnivorous animals inhabiting Africa and Asia, related to the dog and wolf. They are cowardly, nocturnal, and gregarious. They feed largely on carrion, and are noted for their piercing and dismal howling. Note: The common species of Southern Asia (Canis aureus) is yellowish gray, varied with brown on the shoulders, haunches, and legs. The common African species (C. anthus) is darker in color. 2. One who does mean work for another's advantage, as jackals were once thought to kill game which lions appropriated. [Colloq.] Ld. Lytton.
jackanapes |1. A monkey; an ape. Shak. 2. A coxcomb; an impertinent or conceited fellow. A young upstart jackanapes. Arbuthnot.
jackaroo |A young man living as an apprentice on a sheep station, or otherwise engaged in acquainting himself with colonial life. [Colloq., Australia]\n\nTo be a jackaroo; to pass one's time as a jackaroo. [Colloq., Australia]
jackass |1. The male ass; a donkey. 2. A conceited dolt; a perverse blockhead. Jackass bark (Naut.), a three-masted vessel, with only the foremast square-rigged; a barkentine. -- Jackass deer (Zoöl.), the koba. -- Jackass hare, Jackass rabbit (Zoöl.). See Jack rabbit, under 2d Jack, n. -- Jackass penguin (Zoöl.), any species of penguin of the genus Spheniscus, of which several are known. One species (S. demersus) inhabits the islands near the Cape of Good Hope; another (S. Magellanicus) is found at the Falkland Islands. They make a noise like the braying of an ass; -- hence the name. -- Laughing jackass. (Zoöl.) See under Laughing.
jackdaw |See Daw, n.
jackeen |A drunken, dissolute fellow. [Ireland] S. C. Hall.
jackeroo |A young man living as an apprentice on a sheep station, or otherwise engaged in acquainting himself with colonial life. [Colloq., Australia]
jacket |1. A short upper garment, extending downward to the hips; a short coat without skirts. 2. An outer covering for anything, esp. a covering of some nonconducting material such as wood or felt, used to prevent radiation of heat, as from a steam boiler, cylinder, pipe, etc. 3. (Mil.)  In ordnance, a strengthening band surrounding and reënforcing the tube in which the charge is fired. 4. A garment resembling a waistcoat lined with cork, to serve as a life preserver; -- called also cork jacket. Blue jacket. (Naut.) See under Blue. -- Steam jacket, a space filled with steam between an inner and an outer cylinder, or between a casing and a receptacle, as a kettle. -- To dust one's jacket, to give one a beating. [Colloq.]\n\n1. To put a jacket on; to furnish, as a boiler, with a jacket. 2. To thrash; to beat. [Low]
jacketed |Wearing, or furnished with, a jacket.
jacketing |The material of a jacket; as, nonconducting jacketing.
jackknife |A large, strong clasp knife for the pocket; a pocket knife. JACK-'-LANTERN Jack\"-o'-lan`tern, n.  See Jack-with-a-lantern, under 2d Jack.
jackman |1. One wearing a jack; a horse soldier; a retainer. See 3d Jack, n. Christie . . . the laird's chief jackman. Sir W. Scott. 2. A cream cheese. [Obs.] Sir T. Elyot. JACK-O'-LANTERN Jack\"-o'-lan`tern, n.  See Jack-with-a-lantern, under 2d Jack. JACKPOT Jackpot  1. (a) See \"jack pot\" under jack; (b) any larger-than-usual gambling prize formed by the accumulation of unwon bets[=MW10 1(a)(2) and 1(c)]; (c) the highest gambling prize awarded in a gambling game in which smaller prizes are also awarded, especially such a prize on a slot machine.  2. (a) An unusually large success in an enterprise, either unexpected or unpredictable, esp. one providing a great financial benefit. hit the jackpotto receive an unexpectedly large (or the largest possible) benefit from an enterprise.
jackpudding |A merry-andrew; a buffoon. Milton.
jacksaw |The merganser.
jackscrew |A jack in which a screw is used for lifting, or exerting pressure. See Illust. of 2d Jack, n., 5.
jackslave |A low servant; a mean fellow. Shak.
jacksmith |A smith who makes jacks. See 2d Jack, 4, c. Dryden.
jacksnipe |(a) A small European snipe (Limnocryptes gallinula); -- called also judcock, jedcock, juddock, jed, and half snipe. (b) A small American sandpiper (Tringa maculata); -- called also pectoral sandpiper, and grass snipe.
jackstay |A rail of wood or iron stretching along a yard of a vessel, to which the sails are fastened.
jackstone |(a) One of the pebbles or pieces used in the game of jackstones. (b) (pl.) A game played with five small stones or pieces of metal. See 6th Chuck.
jackstraw |1. An effigy stuffed with straw; a scarecrow; hence, a man without property or influence. Milton. 2. One of a set of straws of strips of ivory, bone, wood, etc., for playing a child's game, the jackstraws being thrown confusedly together on a table, to be gathered up singly by a hooked instrument, without touching or disturbing the rest of the pile. See Spilikin.
jackwood |Wood of the jack (Artocarpus integrifolia), used in cabinetwork.
jacky |(a) A landsman's nickname for a seaman, resented by the latter. (b) English gin. [Dial. Eng.]
jacob |A Hebrew patriarch (son of Isaac, and ancestor of the Jews), who in a vision saw a ladder reaching up to heaven (Gen. xxviii. 12); -- also called Israel. And Jacob said . . . with my staff I passed over this Jordan, and now I am become two bands. Gen. xxxii. 9, 10. Thy name shall be called no more Jacob, but Israel. Gen. xxxii. 28. Jacob's ladder. (a) (Bot.) A perennial herb of the genus Polemonium (P. coeruleum), having corymbs of drooping flowers, usually blue. Gray. (b) (Naut.) A rope ladder, with wooden steps, for going aloft. R. H. Dana, Jr. (c) (Naut.) A succession of short cracks in a defective spar. -- Jacob's membrane. See Retina. -- Jacob's staff. (a) A name given to many forms of staff or weapon, especially in the Middle Ages; a pilgrim's staff. [Obs.] Spenser. (b) (Surveying) See under Staff.
jacobaean lily |A bulbous plant (Amaryllis, or Sprekelia, formosissima) from Mexico. It bears a single, large, deep, red, lilylike flower. [Written also Jacobean.]
jacobean |Of or pertaining to a style of architecture and decoration in the time of James the First, of England. \"A Jacobean table.\" C. L. Eastlake.
jacobian |Of or pertaining to a style of architecture and decoration in the time of James the First, of England. \"A Jacobean table.\" C. L. Eastlake.
jacobin |1. (Eccl. Hist.)  A Dominican friar; -- so named because, before the French Revolution, that order had a convent in the Rue St. Jacques, Paris. 2. One of a society of violent agitators in France, during the revolution of 1789, who held secret meetings in the Jacobin convent in the Rue St. Jacques, Paris, and concerted measures to control the proceedings of the National Assembly. Hence: A plotter against an existing government; a turbulent demagogue. 3. (Zoöl.)  A fancy pigeon, in which the feathers of the neck form a hood, -- whence the name. The wings and tail are long, and the beak moderately short.\n\nSame as Jacobinic.
jacobine |A Jacobin.
jacobinic |Of or pertaining to the Jacobins of France; revolutionary; of the nature of, or characterized by, Jacobinism. Burke. -- Jac`o*bin\"ic*al*ly, adv.
jacobinical |Of or pertaining to the Jacobins of France; revolutionary; of the nature of, or characterized by, Jacobinism. Burke. -- Jac`o*bin\"ic*al*ly, adv.
jacobinism |The principles of the Jacobins; violent and factious opposition to legitimate government. Under this new stimulus, Burn's previous Jacobitism passed towards the opposite, but not very distant, extreme of Jacobinism. J. C. Shairp.
jacobinize |To taint with, or convert to, Jacobinism. France was not then jacobinized. Burke.
jacobite |1. (Eng. Hist.)  A partisan or adherent of James the Second, after his abdication, or of his descendants, an opposer of the revolution in 1688 in favor of William and Mary. Macaulay. 2. (Eccl.)  One of the sect of Syrian Monophysites. The sect is named after Jacob Baradæus, its leader in the sixth century.\n\nOf or pertaining to the Jacobites.
jacobitic |Of or pertaining to the Jacobites; characterized by Jacobitism. -- Jac`o*bit\"ic*al*ly, adv.
jacobitical |Of or pertaining to the Jacobites; characterized by Jacobitism. -- Jac`o*bit\"ic*al*ly, adv.
jacobitism |The principles of the Jacobites. Mason.
jacobus |An English gold coin, of the value of twenty-five shillings sterling, struck in the reign of James I.
jaconet |A thin cotton fabric, between and muslin, used for dresses, neckcloths, etc. [Written also jacconet.]
jacquard |Pertaining to, or invented by, Jacquard, a French mechanician, who died in 1834. Jacquard apparatus or arrangement, a device applied to looms for weaving figured goods, consisting of mechanism controlled by a chain of variously perforated cards, which cause the warp threads to be lifted in the proper succession for producing the required figure. -- Jacquard card, one of the perforated cards of a Jacquard apparatus. -- Jackquard loom, a loom with Jacquard apparatus.
jacqueminot |A half-hardy, deep crimson rose of the remontant class; -- so named after General Jacqueminot, of France.
jacquerie |The name given to a revolt of French peasants against the nobles in 1358, the leader assuming the contemptuous title, Jacques Bonhomme, given by the nobles to the peasantry. Hence, any revolt of peasants.
jactancy |A boasting; a bragging. [Obs.]
jactation |A throwing or tossing of the body; a shaking or agitation. Sir. W. Temple.
jactitation |1. (Law)  Vain boasting or assertions repeated to the prejudice of another's right; false claim. Mozley & W. 2. (Med.)  A frequent tossing or moving of the body; restlessness, as in delirium. Dunglison. Jactitation of marriage (Eng. Eccl. Law), a giving out or boasting by a party that he or she is married to another, whereby a common reputation of their matrimony may ensue. Blackstone.
jaculable |Fit for throwing. [Obs.]
jaculate |To throw or cast, as a dart; to throw out; to emit.
jaculation |The act of tossing, throwing, or hurling, as spears. Hurled to and fro with jaculation dire. Milton.
jaculator |1. One who throws or casts. [R.] 2. (Zoöl.)  The archer fish (Toxotes jaculator).
jaculatory |Darting or throwing out suddenly; also, suddenly thrown out; uttered in short sentences; ejaculatory; as, jaculatory prayers. Smart.
jadding |See Holing.
jade |A stone, commonly of a pale to dark green color but sometimes whitish. It is very hard and compact, capable of fine polish, and is used for ornamental purposes and for implements, esp. in Eastern countries and among many early peoples. Note: The general term jade includes nephrite, a compact variety of tremolite with a specific gravity of 3, and also the mineral jadeite, a silicate of alumina and soda, with a specific gravity of 3.3. The latter is the more highly prized and includes the feitsui of the Chinese. The name has also been given to other tough green minerals capable of similar use.\n\n1. A mean or tired horse; a worthless nag. Chaucer. Tired as a jade in overloaden cart. Sir P. Sidney. 2. A disreputable or vicious woman; a wench; a quean; also, sometimes, a worthless man. Shak. She shines the first of battered jades. Swift. 3. A young woman; -- generally so called in irony or slight contempt. A souple jade she was, and strang. Burns.\n\n1. To treat like a jade; to spurn. [Obs.] Shak. 2. To make ridiculous and contemptible. [Obs.] I do now fool myself, to let imagination jade me. Shak. 3. To exhaust by overdriving or long-continued labor of any kind; to tire or wear out by severe or tedious tasks; to harass. The mind, once jaded by an attempt above its power, . . . checks at any vigorous undertaking ever after. Locke. Syn. -- To fatigue; tire; weary; harass. -- To Jade, Fatigue, Tire, Weary. Fatigue is the generic term; tire denotes fatigue which wastes the strength; weary implies that a person is worn out by exertion; jade refers to the weariness created by a long and steady repetition of the same act or effort. A little exertion will tire a child or a weak person; a severe or protracted task wearies equally the body and the mind; the most powerful horse becomes jaded on a long journey by a continual straining of the same muscles. Wearied with labor of body or mind; tired of work, tired out by importunities; jaded by incessant attention to business.\n\nTo become weary; to lose spirit. They . . . fail, and jade, and tire in the prosecution. South.
jadeite |See Jade, the stone.
jadery |The tricks of a jade.
jadish |1. Vicious; ill-tempered; resembling a jade; -- applied to a horse. 2. Unchaste; -- applied to a woman. L'Estrange.
jaeger |See Jager.
jag |1. A notch; a cleft; a barb; a ragged or sharp protuberance; a denticulation. Arethuss arose . . . From rock and from jag. Shelley. Garments thus beset with long jags. Holland. 2. A part broken off; a fragment. Bp. Hacket. 3. (Bot.)  A cleft or division. Jag bolt, a bolt with a nicked or barbed shank which resists retraction, as when leaded into stone.\n\nTo cut into notches or teeth like those of a saw; to notch. [Written also jagg. Jagging iron, a wheel with a zigzag or jagged edge for cutting cakes or pastry into ornamental figures.\n\nA small load, as of hay or grain in the straw, or of ore. [Prov. Eng. & Colloq. U.S.] [Written also jagg.] Forby.\n\nTo carry, as a load; as, to jag hay, etc. [Prov. Eng. & Colloq. U.S.]
jaganatha |See Juggernaut.\n\nSee Juggernaut.
